"meeting_date","project_id","title","borough","lead_agency","secondary_agency","public_private","project_type","construction_type","result","review_cycles","previous_year_submission"
"2022-12-12T00:00:00.000","17479","Construction of Biogas Conditioning System and adjacent site work, Newtown Creek Wastewater Treatment Plant, 327 Greenpoint Avenue, Brooklyn","Brooklyn","DEP",,"Public","Architecture","Construction","Commented",,
"2022-12-12T00:00:00.000","22932","Reconstruction of Josephine Caminiti Playground (formerly Corona playground), Corona Avenue, Alstyne Avenue, and 102nd Street, Corona, Queens","Queens","DPR",,"Public","Architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22463","Conservation of the American Merchant Mariners Memorial (1991) by Marisol, The Battery (formerly Battery Park), Breakwater extension adjacent to Pier A, Manhattan","Manhattan","EDC","DPR","Public","Artwork","Conservation","Approved","1",
"2022-12-12T00:00:00.000","22955","Restoration of the landscape, construction of a storage building, and installation of signage and access controls, Gilboa Dam, Schoharie Reservoir, adjacent to Route 990V, Gilboa, Schoharie County","Upstate","DEP",,"Public","Landscape architecture","Restoration","Approved","1",
"2022-12-12T00:00:00.000","22895","Inscription for Gate of the Exonerated, northern perimeter Central Park entrance at 110th Street between Central Park West and Fifth Avenue, Central Park, Manhattan","Manhattan","DPR","CPC","Public","Signage","Installation of specific elements","Approved","1",
"2022-12-12T00:00:00.000","21936","Construction of an interim park, Pier 42, East River Waterfront between Montgomery Street and Jackson Street, Manhattan","Manhattan","EDC","DPR","Public","Landscape architecture","Construction","Commented",,
"2022-12-12T00:00:00.000","22947","Installation of a fire alarm, Flushing Community Library, 41-17 Main Street, Flushing, Queens","Queens","DDC","QL","Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-12-12T00:00:00.000","22950","Relocation of a standpipe, Public Safety Answering Center II (PSAC II), 350 Marconi Street, Bronx","Bronx","DCAS",,"Public","Building systems & Modifications","Relocation","Approved per delegation","1",
"2022-12-12T00:00:00.000","22971","Installation of Emanativ by Eto Otitigbe, Harlem River Greenway as part of the Manhattan Waterfront Greenway, Harlem River Drive between East 125th Street and East 132nd Street, Manhattan","Manhattan","EDC","DPR","Public","Artwork","Installation of specific elements","Approved","1",
"2022-12-12T00:00:00.000","22239","Installation of a chemical containment pad, fill stations, and lighting as a part of the construction of a chemical addition system, Old Croton Lake Gatehouse, New Croton Reservoir, Croton Dam Road, Yorktown Heights, Westchester County","Upstate","DEP",,"Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-12-12T00:00:00.000","21612","Reconstruction of a fueling station, Prospect Park, Prospect Park West between 7th Street and 8th Street, Brooklyn","Brooklyn","DDC","DPR","Public","Building systems & Modifications","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22966","Reconstruction of a pier shed and head house for film studios and adjacent site work, Pier 94, 711 12th Avenue between West 52nd Street and West 55th Street, Hudson River, Manhattan","Manhattan","EDC",,"Public and Private","Architecture","Reconstruction","Approved with conditions","1",
"2022-12-12T00:00:00.000","22957","Installation of an ADA ramp, 150 52nd Street, Brooklyn","Brooklyn","DOT",,"Public and Private","Street furniture","Installation of specific elements","Approved","1",
"2022-12-12T00:00:00.000","22952","Construction of an addition and adjacent site work, Eastern Parkway Library, 1044 Eastern Parkway, Brooklyn","Brooklyn","DDC","BPL","Public","Architecture","Construction","Approved","1",
"2022-12-12T00:00:00.000","21433","Rehabilitation of Engine Company 301/Ladder Company 150, 91-04 197th Street, Hollis, Queens","Queens","FDNY",,"Public","Architecture","Rehabilitation","Commented",,
"2022-12-12T00:00:00.000","22959","Reconstruction of Police Officer Jeff B. Herman Ballfield, McDonald Playground, McDonald Avenue, Avenue S, East 1st Street, and Avenue T, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Reconstruction","Approved","1",
"2022-12-12T00:00:00.000","22969","Construction of Box Street Park, including a prototypical comfort station, Commercial Street, Box Street, and Newtown Creek, Brooklyn","Brooklyn","EDC","DPR","Public","Landscape architecture","Construction","Approved with conditions","1",
"2022-12-12T00:00:00.000","22949","Reconstruction of a fueling station, NYPD Harbor George, 109-01 14th Avenue, College Point, Queens","Queens","NYPD",,"Public","Building systems & Modifications","Reconstruction","Approved per delegation","1",
"2022-12-12T00:00:00.000","22965","Construction of an off-shore wind operations and maintenance building and adjacent sitework, South Brooklyn Marine Terminal, 2nd Avenue between 32nd Street and 34th Street, Brooklyn","Brooklyn","EDC",,"Public and Private","Architecture","Construction","Commented",,
"2022-12-12T00:00:00.000","22970","Patch and repair of a guardrail as part of the reconstruction of a pier, installation of a barge, gangway, and gate, and adjacent site work to accommodate citywide ferry service, Kaiser Park, between Bayview Avenue, West 29th Street, and Coney Island Creek, Brooklyn","Brooklyn","EDC","DPR","Public and Private","Landscape architecture","Reconstruction","Approved","1",
"2022-12-12T00:00:00.000","22962","Construction of the Mary Cali Dalton Recreation Center, 6 Victory Boulevard, adjacent to at the Lyons Pool, Hannah Street, Murray Hulbert Avenue, and the Tompkinsville Esplanade, Staten Island","Staten Island","DDC","DPR","Public and Private","Architecture","Construction","Commented",,
"2022-12-12T00:00:00.000","22948","Installation of an air duct, Building 77, 141 Flushing Avenue, Brooklyn Navy Yard Industrial Park, Brooklyn","Brooklyn","BNYDC",,"Public and Private","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-12-12T00:00:00.000","22963","Installation of the New York City Public Observatory, Jerome Park, Goulden Avenue between Bedford Parkway Boulevard West and West 205th Street, Bronx","Bronx","DPR",,"Public","Landscape architecture","Installation of specific elements","Commented",,
"2022-12-12T00:00:00.000","22972","Construction of Engine Company 287/Ladder 136/Battalion 46, 86-53 Grand Avenue, Elmhurst, Queens","Queens","FDNY",,"Public","Architecture","Construction","Approved","1",
"2022-12-12T00:00:00.000","22876","Construction of a field operations building, adaptive reuse of the former Fluoride Building, and adjacent site work, 601 Midland Avenue, Yonkers","Upstate","DEP",,"Public","Architecture","Construction","Approved with conditions","2",
"2022-12-12T00:00:00.000","20829","Construction of Building 1A and 1B as Phase I of a master plan for the construction of four mixed-use residential towers, a light manufacturing facility, a central plaza open space, and adjacent site work (The Peninsula), Tiffany Street, Spofford Avenue, and Manida Street, Bronx","Bronx","EDC",,"Public","Building systems & Modifications","Construction","Commented",,
"2022-12-12T00:00:00.000","20829","Construction of Building 1A and 1B as Phase I of a master plan for the construction of four mixed-use residential towers, a light manufacturing facility, a central plaza open space, and adjacent site work (The Peninsula), Tiffany Street, Spofford Avenue, and Manida Street, Bronx","Bronx","EDC",,"Public","Architecture","Construction","Commented",,
"2022-12-12T00:00:00.000","22968","Removal of an interim seating area as part of the construction of a park (Abolitionist Place), Willoughby Street, Duffield Street and Gold Street, Brooklyn","Brooklyn","EDC",,"Public","Landscape architecture","Removal","Approved","1",
"2022-12-12T00:00:00.000","22154","Installation of louvers, Building 3, 7th Floor, South Street between Seventh Avenue and Eighth Avenue, Brooklyn Navy Yard Industrial Park, Brooklyn","Brooklyn","BNYDC",,"Private","Building systems & Modifications","Installation of specific elements","Commented",,
"2022-12-12T00:00:00.000","20663","Installation of rooftop mechanical equipment, Engine Company 42, 1781 Monroe Avenue, Bronx","Bronx","FDNY",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2022-12-12T00:00:00.000","20697","Reconstruction of the Studio Museum in Harlem, 144 West 125th Street, Manhattan","Manhattan","DCLA",,"Public and Private","Architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22603","Reconstruction of an asphalt plant, including construction of an administration building, and adjacent site work, Harper Street Yard, 32-11 Harper Street, Marina Road, Harper Street, and Flushing Bay, Corona, Queens","Queens","DDC","DOT","Public","Architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22967","Installation of wayfinding signage, MetroTech Center (Brooklyn Commons), Myrtle Avenue Promenade and MetroTech Commons between Jay Street and Flatbush Avenue, Brooklyn","Brooklyn","EDC",,"Public and Private","Signage","Installation of specific elements","Approved","1",
