"fiscal_year","system_code","location_code","location_name","beds","managed_by_name","location_type_description","location_category_description","grades_text","grades_final_text","open_date","status_descriptions","primary_building_code","primary_address_line_1","state_code","x_coordinate","y_coordinate","longitude","latitude","community_district","council_district","census_tract","borough_block_lot","nta","nta_name","principal_name","principal_title","principal_phone_number","fax_number","geographical_district_code","administrative_district_code","administrative_district_name","community_school_sup_name","tier_3_support_location_name","tier_3_support_leader_name","tier_2_support_location_name","highschool_network_location","highschool_network_name","highschool_network","community_district_1","police_precinct"
"2020","15K001","K001","P.S. 001 The Bergen","331500010001","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1965-07-01T00:00:00.000","Open","K001","309 47 STREET","NY","981081","175710","-74.01142","40.648959","307","38","8000","3007550022","BK32","Sunset Park West","Arlene Ramos","Principal","718-567-7661","718-567-9771","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","307","72"
"2020","17K002","K002","Parkside Preparatory Academy","331700010002","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1994-07-01T00:00:00.000","Open","K002","655 PARKSIDE AVENUE","NY","997686","178433","-73.951575","40.656423","309","40","80200","3050500051","BK60","Prospect Lefferts Gardens-Wingate","ADRIENNE SPENCER","Principal","718-462-6992","718-284-7717","17","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","309","71"
"2020","13K003","K003","P.S. 003 The Bedford Village","331300010003","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1950-07-01T00:00:00.000","Open","K003","50 JEFFERSON AVENUE","NY","996670","187864","-73.955219","40.682311","303","36","22700","3019980001","BK69","Clinton Hill","KRISTINA BEECHER","Principal","718-622-2960","718-623-3193","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","303","79"
"2020","75K004","K004","P.S. K004","307500013004","DOE","Special Education","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06,07,SE","1999-07-01T00:00:00.000","Open","K273","923 JEROME STREET","NY","1017745","179209","-73.879276","40.6585","305","42","107800","3044010001","BK82","East New York","Rebecca Schropfer","Principal","929-275-3937","718-927-3554","19","75","CITYWIDE SPECIAL EDUCATION","LOUISSAINT, KETLER","D75 CITYWIDE BCO","Tillman Roberto","Children First Network 752","NULL","NULL","NULL","305","75"
"2020","16K005","K005","P.S. 005 Dr. Ronald McNair","331600010005","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1966-07-01T00:00:00.000","Open","K005","820 HANCOCK STREET","NY","1005891","188938","-73.92197","40.685241","303","41","37700","3014900001","BK35","Stuyvesant Heights","LENA GATES","Principal","718-218-2444","718-218-2445","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","17K006","K006","Norma Adams Clemons Academy","331700010006","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05","1993-07-01T00:00:00.000","Open","K006","43 SNYDER AVENUE","NY","996382","175718","-73.956279","40.648973","314","40","79400","3051030079","BK95","Erasmus","Sharon Porter","Principal","718-856-6560","718-856-7493","17","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","314","70"
"2020","19K007","K007","P.S. 007 Abraham Lincoln","331900010007","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","K007","858 JAMAICA AVENUE","NY","1019475","190401","-73.872983","40.689213","305","37","118201","3041060039","BK83","Cypress Hills-City Line","Carolyn Noel","Principal","718-647-3600","718-827-4004","19","19","COMMUNITY SCHOOL DISTRICT 19","THOMAS MCBRYDE JR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 6- Brooklyn North","NULL","NULL","NULL","305","75"
"2020","13K008","K008","P.S. 008 Robert Fulton","331300010008","DOE","General Academic","K-8","0K,01,02,03,04,05,08,SE","PK,0K,01,02,03,04,05","1907-07-01T00:00:00.000","Open","K008","37 HICKS STREET","NY","986235","194564","-73.992841","40.700709","302","33","100","3002110001","BK09","Brooklyn Heights-Cobble Hill","Patricia Peterson","Principal","718-834-6740","718-834-7690","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","302","84"
"2020","13K009","K009","P.S. 009 Teunis G. Bergen","331300010009","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1957-07-01T00:00:00.000","Open","K009","80 UNDERHILL AVENUE","NY","993588","186494","-73.966333","40.678554","308","35","20500","3011450026","BK64","Prospect Heights","Emma Pelaezvelazquez","I.A. Principal","718-638-3260","718-622-2961","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","308","77"
"2020","15K010","K010","Magnet School of Math, Science and Design Technolo","331500010010","DOE","General Academic","Elementary","0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1930-07-01T00:00:00.000","Open","K010","511 7 AVENUE","NY","988149","180065","-73.985946","40.660912","307","38","14900","3008690001","BK37","Park Slope-Gowanus","LAURA SCOTT","Principal","718-965-1190","718-369-1736","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","307","72"
