"extract_run_date","randomized_id","ccrb_received_year","days_between_incident_date","case_type","complaint_received_place","complaint_received_mode","borough_of_incident","patrol_borough_of_incident","reason_for_initial_contact"
"2018-05-25T00:00:00.000","1","2000","2","IAB","CCRB","Phone","Bronx","Bronx","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","2","2000","86","OCD","Other NYPD unit","In-person","Brooklyn","Brooklyn North","Parking violation"
"2018-05-25T00:00:00.000","3","2000","0","OCD","CCRB","Phone","Queens","Other",
"2018-05-25T00:00:00.000","4","2000","0","OCD","Other NYPD unit","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","5","2000","117","OCD","CCRB","Phone","Manhattan","Manhattan North","Traffic accident"
"2018-05-25T00:00:00.000","6","2000","1","CCRB","CCRB","Phone","Brooklyn","Brooklyn South","Other"
"2018-05-25T00:00:00.000","7","2000","15","OCD","CCRB","Phone","Brooklyn","Brooklyn South","Other violation of VTL"
"2018-05-25T00:00:00.000","8","2000","10","CCRB","IAB","Phone","Bronx","Bronx","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","9","2000","11","CCRB","IAB","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","10","2000","6","CCRB","Precinct","In-person","Brooklyn","Brooklyn North","PD suspected C/V of violation/crime - auto"
"2018-05-25T00:00:00.000","11","2000","145","OCD","CCRB","In-person","Brooklyn","Brooklyn North","Report-dispute"
"2018-05-25T00:00:00.000","12","2000","0","OCD","Precinct","Phone","Brooklyn","Brooklyn South","C/V telephoned PCT"
"2018-05-25T00:00:00.000","13","2000","4","CCRB","IAB","Phone","Manhattan","Manhattan South","Report-dispute"
"2018-05-25T00:00:00.000","14","2000","10","CCRB","CCRB","Phone","Queens","Queens South","Report-dispute"
"2018-05-25T00:00:00.000","15","2000","69","OCD","CCRB","Phone","Queens","Queens North","Report of other crime"
"2018-05-25T00:00:00.000","16","2000","3","OCD","CCRB","Phone",,"Other","Other"
"2018-05-25T00:00:00.000","17","2000","4","OCD","CCRB","Call Processing System","Queens","Queens South","Report-dispute"
"2018-05-25T00:00:00.000","18","2000","13","CCRB","IAB","Phone","Manhattan","Manhattan North","Report-domestic dispute"
"2018-05-25T00:00:00.000","19","2000","2","CCRB","CCRB","Phone","Manhattan","Manhattan North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","20","2000","3","CCRB","CCRB","Call Processing System","Staten Island","Staten Island","Other"
"2018-05-25T00:00:00.000","21","2000","12","OCD","IAB","Phone","Bronx","Bronx","Report-dispute"
"2018-05-25T00:00:00.000","22","2000","3","CCRB","Other","Phone","Brooklyn","Brooklyn North","Parking violation"
"2018-05-25T00:00:00.000","23","2000","4","OCD","CCRB","Phone","Queens","Queens North","Moving violation"
"2018-05-25T00:00:00.000","24","2000","58","OCD","CCRB","Mail",,"Other","Other"
"2018-05-25T00:00:00.000","25","2000","8","OCD","CCRB","Phone","Bronx","Bronx","Report-noise/disturbance"
"2018-05-25T00:00:00.000","26","2000","9","CCRB","IAB","Phone","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","27","2000","106","OCD","CCRB","In-person","Brooklyn","Other","Execution of search warrant"
"2018-05-25T00:00:00.000","28","2000","1","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","29","2000","3","CCRB","CCRB","Call Processing System","Brooklyn","Brooklyn South","Report of other crime"
"2018-05-25T00:00:00.000","30","2000","7","CCRB","IAB","Phone","Bronx","Bronx","Moving violation"
"2018-05-25T00:00:00.000","31","2000","0","CCRB","Precinct","In-person","Bronx","Bronx","Parking violation"
"2018-05-25T00:00:00.000","32","2000","81","OCD","CCRB","Phone","Brooklyn","Other",
"2018-05-25T00:00:00.000","33","2000","4","CCRB","Precinct","Call Processing System","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","34","2000","0","CCRB","Precinct","Phone","Queens","Queens South","Other"
"2018-05-25T00:00:00.000","35","2000","7","CCRB","IAB","Phone","Brooklyn","Brooklyn South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","36","2000","0","OCD","Precinct","Phone","Staten Island","Staten Island","Report-dispute"
"2018-05-25T00:00:00.000","37","2000","9","OCD","IAB","Phone","Queens","Queens South",
"2018-05-25T00:00:00.000","38","2000","28","OCD","Precinct","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","39","2000","20","OCD","IAB","Phone","Manhattan","Manhattan South","PD suspected C/V of violation/crime - auto"
"2018-05-25T00:00:00.000","40","2000","0","OCD","CCRB","Phone","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","41","2000","1","CCRB","Precinct","In-person","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","42","2000","25","CCRB","IAB","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","43","2000","0","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","44","2000","3","CCRB","CCRB","Phone","Brooklyn","Brooklyn South",
"2018-05-25T00:00:00.000","45","2000","7","OCD","Precinct","Mail","Queens","Queens North",
"2018-05-25T00:00:00.000","46","2000","4","CCRB","Precinct","Phone","Manhattan","Manhattan South","Report-dispute"
"2018-05-25T00:00:00.000","47","2000","5","CCRB","IAB","Phone","Queens","Queens South",
"2018-05-25T00:00:00.000","48","2000","36","OCD","CCRB","Phone","Queens","Other",
"2018-05-25T00:00:00.000","49","2000","10","CCRB","IAB","Phone","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","50","2000","1","OCD","CCRB","Call Processing System","Bronx","Other","Moving violation"
"2018-05-25T00:00:00.000","51","2000","67","OCD","CCRB","Phone","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","52","2000","2","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","53","2000","10","OCD","Other City agency","Phone","Queens","Other",
"2018-05-25T00:00:00.000","54","2000","12","CCRB","IAB","Phone","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","55","2000","128","CCRB","CCRB","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","56","2000","1","IAB","Precinct","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","57","2000","0","OCD","Other NYPD unit","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","58","2000","3","OCD","CCRB","Phone","Staten Island","Staten Island",
"2018-05-25T00:00:00.000","59","2000","3","CCRB","CCRB","Phone","Manhattan","Manhattan South","Report-dispute"
"2018-05-25T00:00:00.000","60","2000","1","OCD","Precinct","Call Processing System","Staten Island","Other",
