"borough","site_number","ad","ed"
"1","10438","69","62"
"3","10967","55","91"
"5","11648","62","71"
"5","10010","62","88"
"4","Q0227","28","86"
"3","B0261","46","84"
"1","10768","71","109"
"5","S0055","63","48"
"5","S0055","62","72"
"1","10577","66","91"
"3","11410","51","40"
"1","11587","75","7"
"1","M0175","69","89"
"1","10593","69","64"
"1","M0215","70","66"
"1","M0082","71","71"
"1","11457","73","16"
"3","10580","50","66"
"1","10275","72","32"
"2","11466","87","99"
"3","B0337","43","84"
"1","M0093","72","20"
"1","M0240","71","39"
"3","11734","47","14"
"3","B0326","50","17"
"4","Q0088","29","72"
"3","11735","46","80"
"1","M0248","70","80"
"3","B0326","50","16"
"4","11388","32","81"
"1","M0032","68","23"
"1","M0078","73","30"
"3","11537","55","103"
"3","B0262","51","34"
"1","11592","65","40"
"4","Q0040","40","46"
"4","10206","27","80"
"1","M0156","74","44"
"3","B0256","51","17"
"4","10734","23","55"
"1","M0002","74","43"
"1","M0300","71","81"
"4","Q0145","30","68"
"1","11587","75","6"
"4","Q0149","40","50"
"3","10674","47","38"
"2","X0118","78","67"
"2","X0201","77","69"
"1","11457","73","20"
"1","11592","65","83"
"4","Q0012","32","79"
"1","11194","73","17"
"1","11457","73","21"
"2","11574","82","41"
"2","11599","81","80"
"1","10176","73","27"
"4","11688","32","5"
"3","11477","56","51"
"1","M0191","74","10"
"4","11767","35","18"
"1","11529","67","23"
"4","Q0205","25","68"
"1","M0093","72","17"
"4","Q0198","30","46"
"1","M0018","73","76"
"1","M0083","73","24"
"1","11457","73","18"
"3","B0169","46","23"
"1","10176","73","35"
"2","X0225","82","17"
"1","10527","75","68"
"4","Q0149","40","18"
"3","11492","55","94"
"1","10465","75","102"
"2","11114","77","74"
"1","10569","69","49"
"3","11410","51","53"
"2","X0150","84","56"
"2","11574","82","42"
"3","B0386","44","48"
"2","X0157","79","86"
"1","11518","70","100"
"1","M0195","75","38"
"1","M0065","66","92"
"3","11735","46","13"
"1","11743","74","61"
"1","M0039","73","49"
"1","11287","66","43"
"3","B0304","46","48"
"1","M0262","74","45"
"1","M0019","66","87"
"3","11433","54","45"
"3","11515","51","51"
"4","11767","35","17"
"3","11591","57","45"
"4","11182","37","76"
"1","M0019","66","85"
"3","B0046","56","64"
"1","M0072","69","27"
"4","Q0184","37","77"
"3","11251","44","70"
"2","X0111","81","4"
"3","B0256","49","32"
"1","11590","71","38"
"4","Q0147","34","37"
"2","X0150","84","41"
"4","Q0282","27","11"
"3","10580","50","48"
"5","10012","64","62"
"1","11399","66","65"
"1","11399","65","87"
"1","M0067","68","97"
"3","11251","44","69"
"3","B0396","52","119"
"1","M0254","72","33"
"1","M0191","74","16"
"2","X0035","77","76"
"1","10147","69","83"
"3","11433","54","42"
"5","11240","61","69"
"1","M0218","76","11"
"2","X0013","77","75"
"1","10176","73","29"
"3","B0010","56","62"
"1","M0067","68","35"
"4","Q0282","27","10"
"2","X0111","81","2"
"3","11433","55","45"
"3","B0071","41","22"
"1","10176","73","33"
"2","X0026","79","85"
"3","B0185","51","35"
"1","11517","70","19"
"4","11182","36","64"
"1","11399","65","7"
"1","10710","69","8"
"2","11599","81","83"
"3","B0262","49","66"
"5","10006","64","22"
"4","Q0025","31","8"
"1","M0192","75","13"
"1","11587","75","5"
"1","M0255","72","79"
"3","11593","51","55"
"1","11457","73","19"
"1","11225","65","90"
"4","10698","36","78"
"4","Q0274","23","85"
"1","11587","75","1"
"1","11225","65","13"
"1","11399","65","8"
"3","B0071","41","28"
"4","Q0294","38","63"
"1","10148","70","93"
"3","11734","47","13"
"1","M0057","67","46"
"1","11481","67","2"
"1","M0187","66","7"
"1","11399","65","6"
"1","11457","73","22"
"4","00063","23","79"
"1","11457","73","23"
"4","Q0064","23","84"
"3","11591","57","46"
"3","B0067","55","44"
"4","Q0226","25","77"
"2","10087","86","66"
"1","11529","75","86"
"3","B0314","64","84"
"3","11593","51","41"
"2","11599","81","84"
"4","Q0025","31","78"
"4","Q0197","31","79"
