"filed","application","calendar","section","street_number","street_name","borough","borough_code","block","lots","zoning_district","cb","project_description","status","decisions_url","date","postcode","latitude","longitude","council_district","bin","bbl","census_tract","nta","location_1"
"1999-04-30T00:00:00.000","SOC","1016-86-BZ","Waiver/Amendment/Extension of","2162-2166","Broadway","Manhattan","1","1168","22","C4-6A","7","Waiver/Amendment/Extension of Term","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1016-86-BZ.pdf","1999-10-26T00:00:00.000","10024","40.781912","-73.980996","6","1030861","1011680022","163","MN0702","(40.781912, -73.980996)"
"2001-01-02T00:00:00.000","Appeal","1-01-A","GCL 36","5","Thetford Lane","Queens","4","16350","300","R-4","14","Proposed alteration and enlargement to a one family dwelling not fronting on a legally mapped street, which is contrary to Section 36, Article 3 of the General City Law.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1-01-A.pdf","2001-03-27T00:00:00.000","11697","40.559281","-73.911357","32","4467147","4163500400","91603","QN1403","(40.559281, -73.911357)"
"2008-04-23T00:00:00.000","BZY","104-08-BZY","11-332","15","Carmela Court","Staten Island","5","4690","129","R3-X","3","Extension of time (§11-332) to complete construction and obtain a Certificate of Occupancy under the prior district regulations.  R3X zoning district Series cases 104-08-BZY thru 119-08-BZY","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/104-08-BZY.pdf","2008-07-29T00:00:00.000",,,,,,,,,
"2001-12-17T00:00:00.000","SOC","1043-80-BZ","Extension of Term/Waiver","1680/88","Albany Avenue","Brooklyn","3","7744","47,49,50","R4","18","Extension of Term/Waiver of a previously approved variance which permitted paint storage and mixing facility in a R4 zoning district.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1043-80-BZ.pdf","2004-05-11T00:00:00.000",,,,,,,,,
"1999-06-18T00:00:00.000","SOC","109-97-BZ","Amendment","1201/39","Lafayette Avenue","Bronx","2","2739","15","M1-1","2","Reopening for an amendment to omit the standpipe outlets required by prior BSA resolutions.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/109-97-BZ.pdf","2000-04-11T00:00:00.000",,,,,,,,,
"1999-04-20T00:00:00.000","SOC","1105-47-BZ","11-41","166-02/10","Northern Boulevard","Queens","4","5397","14","R2","7","Waiver/Amendment/Extension of Term-To permit an enlargement of existing accessory building, to accommodate an additional repair bay and install a metal canopy over existing pump islands.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1105-47-BZ.pdf","2000-09-12T00:00:00.000",,,,,,,,,
"2005-09-21T00:00:00.000","SOC","1180-80-BZ","72-01 & 72-22","1","Tiffany Place","Brooklyn","3","320","20","R6","6","Reopening for an amendment to the resolution to include superintendents’ apartment in the cellar of the existing building.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1180-80-BZ.pdf","2006-05-02T00:00:00.000","11231","40.687179","-74.000671","39","3003595","3003207501","47","BK0601","(40.687179, -74.000671)"
"2001-12-05T00:00:00.000","SOC","118-53-BZ","11-41","106-57/61","160th Street","Queens","4","10128","50","R4","12","Reopening for an extension of term of variance which expired and for an amendment to the resolution.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/118-53-BZ.pdf","2002-08-06T00:00:00.000",,,,,,,,,
"2012-04-25T00:00:00.000","Appeal","121-12-A","Administrative Appeal",,"BQE & 32nd Avenue","Queens","4","1137","22","R4, M1-1","1","Appeal challenging Department of Buildings’ determination that multiple signs located on railroad
properties are subject to the NYC Zoning Resolution.","Denied","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/121-12-A.pdf","2013-01-29T00:00:00.000",,,,,,,,,
"1999-06-16T00:00:00.000","SOC","1217-88-BZ","Extension of Term","3540/3550","Nostrand Avenue","Brooklyn","3","7386","117","C1-2/R4","15","Reopening for an extension of term of special permit which expires March 13, 2000.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/1217-88-BZ.pdf","1999-10-12T00:00:00.000",,,,,,,,,
"2011-08-25T00:00:00.000","Appeal","125-11-A","Administrative Appeal","514-516","East 6th Street","Manhattan","1","401","17, 18","R7B","3","Appeal challenging the Department of Buildings’ determination to deny the reinstatement of permits that allowed an enlargement to an existing residential building. R7B zoning district..","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/125-11-A.pdf","2012-09-25T00:00:00.000","10009","40.72522","-73.983382","2","1005049","1004010017","32","MN0303","(40.72522, -73.983382)"
"1999-06-11T00:00:00.000","BZ","127-99-BZ","72-21","118-120","South 4th Street","Brooklyn","3","2443","23","M1-1","1","Variance (§72-21) to permit four story multiple dwelling with ground floor Synagogue in an M1 district contrary to 42-00 Z.R.","Withdrawn","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/127-99-BZ.pdf","2001-12-18T00:00:00.000","11249","40.712068","-73.96341","34","3063429","3024430023","549","BK0102","(40.712068, -73.96341)"
"2008-04-24T00:00:00.000","Appeal","130-08-A","GCL 36","50","Gallant Loop","Staten Island","5","6517","120","R3X (SSRD)","3","Proposed construction of twelve homes not fronting a legally mapped street contrary to General City Law Section 36. R3x (SSRD) Series - 121-08-A thru 132-08-A.","Granted","https://www1.nyc.gov/assets/bsa/downloads/pdf/decisions/130-08-A.pdf","2008-11-18T00:00:00.000",,,,,"5000000","5065170100",,,
