"open_data_crash_id","crash_date","crash_time","crash_police_precinct","crash_borough","total_non_severe_injuries","total_severe_injuries","total_fatalities","latitude","longitude","on_street","cross_street","address","highway_reference_marker","zipcode","similar_fatalities_severe","similar_fatalities_all","community_board","council_district","bin","bbl","census_tract_2020_","neighborhood_tabulation_area_nta_2020_"
"4492364","2022-01-01T00:00:00.000","01:28","46","Bronx","1","1","0","40.8587070","-73.9037000","JEROME AVENUE","EAST 183 STREET",,,,"0","1",,,,,,
"4491159","2022-01-01T00:00:00.000","04:33","46","Bronx","0","1","0",,,"JEROME AVENUE",,,,,"0","0",,,,,,
"4491487","2022-01-01T00:00:00.000","05:55","47","Bronx","0","1","0","40.8715500","-73.8642800",,,"3207       WALLACE AVENUE",,,"0","0","212","12","2056281","2045980025","372","BX1201"
"4491223","2022-01-01T00:00:00.000","10:42","43","Bronx","0","1","0","40.8236730","-73.8723300","BRONX RIVER PARKWAY",,,"907HX1M11001",,"0","0",,,,,,
"4491418","2022-01-01T00:00:00.000","20:55","49","Bronx","0","1","0","40.8639450","-73.8645200","BOSTON ROAD","WALLACE AVENUE",,,,"0","0",,,,,,
"4491395","2022-01-02T00:00:00.000","00:32","41","Bronx","0","1","0",,,"E 163 STREET AND SOUTHERN BOULEVARD",,,,,"0","0",,,,,,
"4491529","2022-01-02T00:00:00.000","01:22","52","Bronx","0","0","1","40.8822170","-73.8804600","EAST GUN HILL ROAD","DEKALB AVENUE",,,,"1","2",,,,,,
"4491605","2022-01-02T00:00:00.000","22:20","45","Bronx","1","1","0","40.8358270","-73.8288040","EDISON AVENUE","BAISLEY AVENUE",,,,"0","0",,,,,,
"4494322","2022-01-03T00:00:00.000","03:20","44","Bronx","1","1","0","40.8309940","-73.9281160","WEST 162 STREET","ANDERSON AVENUE",,,,"0","2",,,,,,
"4491685","2022-01-03T00:00:00.000","04:47","49","Bronx","1","1","0",,,"PELHAM PARKWAY NORTH","WHITE PLAINS ROAD",,,,"0","4",,,,,,
"4492206","2022-01-03T00:00:00.000","19:36","40","Bronx","0","1","0","40.8192670","-73.9137800",,,"3007       3 AVENUE",,,"0","0","201","17","2001396","2023760049","67","BX0102"
"4492527","2022-01-04T00:00:00.000","17:40","41","Bronx","0","1","0","40.8202130","-73.9005300",,,"864        WESTCHESTER AVENUE",,,"0","0","202","17","2096474","2026890011","87","BX0202"
"4492669","2022-01-05T00:00:00.000","00:00","40","Bronx","0","3","0","40.8049050","-73.9188300","EAST 135 STREET","SAINT ANNS AVENUE",,,,"0","0",,,,,,
"4493038","2022-01-05T00:00:00.000","15:00","44","Bronx","0","1","0","40.8255770","-73.9184650","EAST 161 STREET","MORRIS AVENUE",,,,"0","3",,,,,,
"4492695","2022-01-06T00:00:00.000","22:50","41","Bronx","0","1","0","40.8149720","-73.8834460",,,"1365       SPOFFORD AVENUE",,,"0","0","202","17","2100354","2027640037","11701","BX0201"
"4492843","2022-01-08T00:00:00.000","05:18","41","Bronx","1","0","1","40.8100500","-73.8872400","OAK POINT AVENUE","MANIDA STREET",,,,"0","0",,,,,,
"4496246","2022-01-09T00:00:00.000","04:04","50","Bronx","1","0","1","40.8780000","-73.9040800","MAJOR DEEGAN EXPRESSWAY",,,"87IX1M12060",,"1","11",,,,,,
"4493329","2022-01-09T00:00:00.000","19:10","45","Bronx","0","1","0","40.8406450","-73.8420500","WESTCHESTER AVENUE","EAST TREMONT AVENUE",,,,"0","1",,,,,,
"4494538","2022-01-13T00:00:00.000","09:12","43","Bronx","0","0","1","40.8352930","-73.8819350","SHERIDAN EXPRESSWAY",,,"895IX1M11013",,"0","0",,,,,,
"4494526","2022-01-14T00:00:00.000","04:28","43","Bronx","0","0","1","40.8286600","-73.8782400","WESTCHESTER AVENUE","BOYNTON AVENUE",,,,"0","0",,,,,,
"4495430","2022-01-14T00:00:00.000","18:25","46","Bronx","0","1","0",,,"FEATHERBED LANE",,,,,"0","0",,,,,,
"4495296","2022-01-15T00:00:00.000","17:05","43","Bronx","0","1","0","40.8281820","-73.8742700",,,"1145       MORRISON AVENUE",,,"0","0","209","18","2024009","2037440024","48","BX0901"
"4495838","2022-01-19T00:00:00.000","15:50","44","Bronx","0","2","0","40.8249700","-73.9222800","CONCOURSE VILLAGE WEST",,,,,"0","0",,,,,,
