"inspection_type","job_ticket_or_work_order_id","job_id","job_progress","bbl","boro_code","block","lot","house_number","street_name","zip_code","x_coord","y_coord","latitude","longitude","borough","inspection_date","result","approved_date","location","community_board","council_district","census_tract","bin","nta"
"Initial","11283950","PC6652552","1","2029370073","2","02937","0073","681","EAST 170 STREET","10456","1012551","242989","40.833572412291","-73.89772788194","Bronx","2013-09-19T10:50:58.000","Passed","2013-09-20T11:48:58.000","
,  
(40.833572412291, -73.89772788194)","3","15","151","2088298","Morrisania"
"Initial","13661515","PC8122655","1",,"1","00529","0009",,,"0",,,,,"Manhattan","2023-06-07T16:36:13.000","Passed","2023-06-08T10:38:30.000",,,,,,
"Initial","11507405","PC7504205","1",,"5","00062","0113","000","YORK AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Staten Island","2010-09-16T16:00:00.000","Failed for Other R","2010-09-17T09:47:30.000","
,  
(0.0, 0.0)",,,,,
"Initial","13264492","PC7744572","1",,"2","02857","0095","0000","JEROME AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2021-07-28T12:48:53.000","Passed","2021-07-29T13:19:32.000","
,  
(0.0, 0.0)",,,,,
"Initial","12161340","PC7474159","1","4034740045","4","03474","0045","58-07","69 AVENUE","11385","1011328","194878","40.701333881103","-73.902205273592","Queens","2016-05-19T13:26:34.000","Passed","2016-05-24T09:40:06.000","
,  
(40.701333881103, -73.902205273592)","5","30","551","4083159","Ridgewood"
"BAIT","2894734","PC7939081","6","2025260026","2","02526","0026","1077","OGDEN AVENUE","10452",,,"40.835033738775","-73.928197262191","Bronx","2023-04-16T14:03:00.000","Bait applied",,"
,  
(40.835033738775, -73.928197262191)","4","16","193","2000000","Highbridge"
"Initial","13699199","PC8166045","1",,"2","03091","0119","CAMBRELENG","AVENUE","10458",,,,,"Bronx","2023-08-11T12:16:37.000","Passed","2023-08-11T15:51:55.000",,,,,,
"Initial","13700050","PC8147097","1","1017480035","1","01748","0035",,"MSK RALPH LAUREN CENTER","10035","1000587","232488",,,"Manhattan","2023-08-11T10:29:00.000","Passed","2023-08-15T07:57:23.000",,,,,"1081462",
"Initial","13252138","PC7732344","1",,"2","02409","0059",,,"10451",,,,,"Bronx","2021-07-07T08:49:45.000","Passed","2021-07-08T10:18:56.000",,,,,,
"STOPPAGE","2911670","PC8150742","1","1004420020","1","00442","0020","47 1/2","EAST 1 STREET","10003",,,,,"Manhattan","2023-07-21T10:47:00.000","Stoppage done","2023-07-31T13:28:57.000",,"3","2","3602","1006077","East Village"
"Compliance","12772711","PC7378222","2",,"4","01573","0001","93-28","94 STREET",,"1019678","211218","0.00000000000000000000","0.00000000000000000000","Queens","2010-12-07T12:00:24.000","Passed","2010-12-15T14:22:51.000","
,  
(0.0, 0.0)","10","43","5202",,"Bay Ridge"
"BAIT","2668821","PC7185857","1",,"3","07400","0005","1511","AVENUE X",,"996783","155558","0.00000000000000000000","0.00000000000000000000","Brooklyn","2018-03-08T13:05:13.000","Monitoring visit","2018-03-12T09:04:50.000","
,  
(0.0, 0.0)",,,,,
"Initial","13432908","PC7906420","1",,"2","02420","0078","0000","EAST 161 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2022-07-19T13:50:56.000","Passed","2022-07-20T11:03:35.000","
,  
(0.0, 0.0)",,,,,
"Compliance","13704706","PC8068309","2","3018930036","3","01893","0036","76","STEUBEN STREET","11205","0","0","40.695128140739","-73.963422368767","Brooklyn","2023-08-22T10:30:02.000","Rat Activity","2023-08-24T14:13:36.000",,"2","35","191","3054583","Clinton Hill"
