"prequalified_vendor_master_trade_code","prequalified_vendor_trade_description","prequalified_vendor_name","prequalified_vendor_address","prequalified_vendor_city_name","prequalified_vendor_state_code","prequalified_vendor_zip_code","prequalified_vendor_phone_number","prequalified_vendor_fax_number","prequalified_vendor_contact_person","prequalified_vendor_minority_business_indicator","prequalified_vendor_women_business_indicator","prequalified_vendor_local_business_indicator","prequalified_vendor_over_million_dollar_revenue_indicator","prequalified_vendor_date"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","20/20 Inspections, Inc.","3716 Fort Hamilton Parkway","Brooklyn                      ","NY","11218          ","347-770-9634                  ",,"Suri Wadiche                  ","N","N","N","Y","2023-09-30T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","Amaracon Testing & Inspections, LLC","2 Commercial Street","Hicksville                    ","NY","11801          ","516-261-1130                  ","347-804-8306   ","Connie Pisani                 ","N","N","N","Y","2026-06-06T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","ARCHITECTURAL TESTING, INC.","130 DERRY COURT","YORK                          ","PA","17406-8405     ","717-764-7700                  ",,"Stephen D. Shank              ","N","N","N","N","2026-08-14T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","Asbestos & Lead Abatement Corporation","522 EAST 20TH STREET","NEW YORK                      ","NY","10009          ","646-773-7572                  ","646-773-7572   ","ALEKSANDR KNOBEL              ","N","N","N","Y","2024-08-10T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","CBZ CONSULTING INC.","480 N Broadway","Yonkers                       ","NY","10701          ","310-990-8062                  ","908-405-9888   ","Charles Bransby-Zachary       ","N","N","N","N","2025-04-13T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","DSENY Engineering Services P.C.","30-01 39th Avenue","Long Island City              ","NY","11101          ","347-730-6990                  ","917-655-5166   ","Dominic Stiller               ","N","N","N","Y","2026-03-24T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","Expert Fire Sprinkler, LLC","68 East 131st Street","New York                      ","NY","10037          ","212-534-0915                  ","718-440-4850   ","ESLEY PORTEOUS                ","Y","N","N","N","2025-09-26T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","Justin Group, Inc.","8 Bay 49 Street","Brooklyn                      ","NY","11214          ","718-449-9500                  ",,"Laura Giustiniani             ","N","Y","N","N","2023-10-15T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","MEGATECH DEVELOPMENT INC.","41-16 Ditmars Blvd","Astoria                       ","NY","11105          ","718-278-4004                  ","347-545-0778   ","Antonio Eretzian              ","N","N","N","N","2025-02-10T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","NY Consulting & Construction Services, Inc.","53  Coolidge Ave.","Roslyn Heights                ","NY","11577          ","646-258-6251                  ",,"James Yari                    ","N","Y","N","Y","2026-02-07T00:00:00.000"
