"oid","public_wi_fi_system","ssid","provider","opendata_dataset_name","hotspot_location_count","pedestrian_corridor_hotspot","published_date"
"1","AlticeUSA","GuestWiFi","ALTICEUSA","NYC Wi-Fi Hotspot Locations","237",,"2019-05-30T00:00:00.000"
"2","AT&T","attwifi","AT&T","NYC Wi-Fi Hotspot Locations","27",,"2019-05-30T00:00:00.000"
"3","Brooklyn Public Library","BPLUNWIRED","BPL","NYC Wi-Fi Hotspot Locations/Citywide Public Computer Center","59",,"2019-05-30T00:00:00.000"
"4","Charter","GuestWiFi","SPECTRUM","NYC Wi-Fi Hotspot Locations","343",,"2019-05-30T00:00:00.000"
"5","Chelsea Wi-Fi","CICFreeWiFi","Chelsea","NYC Wi-Fi Hotspot Locations","30","8","2019-05-30T00:00:00.000"
"6","Downtown Brooklyn Wi-Fi","Downtown Brooklyn WiFi","Downtown Brooklyn","NYC Wi-Fi Hotspot Locations","100","89","2019-05-30T00:00:00.000"
"7","Governors Island Wi-Fi","Governors Island","Fiberless","NYC Wi-Fi Hotspot Locations","30",,"2019-05-30T00:00:00.000"
"8","Harlem Wi-Fi","Harlem Wi-Fi","Harlem","NYC Wi-Fi Hotspot Locations","128","45","2019-05-30T00:00:00.000"
"9","LinkNYC","LinkNYC Free Wi-Fi","LinkNYC - Citybridge","NYC Wi-Fi Hotspot Locations","1868","1726","2019-05-30T00:00:00.000"
"10","Manhattan Downtown Alliance Wi-Fi","#DwtwnAllianceFreeWiFi","Manhattan Down Alliance","NYC Wi-Fi Hotspot Locations","36","36","2019-05-30T00:00:00.000"
"11","New York City Housing Authority","DowntownBrooklynWiFi_Fon","NYCHA","NYC Wi-Fi Hotspot Locations/Citywide Public Computer Center","28",,"2019-05-30T00:00:00.000"
"12","New York Public Library","NYPL","NYPL","NYC Wi-Fi Hotspot Locations/Citywide Public Computer Center","92",,"2019-05-30T00:00:00.000"
"13","Queens Library","QBPL_WIRELESS","QPL","NYC Wi-Fi Hotspot Locations/Citywide Public Computer Center","64",,"2019-05-30T00:00:00.000"
"14","Transit Wireless","TransitWirelessWiFi","Transit Wireless","NYC Wi-Fi Hotspot Locations","276",,"2019-05-30T00:00:00.000"
"15","Queensbridge","Quensbridge Connected","Spot On Networks","NYC Wi-Fi Hotspot Locations","3",,"2019-05-30T00:00:00.000"
"16","Bryant Park","BryantPark.org","Partner","NYC Wi-Fi Hotspot Locations","2",,"2019-05-30T00:00:00.000"
"17","City Tech","DowntownBrooklynWiFi_Fon","City Tech","NYC Wi-Fi Hotspot Locations","11","11","2019-05-30T00:00:00.000"
"18","Department for the Aging",,,"Citywide Public Computer Center","151",,"2019-05-30T00:00:00.000"
"19","Department of Parks and Recreation",,,"Citywide Public Computer Center","28",,"2019-05-30T00:00:00.000"
"20","Department of Youth and Community Development",,,"Citywide Public Computer Center","28",,"2019-05-30T00:00:00.000"
