"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping","hydrant_violation","double_parking_violation"
"1457617912","JEB5683","NY","PAS","2021-06-25T00:00:00.000","40","VAN","FORD","P","63430","69230","13490","20221004","88","88","88","967603","0088","0000","0130A","0125A","K","O","100","NORTH PORTLAND AVE",,"0","408","C4",,"BBBBBBB","ALL","ALL","GY","0","2007","-","3",,,,,
"1457617924","JAN2986","NY","PAS","2021-06-25T00:00:00.000","20","SUBN","DODGE","P","13490","40404","40404","20221203","88","88","88","967603","0088","0000","0225A","0215A","K","F","398","AUBURN PLACE",,"20210625","408","E2",,"BBBBBBB","ALL","ALL","BLU","0","2007","-","0",,,,,
"1457622427","FJH6630","TX","PAS","2021-06-17T00:00:00.000","98","SDN","AUDI","P","79430","47130","11750","0","88","88","88","969730","0088","0000","0809P",,"K","F","170","SOUTH PORTLAND AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,
"1457638629","RD1Y5N","MO","PAS","2021-06-16T00:00:00.000","98","SDN","TOYOT","P","53130","23230","23930","0","83","83","83","944434","0083","0000","0605P",,"K","F","22","JEFFERSON ST",,"0","408","C4",,"BBBBBBB","ALL","ALL","TAN","0","2001","-","0",,,,,
"1457639580","T503814C","NY","OMT","2021-07-04T00:00:00.000","40","TAXI","HONDA","P","81030","23930","40030","20210831","83","83","83","962452","0083","0000","1058P",,"K","F","25","STANHOPE ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","WHI","0","2020","-","0",,,,,
"1457643042","JLN5490","NY","PAS","2021-06-28T00:00:00.000","98","SDN","HONDA","P","0","40404","40404","20211021","83","83","83","964362","0083","0000","1120A",,"K","F","234","MENEHAN ST",,"0","408","D",,"BBBBBBB","ALL","ALL","GRY","0","2015","-","0",,,,,
"1457663909","UMB4505","VA","PAS","2021-07-02T00:00:00.000","98","SDN","SUBAR","P","42130","58330","59640","0","94","94","94","964223","0094","0000","0905A",,"K","F","197","FREEMAN ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","GREEN","0","0","-","0",,,,,
"1457670471","JPS7544","NY","PAS","2021-06-19T00:00:00.000","40","SDN","NISSA","P","85330","55730","73050","20220518","79","79","49","967937","0049","0000","0740P",,,"F","417","THROOP AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","RED","0","2015","-","0",,,,,
"1457670537","UPS7544","NY","PAS","2021-06-19T00:00:00.000","70","SDN","NISSA","P","85330","55730","73050","20220518","79","79","79","967937","0079","0000","0740P",,,"F","417","THROOP AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","RED","0","2015","-","0",,,,,
"1457677623","07027R5","TX","PAS","2021-07-03T00:00:00.000","74","SUBN","LEXUS","P","46820","65320","15920","20210524","41","41","41","953198","0041","0000","0600A","1140P",,"F","1035","LONGWOOD AVE",,"20210702","408","E2",,"BBBBBBB","ALL","ALL","WHT","0","2017","-","0",,,,,
