"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_action_updated_date","community_board","borough","x_coordinate_state_plane_","y_coordinate_state_plane_","park_facility_name","park_borough","school_name","school_number","school_region","school_code","school_phone_number","school_address","school_city","school_state","school_zip","school_not_found","school_or_citywide_complaint","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","garage_lot_name","ferry_direction","ferry_terminal_name","latitude","longitude","location"
"10762172","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DSNY","Bronx 11","Sanitation Condition","12 Dead Animals","Sidewalk",," 2339 KINGSLAND AVENUE","2339 KINGSLAND AVENUE","ASTOR AVENUE","WARING AVENUE",,,,,,"N/A","Closed",,"2008-03-20T00:00:00.000","11 BRONX","BRONX",,,"Unspecified","BRONX","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762180","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Veh Signal Visor",,,,,,,"MAURICE AVE","BORDEN AVE","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified QUEENS","QUEENS",,,"Unspecified","QUEENS","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762247","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"9 AVE","42 ST W","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified MANHATTAN","MANHATTAN",,,"Unspecified","MANHATTAN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762254","2008-03-20T00:00:00.000","2008-03-21T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Veh Signal Head",,,,,,,"VICTORY BLVD","SVC RD W","INTERSECTION",,,"N/A","Closed",,"2008-03-21T00:00:00.000","0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762258","2008-03-20T00:00:00.000","2008-03-22T00:00:00.000","DEP","Department of Environmental Protection","Sewer","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,,,"HUTCHINSON RIVER PKWY","EINSTEIN LOOP","INTERSECTION",,,"N/A","Closed",,"2008-03-22T00:00:00.000","Unspecified BRONX","BRONX",,,"Unspecified","BRONX","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762261","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"ROGERS AVE","5 AVE","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762265","2008-03-20T00:00:00.000","2008-03-21T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"AVE C","HOUSTON ST E","INTERSECTION",,,"N/A","Closed",,"2008-03-21T00:00:00.000","Unspecified MANHATTAN","MANHATTAN",,,"Unspecified","MANHATTAN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10761206","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"AVE OF THE AMERICAS","16 ST W","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified MANHATTAN","MANHATTAN",,,"Unspecified","MANHATTAN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762083","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DEP","Department of Environmental Protection","Water System","No Water/Low Pressure (WA5)",,,"1114 BAY RDGE AVE","BAY RDGE AVE","11 AVE","12 AVE",,,"ADDRESS",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10758151","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"5 AVE","37 ST E","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified MANHATTAN","MANHATTAN",,,"Unspecified","MANHATTAN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10761202","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"LAFAYETTE AVE","SAFETY CITY","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified BRONX","BRONX",,,"Unspecified","BRONX","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762102","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DOT","Department of Transportation","Traffic Signal Condition","Controller",,,,,,,"MADISON AVE","73 ST E","INTERSECTION",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified MANHATTAN","MANHATTAN",,,"Unspecified","MANHATTAN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"10762211","2008-03-20T00:00:00.000","2008-03-20T00:00:00.000","DEP","Department of Environmental Protection","Water System","Hydrant Running Full (WA4)",,,"1225 BAY RDGE AVE","BAY RDGE AVE","12 AVE","13 AVE",,,"ADDRESS",,,"N/A","Closed",,"2008-03-20T00:00:00.000","Unspecified BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
