"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_action_updated_date","community_board","borough","x_coordinate_state_plane_","y_coordinate_state_plane_","park_facility_name","park_borough","school_name","school_number","school_region","school_code","school_phone_number","school_address","school_city","school_state","school_zip","school_not_found","school_or_citywide_complaint","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","garage_lot_name","ferry_direction","ferry_terminal_name","latitude","longitude","location"
"111","2004-04-02T00:00:00.000","2004-04-06T00:00:00.000","DCA","Department of Consumer Affairs","DCA / DOH New License Application Request","Cabaret License",,,,,,,,,,,,"N/A","Closed",,,"0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"112","2004-04-02T00:00:00.000","2004-04-06T00:00:00.000","DCA","Department of Consumer Affairs","DCA / DOH New License Application Request","Day Auctioneer License",,,,,,,,,,,,"N/A","Closed",,,"0 Unspecified","Unspecified",,,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"116","2004-04-06T00:00:00.000","2004-04-09T00:00:00.000","DOT","Department of Transportation","Street Sign - Damaged","No Parking, Standing, Stopping","Street","10306","2690 AMBOY ROAD","AMBOY ROAD","DALE AVENUE","BISHOP STREET",,,"ADDRESS","STATEN ISLAND",,"N/A","Closed",,"2004-04-09T00:00:00.000","02 STATEN ISLAND","STATEN ISLAND",,,"Unspecified","STATEN ISLAND","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"118","2004-04-06T00:00:00.000","2004-06-16T00:00:00.000","TLC","Taxi and Limousine Commission","Taxi Complaint","Driver Complaint",,,,,"AVENUE D","NEWKIRK AVENUE",,,"BLOCKFACE","BROOKLYN",,"N/A","Closed",,,"14 BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,"Other",,,,,,,,,,
"141","2004-04-06T00:00:00.000","2004-04-06T00:00:00.000","DOT","Department of Transportation","Street Condition","Plate Condition - Shifted","Street",,,,,,"EASTERN PARKWAY","THOMAS BOYLAND STREET",,,,"N/A","Closed",,"2004-04-06T00:00:00.000","Unspecified BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"143","2004-04-06T00:00:00.000","2004-04-08T00:00:00.000","DOT","Department of Transportation","Street Sign - Damaged","No Parking, Standing, Stopping","Street","11207","375 HENDRIX STREET","HENDRIX STREET","PITKIN AVENUE","BELMONT AVENUE",,,"ADDRESS","BROOKLYN",,"N/A","Closed",,"2004-04-08T00:00:00.000","05 BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"161","2004-09-01T00:00:00.000","2004-09-22T00:00:00.000","DOT","Department of Transportation","Street Sign - Damaged","Stop","Street",,,,,,"CLARK LANE","CHESTER PLACE",,,,"N/A","Closed",,"2004-09-22T00:00:00.000","Unspecified STATEN ISLAND","STATEN ISLAND",,,"Unspecified","STATEN ISLAND","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,"N/B",,,,,,,,
"163","2004-04-06T00:00:00.000","2004-04-06T00:00:00.000","DOT","Department of Transportation","Street Condition","Plate Condition - Shifted","Street",,,,,,"FLATBUSH AVENUE EXTENSION","DEKALB AVENUE",,,,"N/A","Closed",,"2004-04-06T00:00:00.000","Unspecified BROOKLYN","BROOKLYN",,,"Unspecified","BROOKLYN","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"948","2004-04-11T00:00:00.000","2007-02-06T00:00:00.000","3-1-1","311 Quality Assurance","Highway Condition","Dead Animal","Highway",,,,,,"EAST 177 ST","GRAND CONCOURSE",,,,"N/A","Closed",,,"Unspecified BRONX","BRONX",,,"Unspecified","BRONX","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
"952","2004-04-09T00:00:00.000","2004-04-10T00:00:00.000","DOT","Department of Transportation","Street Condition","Plate Condition - Shifted","Street",,,,,,"HYLAN BLVD","CLEVELAND AVENUE",,,,"N/A","Closed",,"2004-04-10T00:00:00.000","Unspecified STATEN ISLAND","STATEN ISLAND",,,"Unspecified","STATEN ISLAND","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",,,,,,,,,,,,,,,
