"objectid","boroughcode","buildingnumber","streetname","pssite","plantingspaceonstreet","width","length","parkname","parkzone","crossstreet1","crossstreet2","communityboard","sanitationzone","zipcode","citycouncil","statesenate","stateassembly","congressional","physicalid","psstatus","geometry","globalid","createddate","updateddate","jurisdiction","overheadutilities","treeguard","latitude","longitude","census_tract","bin","bbl","nta","location"
"118422",,"81-37","MAIN STREET","Street",,"24.0","48.0",,,"GRAND CENTRAL PARKWAY SR NORTH","BEND","408.0","4083E","11435.0","24.0","14.0","24.0","6.0","0005067","Populated","POINT (-73.8165687459639202 40.7162906546850749)","E814CD37-9F53-4D79-AF86-3B454F9D29B9","2015-02-28 05:00:00.0000000","2022-01-12 19:57:00.0000000",,,,,,,,,,"POINT (-73.81656874596392 40.716290654685075)"
"120022",,"199","BEACH 96 STREET","Street",,,,,,"ROCKAWAY BEACH BOULEVARD","WOODROW COTTAGES","414.0","4142C","11693.0","32.0","10.0","23.0","5.0","0015917","Populated","POINT (-73.8182848109088354 40.5851295053180650)","D272D715-0A72-418E-8F55-3F59F6F98B5F","2015-03-02 05:00:00.0000000","2022-11-29 14:23:23.0000000",,,,,,,,,,"POINT (-73.81828481090884 40.585129505318065)"
"120823","Bronx","2188","LIGHT STREET","Street","SECOR AVENUE",,,,,"LIGHT STREET","CONNER STREET","212.0","2125E","10466.0","12.0","36.0","83.0","14.0","0087363","Populated","POINT (-73.8324418090213044 40.8876250431554311)","21431016-EDB8-4A0B-B122-673125800C87","2015-03-03 05:00:00.0000000","2023-05-25 14:25:48.0000000",,,,,,,,,,"POINT (-73.8324418090213 40.88762504315543)"
"120825",,"629","RICHMOND ROAD","Street",,,,,,"PIERCE STREET","LONGVIEW ROAD","501.0","5011D","10304.0","49.0","23.0","61.0","11.0","0050098","Empty","POINT (-74.0887581958085661 40.6112343440887500)","C0AF253F-CDED-4717-B86F-58D2CDAC9F98","2015-03-03 05:00:00.0000000",,,,,,,,,,,"POINT (-74.08875819580857 40.61123434408875)"
"121622","Staten Island","194","WOODVALE AVENUE","Street",,"10.0",,,,"FINLAY AVENUE","EXCELSIOR AVENUE","503.0","5037D","10309.0","51.0","24.0","62.0","11.0","0052016","Populated","POINT (-74.2090363523908820 40.5195778140891463)","96FB6C55-612F-466D-9449-85A3CD2178E1","2015-03-04 05:00:00.0000000","2016-10-12 15:13:11.0000000",,,,,,,,,,"POINT (-74.20903635239088 40.519577814089146)"
"121623","Queens","84-002","106 AVENUE","Street",,,,,,"86 STREET","84 STREET","410.0","4101D","11417.0","32.0","15.0","23.0","8.0","0101640","Populated","POINT (-73.8528787689449615 40.6782280161455816)","C6526419-CD64-4D8D-9288-C7967124B9B4","2015-03-04 05:00:00.0000000",,,,,"40.678282","-73.852814","54","4190205","4091450001","Ozone Park","POINT (-73.85287876894496 40.67822801614558)"
"121624","Manhattan","402","EAST 74 STREET","Street","E 74 ST",,,,,"YORK AVENUE","1 AVENUE","108.0","1082B","10021.0","5.0","28.0","76.0","12.0","0019465","Populated","POINT (-73.9543048147436224 40.7687376084429971)","E4E63A70-FD87-4D95-8A1C-B135CD7CFBBF","2015-03-04 05:00:00.0000000","2018-12-07 14:51:51.0000000",,,,"40.768958","-73.954674","124","1045886","1014680041","Upper East Side-Lenox Hill-Roosevelt Island","POINT (-73.95430481474362 40.768737608443)"
"121625","Queens","85-002","91 AVENUE","Street",,,,,,"86 STREET","85 STREET","409.0","4092D","11421.0","32.0","15.0","38.0","7.0","0029106","Populated","POINT (-73.8572920760431657 40.6876683961995766)","E334F82D-8311-4679-92CF-653F87E7D424","2015-03-04 05:00:00.0000000",,,,,"40.687782","-73.857265","8","4185976","4089790001","Woodhaven","POINT (-73.85729207604317 40.68766839619958)"
"121627","Staten Island","211","WHEELER AVENUE","Street",,,,,,"BEND","SOUTH GANNON AVENUE","502.0","5023C","10314.0","49.0","24.0","63.0","11.0","0075402","Empty","POINT (-74.1308713550198206 40.6065797258052115)","CAEE2FF2-EE07-40CC-847E-A554DA5C0D2E","2015-03-04 05:00:00.0000000","2017-09-11 08:50:47.0000000",,,,,,,,,,"POINT (-74.13087135501982 40.60657972580521)"
"121628","Brooklyn","230","KINGSTON AVENUE","Street",,,,,,"ST JOHNS PLACE","STERLING PLACE","308.0","3082B","11213.0","35.0","25.0","43.0","9.0","0048953","Populated","POINT (-73.9420528267876875 40.6718019956114318)","8B439710-A036-411D-810D-EFDCE9ADDF5B","2015-03-04 05:00:00.0000000","2015-03-04 05:00:00.0000000",,,,,,,,,,"POINT (-73.94205282678769 40.67180199561143)"
