"school_year","opt_code","name","affiliation","site_type","street_address","city","state","zip","longitude","latitude","door_to_door_service","stop_to_school_service","common_carrier_svc_metrocards","site_reimbursement","mid_day_service","d2d_late_day_programs","s2s_late_day_programs"
"2016-2017","01001","Comprehensive Kids Devel. Scho","Other Religion","School","101 Norfolk Street","Manhattan","NY","10002","-73.9872710000","40.7187910000","Yes","No","No","No","No","No","No"
"2016-2017","01569","BARD HS EARLY COLLEGE","Public","School","525 EAST HOUSTON STREET","Manhattan","NY","10002","-73.9754380000","40.7187610000","Yes","No","Yes","No","No","No","No"
"2016-2017","01600","SATELLITE ACADEMY","Public","School","198 FORSYTH STREET","Manhattan","NY","10002","-73.9906350000","40.7224910000","No","No","Yes","No","No","No","No"
"2016-2017","01616","COOK CTR GRAMMAR SCHOOL","Nonsectarian","School","219 STANTON STREET","Manhattan","NY","10002","-73.9821710000","40.7194420000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","01657","MANHATTAN CHARTER SCHOOL","Charter","School","100 ATTORNEY STREET","Manhattan","NY","10002","-73.9843650000","40.7183460000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","01658","GIRLS PREP CHARTER SCH NY ELEM","Charter","School","442 EAST HOUSTON STREET","Manhattan","NY","10002","-73.9778110000","40.7197300000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","01659","GIRLS PREP CHARTER SCH NY MS","Charter","School","420 EAST 12TH STREET","Manhattan","NY","10009","-73.9829490000","40.7296670000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","01817","BETH JACOB SCHOOL","Yeshiva","School","142 BROOME STREET","Manhattan","NY","10002","-73.9841090000","40.7163550000","No","Yes","Yes","No","Yes","No","Yes"
"2016-2017","01854","LOWER EAST SIDE PREP","Public","School","145 STANTON STREET","Manhattan","NY","10002","-73.9856880000","40.7205110000","No","No","Yes","No","Yes","No","No"
"2016-2017","01867","Thompkins Square Middle School","Public","School","600 EAST 6TH STREET","Manhattan","NY","10009","-73.9813380000","40.7242720000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","02003","PS 3","Public","School","490 HUDSON STREET","Manhattan","NY","10014","-74.0063670000","40.7325800000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","02004","DE LA SALLE ACADEMY","Nonsectarian","School","332 WEST 43RD STREET","Manhattan","NY","10036","-73.9904030000","40.7582750000","No","No","Yes","No","No","No","No"
"2016-2017","02005","P751M @ HARVEY MILK HS","Public","School","2-10 ASTOR PLACE","Manhattan","NY","10011","-73.9926520000","40.7299630000","No","No","Yes","No","No","No","No"
"2016-2017","02006","PS 6","Public","School","45 EAST 81ST STREET","Manhattan","NY","10028","-73.9606760000","40.7775270000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","01137","PS 137","Public","School","293 EAST BROADWAY","Manhattan","NY","10002","-73.9837310000","40.7144920000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","02007","RESTART @CO-OP TECH-","Public","School","321 EAST 96TH STREET 4TH FLOOR","Manhattan","NY","10128","-73.9463360000","40.7840240000","Yes","No","Yes","No","No","No","No"
"2016-2017","02008","OFFICE OF ACCOUNTABILITY","Public","Office","52 CHAMBERS STREET ROOM 213","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
"2016-2017","02009","Office of District Planning","Public","Office","52 Chambers Street RM 219","Manhattan","NY","10007","-74.0056230000","40.7137470000","No","No","No","No","No","No","No"
