"eventid","eventtype","startdatetime","enddatetime","enteredon","eventagency","parkingheld","borough","communityboard_s","policeprecinct_s","category","subcategoryname","country","zipcode_s"
"719361","Shooting Permit","2023-05-28T07:00:00.000","2023-05-29T14:00:00.000","2023-05-26T11:25:13.000","Mayor's Office of Film, Theatre & Broadcasting","FULTON STREET between GOLD STREET and WATER STREET,  PEARL STREET between BEEKMAN STREET and PECK SLIP,  SOUTH STREET between OLD SLIP and BROAD STREET,  BROAD STREET between SOUTH STREET and WATER STREET","Manhattan","1","1","Television","Episodic series","United States of America","10004, 10038"
"719294","Theater Load in and Load Outs","2023-05-27T06:00:00.000","2023-05-28T11:00:00.000","2023-05-26T03:26:17.000","Mayor's Office of Film, Theatre & Broadcasting","FLATBUSH AVENUE between DEAN STREET and ATLANTIC AVENUE,  ATLANTIC AVENUE between FORT GREENE PLACE and 6 AVENUE,  DEAN STREET between FLATBUSH AVENUE and 6 AVENUE","Brooklyn","2, 6","78","Theater","Theater","United States of America","11217"
"719131","Shooting Permit","2023-05-29T01:00:00.000","2023-05-29T13:00:00.000","2023-05-25T12:46:20.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"719115","Shooting Permit","2023-05-29T09:00:00.000","2023-05-29T16:00:00.000","2023-05-25T12:03:03.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   80 STREET between 2 AVENUE and 3 AVENUE","Manhattan","8","19","Commercial","Commercial","United States of America","10028, 10075"
"718880","Shooting Permit","2023-05-29T06:00:00.000","2023-05-29T20:00:00.000","2023-05-24T12:49:29.000","Mayor's Office of Film, Theatre & Broadcasting","CROSBY STREET between GRAND STREET and BROOME STREET,  BROOME STREET between BROADWAY and CROSBY STREET,  WEST   30 STREET between 11 AVENUE and 10 AVENUE","Manhattan","2, 4","10, 5","Still Photography","Not Applicable","United States of America","10001, 10013"
"718853","Shooting Permit","2023-05-26T17:30:00.000","2023-05-26T23:30:00.000","2023-05-24T11:38:48.000","Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DIKEMAN STREET and COFFEY STREET","Brooklyn","6","76","Film","Short","United States of America","11231"
"718676","Shooting Permit","2023-05-26T07:00:00.000","2023-05-26T20:00:00.000","2023-05-23T15:53:41.000","Mayor's Office of Film, Theatre & Broadcasting","SOUTH    1 STREET between BERRY STREET and BEDFORD AVENUE","Brooklyn","1","90","Still Photography","Not Applicable","United States of America","11211, 11249"
"718515","Shooting Permit","2023-05-28T01:00:00.000","2023-05-28T13:00:00.000","2023-05-23T07:16:41.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"718514","Shooting Permit","2023-05-27T01:00:00.000","2023-05-27T13:00:00.000","2023-05-23T07:12:08.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"718511","Shooting Permit","2023-05-25T02:00:00.000","2023-05-25T08:59:00.000","2023-05-23T06:56:59.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"718347","Shooting Permit","2023-05-27T06:00:00.000","2023-05-27T16:00:00.000","2023-05-22T12:45:30.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   19 STREET between 10 AVENUE and 11 AVENUE,  WEST   20 STREET between 10 AVENUE and 11 AVENUE","Manhattan","4","10","Still Photography","Not Applicable","United States of America","10011"
"718346","Shooting Permit","2023-05-26T07:00:00.000","2023-05-26T19:00:00.000","2023-05-22T12:38:01.000","Mayor's Office of Film, Theatre & Broadcasting","PRINCE STREET between GREENE STREET and WOOSTER STREET,  GREENE STREET between PRINCE STREET and WEST HOUSTON STREET,  WEST   25 STREET between 10 AVENUE and 11 AVENUE,  WEST   24 STREET between 10 AVENUE and 11 AVENUE","Manhattan","2, 4","1, 10","Still Photography","Not Applicable","United States of America","10001, 10011, 10012"
