"response_id","gispropnum","omppropid","collected_date","time_of_day","year","month","month_text","week","group","location","ground_syringes","kiosk_syringes","total_syringes","kiosk_number","kiosk_type","precinct","borough","district","property_type","kiosk_site","created_date","source"
"M-006211","M037","M037-ZN09","2023-03-31T00:00:00.000","AM","2023","3","Mar","13","Parks","Highbridge Park","4.0",,"4.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-31 17:00:50.0000000","M&O MS Forms"
"M-006202","M037","M037-ZN09","2023-03-30T00:00:00.000","AM","2023","3","Mar","13","Parks","Highbridge Park","3.0",,"3.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-31 16:57:15.0000000","M&O MS Forms"
"M-006191","M037","M037-ZN09","2023-03-29T00:00:00.000","AM","2023","3","Mar","13","Parks","Highbridge Park","1.0",,"1.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-29 15:55:34.0000000","M&O MS Forms"
"M-006181","M037","M037-ZN09","2023-03-28T00:00:00.000","AM","2023","3","Mar","13","Parks","Highbridge Park","2.0",,"2.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-28 15:49:59.0000000","M&O MS Forms"
"M-006170","M037","M037-ZN09","2023-03-27T00:00:00.000","AM","2023","3","Mar","13","Parks","Highbridge Park","5.0",,"5.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-27 15:47:58.0000000","M&O MS Forms"
"M-006161","M037","M037-ZN09","2023-03-26T00:00:00.000","AM","2023","3","Mar","13","Parks","Highbridge Park","2.0",,"2.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-27 06:04:12.0000000","M&O MS Forms"
"M-006152","M037","M037-ZN09","2023-03-25T00:00:00.000","AM","2023","3","Mar","12","Parks","Highbridge Park","1.0",,"1.0",,,"34","Manhattan","M-12A","ZONE","true","2023-03-27 06:00:31.0000000","M&O MS Forms"
"M-005355","M037","M037-ZN09","2023-01-01T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","3.0",,"3.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-03 15:24:35.0000000","M&O MS Forms"
"M-005344","M037","M037-ZN09","2022-12-31T00:00:00.000","AM","2022","12","Dec","53","Parks","Highbridge Park","8.0",,"8.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-01 10:34:05.0000000","M&O MS Forms"
"M-005364","M037","M037-ZN09","2023-01-02T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","5.0",,"5.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-03 17:13:54.0000000","M&O MS Forms"
"M-005373","M037","M037-ZN09","2023-01-03T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","5.0",,"5.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-03 17:16:57.0000000","M&O MS Forms"
"M-005384","M037","M037-ZN09","2023-01-04T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","7.0",,"7.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-08 12:14:52.0000000","M&O MS Forms"
"M-005393","M037","M037-ZN09","2023-01-05T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","10.0",,"10.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-08 12:20:05.0000000","M&O MS Forms"
"M-005402","M037","M037-ZN09","2023-01-06T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","12.0",,"12.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-08 12:22:49.0000000","M&O MS Forms"
"M-005411","M037","M037-ZN09","2023-01-07T00:00:00.000","AM","2023","1","Jan","1","Parks","Highbridge Park","8.0",,"8.0",,,"34","Manhattan","M-12A","ZONE","true","2023-01-08 12:25:31.0000000","M&O MS Forms"
"M-001457","M037","M037-ZN07","2021-11-26T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","125.0",,"125.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-26 20:03:05.0000000","M&O MS Forms"
"M-001439","M037","M037-ZN07","2021-11-24T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","125.0",,"125.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-25 12:37:51.0000000","M&O MS Forms"
