Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
58628852,08/27/2023 12:00:00 PM,,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11211,245 MANHATTAN AVENUE,MANHATTAN AVENUE,GRAND STREET,POWERS STREET,,,ADDRESS,BROOKLYN,,,Open,,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,08/27/2023 12:00:00 PM,01 BROOKLYN,3027817502,BROOKLYN,999307,198673,PHONE,Unspecified,BROOKLYN,,,,,,,,40.711975427148936,-73.94568789257055,"(40.711975427148936, -73.94568789257055)"
58631186,08/27/2023 02:08:02 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11212,54 BRISTOL STREET,BRISTOL STREET,EAST NEW YORK AVENUE,PITKIN AVENUE,EAST NEW YORK AVENUE,PITKIN AVENUE,ADDRESS,BROOKLYN,BRISTOL STREET,,In Progress,,,,16 BROOKLYN,3034970051,BROOKLYN,1008442,183428,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6701111766495,-73.91279179609562,"(40.6701111766495, -73.91279179609562)"
58625061,08/27/2023 02:07:32 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,1038 UNION STREET,UNION STREET,FRANKLIN AVENUE,BEDFORD AVENUE,FRANKLIN AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,UNION STREET,,In Progress,,,08/27/2023 02:18:32 AM,09 BROOKLYN,3012730016,BROOKLYN,996055,183232,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66959838334307,-73.95744523799056,"(40.66959838334307, -73.95744523799056)"
58626339,08/27/2023 02:06:48 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,17 MELROSE STREET,MELROSE STREET,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,MELROSE STREET,,In Progress,,,08/27/2023 02:42:55 AM,04 BROOKLYN,3031500044,BROOKLYN,1002111,193531,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.697856635291686,-73.93558722568665,"(40.697856635291686, -73.93558722568665)"
58629973,08/27/2023 02:06:05 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,139 EUCLID AVENUE,EUCLID AVENUE,ETNA STREET,RIDGEWOOD AVENUE,ETNA STREET,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,EUCLID AVENUE,,In Progress,,,,05 BROOKLYN,3041170003,BROOKLYN,1019015,188986,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.685331409626144,-73.87464923335672,"(40.685331409626144, -73.87464923335672)"
58626897,08/27/2023 02:05:35 AM,08/27/2023 02:07:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,29 EAST   31 STREET,EAST   31 STREET,CHURCH AVENUE,SNYDER AVENUE,CHURCH AVENUE,SNYDER AVENUE,ADDRESS,BROOKLYN,EAST   31 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,08/27/2023 02:07:34 AM,17 BROOKLYN,3048850054,BROOKLYN,998540,176117,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65006561623987,-73.94850236959708,"(40.65006561623987, -73.94850236959708)"
58626341,08/27/2023 02:05:27 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,16 MELROSE STREET,MELROSE STREET,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,MELROSE STREET,,In Progress,,,08/27/2023 02:44:08 AM,04 BROOKLYN,3031607504,BROOKLYN,1002108,193516,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6978154698509,-73.9355980844629,"(40.6978154698509, -73.9355980844629)"
58628792,08/27/2023 02:05:15 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,EAST   21 STREET,EAST   21 STREET,EAST   21 STREET,FARRAGUT ROAD,EAST   21 STREET,FARRAGUT ROAD,INTERSECTION,,,,In Progress,,,08/27/2023 02:14:57 AM,14 BROOKLYN,,BROOKLYN,996138,170774,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63540378129641,-73.95716799774223,"(40.63540378129641, -73.95716799774223)"
58629968,08/27/2023 02:04:35 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,190 HARMAN STREET,HARMAN STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,HARMAN STREET,,In Progress,,,08/27/2023 02:52:58 AM,04 BROOKLYN,3032860001,BROOKLYN,1006109,193422,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69754848350452,-73.92116945361073,"(40.69754848350452, -73.92116945361073)"
58625034,08/27/2023 02:04:32 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,683 FRANKLIN AVENUE,FRANKLIN AVENUE,ST MARKS AVENUE,PROSPECT PLACE,ST MARKS AVENUE,PROSPECT PLACE,ADDRESS,BROOKLYN,FRANKLIN AVENUE,,In Progress,,,08/27/2023 02:31:43 AM,08 BROOKLYN,3012240002,BROOKLYN,996374,185300,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67527414771311,-73.9562915846352,"(40.67527414771311, -73.9562915846352)"
