"geoid","countyfips","borocode","boroname","boroct2020","ct2020","ctlabel","ntacode","ntatype","ntaname","ntaabbrev","cdtacode","cdtatype","cdtaname"
"36005001901","005","2","Bronx","2001901","001901","19.01","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005001902","005","2","Bronx","2001902","001902","19.02","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005001903","005","2","Bronx","2001903","001903","19.03","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005002300","005","2","Bronx","2002300","002300","23","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005002500","005","2","Bronx","2002500","002500","25","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005002701","005","2","Bronx","2002701","002701","27.01","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005002702","005","2","Bronx","2002702","002702","27.02","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005003100","005","2","Bronx","2003100","003100","31","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005003300","005","2","Bronx","2003300","003300","33","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005003500","005","2","Bronx","2003500","003500","35","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005003700","005","2","Bronx","2003700","003700","37","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005003900","005","2","Bronx","2003900","003900","39","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005004100","005","2","Bronx","2004100","004100","41","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005004300","005","2","Bronx","2004300","004300","43","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005005100","005","2","Bronx","2005100","005100","51","BX0101","0","Mott Haven-Port Morris","MttHvn","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005006500","005","2","Bronx","2006500","006500","65","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005006700","005","2","Bronx","2006700","006700","67","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005006900","005","2","Bronx","2006900","006900","69","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005007100","005","2","Bronx","2007100","007100","71","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005007300","005","2","Bronx","2007300","007300","73","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005007500","005","2","Bronx","2007500","007500","75","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005007700","005","2","Bronx","2007700","007700","77","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005007900","005","2","Bronx","2007900","007900","79","BX0102","0","Melrose","Mlrs","BX01","CD","BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation)"
"36005008900","005","2","Bronx","2008900","008900","89","BX0201","0","Hunts Point","HntsPt","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005009301","005","2","Bronx","2009301","009301","93.01","BX0201","0","Hunts Point","HntsPt","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005009302","005","2","Bronx","2009302","009302","93.02","BX0201","0","Hunts Point","HntsPt","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005011502","005","2","Bronx","2011502","011502","115.02","BX0201","0","Hunts Point","HntsPt","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005011701","005","2","Bronx","2011701","011701","117.01","BX0201","0","Hunts Point","HntsPt","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005011702","005","2","Bronx","2011702","011702","117.02","BX0201","0","Hunts Point","HntsPt","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005008300","005","2","Bronx","2008300","008300","83","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005008500","005","2","Bronx","2008500","008500","85","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005008700","005","2","Bronx","2008700","008700","87","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005011900","005","2","Bronx","2011900","011900","119","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005012102","005","2","Bronx","2012102","012102","121.02","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005012701","005","2","Bronx","2012701","012701","127.01","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005012901","005","2","Bronx","2012901","012901","129.01","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005013100","005","2","Bronx","2013100","013100","131","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005015900","005","2","Bronx","2015900","015900","159","BX0202","0","Longwood","Lngwd","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005001904","005","2","Bronx","2001904","001904","19.04","BX0291","9","North & South Brother Islands","BrthrIsls","BX02","CD","BX02 Longwood-Hunts Point (CD 2 Approximation)"
"36005013300","005","2","Bronx","2013300","013300","133","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005013500","005","2","Bronx","2013500","013500","135","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
