"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"K2",,"1965-07-06T00:00:00.000","9:50 AM",,"22.8","22.2","21",,,"28.7","28.7",,,,,,,,,,,,,,,,,,,,,"SW",,,,"3.5","3.4",,,,"3500","790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2",,,,,,,,,,,,"-74.153000","40.641167","Permanent"
"N8",,"1909-07-16T00:00:00.000","4:10 PM",,"20",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,"4.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"N9",,"1972-07-27T00:00:00.000","9:22 AM",,"17.2","16.1",,,,"31.1","31.4",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.9","5.6",,,,"790","490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.6","0.6",,,,,,"-73.983333","40.568333","Permanent"
"E3",,"1968-08-28T00:00:00.000","9:45 AM",,"22.8","22.2",,,,"27.6","27.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.5","2.4",,,,"240000","240000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.6","3.7",,,,,,"-73.966112","40.747499","Permanent"
"N3A",,"1957-08-14T00:00:00.000","11:15 AM",,"23.3","22.8","43",,,"22.05","25.2",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.8","1.9",,,,"240","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.147","0.165",,,,,,,,,,"-73.992497","40.783330","Permanent"
"E5",,"1968-09-05T00:00:00.000","11:00 AM",,"21.7","21.7",,,,"27.3","27.3",,,,,,,,,,,,,,,,,,,,,"W",,,,"3.7","3.1",,,,"170000","110000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.1","3.4",,,,,,"-73.886111","40.800833","Permanent"
"H2",,"1992-07-28T00:00:00.000","12:34 PM",,"23.1","23.03","19","1","3","14.43","14.92","2.29","2.36",,,,,,,"8.38","8.77",,,,,,,,,,,"E",,,,"5.22","4.89","1","7.31","7.4","900","800",,,"273","364",,,,,,,,,,,,,,,,,"32","45","9",,,,,,,,,,,,,,,,,,,,,,,,,"0.7","0.8",,,,,,"-73.918610","40.858609","Permanent"
"N7",,"1924-06-24T00:00:00.000","2:45 PM",,"21.7","20.6","47",,,"26.25","28",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.72","4.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"H4",,"1994-06-27T00:00:00.000","9:56 AM",,"21.73","21.25","19","1","6","24.02","24.8","3.54","3.61",,,,,,,"15.97","16.69",,,,,,,,,,,"S",,,,"4.56","4.53","3","7.35","7.25","3000","2200",,,"200","220",,,,,"0.37",,"0.49",,"0.11",,,,,,"0.17",,"12","14","0.5",,,,,,,,,,,,,,,,,,,,,,,,,"1.3","1.9",,,,,,"-73.929168","40.803613","Permanent"
"E1","D","1995-07-12T00:00:00.000",,,"21.94","21.94",,"3.28","45.92","24.64","24.65","3.64","3.64",,,,,"64.05","58.63","16.39","16.39","0.96","1.08",,,"4.45","5.34",,,,,,,,,"3.86","3.91",,,,"800","1100",,,"240","160",,,,,"0.5",,"0.49",,"0.13",,,,,,"0.19",,"48","30","3.4",,,,,,,,,,,,,,,,,,,"2.6","2.7",,,,,,,,,,,,"-74.006548","40.700000","Permanent"
