"permit_number","expiration_date","address_no","address_st","bo","zip","bbl","bin","census_tract_2010","city_council_district","community_district","nta_code","latitude","longitude"
"40421011","2023-12-31T00:00:00.000","163-06","46 AVENUE","QUEENS","11358","4054620001","4123968","120700","20","407","QN52","40.753682227047","-73.803765250940"
"40421027","2023-12-31T00:00:00.000","1","TENNIS PL","QUEENS","11375","4032190001","4437648","072300","29","406","QN17","40.718998770783","-73.846638263739"
"40421029","2023-12-31T00:00:00.000","1283","CONEY ISLAND AVE","BROOKLYN","11230","3067040069","3179492","053000","44","314","BK43","40.626221099175","-73.965438027598"
"40421060","2023-12-31T00:00:00.000","7800","MYRTLE AVENUE","QUEENS","11385","4037500060","4541410","056100","30","405","QN99","40.702681469251","-73.871511057985"
"40421071","2022-12-31T00:00:00.000","345","AVENUE U","BROOKLYN","11223","3071040414","3191606","039600","47","315","BK25","40.597188388604","-73.971347761669"
"40421111","2023-12-31T00:00:00.000","83-15","KEW GARDENS RD","QUEENS","11415",,,"021600","29","409","QN60","40.710652579545","-73.827771058845"
"40421113","2023-12-31T00:00:00.000","105","HARRISON PL","BROOKLYN","11237","3029980034","3070649","045300","34","301","BK77","40.706771972766","-73.929306187616"
"40421179","2023-12-31T00:00:00.000","1404","GLENWOOD ROAD","BROOKLYN","11230","3066890008","3179000","052800","45","314","BK42","40.632259008907","-73.963460562717"
"40421326","2022-12-31T00:00:00.000","226-26","UNION TURNPIKE","QUEENS","11364","4079120050","4453359","129102","23","411","QN42","40.736270077951","-73.744198052688"
"40421380","2023-12-31T00:00:00.000","1462","RICHMOND ROAD","STATEN ISLAND","10304","5032980005","5106056","009602","50","502","SI36","40.593827248359","-74.099833100115"
"40421388","2023-12-31T00:00:00.000","921","MC DONALD AVE","BROOKLYN","11218","3054080059","3127550","047800","44","314","BK88","40.631614822428","-73.977317090926"
"40421400","2023-12-31T00:00:00.000","65-40","GRAND AVENUE","QUEENS","11378","4027870001","4441146","060701","30","405","QN21","40.723748034233","-73.899441187871"
"40421411","2023-12-31T00:00:00.000","600","WEST DRIVE","QUEENS","11363","4080310001","4168135","148300","19","411","QN45","40.776329722511","-73.752835442703"
"40421443","2022-12-31T00:00:00.000","2042","EAST 14 STREET","BROOKLYN","11229","3073180022","3198020","058200","48","315","BK25","40.599964582893","-73.957576207574"
"40421524","2023-12-31T00:00:00.000","135","FLAGG PLACE","STATEN ISLAND","10304","5008880018","5106953","018100","50","502","SI24","40.587935898480","-74.104072714536"
"40421628","2023-12-31T00:00:00.000","45-45","248 STREET","QUEENS","11362","4082140142","4170643","150701","19","411","QN45","40.765930984806","-73.738506150737"
"40421657","2023-12-31T00:00:00.000","149-34","20 AVENUE","QUEENS","11357","4046700046","4105966","103900","19","407","QN49","40.781407924178","-73.815869991896"
"40421709","2023-12-31T00:00:00.000","171-15","75TH AVE","QUEENS","11366","4069790001","4151033","124700","24","408","QN38","40.727457260016","-73.798192708141"
"40421710","2023-12-31T00:00:00.000","205","FOUR CORNERS ROAD","STATEN ISLAND","10304","5008710130","5022694","017700","50","502","SI24","40.590998784854","-74.107368411044"
"40421745","2023-12-31T00:00:00.000","2602","EAST 26 STREET","BROOKLYN","11235","3074700006","3205236","060000","48","315","BK17","40.588768026667","-73.943552475073"
"40421790","2023-12-31T00:00:00.000","97-33","BRISTOL AVENUE","QUEENS","11417","4115510017","4248869","008800","32","410","QN56","40.671014812325","-73.836864410261"
"40421855","2023-12-31T00:00:00.000","915","HOMECREST COURT","BROOKLYN","11223","3070910034","3190653","041600","47","315","BK25","40.601637724258","-73.962036935162"
"40421869","2023-12-31T00:00:00.000","213-01","75 AVENUE","QUEENS","11364","4077320002","4444447","129103","23","411","QN42","40.737760736778","-73.760852868806"
"40421910","2023-12-31T00:00:00.000","1865","EAST 35 STREET","BROOKLYN","11234","3084790016","3239047","065600","46","318","BK45","40.611481837665","-73.934547054922"
"40421973","2023-12-31T00:00:00.000","170","BEACH 134 STREET","QUEENS","11694","4162780079","4306257","092800","32","414","QN10","40.573592073177","-73.851555714264"
"40421976","2023-12-31T00:00:00.000","140-10","CRONSTON AVE","QUEENS","11694","4162520018","4305502","092200","32","414","QN10","40.576596570980","-73.859418119193"
"40422076","2023-12-31T00:00:00.000","734","AVENUE Y","BROOKLYN","11235","3072240014","3196005","037000","48","313","BK19","40.589272444464","-73.962000786281"
"40422126","2023-12-31T00:00:00.000","2140","60 STREET","BROOKLYN","11204","3055220021","3132325","024600","44","312","BK88","40.617452187741","-73.979717240140"
"40422139","2022-12-31T00:00:00.000","1776","SHORE PKWY","BROOKLYN","11214","3064910293","3345766","030400","43","311","BK29","40.592654763547","-73.995794453573"
"40422232","2023-12-31T00:00:00.000","5134","BROADWAY","MANHATTAN","10034","1022150807","1064703","029900","10","112","MN01","40.872170369599","-73.912883721002"
"40422250","2023-12-31T00:00:00.000","84","SLATER BOULEVARD","STATEN ISLAND","10305","5036600014","5053126","011201","50","502","SI36","40.582200815585","-74.092716304908"
"40422251","2023-12-31T00:00:00.000","280","GUYON AVENUE","STATEN ISLAND","10306","5046670001","5062960","013204","50","503","SI25","40.560674923132","-74.120552688187"
"40422314","2022-12-31T00:00:00.000","463","BEACH 132 STREET","QUEENS","11694","4162550011","4305562","092800","32","414","QN10","40.578088888676","-73.852208054886"
"40422317","2023-12-31T00:00:00.000","137","BEACH 144 STREET","QUEENS","11694","4163180034","4307012","092200","32","414","QN10","40.569484498814","-73.859163190352"
"40422329","2023-12-31T00:00:00.000","28-44","204 STREET","QUEENS","11360","4060300029","4134299","108500","19","411","QN46","40.772821178782","-73.786678248239"
"40422338","2023-12-31T00:00:00.000","1412","64 STREET","BROOKLYN","11219","3057480011","3142090","019400","38","311","BK30","40.625021342137","-73.998339297337"
