"dispatching_base_num","pickup_datetime","dropoff_datetime","pulocationid","dolocationid","sr_flag"
"B02888","2018-08-06T17:13:58.000","2018-08-06T17:47:01.000","132","72","1"
"B02888","2018-08-06T17:30:40.000","2018-08-06T18:04:05.000","76","225","1"
"B02888","2018-08-06T18:25:54.000","2018-08-06T18:51:23.000","36","255",
"B02888","2018-08-06T18:53:37.000","2018-08-06T19:14:16.000","255","148",
"B02888","2018-08-06T19:19:41.000","2018-08-06T19:35:01.000","45","234",
"B02888","2018-08-06T19:37:25.000","2018-08-06T19:57:04.000","107","249","1"
"B02888","2018-08-06T19:43:55.000","2018-08-06T20:13:47.000","186","144","1"
"B02888","2018-08-06T19:49:19.000","2018-08-06T20:06:06.000","90","79","1"
"B02888","2018-08-06T20:29:51.000","2018-08-06T21:01:20.000","209","36",
"B02888","2018-08-07T10:33:31.000","2018-08-07T10:40:55.000","196","95",
"B02888","2018-08-07T10:47:20.000","2018-08-07T11:24:45.000","95","117",
"B02888","2018-08-07T11:33:54.000","2018-08-07T11:44:19.000","201","27",
"B02888","2018-08-07T12:43:16.000","2018-08-07T13:21:53.000","201","157",
"B02888","2018-08-07T13:40:32.000","2018-08-07T13:47:16.000","83","260",
"B02888","2018-08-07T13:49:06.000","2018-08-07T14:08:02.000","260","126",
"B02888","2018-08-07T14:30:14.000","2018-08-07T14:58:50.000","126","138",
"B02888","2018-08-08T10:10:56.000","2018-08-08T10:35:55.000","56","170",
"B02888","2018-08-08T11:10:40.000","2018-08-08T11:30:05.000","233","87",
"B02888","2018-08-08T11:34:29.000","2018-08-08T11:48:19.000","87","231",
"B02888","2018-08-08T12:00:42.000","2018-08-08T12:31:39.000","231","161",
"B02888","2018-08-08T12:51:45.000","2018-08-08T13:02:20.000","230","230",
"B02888","2018-08-08T13:10:29.000","2018-08-08T13:13:44.000","161","163",
"B02888","2018-08-08T13:17:38.000","2018-08-08T13:47:31.000","163","230",
"B02888","2018-08-08T13:53:19.000","2018-08-08T14:06:29.000","48","161",
"B02888","2018-08-08T14:44:30.000","2018-08-08T14:58:17.000","163","262",
"B02888","2018-08-08T15:09:23.000","2018-08-08T15:28:39.000","262","234",
"B02888","2018-08-08T15:33:20.000","2018-08-08T15:54:20.000","164","211",
"B02888","2018-08-08T15:57:07.000","2018-08-08T16:16:03.000","144","261",
"B02888","2018-08-08T16:42:54.000","2018-08-08T17:36:30.000","231","95",
"B02888","2018-08-09T13:18:52.000","2018-08-09T13:49:22.000","196","132",
"B02888","2018-08-09T13:54:35.000","2018-08-09T14:27:28.000","132","129",
"B02888","2018-08-09T14:39:40.000","2018-08-09T14:55:11.000","82","226",
"B02888","2018-08-09T15:08:36.000","2018-08-09T15:47:14.000","226","48",
"B02888","2018-08-09T15:52:28.000","2018-08-09T16:01:10.000","48","43",
"B02888","2018-08-09T16:29:36.000","2018-08-09T17:28:08.000","43","138",
"B02888","2018-08-09T17:36:24.000","2018-08-09T18:13:25.000","138","151",
"B02888","2018-08-09T18:28:21.000","2018-08-09T18:45:43.000","238","48",
"B02888","2018-08-09T18:53:51.000","2018-08-09T19:12:31.000","230","237",
"B02888","2018-08-09T19:17:37.000","2018-08-09T19:48:46.000","237","125",
"B02888","2018-08-09T19:55:06.000","2018-08-09T20:14:47.000","125","246",
"B02888","2018-08-09T20:35:00.000","2018-08-09T20:41:41.000","246","100",
"B02888","2018-08-09T20:45:31.000","2018-08-09T21:04:22.000","164","83",
"B02888","2018-08-09T21:16:07.000","2018-08-09T21:44:32.000","82","216",
"B02888","2018-08-10T13:02:14.000","2018-08-10T13:17:26.000","56","95",
"B02888","2018-08-10T13:20:14.000","2018-08-10T13:29:50.000","95","95",
"B02888","2018-08-10T13:43:22.000","2018-08-10T13:52:56.000","95","95",
"B02888","2018-08-10T13:57:36.000","2018-08-10T14:32:38.000","95","36",
"B02888","2018-08-10T14:36:41.000","2018-08-10T15:11:55.000","198","114",
"B02888","2018-08-10T15:16:31.000","2018-08-10T15:54:08.000","114","65","1"
"B02888","2018-08-10T15:20:40.000","2018-08-10T15:53:47.000","114","65","1"
"B02888","2018-08-10T16:03:35.000","2018-08-10T16:48:52.000","97","196","1"
"B02888","2018-08-10T16:34:22.000","2018-08-10T16:52:27.000","260","95","1"
"B02888","2018-08-10T16:58:57.000","2018-08-10T17:06:29.000","95","95",
"B02888","2018-08-12T16:02:04.000","2018-08-12T16:21:05.000","260","145","1"
"B02888","2018-08-12T16:10:35.000","2018-08-12T16:23:18.000","226","145","1"
"B02888","2018-08-12T16:28:09.000","2018-08-12T16:40:19.000","145","229",
"B02888","2018-08-12T16:46:12.000","2018-08-12T17:17:15.000","229","131",
"B02888","2018-08-12T19:36:51.000","2018-08-12T20:00:45.000","131","132",
"B02888","2018-08-12T20:10:18.000","2018-08-12T20:46:44.000","132","265",
"B02888","2018-08-14T08:46:40.000","2018-08-14T08:57:54.000","56","129",
"B02888","2018-08-14T09:14:48.000","2018-08-14T09:53:29.000","157","213","1"
