"the_geom","nodeid","oft","onstreetname","fromstreetname","borough_code","work_start_date","work_end_date","purpose"
"POINT (997096.6242291331 210379.69740055501)","23009","410590466390000000","48 AVENUE","VERNON BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011012.7902943939 214659.33090163767)","46300","408190412190000000","32 AVENUE","58 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1045104.6758506447 208339.0321905613)","58898","413990425550000000","67 AVENUE","194 LANE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033988.5209176391 205889.28676196933)","54916","414290414640000000","68 DRIVE","69 ROAD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012677.1340785474 219870.71811664104)","46434","406590415340000000","21 AVENUE","72 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997327.063400805 156328.4127868116)","17001","335630345730000000","EAST   18 STREET","GRAVESEND NECK ROAD","B","2023-08-18T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014080.9203129709 209085.13962222636)","45609","410140415340000000","45 AVENUE","72 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012874.5349304676 209051.01567472517)","45403","414440459990000000","68 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012838.0881529748 241836.51670464873)","47928","233720247620000000","FREEMAN STREET","LYMAN PLACE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1018151.2015424669 207719.10823355615)","46001","437290447290000000","BROADWAY","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035576.4442509711 199285.6352711469)","34948","417040441475000000","84 AVENUE","DANIELS STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997130.3643191308 223271.89865022898)","23647","110210118730000000","3 AVENUE","EAST   87 STREET","M","2023-07-20T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1011019.4963177145 218866.50424580276)","66692","410640428790000000","48 STREET","ASTORIA BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (986220.3828583062 174128.24234455824)","14159","306080308530000000","10 AVENUE","39 STREET","B","2023-08-10T00:00:00","2023-08-15T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033176.9907165617 205291.36472947896)","54908","451590454580000000","JEWEL AVENUE","MAIN STREET","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009273.939113304 246389.89276847243)","9046788","229520252120000000","EAST MT EDEN AVENUE","MORRIS AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
