"district","school","borough","location","postcode","latitude","longitude","community_board","council_district","bin","bbl","census_tract","nta"
"2","3K CENTER @ 330 EAST 38TH STREET","MANHATTAN","330 EAST 38TH STREET","10016","40.746742","-73.972741","106","4","1076166","1009437501","78","MN0603"
"2","3K CENTER @ 163-165 EAST 84TH STREET","MANHATTAN","163-165 EAST 84TH STREET","10028","40.777906","-73.955874","108","4","1047676","1015130029","14801","MN0802"
"2","3K CENTER @ 403 EAST 65TH STREET","MANHATTAN","403 EAST 65TH STREET","10065","40.763163","-73.958728","108","5","1045392","1014600005","116","MN0801"
"2","3K CENTER @ 1010 THIRD AVENUE","MANHATTAN","1010 THIRD AVENUE","10065","40.762278","-73.966071","108","4","1041959","1013957501","11402","MN0802"
"3","3K CENTER @ 1972 BROADWAY","MANHATTAN","1972 BROADWAY","10023","40.774373","-73.9822","107","6","1028840","1011387501","15302","MN0701"
"7","LEARNING THROUGH PLAY PRE-K CENTER @ 443 EAST 162ND STREET","BRONX","443 EAST 162ND STREET","10451","40.824484","-73.912521","203","17","2129268","2023847501","141","BX0301"
"9","3K CENTER @ 1450 PLIMPTON AVENUE","BRONX","1450 PLIMPTON AVENUE","10452","40.843998","-73.922008","204","16","2129309","2028740027","21302","BX0403"
"9","3K CENTER @ 4183 THIRD AVENUE","BRONX","4183 THIRD AVENUE","10457","40.845973","-73.896535","206","15","2128726","2029247501","395","BX0602"
"10","3K CENTER @ 2659 WEBSTER AVENUE","BRONX","2659 WEBSTER AVENUE","10458","40.863677","-73.888796","207","15","2016370","2032770032","397","BX0603"
"11","3K CENTER @ 2020 WHITE PLAINS ROAD","BRONX","2020 WHITE PLAINS ROAD","10462","40.850673","-73.867799","211","13","2047885","2042570030","230","BX1101"
"11","3K CENTER @ 3893 DYRE AVENUE","BRONX","3893 DYRE AVENUE","10466","40.888925","-73.831306","212","12","2087375","2049470017","48401","BX1202"
"11","3K CENTER @ 1107 EAST GUN HILL ROAD","BRONX","1107 EAST GUN HILL ROAD","10469","40.873795","-73.855148","212","12","2059732","2047050020","368","BX1201"
"12","DISTRICT 12 PRE-K CENTER @ 1222 PROSPECT AVENUE","BRONX","1222 PROSPECT AVENUE","10459","40.826959","-73.898577","202","17","2128691","2026937502","131","BX0202"
"15","3K CENTER @ 5202 3RD AVENUE","BROOKLYN","5202 3RD AVENUE","11220","40.646464","-74.015838","307","38","3388017","3008050045","20","BK0702"
"15","3K CENTER @ 274 ATLANTIC AVENUE","BROOKLYN","274 ATLANTIC AVENUE","11201","40.688841","-73.989857","302","33","3000819","3001810011","43","BK0202"
"15","3K CENTER @ 129 VAN BRUNT STREET","BROOKLYN","129 VAN BRUNT STREET","11231","40.68417","-74.00556","306","39","3004598","3003470004","51","BK0601"
"20","3K CENTER @ 337 74TH STREET","BROOKLYN","337 74TH STREET","11209","40.631898","-74.026398","310","47","3339304","3059180027","66","BK1001"
