"inspection_id","omppropid","site_name","boro","district","inspection_date","pip_category","overall_rating","cleanliness_rating"
"358602","QZ95",,"Q","Q-09","2020-07-07T13:55:00.000","Other","A","A"
"358603","XZ261","GREENSTREET","X","X-09","2020-07-06T08:22:00.000","Greenstreet","A","A"
"358605","X077","Featherbed Triangle","X","X-05","2020-07-06T10:46:00.000","Small Park","U","U"
"358606","M056-01","Playground 123","M","M-09","2020-07-07T14:03:00.000","Playground","A","A"
"358607","X123","Noble Playground","X","X-09","2020-07-07T14:05:00.000","Playground","A","A"
"358608","M154","Mathews-Palmer Playground","M","M-04","2020-07-07T14:07:00.000","Playground","A","A"
"358609","XZ262","GREENSTREET","X","X-09","2020-07-06T14:08:00.000","Greenstreet","A","A"
"358610","X183","Bruckner Playground","X","X-10","2020-07-07T14:11:00.000","Playground","A","A"
"358611","X158","Sedgwick Playground","X","X-05","2020-07-06T11:03:00.000","Playground","U","U"
"358612","M029-ZN05","Fort Tryon Park Zone 5","M","M-12","2020-07-07T14:12:00.000","Large Park","U","A"
"358613","XZ264","GREENSTREET","X","X-09","2020-07-06T08:40:00.000","Greenstreet","A","A"
"358614","X195A","Colgate Close","X","X-09","2020-07-07T14:22:00.000","Playground","A","A"
"358615","XZ355","GREENSTREET","X","X-10","2020-07-07T10:23:00.000","Greenstreet","A","A"
"358616","XZ265","GREENSTREET","X","X-09","2020-07-07T08:50:00.000","Greenstreet","A","A"
"358617","B288","Slope Park Playground","B","B-07","2020-07-07T14:27:00.000","Playground","A","A"
"358618","M029-ZN02","Fort Tryon Park Zone 2","M","M-12","2020-07-07T14:28:00.000","Large Park","U","A"
"358619","M221","Gutenberg Playground","M","M-04","2020-07-07T08:29:00.000","Playground","U","A"
"358620","XZ231","GREENSTREET","X","X-10","2020-07-07T14:31:00.000","Greenstreet","A","A"
"358621","XZ27","GREENSTREET","X","X-09","2020-07-06T08:57:00.000","Greenstreet","A","A"
"358622","XZ277","GREENSTREET","X","X-09","2020-07-06T09:05:00.000","Greenstreet","A","A"
"358623","X205","FDNY-EMT Yadira Arroyo Playground","X","X-09","2020-07-07T14:39:00.000","Playground","A","A"
"358624","M277","Hell's Kitchen Park","M","M-04","2020-07-07T08:00:00.000","Playground","A","A"
"358625","XZ284","GREENSTREET","X","X-09","2020-07-06T09:13:00.000","Greenstreet","A","A"
"358626","M237","Corporal John A. Seravalli Playground","M","M-02","2020-07-07T14:40:00.000","Playground","A","A"
"358627","XZ286","GREENSTREET","X","X-09","2020-07-06T09:20:00.000","Greenstreet","A","A"
"358628","Q220C-03","Dr Charles R Drew Memorial Park","Q","Q-12","2020-07-07T14:51:00.000","Playground","A","A"
"358629","XZ34","GREENSTREET","X","X-09","2020-07-06T09:35:00.000","Greenstreet","A","A"
"358630","XZ35","GREENSTREET","X","X-09","2020-07-06T09:42:00.000","Greenstreet","A","A"
"358631","X092-ZN22","Old Croton Aqueduct Trail (middle)","X","X-13","2020-07-07T15:02:00.000","Large Park","U","U"
"358632","XZ36","GREENSTREET","X","X-09","2020-07-06T09:44:00.000","Greenstreet","A","A"
"358633","XZ191","GREENSTREET","X","X-13","2020-07-07T15:08:00.000","Greenstreet","A","A"
"358634","XZ37","GREENSTREET","X","X-09","2020-07-06T09:50:00.000","Greenstreet","A","A"
"358635","B210G","Triangle Three Sixteen","B","B-07","2020-07-07T15:12:00.000","Small Park","A","A"
"358636","X010-02","Prospect Park (2)","X","X-03","2020-07-07T15:13:00.000","Playground","A","A"
"358637","XZ192","GREENSTREET","X","X-13","2020-07-07T15:13:00.000","Greenstreet","A","A"
"358638","X065","Woodrow Wilson Triangle","X","X-09","2020-07-06T10:00:00.000","Small Park","A","A"
"358639","BZ250","GREENSTREET","B","B-07","2020-07-07T15:19:00.000","Greenstreet","A","A"
"358640","Q211","Maple Playground","Q","Q-07","2020-07-07T15:19:00.000","Playground","U","U"
"358641","XZ60","GREENSTREET","X","X-09","2020-07-06T10:10:00.000","Greenstreet","A","A"
"358642","X010-03","Crotona Playground (3)","X","X-03","2020-07-07T15:23:00.000","Playground","U","U"
"358643","B322","Pulaski Playground","B","B-03","2020-07-07T15:31:00.000","Playground","U","U"
"358644","Q437","Murray Hill Playground","Q","Q-07","2020-07-07T15:35:00.000","Playground","U","U"
"358645","M251","Bleecker Playground","M","M-02","2020-07-07T13:05:00.000","Playground","A","A"
"358646","B054-01","Lincoln Terrace Park / Arthur S. Somers Playground","B","B-08","2020-07-07T15:51:00.000","Playground","A","A"
"358647","B073-ZN14","Middle Long Meadow","B","B-19","2020-07-07T15:52:00.000","Large Park","A","A"
"358648","Q022","Margaret I. Carman Green - Weeping Beech","Q","Q-07","2020-07-07T15:51:00.000","Playground","U","U"
"358649","Q397","Auburndale Playground","Q","Q-07","2020-07-07T16:08:00.000","Playground","A","A"
"358650","BZ159","GREENSTREET","B","B-18","2020-07-04T16:00:00.000","Greenstreet","A","A"
"358651","B073-ZN15","Lower Long Meadow","B","B-19","2020-07-07T16:34:00.000","Large Park","U","A"
"358652","X018","Echo Triangle","X","X-05","2020-07-07T16:40:00.000","Small Park","U","U"
"358653","M104-ZN04","Central Spine","M","M-11R","2020-07-07T15:15:00.000","Large Park","A","A"
"358654","X082","University Malls","X","X-05","2020-07-06T12:08:00.000","Small Park","U","U"
"358655","X017","Richman (Echo) Park","X","X-05","2020-07-07T09:39:00.000","Small Park","U","U"
"358656","X051","University Woods","X","X-05","2020-07-07T10:32:00.000","Small Park","U","U"
"358657","R169","Goodhue Park","R","R-01","2020-07-07T12:35:00.000","Large Park","A","A"
"358658","R169-ZN01","Goodhue Park Zone 1","R","R-01","2020-07-07T12:30:00.000","Large Park","A","A"
"358659","R169-ZN02","Goodhue Park Zone 2","R","R-01","2020-07-07T12:55:00.000","Large Park","A","A"
"358660","BZ160","GREENSTREET","B","B-18","2020-07-04T14:30:00.000","Greenstreet","A","A"
"358661","X034-06","McClellan Playground","X","X-04","2020-07-07T17:21:00.000","Playground","A","A"
"358662","B255C","Purple Playground","B","B-07","2020-07-07T17:28:00.000","Playground","U","A"
"358663","X058","Keltch Park","X","X-04","2020-07-07T17:44:00.000","Small Park","U","A"
"358664","B255F","Detective Joseph Mayrose Park","B","B-07","2020-07-07T17:37:00.000","Small Park","U","U"
"358665","B255D","Park","B","B-07","2020-07-07T18:04:00.000","Small Park","U","A"
"358666","BZ161","GREENSTREET","B","B-18","2020-07-04T15:00:00.000","Greenstreet","U","A"
"358667","BZ243","GREENSTREET","B","B-18","2020-07-04T15:35:00.000","Greenstreet","A","A"
"358668","BZ244","GREENSTREET","B","B-18","2020-07-04T16:10:00.000","Greenstreet","U","A"
"358669","X039-ZN15","Twin Island","X","X-15A","2020-07-07T19:18:00.000","Large Park","A","A"
"358670","B255E","Park","B","B-07","2020-07-07T19:38:00.000","Small Park","U","U"
"358671","BZ70","GREENSTREET","B","B-07","2020-07-07T19:56:00.000","Greenstreet","A","A"
"358672","M230","Poor Richard's Playground","M","M-11","2020-07-04T11:30:00.000","Playground","A","A"
"358673","M111","James Weldon Johnson Playground","M","M-11","2020-07-04T09:00:00.000","Playground","A","A"
"358674","M223","Jacob H. Schiff Playground","M","M-09","2020-07-08T08:22:00.000","Playground","U","A"
"358675","Q001-01","Wild Flower Meadow Playground","Q","Q-07A","2020-07-07T12:26:00.000","Playground","A","A"
"358676","Q001-99","Alley Springfield Playground","Q","Q-07A","2020-07-07T13:00:00.000","Playground","A","A"
"358677","B375","Chiarantano Playground","B","B-17","2020-07-08T06:29:00.000","Playground","A","A"
"358678","B171","Linden Sitting Area","B","B-17","2020-07-08T07:09:00.000","Small Park","U","U"
"358679","B304","Kennedy King Playground","B","B-17","2020-07-08T07:20:00.000","Playground","A","A"
"358680","M098-ZN01","Washington Square Park Western Half","M","M-02","2020-07-08T08:21:00.000","Large Park","A","A"
"358681","M125A","Minetta Green","M","M-02","2020-07-07T08:30:00.000","Small Park","A","A"
"358682","M170","Petrosino Square","M","M-02","2020-07-07T08:34:00.000","Small Park","A","A"
"358683","X141","Rienzi Playground","X","X-12","2020-07-08T08:36:00.000","Playground","U","U"
"358685","M037-03","Quisqueya Plgd","M","M-12A","2020-07-07T09:00:00.000","Playground","A","A"
"358686","X126-ZN04","Ferry Point Park Zone 4","X","X-10","2020-07-08T09:03:00.000","Large Park","A","A"
"358687","X092-ZN21","NE Forest","X","X-13","2020-07-08T09:07:00.000","Large Park","U","U"
"358688","M037-04","Wallenberg Plgd","M","M-12A","2020-07-07T09:30:00.000","Playground","U","U"
"358689","X122","Colucci Playground","X","X-10","2020-07-08T09:10:00.000","Playground","A","A"
"358690","M037-ZN04","Highbridge Park Zone 4","M","M-12A","2020-07-07T09:50:00.000","Large Park","A","A"
"358691","BT15","Bush Terminal Park","B","B-07","2020-07-08T09:20:00.000","Large Park","U","A"
"358692","X180","Whalen Playground","X","X-07","2020-07-08T14:06:00.000","Playground","U","U"
"358694","X216","Abigail Playground","X","X-01","2020-07-07T09:10:00.000","Playground","U","U"
"358695","Q360I","Park","Q","Q-05","2020-07-08T09:54:00.000","Other","A","A"
"358696","Q400","Oakland Gardens","Q","Q-07A","2020-07-08T09:58:00.000","Playground","U","A"
"358697","X070","Heath Triangle","X","X-07","2020-07-08T13:19:00.000","Small Park","A","A"
"358698","X150D","Gasoline Alley","X","X-07","2020-07-08T13:13:00.000","Other","A","A"
"358699","X150M","Park","X","X-07","2020-07-08T13:09:00.000","Small Park","A","A"
"358701","Q360Q","Sitting Area 127 CXXVII","Q","Q-05","2020-07-08T10:00:00.000","Small Park","U","U"
"358702","B127","Martinez Playground","B","B-01","2020-07-08T10:00:00.000","Playground","U","U"
"358703","Q360R","Sitting Area","Q","Q-05","2020-07-08T10:06:00.000","Small Park","A","A"
"358704","M180","Lt. Wm. Tighe Triangle","M","M-12","2020-07-08T10:06:00.000","Small Park","A","A"
"358705","Q360T","Sitting Area","Q","Q-05","2020-07-08T10:13:00.000","Small Park","U","U"
"358706","M029-02","Anne Loftus Plgd","M","M-12","2020-07-08T10:14:00.000","Playground","U","U"
