"report_year","comm_dist_boro","comm_district","fam_dir","fam_fel_assault","dv_fel_assault","fam_rape","dv_rape"
"2019","Bronx","12","3512","218","307","9","17"
"2019","Bronx","BXJIA","20","0","0","0","0"
"2019","Bronx","Unknown","5","0","0","0","0"
"2019","Bronx","Total","30665","1556","2255","102","161"
"2019","Brooklyn","1","1726","68","99","5","5"
"2019","Brooklyn","2","1556","67","97","5","7"
"2019","Brooklyn","3","3148","148","236","8","16"
"2019","Brooklyn","4","1631","90","129","9","17"
"2019","Brooklyn","5","4098","238","332","15","25"
"2019","Brooklyn","6","1062","32","50","1","2"
"2019","Brooklyn","7","959","70","101","9","16"
"2019","Brooklyn","8","1830","59","87","2","5"
"2019","Brooklyn","9","1342","67","98","3","3"
"2019","Brooklyn","10","704","42","55","5","5"
"2019","Brooklyn","11","1108","29","52","7","12"
"2019","Brooklyn","12","762","33","50","7","11"
"2019","Brooklyn","13","1505","66","93","3","9"
"2019","Brooklyn","14","1406","47","77","7","11"
"2019","Brooklyn","15","1236","47","69","4","4"
"2019","Brooklyn","16","3052","125","203","8","13"
"2019","Brooklyn","17","2520","124","205","19","24"
"2019","Brooklyn","18","2521","81","132","11","15"
"2019","Brooklyn","BKJIA","35","3","4","0","0"
"2019","Brooklyn","Unknown","0","0","0","0","0"
"2019","Brooklyn","Total","32201","1436","2169","128","200"
"2019","Manhattan","1","544","12","14","4","4"
"2019","Manhattan","2","596","21","23","2","2"
"2019","Manhattan","3","1767","82","129","4","7"
"2019","Manhattan","4","1397","53","72","6","8"
"2019","Manhattan","5","941","27","30","3","4"
"2019","Manhattan","6","757","27","31","2","2"
"2019","Manhattan","7","1304","48","76","6","6"
"2019","Manhattan","8","881","29","45","3","3"
"2019","Manhattan","9","1456","50","84","4","8"
"2019","Manhattan","10","3070","121","193","6","15"
"2019","Manhattan","11","3295","138","210","9","18"
"2019","Manhattan","12","2058","92","136","9","15"
"2019","Manhattan","MNJIA","27","1","2","0","0"
"2019","Manhattan","Unknown","0","0","0","0","0"
"2019","Manhattan","Total","18093","701","1045","58","92"
"2019","Queens","1","1941","83","133","6","7"
"2019","Queens","2","1053","42","59","3","6"
"2019","Queens","3","1832","88","138","19","30"
"2019","Queens","4","1646","87","130","11","16"
"2019","Queens","5","1340","70","97","9","12"
"2019","Queens","6","648","16","23","2","2"
"2019","Queens","7","1599","77","126","12","15"
"2019","Queens","8","1402","53","82","10","11"
"2019","Queens","9","1825","44","69","10","13"
"2019","Queens","10","1849","101","154","5","9"
"2019","Queens","11","543","26","39","2","2"
"2019","Queens","12","4313","221","378","20","30"
"2019","Queens","13","2083","86","155","9","13"
"2019","Queens","14","2801","153","230","13","16"
"2019","Queens","QNJIA","28","2","3","1","1"
"2019","Bronx","6","2215","92","131","11","19"
"2019","Queens","Unknown","0","2","2","0","0"
"2019","Queens","Total","24903","1151","1818","132","183"
"2019","Staten Island","1","3640","95","159","11","17"
"2019","Staten Island","2","1214","26","38","5","8"
"2019","Staten Island","3","1199","25","38","2","3"
"2019","Staten Island","SIJIA","5","0","0","0","0"
"2019","Staten Island","Unknown","0","0","0","0","0"
"2019","Staten Island","Total","6058","146","235","18","28"
"2019","Bronx","7","2700","143","216","14","19"
"2019","Bronx","8","956","34","50","5","7"
"2019","Bronx","9","3357","194","284","11","16"
"2019","Bronx","10","1693","70","120","6","7"
"2019","Bronx","11","1785","76","113","7","14"
"2019","Bronx","1","3239","161","231","5","12"
"2019","Bronx","2","1295","67","91","9","11"
"2019","Bronx","3","3004","151","200","4","7"
"2019","Bronx","4","2846","200","295","9","13"
"2019","Bronx","5","4038","150","217","12","19"
