"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat"
"236791704","2021-11-22T00:00:00.000","581",,,,"PL 2225001","M","M","28","0","45-64","M","BLACK","997427","230378","40.799008797000056","-73.95240854099995","POINT (-73.95240854099995 40.799008797000056)"
"237354740","2021-12-04T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302502","F","B","41","0","25-44","M","WHITE HISPANIC","1013232","236725","40.816391847000034","-73.89529641399997","POINT (-73.89529641399997 40.816391847000034)"
"236081433","2021-11-09T00:00:00.000","681","CHILD, ENDANGERING WELFARE","233","SEX CRIMES","PL 2601001","M","Q","113","0","25-44","M","BLACK","1046367","186986","40.67970040800003","-73.77604736799998","POINT (-73.77604736799998 40.67970040800003)"
"32311380","2007-06-18T00:00:00.000","511.0","CONTROLLED SUBSTANCE, POSSESSION 7","235.0","DANGEROUS DRUGS","PL 2200300","M","Q","27","1.0","18-24","M","BLACK",,,,,
"192799737","2019-01-26T00:00:00.000","177","SEXUAL ABUSE","116","SEX CRIMES","PL 1306503","F","M","25","0","45-64","M","BLACK","1000555","230994","40.800694331000045","-73.941109285999971","POINT (-73.94110928599997 40.800694331000045)"
"193260691","2019-02-06T00:00:00.000",,,,,"PL 2203400","F","M","14","0","25-44","M","UNKNOWN","986685","215375","40.757839003000072","-73.991212110999982","POINT (-73.99121211099998 40.75783900300007)"
"237291769","2021-12-03T00:00:00.000","579",,,,"PL 2224001","F","Q","115","0","25-44","M","BLACK","1018534","220579","40.77205649600006","-73.87622400099998","POINT (-73.87622400099998 40.77205649600006)"
"236106641","2021-11-10T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501001","F","B","41","72","25-44","M","WHITE HISPANIC","1017934","232221","40.804012949000025","-73.87833183299993","POINT (-73.87833183299993 40.804012949000025)"
"238383628","2021-12-28T00:00:00.000","729","FORGERY,ETC.,UNCLASSIFIED-FELO","113","FORGERY","PL 1702500","F","Q","113","0","18-24","M","BLACK","1045482","191341","40.69166001700007","-73.77919852099996","POINT (-73.77919852099996 40.69166001700007)"
"149117452","2016-01-06T00:00:00.000","153.0","RAPE 3","104.0","RAPE","PL 1302503","F","K","67","0.0","25-44","M","BLACK","998032.0","175598.0","40.648650085000035","-73.95033556299995","POINT (-73.95033556299995 40.648650085000035)"
"237339209","2021-12-04T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","83","0","25-44","M","BLACK","1007400","190154","40.688583516000044","-73.91652634699994","POINT (-73.91652634699994 40.688583516000044)"
"221756278","2020-12-12T00:00:00.000",,,,,"PL 2203400","F","M","23","0","25-44","M","WHITE HISPANIC","999998","226211","40.78756730100001","-73.94313233199995","POINT (-73.94313233199995 40.78756730100001)"
