"starfire_incident_id","incident_datetime","alarm_box_borough","alarm_box_number","alarm_box_location","incident_borough","zipcode","policeprecinct","citycouncildistrict","communitydistrict","communityschooldistrict","congressionaldistrict","alarm_source_description_tx","alarm_level_index_description","highest_alarm_level","incident_classification","incident_classification_group","dispatch_response_seconds_qy","first_assignment_datetime","first_activation_datetime","first_on_scene_datetime","incident_close_datetime","valid_dispatch_rspns_time_indc","valid_incident_rspns_time_indc","incident_response_seconds_qy","incident_travel_tm_seconds_qy","engines_assigned_quantity","ladders_assigned_quantity","other_units_assigned_quantity"
"2121315580110002","2021-08-01T23:59:00.000","MANHATTAN","1558","BROADWAY & 135 ST","MANHATTAN",,,,,,,"Phone","Initial Alarm","First Alarm","Multiple Dwelling 'A' - Other fire","Structural Fires","37","2021-08-02T00:00:00.000","2021-08-02T00:00:00.000",,"2021-08-02T00:00:00.000","N","N","0","0","4","2","1"
"2121333930141116","2021-08-01T23:58:00.000","BROOKLYN","3393","AVENUE S & E 5 ST","BROOKLYN","11223","61","47","315","21","11","EMS Link/Medical","Initial Alarm","First Alarm","Medical - Assist Civilian","Medical Emergencies","6","2021-08-01T23:59:00.000","2021-08-01T23:59:00.000",,"2021-08-01T23:59:00.000","N","N","0","0","1","0","0"
"2121313550211123","2021-08-01T23:56:00.000","MANHATTAN","1355","BROADWAY & 112 ST","MANHATTAN","10025","26","7","109","3","10","Phone","Initial Alarm","First Alarm","Undefined Emergency","NonMedical Emergencies","31","2021-08-01T23:57:00.000","2021-08-01T23:57:00.000",,"2021-08-02T00:00:00.000","N","N","0","0","0","1","0"
"2121383000250875","2021-08-01T23:56:00.000","QUEENS","8300","ROCKAWAY PT BLVD BCH 201 ENT BREEZY PT","QUEENS","11697","100","32","414","27","5","EMS Link/Medical","Initial Alarm","First Alarm","Medical - Assist Civilian","Medical Emergencies","12","2021-08-01T23:56:00.000","2021-08-01T23:56:00.000",,"2021-08-01T23:57:00.000","N","N","0","0","1","0","0"
"2121313280111121","2021-08-01T23:55:00.000","MANHATTAN","1328","LEXINGTON AVE & 109 ST","MANHATTAN","10029","23","8","111","4","13","EMS Link/Medical","Initial Alarm","First Alarm","Medical - Assist Civilian","Medical Emergencies","10","2021-08-01T23:55:00.000","2021-08-01T23:55:00.000",,"2021-08-01T23:55:00.000","N","N","0","0","1","0","0"
"2121314610711114","2021-08-01T23:47:00.000","MANHATTAN","1461","2 AVE & 123 ST","MANHATTAN","10035","25","8","111","4","13","Phone","Initial Alarm","First Alarm","Undefined Emergency","NonMedical Emergencies","25","2021-08-01T23:47:00.000","2021-08-01T23:48:00.000","2021-08-01T23:52:00.000","2021-08-01T23:52:00.000","N","Y","304","279","0","1","0"
"2121330450141109","2021-08-01T23:41:00.000","BROOKLYN","3045","AVENUE I & E 34 ST","BROOKLYN","11210","63","45","318","22","9","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","9","2021-08-01T23:41:00.000","2021-08-01T23:41:00.000",,"2021-08-01T23:45:00.000","N","N","0","0","1","0","0"
"2121331650150869","2021-08-01T23:41:00.000","QUEENS","3165","LEFFERTS BLVD & BEVERLY RD","QUEENS","11415","102","29","409","28","6","Phone","Initial Alarm","First Alarm","Undefined Emergency","NonMedical Emergencies","44","2021-08-01T23:41:00.000","2021-08-01T23:42:00.000","2021-08-01T23:47:00.000","2021-08-01T23:47:00.000","N","Y","375","331","0","1","0"
"2121313020211112","2021-08-01T23:38:00.000","MANHATTAN","1302","2 AVE & 105 ST","MANHATTAN","10029","23","8","111","4","13","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","6","2021-08-01T23:38:00.000","2021-08-01T23:38:00.000",,"2021-08-01T23:43:00.000","N","N","0","0","1","0","0"
"2121337290120919","2021-08-01T23:36:00.000","BRONX","3729","FAIRFIELD AVE & W 232 ST","BRONX","10463","50","11","208","10","16","PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","5","2021-08-01T23:36:00.000","2021-08-01T23:37:00.000",,"2021-08-01T23:42:00.000","N","N","0","0","1","0","0"
"2121319510130192","2021-08-01T23:36:00.000","RICHMOND / STATEN ISLAND","1951","RICHMOND AVE & ADA DR","RICHMOND / STATEN ISLAND","10314","121","49","501","31","11","PD Link/Medical","Initial Alarm","First Alarm","Medical - Breathing / Ill or Sick","Medical Emergencies","13","2021-08-01T23:36:00.000","2021-08-01T23:36:00.000","2021-08-01T23:39:00.000","2021-08-01T23:47:00.000","N","Y","184","171","1","1","0"
"2121332840141107","2021-08-01T23:35:00.000","BROOKLYN","3284","EMMONS AVE & E 27 ST","BROOKLYN","11235","61","48","315","22","8","PD Link/Medical","Initial Alarm","First Alarm","Medical - No PT Contact EMS is Onscene","Medical Emergencies","7","2021-08-01T23:35:00.000","2021-08-01T23:35:00.000","2021-08-01T23:42:00.000","2021-08-01T23:53:00.000","N","Y","430","423","1","0","0"
"2121340010150865","2021-08-01T23:34:00.000","QUEENS","4001","29 AVE & 216 ST","QUEENS","11360","111","19","411","26","3","PD Link/Medical","Initial Alarm","First Alarm","Medical - No PT Contact EMS is Onscene","Medical Emergencies","12","2021-08-01T23:34:00.000","2021-08-01T23:34:00.000","2021-08-01T23:42:00.000","2021-08-01T23:57:00.000","N","Y","494","482","2","0","0"
"2121360932850864","2021-08-01T23:33:00.000","QUEENS","6093","LIBERTY AVE & 132 ST","QUEENS","11419","106","28","410","28","5","Phone","DEFAULT RECORD","First Alarm","Non-Medical MFA - Phone","NonMedical MFAs","36","2021-08-01T23:34:00.000","2021-08-01T23:34:00.000","2021-08-01T23:35:00.000","2021-08-01T23:37:00.000","N","Y","99","63","3","2","1"
"2121316390641102","2021-08-01T23:32:00.000","BROOKLYN","1639","SUTTER AVE & UNION ST","BROOKLYN","11212","73","41","316","23","9","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","13","2021-08-01T23:32:00.000","2021-08-01T23:33:00.000","2021-08-01T23:36:00.000","2021-08-01T23:37:00.000","N","Y","248","235","1","0","0"
"2121328450220918","2021-08-01T23:32:00.000","BRONX","2845","EVERGREEN & WATSON AVES","BRONX","10472","43","17","209","8","15","PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","4","2021-08-01T23:32:00.000","2021-08-01T23:32:00.000","2021-08-01T23:40:00.000","2021-08-01T23:41:00.000","N","Y","485","481","1","0","0"
"2121331680120917","2021-08-01T23:31:00.000","BRONX","3168","MOHEGAN AVE & 181 ST","BRONX","10460","48","17","206","12","15","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","4","2021-08-01T23:31:00.000","2021-08-01T23:31:00.000",,"2021-08-01T23:36:00.000","N","N","0","0","1","0","0"
"2121360940250862","2021-08-01T23:31:00.000","QUEENS","6094","LIBERTY AVE & 134 ST","QUEENS","11419","106","28","410","28","5","Phone","Initial Alarm","First Alarm","Assist Civilian - Non-Medical","NonMedical Emergencies","35","2021-08-01T23:31:00.000","2021-08-01T23:32:00.000",,"2021-08-01T23:34:00.000","N","N","0","0","1","0","0"
"2121316390341099","2021-08-01T23:31:00.000","BROOKLYN","1639","SUTTER AVE & UNION ST","BROOKLYN","11212","73","41","316","23","9","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","6","2021-08-01T23:31:00.000","2021-08-01T23:31:00.000","2021-08-01T23:35:00.000","2021-08-01T23:37:00.000","N","Y","292","286","1","0","0"
"2121303680141100","2021-08-01T23:30:00.000","BROOKLYN","368","NOSTRAND AV, 275' S OF FLUSHING AV","BROOKLYN","11206","79","36","303","14","7","Phone","Initial Alarm","First Alarm","Elevator Emergency - Unoccupied","NonMedical Emergencies","49","2021-08-01T23:31:00.000","2021-08-01T23:31:00.000","2021-08-01T23:36:00.000","2021-08-01T23:41:00.000","N","Y","321","272","0","1","0"
"2121326720141098","2021-08-01T23:30:00.000","BROOKLYN","2672","2 AVE & 54 ST","BROOKLYN","11220","72","38","307","20","7","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","5","2021-08-01T23:31:00.000","2021-08-01T23:31:00.000",,"2021-08-01T23:35:00.000","N","N","0","0","1","0","0"
"2121318270541096","2021-08-01T23:28:00.000","BROOKLYN","1827","SUTTER & MONTAUK AVES","BROOKLYN","11208","75","42","305","19","8","Phone","Initial Alarm","First Alarm","Carbon Monoxide - Code 1 - Investigation","NonMedical Emergencies","36","2021-08-01T23:29:00.000","2021-08-01T23:29:00.000","2021-08-01T23:34:00.000","2021-08-01T23:43:00.000","N","Y","342","306","1","1","0"
"2121303120241095","2021-08-01T23:27:00.000","BROOKLYN","312","ROEBLING ST & S 9 ST","BROOKLYN","11211","90","33","301","14","7","EMS Link/Medical","Initial Alarm","First Alarm","Medical - Breathing / Ill or Sick","Medical Emergencies","7","2021-08-01T23:27:00.000","2021-08-01T23:27:00.000","2021-08-01T23:31:00.000","2021-08-01T23:45:00.000","N","Y","247","240","1","0","0"
"2121313450150858","2021-08-01T23:24:00.000","QUEENS","1345","ROCKAWAY BEACH BLVD & BEACH 95 ST","QUEENS","11693","100","32","414","27","5","EMS Link/Medical","Initial Alarm","First Alarm","Medical - Breathing / Ill or Sick","Medical Emergencies","15","2021-08-01T23:24:00.000","2021-08-01T23:24:00.000","2021-08-01T23:26:00.000","2021-08-01T23:36:00.000","N","Y","162","147","1","0","0"
"2121309460111109","2021-08-01T23:23:00.000","MANHATTAN","946","BROADWAY & W 61 ST","MANHATTAN","10023","20","3","107","3","10","PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","36","2021-08-01T23:23:00.000","2021-08-01T23:24:00.000",,"2021-08-01T23:27:00.000","N","N","0","0","1","0","0"
"2121337950120916","2021-08-01T23:20:00.000","BRONX","3795","VAN CORTLANDT PARK S. & PUTNAM AVE","BRONX","10463","50","11","208","10","13","PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","4","2021-08-01T23:20:00.000","2021-08-01T23:20:00.000",,"2021-08-01T23:23:00.000","N","N","0","0","1","0","0"
"2121304370111106","2021-08-01T23:19:00.000","MANHATTAN","437","2 AVE & E 7 ST","MANHATTAN","10003","9","2","103","1","12","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","5","2021-08-01T23:19:00.000","2021-08-01T23:19:00.000",,"2021-08-01T23:25:00.000","N","N","0","0","1","0","0"
"2121319230130191","2021-08-01T23:18:00.000","RICHMOND / STATEN ISLAND","1923","ARLENE COURT & JULES DR","RICHMOND / STATEN ISLAND",,,,,,,"ERS No Contact","DEFAULT RECORD","First Alarm","Non-Medical MFA - ERS No Contact","NonMedical MFAs","5","2021-08-01T23:18:00.000","2021-08-01T23:18:00.000","2021-08-01T23:21:00.000","2021-08-01T23:22:00.000","N","Y","224","219","1","0","0"
"2121343850150855","2021-08-01T23:18:00.000","QUEENS","4385","PUTNAM & WOODWARD AVES","QUEENS","11385","104","34","405","24","7","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","8","2021-08-01T23:18:00.000","2021-08-01T23:18:00.000",,"2021-08-01T23:24:00.000","N","N","0","0","1","0","0"
"2121308260111104","2021-08-01T23:17:00.000","MANHATTAN","826","LEXINGTON AVE & 47 ST","MANHATTAN","10017","17","4","106","2","12","Private Fire Alarm","Initial Alarm","First Alarm","Manhole Fire - Other","NonStructural Fires","52","2021-08-01T23:18:00.000","2021-08-01T23:18:00.000","2021-08-01T23:22:00.000","2021-08-01T23:53:00.000","N","Y","315","263","3","2","1"
"2121330440141091","2021-08-01T23:17:00.000","BROOKLYN","3044","FLATBUSH AVE & AVENUE I","BROOKLYN","11210","63","45","318","22","9","EMS Link/Medical","Initial Alarm","First Alarm","Medical - Breathing / Ill or Sick","Medical Emergencies","6","2021-08-01T23:17:00.000","2021-08-01T23:17:00.000","2021-08-01T23:20:00.000","2021-08-01T23:38:00.000","N","Y","187","181","1","0","0"
"2121346000220914","2021-08-01T23:17:00.000","BRONX","4600","METROPOLITAN & MCGRAW AVES","BRONX","10462","43","18","209","12","15","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","5","2021-08-01T23:17:00.000","2021-08-01T23:18:00.000",,"2021-08-01T23:23:00.000","N","N","0","0","1","0","0"
"2121371780350851","2021-08-01T23:15:00.000","QUEENS","7178","E/S 10 ST 150' N OF 41 RD","QUEENS","11101","114","26","401","30","12","Phone","Initial Alarm","First Alarm","Alarm System - Testing","NonMedical Emergencies","26","2021-08-01T23:15:00.000","2021-08-01T23:15:00.000","2021-08-01T23:19:00.000","2021-08-01T23:31:00.000","N","Y","267","241","1","1","0"
"2121338120420913","2021-08-01T23:14:00.000","BRONX","3812","BARNES AVE & 231 ST","BRONX","10466","47","12","212","11","16","EMS Link/Medical","Initial Alarm","First Alarm","Medical - EMS Link 10-91","Medical Emergencies","15","2021-08-01T23:14:00.000","2021-08-01T23:15:00.000",,"2021-08-01T23:19:00.000","N","N","0","0","1","0","0"
"2121334880141090","2021-08-01T23:14:00.000","BROOKLYN","3488","BATH AVE & 21 AVE","BROOKLYN","11214","62","47","311","20","11","EMS Link/Medical","Initial Alarm","First Alarm","Medical - No PT Contact EMS is Onscene","Medical Emergencies","6","2021-08-01T23:15:00.000","2021-08-01T23:15:00.000","2021-08-01T23:25:00.000","2021-08-01T23:29:00.000","N","Y","616","610","1","0","0"
"2121349440350852","2021-08-01T23:14:00.000","QUEENS","4944","KISSENA BLVD & JEWEL AVE/VAN ARSDALE AVE","QUEENS","11367","107","24","408","25","6","Phone","Initial Alarm","First Alarm","Carbon Monoxide - Code 2 - Incident (1-9 ppm)","NonMedical Emergencies","47","2021-08-01T23:15:00.000","2021-08-01T23:15:00.000","2021-08-01T23:20:00.000","2021-08-01T23:27:00.000","N","Y","348","301","1","1","0"
"2121329920320912","2021-08-01T23:12:00.000","BRONX","2992","HARRISON AVE OPP KINGSLAND PL","BRONX","10453","46","14","205","10","15","Phone","Initial Alarm","First Alarm","Multiple Dwelling 'A' - Other fire","Structural Fires","26","2021-08-01T23:12:00.000","2021-08-01T23:12:00.000","2021-08-01T23:18:00.000","2021-08-01T23:57:00.000","N","Y","362","336","3","2","1"
"2121371460111102","2021-08-01T23:09:00.000","MANHATTAN","7146","IND A ? W 181 ST & FT WASH AVE","MANHATTAN",,,,,,,"PD Link/Medical","Initial Alarm","First Alarm","Medical - PD Link 10-91","Medical Emergencies","4","2021-08-01T23:09:00.000","2021-08-01T23:10:00.000",,"2021-08-01T23:13:00.000","N","N","0","0","1","0","0"
"2121300230130188","2021-08-01T23:08:00.000","RICHMOND / STATEN ISLAND","23","FRANKLIN AVE & RICHMOND TERRACE","RICHMOND / STATEN ISLAND","10301","120","49","501","31","11","Phone","DEFAULT RECORD","First Alarm","Non-Medical MFA - Phone","NonMedical MFAs","36","2021-08-01T23:09:00.000","2021-08-01T23:09:00.000","2021-08-01T23:14:00.000","2021-08-01T23:15:00.000","N","Y","329","293","1","0","0"
"2121335280120905","2021-08-01T23:08:00.000","BRONX","3528","BRIGGS AVE & MOSHOLU PKWY S.","BRONX","10458","52","11","207","10","13","PD Link/Medical","Initial Alarm","First Alarm","Vehicle Accident - Other","NonMedical Emergencies","6","2021-08-01T23:08:00.000","2021-08-01T23:08:00.000","2021-08-01T23:12:00.000","2021-08-01T23:37:00.000","N","Y","233","227","1","1","0"
"2121332940141088","2021-08-01T23:05:00.000","BROOKLYN","3294","AVENUE X & E 27 ST","BROOKLYN","11229","61","48","315","22","9","PD Link/Medical","Initial Alarm","First Alarm","Medical - No PT Contact EMS is Onscene","Medical Emergencies","500","2021-08-01T23:13:00.000","2021-08-01T23:14:00.000","2021-08-01T23:23:00.000","2021-08-01T23:25:00.000","N","N","1077","577","1","0","0"
"2121326420120901","2021-08-01T23:04:00.000","BRONX","2642","LACOMBE & ST. LAWRENCE AVES","BRONX","10473","43","18","209","8","15","Phone","Initial Alarm","First Alarm","Carbon Monoxide - Code 1 - Investigation","NonMedical Emergencies","39","2021-08-01T23:05:00.000","2021-08-01T23:05:00.000","2021-08-01T23:11:00.000","2021-08-01T23:37:00.000","N","Y","407","368","1","1","0"
"2121327480720900","2021-08-01T23:04:00.000","BRONX","2748","WASHINGTON AVE & 170 ST","BRONX","10456","42","16","203","9","15","Phone","Initial Alarm","First Alarm","Multiple Dwelling 'A' - Other fire","Structural Fires","16","2021-08-01T23:04:00.000","2021-08-01T23:04:00.000","2021-08-01T23:08:00.000","2021-08-01T23:58:00.000","N","Y","258","242","4","2","2"
