"event_id","video_id"
"62281","http://www.youtube.com/watch?v=JJOxRFMdU6o"
"62937","http://www.youtube.com/watch?v=Q3VlyltFWHw"
"62983","http://www.youtube.com/watch?v=2xONxTDy378"
"63076","http://www.youtube.com/watch?v=lJatiNAluNw"
"63119","http://www.youtube.com/watch?v=qMt37PoNUr0"
"63120","http://www.youtube.com/watch?v=qMt37PoNUr0"
"63320","http://www.youtube.com/watch?v=2xONxTDy378"
"63510","http://www.youtube.com/watch?v=Fjb9SIV4PR4"
"63657","http://www.youtube.com/watch?v=CnZTP0geaZg"
"63659","http://www.youtube.com/watch?v=mFsVBZuSHxo"
"64183","http://www.youtube.com/watch?v=nbA5Fmk7P-U"
"64797","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64798","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64799","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64800","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64801","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64802","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64803","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64804","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64805","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64806","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64807","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64808","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64809","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64810","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64811","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64812","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64813","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64814","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64815","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64816","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64817","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64818","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"64819","http://www.youtube.com/watch?v=o1MWX3yQBCg"
"69433","http://www.youtube.com/watch?v=qxbsHuLz83g"
"70039","http://www.youtube.com/watch?v=2F-4LWFT4dM"
"70040","http://www.youtube.com/watch?v=2F-4LWFT4dM"
"71943","http://www.youtube.com/watch?v=L_hzfPwo44A"
"73278","http://www.youtube.com/watch?v=pFbjE7NFmUI&list=PL3F80E612D23BB256"
"73285","http://www.youtube.com/watch?v=ObVl_fr3REM"
"73286","http://www.youtube.com/watch?v=ObVl_fr3REM"
"73287","http://www.youtube.com/watch?v=ObVl_fr3REM"
"73291","http://www.youtube.com/watch?v=1x1wjGKHjBI"
"73291","http://www.youtube.com/watch?v=RklMv6-M3XM"
"73293","http://www.youtube.com/watch?v=8iTRRkOXIoI"
"73293","http://www.youtube.com/watch?v=kVO1sivbq5k"
"73298","http://www.youtube.com/watch?v=0WlNmfiV7MI"
"73298","http://www.youtube.com/watch?v=CNDXciX9p-g"
"73298","http://www.youtube.com/watch?v=qM_Euc5saPI"
"73299","http://www.youtube.com/watch?v=8zrQAf8PT6k"
"73299","http://www.youtube.com/watch?v=VI0Ffwt706w"
"73300","http://www.youtube.com/watch?v=bQKXClp-u9U"
"73300","http://www.youtube.com/watch?v=GvkaDW-OfUU?list=UU4-QiB0scu8qjztVLkFSDDw"
"73301","http://www.youtube.com/watch?v=fypZUjUxHNo"
"73301","http://www.youtube.com/watch?v=Ss9Znucx4GM"
"73302","http://www.youtube.com/watch?v=W75-kHGf9SA"
"73340","http://www.youtube.com/watch?v=W75-kHGf9SA"
"73341","http://www.youtube.com/watch?v=BWsSKj4Hx1A"
