"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation"
"1361929741","FCJ5493","NY","PAS","1970-12-18T00:00:00.000","20","SUBN","GMC","S","35030","89180","32600","20140728","0070","70","0","829379","KS14","0000","0358A",,"K","F","959","E 5 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLACK","0","2013","-","0",,,,,
"1366962000","63540MC","NY","COM","1971-02-02T00:00:00.000","46","DELV","FRUEH","P","58830","11430","11450","0","0068","68","68","928157","0068","0000","1116A",,"K","F","185","MARINE AVENUE",,"0","408","F1",,"BBBBBBB","ALL","ALL","BRN","0","2013","-","0",,,,,
"1342296187","GCY4187","NY","SRF","1971-09-18T00:00:00.000","21","VAN","FORD","S","11790","35780","57890","20150430","104","104","0","515350","QW05","0000","0939A",,,"O","60-25","56 ST",,"0","408","D1",,"BBYBBBB","0930A","1100A","BLUE","0","2002","-","0",,,,,
"1342296199","95V6675","TX","PAS","1971-09-18T00:00:00.000","21",,"GMC","S","11790","35780","57890","0","104","104","0","515350","QW05","0000","0945A",,,"F","60-12","56 ST",,"0","408","D1",,"BBYBBBB","0930A","1100A","SILVR","0","2008","-","0",,,,,
"1342296217","FYM5117","NY","SRF","1971-09-18T00:00:00.000","21","SUBN","NISSA","S","28190","55690","11590","20140427","104","104","0","515350","QW05","0000","0950A",,,"O","54-14","ANDREWS AVE",,"0","408","D1",,"BBYBBBB","0930A","1100A","WHITE","0","2012","-","0",,,,,
"1356906515","GFM1421","NY","PAS","1971-09-18T00:00:00.000","40","SDN","MAZDA","X","13610","37270","37290","20150301","0033","33","33","938472","0033","0000","0914P",,"NY","F","4165","BROADWAY",,"0","408","C",,"BBBBBBB","ALL","ALL","BLK","0","2010","-","7",,,,,
"1337077380","18972BB","NY","999","1971-10-10T00:00:00.000","14","BUS","INTER","P","8440","19190","19290","20140228","115","115","115","942218","0115","0000","0115P",,"Q","F","99-01","34 AVE",,"0","408","C",,"BBBBBBB","0700A","0400P","YELLO","0","2001","-","0",,,,,
"1364523796","WNJ4730","VA","PAS","1973-04-05T00:00:00.000","14","SDN","TOYOT","P","50830","48330","56230","0","0073","73","73","936136","0073","0000","0555P",,"K","O","1017","THOMAS BOYLAND ST",,"0","408","C",,"BBBBBBB","0400P","0700P","BLK","0","0","-","0",,,,,
"1359914924","68091JZ","NY","COM","1973-07-22T00:00:00.000","46","DELV","TOYOT","P","10610","34030","34050","20140228","0010","10","401","926246","0401","0000","1216P",,"NY","O","48","7 AVE",,"0","408","F4",,"BBBBBBB","ALL","ALL","WH","0","2010","-","0",,,,,
"1355498326","EWV4127","NY","PAS","1973-08-12T00:00:00.000","21","SUBN","ACURA","X","42630","10030","10080","20140113","0068","68","0","594301","KS10","0000","0805A",,"K","F","7003","FT HAMILTON PKWY",,"0","408","D1",,"YYYYYYB","0800A","0830A","GREY","0","2005","-","0",,,,,
"1361272259","P4ZO671","99","999","1973-09-22T00:00:00.000","21","SDN","BMW","P","34550","10610","10810","0","0014","14","14","946558","0014","0000","0207A",,"NY","O","205","W 39 ST",,"0","408","E1",,"BBBBBBY","0200A","0600","BK","0","0","-","0",,,,,
"1360588267","LE44037","99","COM","1973-09-25T00:00:00.000","66","TRLR",,"S","0","40404","40404","0","0094","94","0","867970","KN09","0000","0722A",,"K","O",,"I8OMASAMMK",,"0","408","D1",,"BBBBBBB","ALL","ALL","ORANG","0","0","-","0",,,,,
