"year","borocode","borocd","assemdist","stsendist","congdist","location","address","borough","postcode","on_street","to_street","from_street","type","partner","status","xcoordin","ycoordin","femafldz","femafldt","hrcevac","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"2021","3","302","57","25","8","BRIC","647 Fulton Street","Brooklyn","11217","Rockwell Place","Fulton St","Dekalb Ave","Curbside","BRIC Arts",,"990015","190020","X","AREA OF MINIMAL FLOOD HAZARD",,"40.688236","-73.979212","2","35","33","3058597","3020950001","BK0203"
"2021","3","314","43","21","9","Flatbush Library","22 Linden Blvd","Brooklyn","11226","Linden Blvd","Flatbush Ave","Bedford Ave","Sidewalk Seating","Brooklyn Public Library",,"995855","176890","X","AREA OF MINIMAL FLOOD HAZARD",,"40.652192","-73.958177","14","40","79602","3116706","3050860015","BK1401"
"2021","3","306","51","25","7","Redhook Library","7 Wolcott Street","Brooklyn","11231","Wolcott Street","Dwight St","Richards St","Sidewalk Seating","Brooklyn Public Library",,"981407","185384","AE",,"1","40.675513","-74.010249","6","38","5301","3008650","3005770029","BK0601"
"2021","3","310","64","22","11","Bay RidgePBranch Library","7223 Ridge Blvd","Brooklyn","11209","Ridge Blvd","72nd St","73rd St","Sidewalk Seating","Brooklyn Public Library",,"976004","170240","X","AREA OF MINIMAL FLOOD HAZARD",,"40.633942","-74.029709","10","43","66","3147279","3059070001","BK1001"
"2021","3","313","46","23","8","Brighton BeachcLibrary","16 Brighton First Rd","Brooklyn","11235","Brighton First Road","Brighton Beach Ave","Brightwater Ct","Sidewalk Seating","Brooklyn Public Library",,"993560","149176","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.576125","-73.966486","13","48","36001","3245028","3086800032","BK1303"
"2021","3","316","55","20","8","BrownsvillebBranch Library","61 Glenmore Ave","Brooklyn","11212","Glenmore Ave","Watkins St",,"Sidewalk Seating","Brooklyn Public Library",,"1009595","183871","X","AREA OF MINIMAL FLOOD HAZARD",,"40.671324","-73.908634","16","41","906","3080669","3034890150","BK1602"
"2021","3","301","53","18","7","Bushwick Library","340 Bushwick Avenue","Brooklyn","11206","Bushwick Avenue","Seigel St","Moore St","Sidewalk Seating","Brooklyn Public Library",,"1001088","196037","X","AREA OF MINIMAL FLOOD HAZARD","5","40.704737","-73.93927","1","34","489","3071470","3030980019","BK0104"
"2021","3","318","59","19","8","Canarsie Branch Library","1580 Rockaway Pkwy","Brooklyn","11236","Rockaway Parkway","Avenue J","Flatlands Ave","Sidewalk Seating","Brooklyn Public Library",,"1012230","173302","X","AREA OF MINIMAL FLOOD HAZARD","4","40.642307","-73.899179","18","46","966","3230120","3082040068","BK1803"
"2021","3","302","57","25","8","Clinton HilllBranch Library","380 Washington Avenue","Brooklyn","11238","Washington Ave","Greene Ave","Lafayette Ave","Sidewalk Seating","Brooklyn Public Library",,"993768","189737","X","AREA OF MINIMAL FLOOD HAZARD",,"40.687456","-73.96568","2","35","197","3055495","3019450036","BK0204"
"2021","3","313","46","23","8","Coney IslandlBranch Library","1901 Mermaid Avenue","Brooklyn","11224","Mermaid Ave","W 19th St","W 20th St","Sidewalk Seating","Brooklyn Public Library",,"988141","149312","AE",,"1","40.576502","-73.985993","13","47","326","3189001","3070190043","BK1302"
"2021","3","314","44","17","9","Cortelyou Branch Library","1305 Cortelyou Road","Brooklyn","11226","Cortelyou Road","Argyle Rd","Rugby Rd","Sidewalk Seating","Brooklyn Public Library",,"993680","172633","X","AREA OF MINIMAL FLOOD HAZARD",,"40.64051","-73.966021","14","40","1522","3118362","3051440080","BK1402"
"2021","3","309","43","20","9","Crown HeightsiBranch Library","560 New York Avenue","Brooklyn","11225","New York Ave","Maple St","Lincoln Rd","Curbside","Brooklyn Public Library",,"998740","180143","X","AREA OF MINIMAL FLOOD HAZARD",,"40.661116","-73.947773","9","40","804","3106505","3047910046","BK0902"
"2021","3","310","46","22","11","Dyker4Branch Library","802 13th Ave","Brooklyn",,"13th Ave","82nd St","83rd St","Sidewalk Seating","Brooklyn Public Library",,"981016","163796","X","AREA OF MINIMAL FLOOD HAZARD",,,,,"43",,,,
"2021","3","310","46","22","11","Fort Hamilton Branch Library","9424 Fourth Avenue","Brooklyn","11209","Fourth Ave","94th St","95th St","Sidewalk Seating","Brooklyn Public Library",,"975665","163872","X","AREA OF MINIMAL FLOOD HAZARD",,"40.616474","-74.030944","10","43","54","3155499","3061140037","BK1001"
"2021","3","314","44","17","9","KensingtonuBranch Library","4207 18th Ave","Brooklyn","11218","18th Ave","E. 2nd St","E. 3rd St","Curbside","Brooklyn Public Library",,"991031","169347","X","AREA OF MINIMAL FLOOD HAZARD",,"40.631493","-73.97557","14","44","480","3416544","3054160014","BK1402"
"2021","3","301","53","18","12","Leonard","81 Devoe Street","Brooklyn","11211","Devoe St","Lorimer St","Leonard St","Sidewalk Seating","Brooklyn Public Library",,"998689","199212","X","AREA OF MINIMAL FLOOD HAZARD",,"40.713456","-73.947916","1","34","503","3068818","3027620021","BK0104"
"2021","3","303","56","25","8","Macon1Library","361 Lewis Avenue","Brooklyn","11233","Lewis Ave","Macon St","Halsey St","Sidewalk Seating","Brooklyn Public Library",,"1002257","188177","X","AREA OF MINIMAL FLOOD HAZARD",,"40.683161","-73.935075","3","36","295","3046408","3016650001","BK0302"
"2021","3","312","48","17","10","Mapleton Library","1702 60th Street","Brooklyn","11204","60th St","17th Ave","18th Ave","Sidewalk Seating","Brooklyn Public Library",,"987268","166304","X","AREA OF MINIMAL FLOOD HAZARD",,"40.623142","-73.989128","12","44","244","3132091","3055180004","BK1204"
"2021","3","303","56","25","8","Marcy Branch Library","617 DeKalb Avenue","Brooklyn","11216","DeKalb Ave","Nostrand Ave","Marcy Ave","Sidewalk Seating","Brooklyn Public Library",,"997829","191184","X","AREA OF MINIMAL FLOOD HAZARD",,"40.691423","-73.951034","3","36","253","3049472","3017740081","BK0301"
"2021","3","305","60","19","8","New Lots Branch Library","665 New Lots Avenue","Brooklyn","11207","New Lots Ave","Schenck Ave","Barbey St","Sidewalk Seating","Brooklyn Public Library",,"1015935","181594","X","AREA OF MINIMAL FLOOD HAZARD","4","40.665054","-73.885789","5","42","1124","3090726","3040900001","BK0503"
"2021","3","315","45","23","9","Sheepshead Bay Branch Library?","2636 E 14th St","Brooklyn","11235","E. 14th St","Shore Pkwy","Avenue Z","Sidewalk Seating","Brooklyn Public Library",,"996725","153083","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.586845","-73.955086","15","48","606","3204896","3074580020","BK1503"
"2021","3","302","57","25","8","Walt Whitman Branch Library","93 Saint Edwards Street","Brooklyn","11205","Saint Edwards St","Auburn Pl","Park Ave","Curbside","Brooklyn Public Library",,"990352","192303","X","AREA OF MINIMAL FLOOD HAZARD","5","40.694502","-73.977995","2","35","2901","3058036","3020390001","BK0203"
"2021","3","302","52","25","8","Lawrence Street","158 Lawrence Street","Brooklyn","11201","Lawrence Street","Fulton St","Willoughby St","Curbside","Downtown Brooklyn Partnership",,"988047","191290","X","AREA OF MINIMAL FLOOD HAZARD",,"40.691723","-73.986308","2","33","11","3000376","3001510001","BK0202"
"2021","3","302","52","25","8","Dekalb Market","445 Albee Square West","Brooklyn","11201","Albee Square West","Fulton St","Willoughby St","Curbside","Downtown Brooklyn Partnership",,"988839","190966","X","AREA OF MINIMAL FLOOD HAZARD",,"40.690833","-73.983452","2","33","1502","3397861","3001497501","BK0202"
"2021","3","304","54","18","7","DeKalb Library","790 Bushwick Ave","Brooklyn","11221","Bushwick Ave.","Dekalb Ave","Kosciusko St","Sidewalk Seating","Brooklyn Public Library",,"1004174","192507","X","AREA OF MINIMAL FLOOD HAZARD",,"40.695042","-73.92815","4","34","393","3073751","3032410018","BK0401"
"2021","3","309","43","20","9","Eastern Parkway Library","1044 Eastern Parkway","Brooklyn","11213","Eastern Parkway","Schenectady Ave","Utica Ave","Sidewalk Seating","Brooklyn Public Library",,"1002718","182988","X","AREA OF MINIMAL FLOOD HAZARD",,"40.668918","-73.933427","9","35","35102","3037543","3013960006","BK0901"
"2021","3","315","45","22","11","Gravesend Branch Library","303 Avenue X","Brooklyn","11223","Ave. X","Stryker St","W. 1st St","Sidewalk Seating","Brooklyn Public Library",,"992112","154374","X","AREA OF MINIMAL FLOOD HAZARD","3","40.590394","-73.971693","15","47","386","3194486","3071740096","BK1501"
"2021","3","315","41","19","9","Kings Bay Branch Library","3650 Nostrand Ave","Brooklyn","11229","Nostrand Ave","Avenue X","Avenue W","Sidewalk Seating","Brooklyn Public Library",,"1000678","156046","X","AREA OF MINIMAL FLOOD HAZARD","3","40.594972","-73.940846","15","48","59402","3202630","3074050920","BK1503"
"2021","3","315","45","22","11","Kings Highway Branch Library","2115 Ocean Pkwy","Brooklyn","11223","Ocean Ave","Kings Hwy","Wuentin Rd","Sidewalk Seating","Brooklyn Public Library",,"993867","156892","X","AREA OF MINIMAL FLOOD HAZARD","3","40.597304","-73.96537","15","47","392","3193079","3071330062","BK1501"
"2021","3","310","49","22","11","McKinley Park Branch Library","6802 Ft Hamilton Pkwy","Brooklyn","11219","Fort Hamilton Parkway","68th St","Bay Ridge Ave","Sidewalk Seating","Brooklyn Public Library",,"981043","168471","X","AREA OF MINIMAL FLOOD HAZARD",,"40.62909","-74.011554","10","43","12801","3143032","3057710012","BK1002"
"2021","3","318","59","21","8","Paerdegat Branch Library","850 E 59th St","Brooklyn","11234","E. 59th","Paerdegat Ave S","Flatlands Ave","Sidewalk Seating","Brooklyn Public Library",,"1006546","169740","X","AREA OF MINIMAL FLOOD HAZARD","3","40.632546","-73.919672","18","46","722","3214944","3077620053","BK1801"
"2021","3","316","55","19","9","Stone Avenue Library","581 Mother Gaston Blvd","Brooklyn","11212","Mother Gaston Blvd","Dumont Ave","Livonia Ave","Sidewalk Seating","Brooklyn Public Library",,"1010458","181397","X","AREA OF MINIMAL FLOOD HAZARD",,"40.664531","-73.905532","16","41","910","3084596","3037940018","BK1602"
"2021","3","307","44","21","9","Windsor Terrace Library","160 E 5th St","Brooklyn","11218","E. 5th Street","Ft. Hamilton Pkwy","Caton Ave","Sidewalk Seating","Brooklyn Public Library",,"990751","175705","X","AREA OF MINIMAL FLOOD HAZARD",,"40.648944","-73.976572","7","39","50001","3124000","3053180010","BK0701"
"2021","3","302","52","25","8","Temple Square","378 Schermerhorn St","Brooklyn","11217","Schermerhorn St.","Lafayette Ave","Flatbush Ave","Curbside + Sidewalk Seating","Downtown Brooklyn Partnership",,"989986","189341","X","AREA OF MINIMAL FLOOD HAZARD",,"40.686373","-73.979318","2","33","39","3000000","3001740013","BK0202"
"2021","2","207","80","36","13","Jerome Ave","3494 Jerome Ave","Bronx","10467","Jerome Ave","East Gun Hill Road","E. 208th St","Curbside","Jerome Gun Hill BID",,"1016981","260767","X","AREA OF MINIMAL FLOOD HAZARD",,"40.882359","-73.881633","7","11","421","2017774","2033270109","BX0703"
"2021","1","104","66","27","10","Chelsea Market","75 Ninth Ave","Manhattan","10011","W. 16th","Ninth Ave","Tenth Ave","Curbside","Jamestown Management",,"982944","209562","X","AREA OF MINIMAL FLOOD HAZARD","3","40.741876","-74.004713","4","3","83","1012541","1007130001","MN0401"
"2021","1","103","65","26","12","Essex Market","220 Broome Street","Manhattan","10002","Broome Street","Essex St","Norfolk","Curbside","Lower East Side Partnership",,"987491","200699","X","AREA OF MINIMAL FLOOD HAZARD",,"40.717549","-73.988308","3","1","18","1090554","1003527501","MN0302"
"2021","1","102","66","27","10","King Street","375 Hudson Street","Manhattan","10014","King Street","Hudson St","Greenwich St","Curbside","Hines",,"982268","204665","X","AREA OF MINIMAL FLOOD HAZARD","3","40.728435","-74.007151","2","3","37","1010379","1005990064","MN0201"
"2022","3","302","57","26","7","BRIC","647 Fulton Street","Brooklyn","11217","Rockwell Place","Fulton St","Dekalb Ave","Curbside","BRIC Arts","Permanent","990015","190020","X","AREA OF MINIMAL FLOOD HAZARD",,"40.688236","-73.979212","302","35","33","3058597","3020950001","BK0203"
"2022","2","207","80","33","15","Jerome Ave","3494 Jerome Ave","Bronx","10467","Jerome Ave","East Gun Hill Road","E. 208th St","Curbside","Jerome Gun Hill BID","Permanent","1016981","260767","X","AREA OF MINIMAL FLOOD HAZARD",,"40.882359","-73.881633","207","11","421","2017774","2033270109","BX0703"
