"objectid","meter_number","status","pay_by_cell_number","meter_hours","parking_facility_name","facility","borough","on_street","side_of_street","from_street","to_street","lat","long","x","y","location"
"11750","1083076","Active","113091","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","West 85 Street","N","Amsterdam Avenue","Broadway","40.7875051180999","-73.9765950135923","990731.235713214","226187.112964138","POINT (-73.976595013592 40.7875051181)"
"9857","1443404","Active","106172","3HR Com Mon-Fri 0800-1800",,"On Street","Manhattan","West 30 Street","N","Broadway","5 Avenue","40.7461997160805","-73.9869404709221","987868.647606388","211137.590897888","POINT (-73.986940470922 40.746199716081)"
"11780","1193006","Active","113823","3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900",,"On Street","Manhattan","Lexington Avenue","W","East 85 Street","East 84 Street","40.7784865293823","-73.9564275260737","996317.58740139","222903.46992515","POINT (-73.956427526074 40.778486529382)"
"1111","4512493","Active","427918","6HR Pas Mon-Fri 0900-2200",,"On Street","Queens","Kissena Boulevard","W","Horace Harding Expwy.","Melbourne Avenue","40.7354393855834","-73.8148380161902","1035564.53745064","207271.225271061","POINT (-73.81483801619 40.735439385583)"
"10122","1443694","Active","106557","2HR Pas Mon-Sat 0830-2200",,"On Street","Manhattan","3 Avenue","W","East 24 Street","East 25 Street","40.7399045161829","-73.9825104553208","989096.612670138","208844.263135478","POINT (-73.982510455321 40.739904516183)"
"4852","3403009","Active","304251","2 HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","Herkimer Street","N","Nostrand Avenue","New York Avenue","40.6796687964762","-73.9493132542893","998308.748117223","186902.153804556","POINT (-73.949313254289 40.679668796476)"
"15165","1273088","Active","110496","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","Lexington Avenue","W","East 97 Street","East 96 Street","40.7862044275417","-73.9507652103515","997884.20992431","225716.192646146","POINT (-73.950765210351 40.786204427542)"
"10360","1443999","Active","101527","3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200",,"On Street","Manhattan","East 40 Street","N","Madison Avenue","Park Avenue","40.751193649883","-73.9793245225676","989978.511168808","212957.447822481","POINT (-73.979324522568 40.751193649883)"
"1294","2013055","Active","208750","2 HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","Grand Concourse*W S/R","W","East 184 Street","Field Place","40.8590692136044","-73.8992450013655","1012120.76380022","252275.67824097","POINT (-73.899245001365 40.859069213604)"
"7750","1409950","Active","106429","3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300",,"On Street","Manhattan","9 Avenue","E","West 51 Street","West 50 Street","40.7638781928644","-73.9885256890533","987428.557935387","217578.372635722","POINT (-73.988525689053 40.763878192864)"
"7756","1409947","Active","102780","3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300",,"On Street","Manhattan","9 Avenue","E","West 54 Street","West 53 Street","40.7655939558329","-73.9872675322689","987776.995558724","218203.529849976","POINT (-73.987267532269 40.765593955833)"
"6495","2173043","Active","204949","2 HR Pas Mon-Sat 0900-1900",,"On Street","Bronx","Guerlain Street","N","Unionport Road","White Plains Road","40.8402149356332","-73.8635093521195","1022016.62589823","245419.743462056","POINT (-73.863509352119 40.840214935633)"
"29","4122382","Active","402606","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","84 Street","E","37 Avenue","Roosevelt Avenue","40.7480775785411","-73.8820603327511","1016928.81520772","211843.485811561","POINT (-73.882060332751 40.748077578541)"
"9034","1243070","Active","104576","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","Lafayette Street","E","Canal Street","Walker Street","40.7181314375449","-74.0007000359523","984055.946242303","200911.169421643","POINT (-74.000700035952 40.718131437545)"
"12190","2023043","Active","201206","2 HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","3 Avenue","W","East 155 Street","East 156 Street","40.8197798061713","-73.913438186786","1008208.8034483","237956.889293313","POINT (-73.913438186786 40.819779806171)"
"1745","3013615","Active","300108","6HR Pas Mon-Sat 0800-2200",,"On Street","Brooklyn","Willoughby Street","S","Ashland Place","Fleet Street","40.6918980767255","-73.9794335305904","989953.380641639","191354.238404304","POINT (-73.97943353059 40.691898076726)"
"4861","3403054","Active","337352","2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0900-1900",,"On Street","Brooklyn","Nostrand Avenue","E","Herkimer Street","Atlantic Avenue","40.6789637888874","-73.9495732232511","998236.789599717","186645.257664815","POINT (-73.949573223251 40.678963788887)"
"5769","3602967","Active","313654","2 HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","Coney Island Avenue","E","Dorchester Road","Cortelyou Road","40.6389298043529","-73.9685702288659","992972.855901882","172057.298323721","POINT (-73.968570228866 40.638929804353)"
"12920","4383117","Active","439168","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","14 Avenue","N","150 Street","149 Street","40.7887726031795","-73.8143139780685","1035668.57628456","226702.533193141","POINT (-73.814313978068 40.78877260318)"
"6496","2173042","Active","213848","2 HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","Unionport Road","W","East Tremont Avenue","Guerlain Street","40.8405826109199","-73.8631012168656","1022129.34647331","245553.877380148","POINT (-73.863101216866 40.84058261092)"
