"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"1","2020-01-01T00:28:15.000","2020-01-01T00:33:03.000","1","1.20","1","N","238","239","1","6","3","0.5","1.47","0","0.3","11.27","2.5"
"1","2020-01-01T00:35:39.000","2020-01-01T00:43:04.000","1","1.20","1","N","239","238","1","7","3","0.5","1.5","0","0.3","12.3","2.5"
"1","2020-01-01T00:47:41.000","2020-01-01T00:53:52.000","1","0.60","1","N","238","238","1","6","3","0.5","1","0","0.3","10.8","2.5"
"1","2020-01-01T00:55:23.000","2020-01-01T01:00:14.000","1","0.80","1","N","238","151","1","5.5","0.5","0.5","1.36","0","0.3","8.16","0"
"2","2020-01-01T00:01:58.000","2020-01-01T00:04:16.000","1","0.00","1","N","193","193","2","3.5","0.5","0.5","0","0","0.3","4.8","0"
"2","2020-01-01T00:09:44.000","2020-01-01T00:10:37.000","1","0.03","1","N","7","193","2","2.5","0.5","0.5","0","0","0.3","3.8","0"
"2","2020-01-01T00:39:25.000","2020-01-01T00:39:29.000","1","0.00","1","N","193","193","1","2.5","0.5","0.5","0.01","0","0.3","3.81","0"
"2","2019-12-18T15:27:49.000","2019-12-18T15:28:59.000","1","0.00","5","N","193","193","1","0.01","0","0","0","0","0.3","2.81","2.5"
"2","2019-12-18T15:30:35.000","2019-12-18T15:31:35.000","4","0.00","1","N","193","193","1","2.5","0.5","0.5","0","0","0.3","6.3","2.5"
"1","2020-01-01T00:29:01.000","2020-01-01T00:40:28.000","2","0.70","1","N","246","48","1","8","3","0.5","2.35","0","0.3","14.15","2.5"
"1","2020-01-01T00:55:11.000","2020-01-01T01:12:03.000","2","2.40","1","N","246","79","1","12","3","0.5","1.75","0","0.3","17.55","2.5"
"1","2020-01-01T00:37:15.000","2020-01-01T00:51:41.000","1","0.80","1","N","163","161","2","9.5","3","0.5","0","0","0.3","13.3","2.5"
"1","2020-01-01T00:56:27.000","2020-01-01T01:21:44.000","1","3.30","1","N","161","144","1","17","3","0.5","4.15","0","0.3","24.95","2.5"
"2","2020-01-01T00:21:54.000","2020-01-01T00:27:31.000","1","1.07","1","N","43","239","1","6","0.5","0.5","1.96","0","0.3","11.76","2.5"
"2","2020-01-01T00:38:01.000","2020-01-01T01:15:21.000","1","7.76","1","N","143","25","1","28.5","0.5","0.5","4.84","0","0.3","37.14","2.5"
"1","2020-01-01T00:15:35.000","2020-01-01T00:27:06.000","3","1.60","1","N","211","234","2","9","3","0.5","0","0","0.3","12.8","2.5"
"1","2020-01-01T00:41:20.000","2020-01-01T00:44:22.000","1","0.50","1","Y","234","90","1","4","3","0.5","1","0","0.3","8.8","2.5"
"1","2020-01-01T00:56:38.000","2020-01-01T01:13:34.000","1","1.70","1","N","246","142","2","11.5","3","0.5","0","0","0.3","15.3","2.5"
"2","2020-01-01T00:08:21.000","2020-01-01T00:25:29.000","1","8.45","1","N","138","216","2","24.5","0.5","0.5","0","0","0.3","25.8","0"
"1","2020-01-01T00:25:39.000","2020-01-01T00:27:05.000","1","0.00","1","N","170","162","4","3","3","0.5","0","0","0.3","6.8","2.5"
"1","2020-01-01T00:28:53.000","2020-01-01T00:41:59.000","1","1.50","1","N","170","161","1","9.5","3","0.5","2.65","0","0.3","15.95","2.5"
"1","2020-01-01T00:49:00.000","2020-01-01T01:17:42.000","1","2.90","1","N","161","262","1","19","3","0.5","4.55","0","0.3","27.35","2.5"
"1","2020-01-01T00:23:54.000","2020-01-01T00:38:46.000","1","1.90","1","N","236","162","1","10.5","3","0.5","2.85","0","0.3","17.15","2.5"
"1","2020-01-01T00:56:12.000","2020-01-01T01:19:57.000","1","4.20","1","N","50","261","1","18","3","0.5","4.35","0","0.3","26.15","2.5"
"1","2020-01-01T00:28:02.000","2020-01-01T00:35:56.000","2","1.50","1","N","142","236","1","7.5","3","0.5","2.8","0","0.3","14.1","2.5"
"1","2020-01-01T00:48:23.000","2020-01-01T00:53:58.000","1","0.60","1","N","237","141","1","5.5","3","0.5","1.85","0","0.3","11.15","2.5"
