"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Comfort Station – W (1801)","M","104","3","M011",,"XX-005","Wall",,,"M-04","10","9 Av To 10 Av, W 27 St To W 28 St","Chelsea Park","Spanish","1801","1801-005","Installed","Consolidated Rules Sign",,,"Chinese","10001","POINT (-74.00084774632717 40.74984005761562)"
"Comfort Station","M","101","1","M386",,"XX-005","Wall",,,"M-01","1","Front St., John St., and South St.","Imagination Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"47734","Chinese","10038","POINT (-74.00400384962174 40.70621098588113)"
"Park with Dog Run; No Off Leash (2403)","M","109","9","M077",,"XX-005","None / Free Standing",,"M077-ZN01","M-09","26","St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St.","St. Nicholas Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign","St Nicholas Park Zone 01","34297","Chinese","10027","POINT (-73.94847463289145 40.81725272114396)"
"Athletic Field / Court - Hours (1500)","Q","411","19","Q364",,"XX-016","Chain Link Fence - 2""",,,"Q-11","111","46 Ave., 46 Rd. bet. Oceania St. and 211 St.","Marie Curie Playground","Chinese","1500","1500-016","Installed","Consolidated Rules Sign",,"28258","Korean","11361","POINT (-73.77254646362265 40.756972466792504)"
"Athletic Field / Court - Hours (1500)","Q","414","31",,,"XX-008","Chain Link Fence - 1""",,,,"101",,,"Spanish","1500","1500-008","Surveyed","Consolidated Rules Sign",,"29053","Russian","11691","POINT (-73.7654297145514 40.60216076551495)"
"Existing Routed Sign","B","315","48","B166B",,"XX-015","Chain Link Fence - 1""",,,"B-15","61","Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave","Homecrest Playground","Chinese",,,"Installed","Routed Sign",,"31513","Russian","11235","POINT (-73.95709827109104 40.58678437966501)"
"Comfort Station","Q","412","28","Q427",,"XX-004","Wall",,,"Q-12","113","134 Rd. and 173 St.","South Rochdale Playground","Spanish",,,"Surveyed","Consolidated Rules Sign",,"26632","Bengali","11434","POINT (-73.76894561665901 40.67404408920157)"
"Park without Dog Run; No Off-Leash (2401)","B","312","44","B042",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-12","66","18 Ave., 19 Ave., bet. 55 St. and 58 St.","Gravesend Park","Spanish","2401","2401-006","Installed","Consolidated Rules Sign",,"30889","Yiddish","11204","POINT (-73.98475566364034 40.624297720224014)"
"Comfort Station  – M (1800)","B","311","43","B277",,"XX-015","Wall",,,"B-11","62","Bath Ave. between Bay 22 St. and Bay 23 St.","Benson Playground","Chinese","1800","1800-015","Installed","Consolidated Rules Sign",,"30606","Russian","11214","POINT (-74.0022834593539 40.602358305147284)"
"Comfort Station – W (1801)","B","309","41","B193",,"XX-007","Wall",,,"B-09","71","Albany Ave., E. New York Ave., Lefferts Ave.","Hamilton Metz Field","Spanish","1801","1801-007","Installed","Consolidated Rules Sign",,"30026","French Creole","11203","POINT (-73.9406459041677 40.66262814578774)"
"Dog Run (1900)","B","301","34","B055",,"XX-006","Chain Link Fence - 2""",,,"B-01","90","Lorimer St. bet. Montrose Ave. and Boerum St.","Sternberg Park","Spanish","1900","1900-006","Installed","Consolidated Rules Sign",,"29933","Yiddish","11206","POINT (-73.94695645771512 40.706173197913344)"
"Existing Routed Sign","B","306","38","B077",,"XX-001","Chain Link Fence - 2""",,,"B-06","76","Verona St. bet. Richard St. and Dwight St.","Coffey Park","Spanish",,,"Installed","Routed Sign",,"29766","French","11231","POINT (-74.0098766943616 40.67747765893831)"
"Athletic Field / Court - Hours (1500)","B","301","33","B346",,"XX-006","Chain Link Fence - 2""",,,"B-01","94","Manhattan Ave. and Leonard St.","Ericsson Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"29507","Yiddish","11222","POINT (-73.94863933132164 40.720627854491596)"
"Athletic Field / Court - Hours (1500)","B","305","42","B261",,"XX-008","Chain Link Fence - 1""",,,"B-05","75","Livonia Ave. between Barbey St. and Schenck Ave.","Sankofa Park","Spanish","1500","1500-008","Installed","Consolidated Rules Sign",,"29228","Russian","11207","POINT (-73.88585119280296 40.665769615289875)"
"Track (2900)","X","201","8","X045",,"XX-001","None / Free Standing","St. Mary's Track","X045-ZN01","X-01","40","St Mary's St bet. St Ann's Av and Jackson Av","St. Mary's Park","Spanish","2900","2900-001","Installed","Consolidated Rules Sign","St Mary's Park Zone 1",,"French","10454","POINT (-73.91116412434705 40.810606233258845)"
,"M","111","8","M104",,"XX-005","None / Free Standing",,"M104-ZN01","M-11R","25","East River and Harlem River","Randall's Island Park","Spanish",,,"Installed","Wayfinding Sign","Bronx Shore",,"Chinese","10035","POINT (-73.92572666291643 40.80013255949616)"
"Existing Routed Sign","B","303","33","B105",,"XX-006","Chain Link Fence - 2""",,,"B-03","79","Taaffe Pl. bet. Park Ave. and Myrtle Ave.","Taaffe Playground","Spanish",,,"Installed","Routed Sign",,"29192","Yiddish","11205","POINT (-73.9610835502135 40.69616291195568)"
,"M","111","8","M104",,"XX-005","None / Free Standing",,"M104-ZN04","M-11R","25","East River and Harlem River","Randall's Island Park","Spanish",,,"Installed","Wayfinding Sign","Central Spine",,"Chinese","10035","POINT (-73.91984365742904 40.795184941117206)"
"Barbecue Area (1600)","X","202","17","X336",,"XX-001","None / Free Standing",,,"X-14","41","Lafayette Av bet. Edgewater Rd and the Bronx River","Hunts Point Riverside Park","Spanish","1600","1600-001","Installed","Consolidated Rules Sign",,,"French","10474","POINT (-73.88180323083571 40.817542468754816)"
,"B","306","39","B118A",,"XX-001",,,,"B-06","76","Smith St. bet. Luquer St. and Nelson St.","St. Mary's Park","Spanish",,,,"Other Sign",,,"French","11231","POINT (-73.99716498876586 40.6765351846626)"
"Comfort Station – W (1801)","M","111","8","M208A",,"XX-005","Wall",,,"M-11","25","Lexington Ave., E. 128 St. to E. 129 St.","Alice Kornegay Triangle","Spanish","1801","1801-005","Installed","Consolidated Rules Sign",,,"Chinese","10035","POINT (-73.93525628568044 40.79753027453195)"
"Cemetery  (3400)","R","502","50","R156",,"XX-005","None / Free Standing",,,"R-02","121","Victory Blvd. and Glen St.","Sylvan Grove Cemetery","Spanish","3400","3400-005","Surveyed","Consolidated Rules Sign",,,"Chinese","10314","POINT (-74.19184733198811 40.59109070916113)"
