"recordid","address","house_number","street","zip_original","cb_original","site","species","diameter","condition","wires","sidewalk_condition","support_structure","borough","x","y","longitude","latitude","cb_new","zip_new","censustract_2010","censusblock_2010","nta_2010","segmentid","spc_common","spc_latin","location","council_district","bin","bbl"
"1","245 E 17 ST","245","E 17 ST","10003","106","Front","PLAC","8","Unknown","None","NA","None","Manhattan","988618.9688","206893.764","-73.984235","40.734551","106","10003","48","2000","MN21","33134","LONDON PLANETREE","PLATANUS ACERIFOLIA","(40.734551, -73.984235)","2","1019566","1008980025"
"2","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","7","Good","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"3","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","6","Good","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"4","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","7","Excellent","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"5","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","6","Good","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"6","80 N MOORE ST","80","N MOORE ST","10013","101","Side","SOJA","6","Good","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","JAPANESE PAGODA TREE","SOPHORA JAPONICA","(40.720159, -74.010532)","1","1083157","1001420025"
"7","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","7","Excellent","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"8","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","7","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"9","80 N MOORE ST","80","N MOORE ST","10013","101","Side","SOJA","4","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","JAPANESE PAGODA TREE","SOPHORA JAPONICA","(40.720159, -74.010532)","1","1083157","1001420025"
"10","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","7","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"11","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","4","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"12","80 N MOORE ST","80","N MOORE ST","10013","101","Side","ACPL","4","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"13","80 N MOORE ST","80","N MOORE ST","10013","101","Side","QUPA","3","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","OAK, PIN","QUERCUS PALUSTRIS","(40.720159, -74.010532)","1","1083157","1001420025"
"14","40 HARRISON ST","40","HARRISON ST","10013","101","Front","TICO","2","Poor","None","Good","None","Manhattan","981294.7261","201166.9867","-74.010661","40.718833","101","10013","39","2001","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718833, -74.010661)","1","1083235","1001420025"
"15","40 HARRISON ST","40","HARRISON ST","10013","101","Front","FRPE","5","Poor","None","Good","None","Manhattan","981294.7261","201166.9867","-74.010661","40.718833","101","10013","39","2001","MN24","164122","ASH, GREEN","FRAXINUS PENNSYLVANICA","(40.718833, -74.010661)","1","1083235","1001420025"
"16","40 HARRISON ST","40","HARRISON ST","10013","101","Front","FRPE","4","Good","None","Good","None","Manhattan","981294.7261","201166.9867","-74.010661","40.718833","101","10013","39","2001","MN24","164122","ASH, GREEN","FRAXINUS PENNSYLVANICA","(40.718833, -74.010661)","1","1083235","1001420025"
"17","25 HARRISON ST","25","HARRISON ST","10013","101","Front","TICO","6","Excellent","None","Good","None","Manhattan","981358.8102","201157.245","-74.01043","40.718806","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718806, -74.01043)","1","1083360","1001420010"
"18","27 HARRISON ST","27","HARRISON ST","10013","101","Front","TICO","11","Excellent","None","Good","None","Manhattan","981344.5104","201159.4187","-74.010481","40.718812","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718812, -74.010481)","1","1077215","1001420011"
"19","29 HARRISON ST","29","HARRISON ST","10013","101","Front","TICO","8","Good","None","Good","None","Manhattan","981330.2107","201161.5925","-74.010533","40.718818","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718818, -74.010533)","1","1001536","1001420013"
"20","29 HARRISON ST","29","HARRISON ST","10013","101","Front","TICO","9","Excellent","None","Good","None","Manhattan","981330.2107","201161.5925","-74.010533","40.718818","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718818, -74.010533)","1","1001536","1001420013"
"21","33 HARRISON ST","33","HARRISON ST","10013","101","Front","TICO","12","Excellent","None","Good","None","Manhattan","981301.6113","201165.94","-74.010636","40.71883","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.71883, -74.010636)","1","1001538","1001420016"
"22","33 HARRISON ST","33","HARRISON ST","10013","101","Front","TICO","10","Excellent","None","Good","None","Manhattan","981301.6113","201165.94","-74.010636","40.71883","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.71883, -74.010636)","1","1001538","1001420016"
"89","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","4","Good","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"23","33 HARRISON ST","33","HARRISON ST","10013","101","Front","TICO","10","Excellent","None","Good","None","Manhattan","981301.6113","201165.94","-74.010636","40.71883","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.71883, -74.010636)","1","1001538","1001420016"
"24","37 HARRISON ST","37","HARRISON ST","10013","101","Front","TICO","10","Excellent","None","Good","None","Manhattan","981273.0117","201170.2875","-74.010739","40.718842","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718842, -74.010739)","1","1001539","1001420017"
"25","39 HARRISON ST","39","HARRISON ST","10013","101","Front","TICO","11","Excellent","None","Good","None","Manhattan","981258.7119","201172.4614","-74.010791","40.718848","101","10013","39","3000","MN24","164122","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718848, -74.010791)","1","1001540","1001420018"
"26","41 HARRISON ST","41","HARRISON ST","10013","101","Across","GLTR","9","Poor","None","Good","None","Manhattan","981244.4123","201174.6351","-74.010843","40.718854","101","10013","39","3000","MN24","164122","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.718854, -74.010843)","1","1001541","1001420019"
"27","39 HARRISON ST","39","HARRISON ST","10013","101","Across","GLTR","6","Poor","None","Good","None","Manhattan","981258.7119","201172.4614","-74.010791","40.718848","101","10013","39","3000","MN24","164122","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.718848, -74.010791)","1","1001540","1001420018"
"28","37 HARRISON ST","37","HARRISON ST","10013","101","Across","GLTR","8","Poor","None","Good","None","Manhattan","981273.0117","201170.2875","-74.010739","40.718842","101","10013","39","3000","MN24","164122","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.718842, -74.010739)","1","1001539","1001420017"
"29","33 HARRISON ST","33","HARRISON ST","10013","101","Across","GLTR","7","Poor","None","Good","None","Manhattan","981301.6113","201165.94","-74.010636","40.71883","101","10013","39","3000","MN24","164122","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71883, -74.010636)","1","1001538","1001420016"
"30","33 HARRISON ST","33","HARRISON ST","10013","101","Across","GLTR","10","Poor","None","Good","None","Manhattan","981301.6113","201165.94","-74.010636","40.71883","101","10013","39","3000","MN24","164122","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.71883, -74.010636)","1","1001538","1001420016"
"31","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"32","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
