"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"10600119","2002-01-01T00:00:00.000","11:00:00","2006-02-25T00:00:00.000","11:00:00",,"2006-03-06T00:00:00.000","104","RAPE","157","RAPE 1","COMPLETED","FELONY","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"45-64","WHITE","M",,,,,"(null)","(null)","18-24","WHITE","F"
"11052575","2005-04-22T00:00:00.000","02:00:00",,"(null)",,"2006-04-22T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","BLACK","M"
"10832306","2005-07-11T00:00:00.000","20:00:00","2006-03-29T00:00:00.000","12:00:00",,"2006-03-29T00:00:00.000","353","UNAUTHORIZED USE OF A VEHICLE","462","UNAUTHORIZED USE VEHICLE 3","COMPLETED","MISDEMEANOR","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","WHITE","M",,,,,"(null)","(null)","45-64","WHITE","M"
"10107192","2005-10-19T00:00:00.000","20:30:00",,"(null)",,"2006-01-13T00:00:00.000","126","MISCELLANEOUS PENAL LAW","461","UNAUTHORIZED USE VEHICLE 2","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","BLACK","F",,,,,"(null)","(null)","25-44","BLACK","F"
"23893731","2005-12-04T00:00:00.000","09:00:00","2006-08-09T00:00:00.000","17:00:00",,"2006-08-09T00:00:00.000","109","GRAND LARCENY","405","LARCENY,GRAND BY THEFT OF CREDIT CARD","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","WHITE","F"
"10049834","2006-01-09T00:00:00.000","21:56:00",,"(null)",,"2006-01-09T00:00:00.000","105","ROBBERY","388","ROBBERY,RESIDENTIAL COMMON AREA","ATTEMPTED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","BLACK","M",,,,,"(null)","(null)","25-44","BLACK","M"
"10142316","2006-01-11T00:00:00.000","08:00:00","2006-01-11T00:00:00.000","08:30:00",,"2006-01-11T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","(null)","(null)","N.Y. HOUSING POLICE","2","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","65+","BLACK HISPANIC","M"
"10097651","2006-01-13T00:00:00.000","04:00:00","2006-01-13T00:00:00.000","04:20:00",,"2006-01-13T00:00:00.000","106","FELONY ASSAULT","109","ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","WHITE HISPANIC","M"
"10107697","2006-01-15T00:00:00.000","13:20:00","2006-01-15T00:00:00.000","13:45:00",,"2006-01-15T00:00:00.000","341","PETIT LARCENY","333","LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","BLACK","M",,,,,"(null)","(null)","(null)","UNKNOWN","D"
"10168664","2006-01-22T00:00:00.000","22:55:00",,"(null)",,"2006-01-22T00:00:00.000","347","INTOXICATED & IMPAIRED DRIVING","905","INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","(null)","UNKNOWN","E"
