"the_geom","oftcode","boroughcod","onstreetna","fromstreet","tostreetna"
"POINT (-73.82686748391384 40.7610924364767)","409140465490 00000","Q","CHERRY STREET","UNION STREET",
"POINT (-73.97595023386903 40.683513231631835)","305580313430000000","B","5 AVENUE","ATLANTIC AVENUE",
"POINT (-74.002459068493 40.711570089759576)","112420125490000000","M","AVENUE OF THE FINEST","MADISON STREET",
"POINT (-73.99075515244752 40.71455407281723)","114010116410000000","M","CANAL STREET","DIVISION STREET",
"POINT (-73.98680764156742 40.72977688979805)","110110117190000000","M","2 AVENUE","EAST   10 STREET",
"POINT (-73.98823761463858 40.74913016901396)","110510123505000000","M","6 AVENUE","J A LOBBIA BIKE LANE",
"POINT (-73.7581145203971 40.76205389711495)","410595411665000000","Q","CROSS ISLAND PKWY SB ET   31 W","CROSS ISLD PKWY EN NORTHERN BLVD",
"POINT (-73.96635927131194 40.7647318017787)","124890118250000000","M","LEXINGTON AVENUE","EAST 63 STREET",
"POINT (-73.8680588533605 40.69118395786256)","338730352730000000","B","ELDERT LANE","JAMAICA AVENUE",
"POINT (-73.98612278195425 40.66146895505387)","305780372430000000","B","7 AVENUE","PROSPECT AVENUE",
"POINT (-73.90888353414915 40.66996094673552)","368630370930000000","B","OSBORN STREET","PITKIN AVENUE",
"POINT (-73.99858359743602 40.71346846113712)","114930145490000000","M","CHATHAM SQUARE","WORTH STREET",
"POINT (-73.99150544479963 40.72102759977968)","120640129890000000","M","FORSYTH STREET","RIVINGTON STREET",
"POINT (-73.86634232855248 40.865449472257176)","208320222920000000","X","ALLERTON AVENUE","CRUGER AVENUE",
"POINT (-73.88789510994495 40.82674318522514)","226670276950000000","X","EAST  167 STREET","WESTCHESTER AVENUE",
"POINT (-74.14576716495768 40.624957456406825)","510050529150000000","S","PORT RICHMOND AVENUE","FOREST AVENUE",
"POINT (-73.9824297558826 40.716682891040584)","116316145390000000","M","DELANCEY ST SOUTH","WILLETT STREET",
"POINT (-73.97936297639154 40.686682000010315)","340930354130000000","B","FLATBUSH AVENUE","LAFAYETTE AVENUE",
"POINT (-74.10525775499735 40.585921435574576)","544900534595000000","S","RICHMOND ROAD","JEFFERSON AVENUE",
"POINT (-73.9945780677693 40.685100142427494)","324230329830000000","B","BUTLER STREET","COURT STREET",
"POINT (-73.93088430131385 40.8481189380799)","100200137370000000","M","WASHINGTON BRIDGE","WEST  181 STREET",
"POINT (-74.12306659782264 40.63407791207783)","521950550900000000","S","CASTLETON AVENUE","TAYLOR STREET",
"POINT (-74.14070528742339 40.605630392973154)","555100556370000000","S","WESTWOOD AVENUE","WOOLLEY AVENUE",
"POINT (-73.93373079502743 40.84932129853783)","131190137370000000","M","ST NICHOLAS AVENUE","WEST  181 STREET",
"POINT (-73.99559266509311 40.72819344942623)","125990133890000000","M","MERCER STREET","WEST    3 STREET",
"POINT (-73.90669984732023 40.87339676249324)","249460274890000000","X","MAJOR DEEGAN EXPRESSWAY","WEST  225 STREET",
"POINT (-73.96210267157325 40.59820611361579)","314630335180000000","B","AVENUE U","EAST    9 STREET",
"POINT (-73.98640436719195 40.75580802892451)","113610134610000000","M","BROADWAY","WEST   42 STREET",
"POINT (-73.97878754706609 40.74768436295357)","124890117710000000","M","LEXINGTON AVENUE","EAST 36 STREET",
"POINT (-73.99482296027581 40.75767277844189)","134570116920000000","M","WEST   40 STREET","DYER AVENUE","LINC TUNNEL BUS APPROACH"
"POINT (-73.96480079543775 40.75998213888337)","118150110110000000","M","EAST   58 STREET","2 AVENUE","QNSBORO BRIDGE APPROACH"
"POINT (-74.10746311888948 40.63036687805093)","529150536020000000","S","FOREST AVENUE","LAWRENCE AVENUE",
"POINT (-73.84623480082261 40.84449021644778)","229820264920000000","X","EASTCHESTER ROAD","SILVER STREET",
"POINT (-73.97245776615704 40.74565058835535)","113113197730000000","M","BEND","QNS MDTWN TUNNEL ENTRANCE",
"POINT (-73.93921533013938 40.848686013145084)","121190137310000000","M","FT WASHINGTON AVENUE","WEST  178 STREET",
"POINT (-73.9015976499054 40.88346703583611)","214920275080000000","X","BROADWAY","WEST  236 STREET",
"POINT (-73.9964722852673 40.67743865927091)","305480305630000000","B","4 PLACE","5 STREET",
"POINT (-73.99133264589328 40.7653092689384)","134790111010000000","M","WEST 51 STREET","10 AVENUE",
"POINT (-73.9982255086107 40.71324346091984)","127490145490000000","M","OLIVER STREET","WORTH STREET",
"POINT (-74.15225836003349 40.62551412905757)","527765529150000000","S","EUNICE PLACE","FOREST AVENUE",
"POINT (-73.99798485387625 40.71272772105187)","122690127490000000","M","HENRY STREET","OLIVER STREET",
"POINT (-73.98280727789141 40.76171851603331)","134790110610000000","M","W 51 ST","7 AVE","6 ave"
"POINT (-73.9213184903118 40.83990334073689)","212550225420000000","X","BEND","EDWARD L GRANT HIGHWAY",
"POINT (-73.9985806269341 40.713469761437715)","127890114930000000","M","PARK ROW","CHATHAM SQUARE","DEAD END"
"POINT (-74.00609031783212 40.70991258274474)","111750145440000000","M","ANN STREET","WILLIAM STREET",
"POINT (-74.12838117424708 40.612640825424535)","523250553000000000","S","CLERMONT PLACE","VICTORY BOULEVARD",
"POINT (-74.07523840204101 40.64212058962588)","519290545050000000","S","NICK LAPORTE PLACE","RICHMOND TERRACE",
"POINT (-73.99866067185415 40.75525176278695)","134470111010000000","M","WEST 35 STREET","10 AVENUE",
"POINT (-73.9352226449 40.69698654493141)","353130363030000000","B","JEFFERSON STREET","MYRTLE AVENUE",
"POINT (-73.95932926457341 40.652928178672454)","340930325130000000","B","FLATBUSH AVENUE","CATON AVENUE",
"POINT (-73.92316966701912 40.69012340618375)","323230373050000000","B","BROADWAY","QUINCY STREET",
"POINT (-74.12693461730508 40.5783905766096)","541000545224000000","S","NUGENT STREET","ROCKLAND AVENUE",
"POINT (-73.80174534309124 40.66587323720009)","400004462890000000","Q","VAN WYCK EXPWY ET    1 B-2 NB","SOUTH CONDUIT AVENUE",
"POINT (-73.96752994826356 40.79285856792684)","115710135690000000","M","COLUMBUS AVENUE","WEST   96 STREET",
"POINT (-73.87460867951276 40.829502905157725)","252320252710000000","X","MORRISON AVENUE","NYCTA SUBWAY",
"POINT (-74.00302949478402 40.71558506522662)","124390145490000000","M","LAFAYETTE STREET","WORTH STREET",
"POINT (-73.84324381424452 40.75533680302751)","461090421690000000","Q","ROOSEVELT AVENUE","126 STREET",
"POINT (-73.99062219865394 40.75099175348207)","110610134450000000","M","7 AVENUE","WEST   34 STREET",
"POINT (-73.98913191473136 40.60645613698405)","317330354050000000","B","BAY PARKWAY","KINGS HIGHWAY",
"POINT (-73.87069597154961 40.67818166229474)","330430355830000000","B","CRESCENT STREET","LIBERTY AVENUE",
"POINT (-74.0044477722549 40.7227176513078)","121690132590000000","M","GRAND STREET","THOMPSON STREET",
"POINT (-73.91649247828875 40.74291220850118)","447990461090000000","Q","GREENPOINT AVENUE","ROOSEVELT AVENUE",
"POINT (-73.98667933249742 40.73397805499996)","110210117290000000","M","3 AVENUE","EAST   15 STREET",
"POINT (-73.98065842673668 40.74511582476058)","124890117630000000","M","LEXINGTON AVENUE","EAST 32 STREET",
"POINT (-73.98182244341973 40.75219712652791)","117790110410000000","M","EAST 40 STREET","5 AVENUE",
"POINT (-73.90231269756677 40.64513470474325)","344430373480000000","B","GLENWOOD ROAD","ROCKAWAY PARKWAY",
"POINT (-73.89321520814426 40.85987420599136)","227300273720000000","X","EAST  188 STREET","WEBSTER AVENUE",
"POINT (-73.97285250557616 40.76161435705157)","118110125390000000","M","EAST   56 STREET","MADISON AVENUE",
"POINT (-73.97696049646035 40.75598010950495)","117930125390000000","M","EAST   47 STREET","MADISON AVENUE",
"POINT (-73.99159842585331 40.6005803658943)","307430310880000000","B","23 AVENUE","86 STREET",
"POINT (-73.98322227077486 40.612122208759835)","309980317330000000","B","68 STREET","BAY PARKWAY",
"POINT (-74.00998739167369 40.70980567209297)","113610125630000000","M","BROADWAY","MAIDEN LANE",
"POINT (-73.9685421443553 40.67854305448688)","380430387330000000","B","ST MARKS AVENUE","VANDERBILT AVENUE",
"POINT (-74.13654090380082 40.63334296014781)","542540544750000000","S","PALMER AVENUE","RICHMOND AVENUE",
"POINT (-73.77525918819018 40.667047265667634)","424840462890000000","Q","175 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.87462946324501 40.748613928054006)","418490461090000000","Q","92 STREET","ROOSEVELT AVENUE",
"POINT (-73.9891257982887 40.74135773451436)","113610117450000000","M","BROADWAY","EAST   23 STREET",
"POINT (-74.12780536222559 40.61268600602188)","529425553000000000","S","GANSEVOORT BOULEVARD","VICTORY BOULEVARD",
"POINT (-73.85135379071384 40.72257509069306)","415700428990000000","Q","PEDESTRIAN WAY","AUSTIN STREET",
"POINT (-73.99685244972672 40.757732709236315)","111010197500000000","M","10 AVENUE","LINCOLN TUNNEL EXIT",
"POINT (-73.99305112048144 40.60147642755335)","310880316780000000","B","86 STREET","BAY   31 STREET",
"POINT (-73.9717128401686 40.75049380686066)","110110117850000000","M","2 AVENUE","EAST   43 STREET",
"POINT (-73.99899603867293 40.605055704733715)","310880316530000000","B","86 STREET","BAY   23 STREET",
"POINT (-73.95066807793656 40.66807246023987)","367030372230000000","B","NOSTRAND AVENUE","PRESIDENT STREET",
"POINT (-73.98931273057963 40.665566336950064)","305580306630000000","B","5 AVENUE","15 STREET",
"POINT (-73.99939955105104 40.70810033776007)","197280197780000000","M","FDR DRIVE ENTRANCE NB","BROOKLYN BRIDGE",
"POINT (-73.8680588533605 40.69118395786256)","443390451090000000","Q","ELDERT LANE","JAMAICA AVENUE",
"POINT (-74.01497963708033 40.640625468447816)","305580309480000000","B","5 AVENUE","58 STREET",
"POINT (-74.00500225440301 40.70685251831761)","124050133490000000","M","JOHN STREET","WATER STREET",
"POINT (-74.01526706638506 40.70487663093416)","112670197030000000","M","BATTERY PLACE","BK BATTERY TUNNEL ENTRANCE",
"POINT (-73.91119580651433 40.854822293726215)","270620274570000000","X","UNIVERSITY AVENUE","WEST  179 STREET",
"POINT (-73.84246622549836 40.76243435209105)","467656457790000000","Q","WHITESTONE EXPRESSWAY","NORTHERN BOULEVARD",
"POINT (-73.96206392645503 40.76373428473627)","118270110110000000","M","EAST 64 STREET","2 AVENUE",
"POINT (-73.9402628150581 40.750967100487166)","407300410010000000","Q","CRESCENT STREET","RAMP",
"POINT (-73.9969423055903 40.75937739371901)","134590197480000000","M","WEST   41 STREET","LINCOLN TNNL APPROACH",
"POINT (-73.98356833597427 40.78535877224942)","100023110720000000","M","HENRY HUDSON PARKWAY ET   10 NB","HENRY HUDSON PY NB EN W   79 EB",
"POINT (-73.95915730314285 40.608383525503676)","335430354050000000","B","EAST   14 STREET","KINGS HIGHWAY",
"POINT (-74.03163907998064 40.62204849112868)","305280310980000000","B","3 AVENUE","88 STREET",
"POINT (-73.9739884565005 40.730967962372176)","112310112320000000","M","AVENUE C","AVENUE C LOOP",
"POINT (-73.83834358182023 40.66798902591335)","457550465070000000","Q","NORTH CONDUIT AVENUE","TAHOE STREET",
"POINT (-73.99904750028178 40.76365664466861)","116400134670000000","M","DEAD END","WEST   45 STREET",
"POINT (-73.95640210951221 40.59883320638861)","335480314630000000","B","EAST 15 STREET","AVENUE U",
"POINT (-73.86942458590592 40.74915685117135)","451790461090000000","Q","JUNCTION BOULEVARD","ROOSEVELT AVENUE",
"POINT (-73.98771123795991 40.77537317237227)","144990135070000000","M","WEST END AVENUE","WEST 65 STREET",
"POINT (-74.13040043843758 40.582758968711566)","537850538970000000","S","MANOR ROAD","MEISNER AVENUE",
"POINT (-73.8495231640462 40.84027319840141)","224920241150000000","X","DORSEY STREET","HUBBELL STREET",
"POINT (-73.82517604266268 40.66612856213384)","420940457550000000","Q","116 STREET","NORTH CONDUIT AVENUE",
"POINT (-73.91290025084074 40.81613321488858)","257430276950000000","X","PCRR HARLEM DIV","WESTCHESTER AVENUE",
"POINT (-73.98725675165663 40.62202191714384)","306880309580000000","B","18 AVENUE","60 STREET",
"POINT (-73.96106754483344 40.760858092330764)","118210110010000000","M","EAST 61 STREET","1 AVENUE",
"POINT (-74.1020799003274 40.588741751482154)","526150544900000000","S","DONGAN HILLS AVENUE","RICHMOND ROAD",
"POINT (-74.16793354824415 40.62240118799008)","548500556197000000","S","SOUTH AVENUE","WOLKOFF LANE",
"POINT (-73.99356194840118 40.757143858185714)","110910134570000000","M","9 AVENUE","WEST   40 STREET",
"POINT (-73.85544701066983 40.83746328988956)","266320267545000000","X","ST RAYMOND'S AVENUE","SYCAMORE DRIVE",
"POINT (-74.09798651166746 40.594929686669865)","516950544900000000","S","ATLANTIC AVENUE","RICHMOND ROAD",
"POINT (-73.97844980454764 40.759065013738265)","129900134770000000","M","ROCKEFELLER PLAZA","WEST   50 STREET",
"POINT (-73.97559123969421 40.75785965892448)","125390117990000000","M","MADISON AVENUE","EAST 50 STREET",
"POINT (-73.98569571320023 40.74400764147812)","117550125390000000","M","EAST   28 STREET","MADISON AVENUE",
"POINT (-73.99871270652048 40.739880877632956)","110610134090000000","M","7 AVENUE","WEST   16 STREET",
"POINT (-73.8222410409228 40.666120876528716)","453490457550000000","Q","LEFFERTS BOULEVARD","NORTH CONDUIT AVENUE",
"POINT (-73.80287489294123 40.7614485281926)","424190464190000000","Q","163 STREET","STATION ROAD",
"POINT (-74.13990825305453 40.6302416349469)","533380544750000000","S","HOOKER PLACE","RICHMOND AVENUE",
"POINT (-73.85172228545115 40.84026673532221)","216320279050000000","X","BUCK STREET","ZEREGA AVENUE",
"POINT (-73.90557924484479 40.745391358738765)","412390457900000000","Q","59 STREET","NYCTA SUBWAY",
"POINT (-73.97787486264026 40.754728721461724)","125390117890000000","M","MADISON AVENUE","EAST 45 STREET",
"POINT (-73.8075920970608 40.6662210392068)","422040462890000000","Q","132 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.91763192897551 40.75385784805871)","410240457790000000","Q","45 STREET","NORTHERN BOULEVARD",
"POINT (-73.9628083235832 40.61766636374791)","314230326005000000","B","AVENUE M","CHESTNUT AVENUE",
"POINT (-73.97551988410257 40.68675683574344)","342730379030000000","B","FULTON STREET","SOUTH ELLIOTT PLACE",
"POINT (-73.96593450883941 40.77109957970915)","118410125390000000","M","EAST   71 STREET","MADISON AVENUE",
"POINT (-73.93077088683458 40.8606407054397)","113610137620000000","M","BROADWAY","WEST  196 STREET",
"POINT (-73.89347879988937 40.87118841968494)","242820257220000000","X","JEROME AVENUE","PARKVIEW TERRACE",
"POINT (-73.98131180575278 40.741350923371456)","117530110210000000","M","EAST 27 STREET","3 AVENUE",
"POINT (-74.14120356646835 40.61130510097294)","553000556370000000","S","VICTORY BOULEVARD","WOOLLEY AVENUE",
