"projectcode","groupowner","locationdescription","borough","description","projectstatus","nextstep","dateadded","bctsnum","ccunum","requestorletterreplydate","cbletterrequestdate","cbletterrecieveddate","oldsign","newsign","markingsdate","installationdate","secondstudycode","closeddate","speedcushion","requestdate","requestortype","segmentid","onstreet","fromstreet","tostreet","geoboroughname","lionkey","fromlatitude","fromlongitude","tolatitude","tolongitude","oft","cb","segmentstatus","segmentstatusdescription","denialreason","numsrproposed","trafficdirection","trafficdirectiondesc","oldsign1","newsign1","oldsign2","newsign2"
"SR-20210914-26478","SI BC","FORT PLACE from ST MARKS PLACE to DANIEL LOW TERRACE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T15:03:28.000","DOT-515279-L3M7",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:01:00.000","No","2021-08-24T00:00:00.000","Citizen","16378","FORT PLACE","ST MARKS PLACE","MONTGOMERY AVENUE","Staten Island","5275600010","40.642116","-74.078199","40.641997","-74.078848","529300549100539650","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210915-26490","Queens BC","215 PLACE from 33 AVENUE to 33 ROAD","Queens","Citizen speed hump request due to speeding concerns. Also, DOT-515656-C1J1.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-15T11:15:59.000","DOT-515576-T6Y9",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:01:00.000","No","2021-08-26T00:00:00.000","Citizen","99352","215 PLACE","33 AVENUE","33 ROAD","Queens","4694400057","40.773011","-73.769999","40.772028","-73.769648","426590408290408340","411","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210920-26549","Queens BC","MARSDEN STREET from SMITH STREET to 120 AVENUE","Queens","Citizen speed hump request due to speeding concerns. SMITH STREET to 118 AVENUE was recently studied and found not feasible under SR-20170526-12820.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T12:08:55.000","DOT-517681-F5B2",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:05:00.000","No","2021-09-13T00:00:00.000","Citizen","59508","MARSDEN STREET","119 AVENUE","120 AVENUE","Queens","4320201040","40.682886","-73.776710","40.682567","-73.776177","454870421190421290","412","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210920-26549","Queens BC","MARSDEN STREET from SMITH STREET to 120 AVENUE","Queens","Citizen speed hump request due to speeding concerns. SMITH STREET to 118 AVENUE was recently studied and found not feasible under SR-20170526-12820.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T12:08:55.000","DOT-517681-F5B2",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:05:00.000","No","2021-09-13T00:00:00.000","Citizen","59389","MARSDEN STREET","SMITH STREET","118 AVENUE","Queens","4320201010","40.684541","-73.779509","40.683745","-73.778120","454870462695421070","412","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210920-26544","SI BC","ELIZABETH STREET from FOREST AVENUE to CARY AVENUE","Staten Island","Community Board speed hump request.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T09:53:15.000","DOT-518078-F3J8",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:04:00.000","No","2021-09-15T00:00:00.000","Community Board","12449","ELIZABETH STREET","DELAFIELD AVENUE","MYRTLE AVENUE","Staten Island","5236400020","40.630173","-74.119904","40.629394","-74.119471","527380525740539704","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20210916-26517","Queens BC","215 PLACE from 29 AVENUE to 32 ROAD","Queens","Anonymous speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-16T15:41:25.000","DOT-516926-H9G6",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:03:00.000","No","2021-09-07T00:00:00.000","Anonymous","99359","215 PLACE","29 AVENUE","32 ROAD","Queens","4694400030","40.776365","-73.771330","40.773698","-73.770264","426590407690408210","411","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210914-26463","SI BC","ANDERSON STREET from CLIFTON AVENUE to LYNHURST AVENUE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T09:31:16.000","DOT-514886-R9L3",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:00:00.000","No","2021-08-19T00:00:00.000","Citizen","291909","ANDERSON STREET","CHESTNUT AVENUE","CHESTNUT AVENUE","Staten Island","5033400010","40.616855","-74.070433","40.616762","-74.070368","515810522720522720","501","No","Not Feasible","Insufficient radar speed data recorded or provided.",,"T","Two-way",,,,
"SR-20210914-26478","SI BC","FORT PLACE from ST MARKS PLACE to DANIEL LOW TERRACE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T15:03:28.000","DOT-515279-L3M7",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:01:00.000","No","2021-08-24T00:00:00.000","Citizen","16369","FORT PLACE","MONROE AVENUE","DANIEL LOW TERRACE","Staten Island","5275600040","40.641857","-74.079651","40.641691","-74.080555","529300539500525550","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210920-26549","Queens BC","MARSDEN STREET from SMITH STREET to 120 AVENUE","Queens","Citizen speed hump request due to speeding concerns. SMITH STREET to 118 AVENUE was recently studied and found not feasible under SR-20170526-12820.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T12:08:55.000","DOT-517681-F5B2",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:05:00.000","No","2021-09-13T00:00:00.000","Citizen","59394","MARSDEN STREET","118 AVENUE","118 ROAD","Queens","4320201020","40.683745","-73.778120","40.683313","-73.777415","454870421070421090","412","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210923-26557","Bronx BC","MEAGHER AVENUE from HARDING AVENUE to LAWTON AVENUE","Bronx","Council Member speed hump request","Study request passed to planning","Awaiting  planning decision","2021-09-23T10:03:43.000","DOT-518312-M7B3",,,,,,,,,,,"No","2021-09-17T00:00:00.000","Council Member","93734","MEAGHER AVENUE","HARDING AVENUE","LAWTON AVENUE","Bronx","2468803020","40.816701","-73.810159","40.818288","-73.810975","250240238120245420","210","No","Not Feasible","Insufficient radar speed data recorded or provided.",,"T","Two-way",,,,
