"location_category","administrative_district","sth_removals","sth_principal","sth_superintendent","sth_expulsions","non_sth_removals","non_sth_principal","non_sth_superintendent","non_sth_expulsions"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","11","*","*","*"
"K-8","01","8","6","*","*","18","17","11","*"
"Elementary","01","27","7","*","*","16","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"K-8","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"K-8","01","*","*","*","*","*","*","*","*"
"K-8","01","*","10","6","*","6","12","13","*"
"Secondary School","01","*","*","*","*","*","13","*","*"
"Junior High-Intermediate-Middle","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","01","*","*","*","*","6","6","8","*"
"Junior High-Intermediate-Middle","01","14","7","*","*","16","7","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Elementary","01","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","01","*","*","*","*","*","8","*","*"
"Central-HQ-Citywide","01","*","*","*","*","*","*","*","*"
"High school","01","*","*","*","*","*","12","10","*"
"Secondary School","01","*","*","*","*","*","6","9","*"
"High school","01","*","*","*","*","*","*","*","*"
"High school","01","*","7","*","*","*","20","16","*"
"High school","01","*","*","*","*","*","*","*","*"
"K-12 all grades","01","*","*","*","*","*","14","*","*"
"High school","01","*","*","*","*","*","*","*","*"
"High school","01","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","01","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","16","6","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","6","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","8","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","9","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","14","48","*","*"
"Elementary","02","*","*","*","*","15","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","22","6","*","*"
"K-8","02","*","*","*","*","*","6","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","6","*","*","*","21","*","*"
"High school","02","*","*","*","*","23","41","6","*"
"High school","02","*","*","*","*","*","34","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","11","*","*","*"
"Elementary","02","*","*","*","*","8","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","34","8","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","6","*","*"
"Elementary","02","*","*","*","*","7","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"K-8","02","*","*","*","*","44","21","*","*"
"K-8","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","*","*","*"
"Secondary School","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"K-8","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","13","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","43","7","*"
"High school","02","*","*","*","*","*","49","11","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","9","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","*","7","*"
"High school","02","*","11","*","*","*","56","*","*"
"High school","02","*","*","*","*","*","12","*","*"
"High school","02","*","*","*","*","*","*","7","*"
"High school","02","*","*","*","*","*","11","*","*"
"High school","02","*","14","*","*","8","65","18","*"
"High school","02","*","6","*","*","*","36","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","18","*","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","11","17","21","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"K-8","02","*","*","*","*","9","*","*","*"
"High school","02","*","7","*","*","*","33","15","*"
"High school","02","*","*","*","*","*","12","*","*"
"District Pre-K Center","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","8","65","7","*"
"High school","02","*","*","*","*","*","*","*","*"
"K-8","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","13","10","*"
"High school","02","*","*","*","*","*","37","34","*"
"Secondary School","02","*","*","*","*","*","*","*","*"
"Secondary School","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","12","*","*"
"High school","02","*","*","*","*","*","13","*","*"
"Secondary School","02","*","*","*","*","*","11","*","*"
"High school","02","*","*","*","*","*","16","*","*"
"High school","02","*","*","*","*","*","10","*","*"
"High school","02","*","*","*","*","*","11","*","*"
"High school","02","*","*","*","*","*","*","8","*"
"High school","02","*","*","*","*","*","*","*","*"
"Secondary School","02","*","*","*","*","17","50","15","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","7","*","*","*","21","*","*"
"High school","02","*","*","*","*","*","51","6","*"
"High school","02","*","18","*","*","*","118","8","*"
"High school","02","*","6","*","*","*","14","*","*"
"High school","02","*","*","*","*","11","13","*","*"
"K-8","02","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","14","6","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","38","13","*"
"High school","02","*","*","*","*","*","16","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","6","36","7","*"
"High school","02","*","*","*","*","*","10","*","*"
"High school","02","*","*","*","*","*","7","6","*"
"Elementary","02","*","*","*","*","*","*","*","*"
"High school","02","9","10","*","*","51","95","31","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","29","10","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","6","*","*","*","17","*"
"High school","02","*","*","*","*","*","15","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","21","7","*"
"High school","02","*","*","*","*","*","12","*","*"
"High school","02","*","*","*","*","*","30","10","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","7","*","*"
"High school","02","*","6","8","*","*","26","26","*"
"High school","02","*","*","*","*","*","19","*","*"
"High school","02","*","*","*","*","*","26","6","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","*","*","*","*","20","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"High school","02","*","13","*","*","*","47","6","*"
"Secondary School","02","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","*","*","*"
"Ungraded","02","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","02","*","*","*","*","*","10","*","*"
"High school","02","*","*","*","*","*","*","*","*"
"Elementary","03","*","*","*","*","17","*","*","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","35","24","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"K-8","03","*","*","*","*","*","*","*","*"
"Elementary","03","7","*","*","*","18","*","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"K-8","03","*","*","*","*","12","10","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"K-8","03","11","*","*","*","32","9","7","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"K-8","03","*","*","*","*","17","10","*","*"
"Early Childhood","03","*","*","*","*","*","*","*","*"
"K-8","03","*","*","*","*","12","*","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","35","22","19","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","17","27","10","*"
"Secondary School","03","*","*","*","*","*","*","*","*"
"High school","03","*","8","*","*","6","36","15","*"
"High school","03","*","*","*","*","*","67","15","*"
"K-8","03","*","*","*","*","27","10","*","*"
"K-8","03","*","*","*","*","*","*","*","*"
"High school","03","8","7","*","*","55","107","14","*"
"High school","03","*","*","*","*","*","15","*","*"
"High school","03","*","*","*","*","*","22","*","*"
"Secondary School","03","*","10","*","*","*","17","9","*"
"High school","03","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","03","*","7","*","*","20","12","10","*"
"Central-HQ-Citywide","03","*","*","*","*","*","*","*","*"
"Elementary","03","*","*","*","*","*","*","*","*"
"High school","03","*","*","*","*","*","*","*","*"
"High school","03","*","*","*","*","*","7","*","*"
"High school","03","*","*","*","*","*","18","8","*"
"High school","03","*","17","*","*","*","97","27","*"
"High school","03","*","*","*","*","*","*","*","*"
"High school","03","*","*","*","*","*","*","*","*"
"K-12 all grades","03","*","*","*","*","*","*","*","*"
"Secondary School","03","*","31","10","*","9","93","29","*"
"Junior High-Intermediate-Middle","03","*","*","*","*","*","6","*","*"
"K-8","04","*","*","*","*","*","*","*","*"
"K-8","04","*","*","*","*","*","*","*","*"
"Elementary","04","*","*","*","*","6","11","*","*"
"Elementary","04","*","13","*","*","7","13","6","*"
"K-8","04","*","*","*","*","*","7","6","*"
"K-8","04","*","*","*","*","7","*","*","*"
"K-8","04","*","*","*","*","*","9","*","*"
"Elementary","04","*","*","*","*","*","*","*","*"
"K-8","04","*","*","*","*","35","26","17","*"
"Elementary","04","*","*","*","*","6","6","*","*"
"K-8","04","11","*","*","*","32","13","8","*"
"Early Childhood","04","*","*","*","*","*","*","*","*"
"Elementary","04","10","*","*","*","21","*","*","*"
"Elementary","04","*","*","*","*","*","*","*","*"
"K-8","04","*","*","*","*","14","13","8","*"
"Elementary","04","*","*","*","*","10","*","*","*"
"K-8","04","*","*","*","*","20","32","7","*"
"Junior High-Intermediate-Middle","04","*","8","*","*","*","14","*","*"
"Secondary School","04","*","*","*","*","*","15","*","*"
"Elementary","04","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","04","*","*","8","*","8","13","22","*"
"Junior High-Intermediate-Middle","04","*","*","*","*","*","8","7","*"
"Junior High-Intermediate-Middle","04","*","*","*","*","*","*","*","*"
"High school","04","*","*","*","*","*","54","14","*"
"High school","04","*","*","*","*","*","18","7","*"
"Central-HQ-Citywide","04","*","*","*","*","*","*","*","*"
"High school","04","*","*","*","*","*","6","*","*"
"Elementary","04","*","*","*","*","*","*","*","*"
"High school","04","*","*","*","*","*","*","*","*"
"Secondary School","04","*","*","*","*","*","13","*","*"
"High school","04","*","18","*","*","9","74","*","*"
"Junior High-Intermediate-Middle","04","*","10","*","*","12","44","13","*"
"K-8","04","*","*","*","*","*","*","*","*"
"Elementary","05","*","*","*","*","6","*","*","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"K-8","05","*","6","*","*","20","9","14","*"
"Elementary","05","*","*","*","*","*","7","*","*"
"K-8","05","*","6","6","*","9","*","8","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"K-8","05","*","*","*","*","*","*","*","*"
"Elementary","05","*","*","*","*","*","6","*","*"
"Secondary School","05","*","*","*","*","*","*","11","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"High school","05","*","10","*","*","*","52","11","*"
"K-8","05","*","*","*","*","*","21","*","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"Elementary","05","7","*","*","*","18","*","*","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"Elementary","05","*","*","*","*","10","*","*","*"
"High school","05","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","05","*","*","*","*","8","7","*","*"
"Junior High-Intermediate-Middle","05","*","*","*","*","*","7","9","*"
"High school","05","*","*","*","*","*","*","16","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"Secondary School","05","*","*","*","*","9","*","*","*"
"High school","05","*","*","6","*","*","14","7","*"
"High school","05","*","*","*","*","*","22","14","*"
"Junior High-Intermediate-Middle","05","*","*","*","*","*","12","6","*"
"Central-HQ-Citywide","05","*","*","*","*","*","*","*","*"
"Secondary School","05","*","*","*","*","*","*","*","*"
"Secondary School","05","*","*","*","*","*","*","31","*"
"Junior High-Intermediate-Middle","05","*","*","*","*","*","*","8","*"
"Elementary","05","*","*","*","*","*","*","*","*"
"Secondary School","05","*","*","*","*","*","47","9","*"
"High school","05","*","*","*","*","*","*","*","*"
"High school","05","*","*","*","*","*","39","*","*"
"Elementary","06","*","*","*","*","15","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","14","6","11","*"
"K-8","06","*","*","*","*","*","7","6","*"
"Elementary","06","*","*","*","*","9","*","*","*"
"Elementary","06","*","*","*","*","26","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","7","7","*"
"Elementary","06","*","*","*","*","22","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","34","*","*","*"
"Elementary","06","7","*","*","*","9","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"K-8","06","*","*","*","*","*","7","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","*","*"
"K-8","06","*","*","*","*","13","*","*","*"
"High school","06","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","*","*"
"K-8","06","*","*","*","*","*","6","*","*"
"Secondary School","06","*","*","*","*","*","*","*","*"
"K-8","06","*","*","*","*","*","8","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","24","*"
"Junior High-Intermediate-Middle","06","*","9","6","*","*","14","11","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","26","12","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","9","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","7","*"
"Secondary School","06","*","14","7","*","*","62","24","*"
"K-12 all grades","06","*","8","*","*","9","37","6","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","*","*"
"K-8","06","*","*","*","*","*","*","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"High school","06","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","06","*","*","*","*","*","*","*","*"
"High school","06","*","*","*","*","*","*","*","*"
"High school","06","*","*","*","*","*","22","*","*"
"High school","06","*","*","*","*","*","*","*","*"
"High school","06","*","13","*","*","*","31","*","*"
"High school","06","*","6","*","*","*","16","*","*"
"Elementary","06","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","06","*","*","*","*","*","*","9","*"
"High school","06","6","*","*","*","13","32","42","*"
"High school","06","*","*","*","*","*","*","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"K-8","07","*","*","*","*","*","*","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"K-8","07","8","*","*","*","45","12","14","*"
"Elementary","07","*","*","*","*","*","17","*","*"
"K-8","07","*","*","*","*","12","*","*","*"
"Elementary","07","10","*","*","*","8","*","*","*"
"Elementary","07","*","*","*","*","9","8","*","*"
"Elementary","07","6","*","*","*","7","*","*","*"
"Junior High-Intermediate-Middle","07","*","*","*","*","*","*","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"Elementary","07","8","*","*","*","7","*","*","*"
"Junior High-Intermediate-Middle","07","*","*","*","*","*","7","9","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"Secondary School","07","*","*","*","*","*","19","*","*"
"Secondary School","07","*","*","*","*","*","14","*","*"
"Junior High-Intermediate-Middle","07","*","*","7","*","*","8","8","*"
"High school","07","*","19","*","*","*","48","12","*"
"Elementary","07","*","*","*","*","14","*","*","*"
"Junior High-Intermediate-Middle","07","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","07","10","10","*","*","18","66","10","*"
"High school","07","*","*","*","*","*","8","6","*"
"High school","07","*","*","*","*","*","13","8","*"
"Junior High-Intermediate-Middle","07","*","*","*","*","37","22","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"Elementary","07","9","*","*","*","16","*","*","*"
"High school","07","*","*","*","*","*","*","*","*"
"High school","07","*","*","*","*","*","*","*","*"
"Elementary","07","*","*","*","*","*","*","*","*"
"High school","07","*","*","*","*","*","31","7","*"
"Central-HQ-Citywide","07","*","*","*","*","*","*","*","*"
"High school","07","*","*","*","*","*","*","*","*"
"High school","07","*","8","*","*","16","71","19","*"
"High school","07","*","*","*","*","*","22","9","*"
"Secondary School","07","*","*","*","*","*","*","6","*"
"High school","07","*","*","*","*","8","18","*","*"
"High school","07","*","*","7","*","*","21","14","*"
"High school","07","*","*","*","*","*","45","7","*"
"District Pre-K Center","07","*","*","*","*","*","*","*","*"
"High school","07","*","6","6","*","*","32","26","*"
"High school","07","*","*","7","*","*","9","24","*"
"Secondary School","07","*","*","*","*","48","40","28","*"
"High school","07","*","*","*","*","*","*","*","*"
"High school","07","*","*","7","*","*","52","17","*"
"High school","07","*","*","*","*","11","36","17","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","7","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"K-8","08","*","*","*","*","24","*","*","*"
"Elementary","08","*","*","*","*","17","*","*","*"
"Elementary","08","*","*","*","*","6","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","08","*","*","21","*","*","*","18","*"
"Junior High-Intermediate-Middle","08","*","9","*","*","*","*","9","*"
"Elementary","08","*","*","*","*","*","9","*","*"
"Junior High-Intermediate-Middle","08","*","*","9","*","8","*","11","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","10","*"
"Secondary School","08","*","8","*","*","7","30","13","*"
"High school","08","*","*","*","*","9","12","35","*"
