"school","month_code","calmonth","gradelevel","gradesort","roster_count","absent","present","released"
"01M015","5","Jan","02","2","33","39","611","0"
"01M015","5","Jan","03","3","24","44","436","0"
"01M015","5","Jan","04","4","31","51","569","0"
"01M015","5","Jan","05","5","26","52","457","0"
"01M015","5","Jan","0K","0","28","74","481","0"
"01M015","5","Jan","PK","-1","17","31","287","17"
"01M015","6","Feb","01","1","31","36","392","0"
"01M015","6","Feb","02","2","31","22","412","0"
"01M015","6","Feb","03","3","24","32","292","0"
"01M015","6","Feb","04","4","31","37","397","0"
"01M015","6","Feb","05","5","25","37","313","0"
"01M015","6","Feb","0K","0","27","25","353","0"
"01M015","6","Feb","PK","-1","16","40","184","0"
"01M015","7","Mar","01","1","30","26","574","0"
"01M015","7","Mar","02","2","31","29","584","0"
"01M015","7","Mar","03","3","22","38","402","0"
"01M015","7","Mar","04","4","31","43","577","0"
"01M015","7","Mar","05","5","25","40","460","0"
"01M015","7","Mar","0K","0","28","50","508","0"
"01M015","7","Mar","PK","-1","17","27","307","0"
"01M015","8","Apr","01","1","31","22","464","0"
"01M015","8","Apr","02","2","30","22","458","0"
"01M015","8","Apr","03","3","22","19","333","0"
"01M015","8","Apr","04","4","31","29","467","0"
"01M015","8","Apr","05","5","25","22","372","0"
"01M015","8","Apr","0K","0","28","33","415","0"
"01M015","8","Apr","PK","-1","17","13","242","17"
"01M015","9","May","01","1","31","31","651","0"
"01M015","9","May","02","2","30","17","643","0"
"01M015","9","May","03","3","22","25","459","0"
"01M015","9","May","04","4","31","36","646","0"
"01M015","9","May","05","5","24","14","514","0"
"01M015","9","May","0K","0","28","35","581","0"
"01M015","9","May","PK","-1","17","30","344","0"
"01M015","10","Jun","01","1","31","43","422","0"
"01M015","10","Jun","02","2","30","30","420","0"
"01M015","10","Jun","03","3","22","24","299","0"
"01M015","10","Jun","04","4","31","43","422","0"
"01M015","10","Jun","05","5","24","15","345","0"
"01M015","10","Jun","0K","0","28","39","381","0"
"01M015","10","Jun","PK","-1","17","26","229","0"
"01M015","1","Sep","01","1","40","45","428","0"
"01M015","1","Sep","02","2","36","29","469","0"
"01M015","1","Sep","03","3","29","24","347","0"
"01M015","1","Sep","04","4","31","13","438","0"
"01M015","1","Sep","05","5","27","16","388","0"
"01M015","1","Sep","0K","0","37","26","402","0"
"01M015","1","Sep","PK","-1","17","7","248","0"
"01M015","2","Oct","01","1","32","25","647","0"
"01M015","2","Oct","02","2","33","17","676","0"
"01M015","2","Oct","03","3","24","14","472","0"
"01M015","2","Oct","04","4","31","28","619","0"
"01M015","2","Oct","05","5","27","23","537","0"
"01M015","2","Oct","0K","0","28","26","562","0"
"01M015","2","Oct","PK","-1","17","11","346","0"
"01M015","3","Nov","01","1","32","39","569","0"
"01M015","3","Nov","02","2","33","41","586","0"
"01M015","3","Nov","03","3","24","22","433","0"
"01M015","3","Nov","04","4","32","34","573","0"
"01M015","3","Nov","05","5","26","27","467","0"
"01M015","3","Nov","0K","0","28","27","505","0"
"01M015","3","Nov","PK","-1","18","13","328","0"
"01M015","4","Dec","01","1","34","32","480","0"
"01M015","4","Dec","02","2","33","25","503","0"
"01M015","4","Dec","03","3","26","11","373","0"
"01M015","4","Dec","04","4","33","41","457","0"
"01M015","4","Dec","05","5","27","19","388","0"
"01M015","4","Dec","0K","0","29","26","422","0"
"01M015","4","Dec","PK","-1","18","22","252","0"
"01M019","5","Jan","01","1","41","83","737","0"
"01M019","5","Jan","02","2","43","85","736","0"
"01M019","5","Jan","03","3","48","116","824","0"
"01M019","5","Jan","04","4","42","80","760","0"
"01M019","5","Jan","05","5","43","72","751","0"
"01M019","5","Jan","0K","0","34","80","600","0"
"01M019","5","Jan","PK","-1","12","13","215","12"
"01M019","6","Feb","01","1","41","70","504","0"
"01M019","6","Feb","02","2","44","45","532","0"
"01M019","6","Feb","03","3","46","76","568","0"
"01M019","6","Feb","04","4","42","59","529","0"
"01M019","6","Feb","05","5","42","54","534","0"
"01M019","6","Feb","0K","0","34","91","385","0"
"01M019","6","Feb","PK","-1","13","8","162","0"
"01M019","7","Mar","01","1","41","95","725","0"
"01M019","7","Mar","02","2","43","77","783","0"
"01M019","7","Mar","03","3","46","121","799","0"
"01M019","7","Mar","04","4","42","73","767","0"
"01M019","7","Mar","05","5","42","102","738","0"
"01M019","7","Mar","0K","0","35","73","602","0"
"01M019","7","Mar","PK","-1","13","18","225","0"
"01M019","8","Apr","01","1","43","55","605","0"
"01M019","8","Apr","02","2","44","74","630","0"
"01M019","8","Apr","03","3","46","55","681","0"
"01M019","8","Apr","04","4","42","50","622","0"
"01M019","8","Apr","05","5","42","43","629","0"
"01M019","8","Apr","0K","0","35","41","519","0"
"01M019","8","Apr","PK","-1","13","11","184","13"
