"neighborhood_tabulation_area","neighborhood_tabulation_area_1","borough_name","published_date","neighborhood_tabulation_area_2","pedestrian_corridor_area","number_of_wi_fi_hotspots","access_points_in_pedestrian","access_points_per_square","public_computer_centers_with"
"BK09","Brooklyn Heights-Cobble Hill","Brooklyn","2019-05-30T00:00:00.000","0.35887","0.081","17","17","210","2"
"BK32","Sunset Park West","Brooklyn","2019-05-30T00:00:00.000","1.79842","0.089","13","7","78","2"
"BK33","Carroll Gardens-Columbia Street-Red Hook","Brooklyn","2019-05-30T00:00:00.000","1.60308","0.072","6","6","84","3"
"BK35","Stuyvesant Heights","Brooklyn","2019-05-30T00:00:00.000","1.12885","0.126","3","2","16","5"
"BK37","Park Slope-Gowanus","Brooklyn","2019-05-30T00:00:00.000","1.5279","0.154","27","27","176","4"
"BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Brooklyn","2019-05-30T00:00:00.000","1.02354","0.33","106","99","300","1"
"BK42","Flatbush","Brooklyn","2019-05-30T00:00:00.000","1.6266","0.118","6","6","51","7"
"BK60","Prospect Lefferts Gardens-Wingate","Brooklyn","2019-05-30T00:00:00.000","1.1372","0.107","9","9","84","3"
"BK61","Crown Heights North","Brooklyn","2019-05-30T00:00:00.000","1.85533","0.191","27","27","141","7"
"BK63","Crown Heights South","Brooklyn","2019-05-30T00:00:00.000","0.57472","0.065","8","8","123","0"
"BK64","Prospect Heights","Brooklyn","2019-05-30T00:00:00.000","0.36772","0.039","14","13","336","0"
"BK68","Fort Greene","Brooklyn","2019-05-30T00:00:00.000","0.59244","0.097","20","15","154","2"
"BK69","Clinton Hill","Brooklyn","2019-05-30T00:00:00.000","0.73784","0.079","9","8","102","3"
"BK73","North Side-South Side","Brooklyn","2019-05-30T00:00:00.000","1.03764","0.171","29","16","94","1"
"BK75","Bedford","Brooklyn","2019-05-30T00:00:00.000","1.1728","0.146","4","4","27","5"
"BK76","Greenpoint","Brooklyn","2019-05-30T00:00:00.000","1.26971","0.112","12","6","54","1"
"BK78","Bushwick South","Brooklyn","2019-05-30T00:00:00.000","1.44379","0.163","3","2","12","5"
"BK79","Ocean Hill","Brooklyn","2019-05-30T00:00:00.000","0.72209","0.121","9","5","41","1"
"BK82","East New York","Brooklyn","2019-05-30T00:00:00.000","4.20733","0.453","4","3","7","5"
"BK83","Cypress Hills-City Line","Brooklyn","2019-05-30T00:00:00.000","0.99237","0.085","8","8","94","2"
"BK90","East Williamsburg","Brooklyn","2019-05-30T00:00:00.000","1.40688","0.119","18","17","143","3"
"BK91","East Flatbush-Farragut","Brooklyn","2019-05-30T00:00:00.000","1.23504","0.06","5","5","84","2"
"BK95","Erasmus","Brooklyn","2019-05-30T00:00:00.000","0.52199","0.117","11","11","94","0"
"BX01","Claremont-Bathgate","Bronx","2019-05-30T00:00:00.000","0.59128","0.053","2","2","38","2"
"BX05","Bedford Park-Fordham North","Bronx","2019-05-30T00:00:00.000","0.53906","0.092","12","12","130","3"
"BX14","East Concourse-Concourse Village","Bronx","2019-05-30T00:00:00.000","0.65467","0.079","2","2","25","1"
"BX17","East Tremont","Bronx","2019-05-30T00:00:00.000","0.69204","0.089","3","3","34","2"
"BX26","Highbridge","Bronx","2019-05-30T00:00:00.000","0.5915","0.054","1","1","18","4"
"BX28","Van Cortlandt Village","Bronx","2019-05-30T00:00:00.000","0.92243","0.028","1","1","36","3"
"BX30","Kingsbridge Heights","Bronx","2019-05-30T00:00:00.000","0.47308","0.045","10","10","221","0"
"BX34","Melrose South-Mott Haven North","Bronx","2019-05-30T00:00:00.000","0.62076","0.183","25","23","125","4"
"BX35","Morrisania-Melrose","Bronx","2019-05-30T00:00:00.000","0.6071","0.083","3","3","36","3"
"BX36","University Heights-Morris Heights","Bronx","2019-05-30T00:00:00.000","0.76393","0.056","6","6","106","4"
"BX39","Mott Haven-Port Morris","Bronx","2019-05-30T00:00:00.000","1.50587","0.114","26","20","176","6"
"BX40","Fordham South","Bronx","2019-05-30T00:00:00.000","0.22674","0.054","8","8","148","1"
"BX41","Mount Hope","Bronx","2019-05-30T00:00:00.000","0.52892","0.065","18","16","247","1"
"BX63","West Concourse","Bronx","2019-05-30T00:00:00.000","0.69677","0.172","20","15","87","1"
"MN03","Central Harlem North-Polo Grounds","Manhattan","2019-05-30T00:00:00.000","0.91302","0.129","93","53","411","10"
"MN04","Hamilton Heights","Manhattan","2019-05-30T00:00:00.000","0.5785","0.065","52","51","779","2"
"MN06","Manhattanville","Manhattan","2019-05-30T00:00:00.000","0.38266","0.066","15","14","212","1"
"MN09","Morningside Heights","Manhattan","2019-05-30T00:00:00.000","0.72442","0.061","37","37","604","5"
"MN11","Central Harlem South","Manhattan","2019-05-30T00:00:00.000","0.51896","0.158","74","43","272","3"
"MN12","Upper West Side","Manhattan","2019-05-30T00:00:00.000","1.23566","0.25","136","136","544","4"
"MN13","Hudson Yards-Chelsea-Flatiron-Union Square","Manhattan","2019-05-30T00:00:00.000","1.33091","0.718","126","94","131","5"
"MN14","Lincoln Square","Manhattan","2019-05-30T00:00:00.000","0.56807","0.275","38","38","138","6"
"MN15","Clinton","Manhattan","2019-05-30T00:00:00.000","0.66066","0.28","44","42","150","3"
"MN17","Midtown-Midtown South","Manhattan","2019-05-30T00:00:00.000","1.08514","0.896","130","117","131","5"
"MN19","Turtle Bay-East Midtown","Manhattan","2019-05-30T00:00:00.000","0.62514","0.449","102","102","227","4"
"MN20","Murray Hill-Kips Bay","Manhattan","2019-05-30T00:00:00.000","0.52065","0.264","79","78","296","2"
"MN21","Gramercy","Manhattan","2019-05-30T00:00:00.000","0.27053","0.136","49","48","354","2"
"MN22","East Village","Manhattan","2019-05-30T00:00:00.000","0.39156","0.148","53","53","359","3"
"MN23","West Village","Manhattan","2019-05-30T00:00:00.000","0.89872","0.403","25","22","55","4"
"MN24","SoHo-TriBeCa-Civic Center-Little Italy","Manhattan","2019-05-30T00:00:00.000","0.89973","0.516","37","24","47","3"
"MN25","Battery Park City-Lower Manhattan","Manhattan","2019-05-30T00:00:00.000","0.683","0.476","38","38","80","2"
"MN27","Chinatown","Manhattan","2019-05-30T00:00:00.000","0.52123","0.352","14","14","40","3"
"MN31","Lenox Hill-Roosevelt Island","Manhattan","2019-05-30T00:00:00.000","0.77279","0.194","46","42","217","6"
"MN32","Yorkville","Manhattan","2019-05-30T00:00:00.000","0.48888","0.148","13","13","88","2"
"MN33","East Harlem South","Manhattan","2019-05-30T00:00:00.000","0.59844","0.097","18","17","175","4"
"MN34","East Harlem North","Manhattan","2019-05-30T00:00:00.000","0.88037","0.208","49","37","178","6"
"MN35","Washington Heights North","Manhattan","2019-05-30T00:00:00.000","0.81464","0.076","20","20","262","1"
"MN36","Washington Heights South","Manhattan","2019-05-30T00:00:00.000","0.82997","0.101","34","33","328","7"
