"boro_cb","on_street","from","to"
"X/5","East 183rd St.","East 183rd St.","Tiebout Ave."
"X/5","West 176th St.","Jerome Ave.","Davidson Ave."
"X/8","West 230th St.","Heath Ave.","Kingsbridge Terr."
"X/4","1. East 168th St.","Clay Ave","Teller Ave"
"X/5","2. Clifford Pl.","Walton Ave.","Grand Concourse"
"X/4","3. East 174th St.","Anthony Ave","Clay Ave."
"X/8","4. West 229th St.","Heath Ave.","Kingsbridge Terr."
"X/4","5. West Tremont Ave.","Cedar Ave.","Sedgwick Ave."
"X/8","6. West 231st St.","Kingsbridge Terr.","Sedgwick Ave."
"X/5","7. Davidson Ave.","Featherbed Ln.","West 174th St."
"X/4","8. West 170th St.","Sedgwick Ave.","University Ave."
"X/4","9. East 169th St.","Webster Ave.","Clay Ave."
"X/4","10. West 165th St.","Sedgwick Ave.","University Ave."
"X/5","11. West 174t St.","Undercliff Ave.","Popham Ave."
"X/3","12. East 166th St.","Fulton Ave","Franklyn Ave."
"X/4","13. E. Mt. Eden Ave.","Topping Ave.","Clay Ave."
"X/8","14. Godwin Terr.","West 231st St.","Naples Terr."
"X/4","15. West 171st St.","Undercliff Ave.","University Ave."
"X/5","16. Palisade Pl.","Sedgwick Ave.","Popham Ave."
"X/8","Bailey Ave.","Bailey Ave.","Orloff Ave."
"X/3","Boone Ave.","Boone Ave.","West Farms Rd."
"X/4","Carroll Place","Carroll Pl.","East 165th St."
"X/5","Clifford Place","Davidson Ave.","Jerome Ave."
"X/3","Franklyn Ave.","Franklyn Ave.","Third Ave."
"X/3","East 164th St.","Boston Rd.","Third Ave."
"X/3","East 165th St.","Boston Rd.","Third Ave."
"X/4","East 171st St.","Clay Ave.","Webster Ave."
"X/4","East 172nd St.","Grand Concourse","Sheridan Ave."
"X/5","East 187th St.","Marion Ave.","Elm Pl."
"X/7","East 197th St.","Decatur Ave.","Marion Ave."
"X/5","Elm Place","East 187th St.","East 188th St."
"X/8","Henry Hudson Pkwy","Manh. Coll. Pkwy","H. Hudson Pkwy."
"X/5","Henwood Place","Walton Ave.","Morris Ave"
"X/8","Independence Ave.","Palisades Ave.","Edsall Ave."
"X/8","Knolls Crescent","Knolls Crescent","Kappock St."
"X/8","Marble Hill Lane","Marble Hill Ln.","West 228th St."
"X/8","Naples Terrace","Broadway","Godwin Terr."
"X/4","Steps Lane","Anderson Ave.","Shakespeare Ave."
"X/8","Summit Place","Bailey Ave.","Heath Ave."
"X/3","Third Ave.","Third Ave.","Boston Rd."
"X/8","Van Cortlandt Pk. S.","Van Cortlandt","Gale Pl."
"X/4","West 161st St.","Summit Ave.","Sedgwick Ave."
"X/4","West 166th St.","Anderson Ave.","Jerome Ave."
"X/4","West 167th St.","Anderson Ave.","Shakespeare Ave."
"X/4","West 168th St.","Shakespeare Ave.","Edward L. Grant Hwy."
"X/5","West 175th St.","Popham Ave.","Undercliff Ave."
"X/5","West 176th St.","Sedgwick Ave.","Sedgwick Ave."
"X/5","West 176th St.","Popham Ave.","Undercliff Ave."
"X/8","West 229th St.","Kingsbridge Ave.","Sedgwick Ave."
"X/8","West 230th St.","Edgehill Ave.","Netherland Ave."
"X/8","West 230th St.","Johnson Ave.","Edgehill Ave."
"X/8","West 230th St.","Riverdale Ave.","Johnson Ave"
"X/8","West 231st St.","Johnson Ave.","Netherland Ave."
"X/8","West 231st St.","Riverdale Ave.","Johnson Ave"
"X/8","West 232nd St.","Johnson Ave.","Netherland Ave."
"X/8","West 232nd St.","Riverdale Ave.","Johnson Ave"
"X/8","West 232nd St.","Riverdale Ave.","Irwin Ave."
"X/8","West 238th St.","Orloff Ave","Cannon Pl."
"X/8","West 238th St.","Irwin Ave","Waldo Ave"
"X/8","West 256th St.","Post Rd.","Sylvan Ave."
"X/8","West 256th St.","Sylvan Ave.","Valles Ave."
"X/10","Throgmorton Ave.","Baisley Ave","Fairmount Ave."
"X/12","Tillotson Ave.","East 222nd St","Wickham ave."
"X","Oak Terrace","Crimmins Ave","Beekman Ave"
"X","Anderson Ave","Anderson Ave.","East 165th St."
"X","Oliver Place","Dacatur Ace","Marion Ave."
"X","Paulding Ave","Woodmansten Place","Esplanade Ave"
"M/12","17. West 215th St. (N)","Broadway","Park Terr. East"
"M/12","18. West 215th St. (S)","Broadway","Park Terr. East"
"M/12","Broadway Terr.","Fairview Ave.","Broadway Terr."
"M/6","East 42nd St. North","East 42nd St.","Tudor City Pl. (N)"
"M/6","East 42nd St. South","East 42nd St.","Tudor City Pl. (S)"
"M/6","East 43rd St.","1st Ave","Tudor City Pl."
"M/6","East 51st St.","East 51st St.","FDR Drive"
"M/12","Pinehurst Ave.","West 181st St.","Pinehurst Ave."
"M/12","Wadsworth Terr.","Fairview Ave.","Wadsworth Terr."
"M/7","West 99th St.","Riverside Dr.","Riverside Dr."
"M/7","West 100th St.","Riverside Dr.","Riverside Dr."
"M/7","West 106th St","Riverside Dr.","Riverside Dr."
"M/9","West 111th St.","Riverside Dr.","Riverside Dr."
"M/9","West 112th St.","Riverside Dr.","Riverside Dr."
"M/9","West 155th St.","West 155th St.","Macombs Pl."
"M/12","West 157th St.","Edgecombe Ave.","St Nicholas Ave"
"M/12","West 158th St.","West 158th St.","H. Hudson Pkwy"
"M","West 160th St.","Riverside Dr.","Riverside Dr."
"M/12","West 187th St.","Ft. Washington","Overlook Terr."
"M/12","West 214th St.","Seaman Ave.","Park Terr. West"
"M","West 128th St","Amsterdam Ave","Convent Ave"
"Q/3","25th Ave.","Butler St.","Ditmars Blvd."
"Q","32nd St.","24th Ave.","24th Rd."
"Q/5","48th Ave.","59th St.","58th Ln."
"Q/12","53rd Ave.","65th Pl.","64th St."
"Q/3","110th St.","37th Dr.","37th Ave."
"Q/7","125th St.","5th Ave.","Lax Ave."
"Q/5","Cooper Ave.","Cooper Ave.","74th St."
"Q","138th St.","138th St.","Grand Central Pkwy"
"Q","Union Turnpike","Union Turnpike","Margaret Place"
"Q","Austin St","Union Turnpike","80th Road"
"SI/1","19. East Buchanan St.","York Terr.","York Ave."
"SI/1","Avon Pl.","Willis Ave.","Victory Blvd."
