"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"B008-DF0140","D","Out in Open","Yes","B008","Betsy Head Park","B008","B","1","B-16","D, Out in Open","Active","POINT (-73.91314195077493 40.663381050966144)"
"B088-DF1004","A",,,"B088","Herbert Von King Park","B088","B","1","B-03","A,","Active","POINT (-73.94577305488079 40.69007899619531)"
"B309-DF0052","C","In Playground","No","B309","Pink Playground","B309","B","1","B-05","C, In Playground","Active","POINT (-73.8625945007143 40.66670139097241)"
"M010-DF0901","CS Metal",,,"M010","Central Park","M010-145","M","1","M-13","CS Metal,","Active","POINT (-73.96154034939028 40.78086235101139)"
"M043-DF0182","A","Near Ballfield","Yes","M043","Isham Park","M042-ZN01","M","1","M-12","A, Near Ballfield","Active","POINT (-73.92060211929697 40.87040904683878)"
"M145-DF0270","D",,,"M145","Albert Capsouto Park","M145","M","1","M-01","D,","Active","POINT (-74.0057269536085 40.72192421895415)"
"M011-DF868","A",,,"M011","Chelsea Park","M011","M","1","M-04","A,","Active","POINT (-74.00013931631594 40.74963215326909)"
"M029-DF0893","Stone",,,"M029","Fort Tryon Park","M029-ZN02","M","1","M-12","Stone,","Active","POINT (-73.93329236599743 40.861892078366)"
"Q024-DF0635","D","Under Tree, In Shade","No","Q024","Kissena Park","Q024-ZN01","Q","1","Q-07","D, Under Tree, In Shade","Active","POINT (-73.80654244304935 40.74904130915309)"
"Q314-DF0370","A","In Playground","No","Q314","Fresh Meadows Playground","Q314","Q","1","Q-08","A, In Playground","Active","POINT (-73.79611141219668 40.73443790765743)"
"R030-DF0174","A",,,"R030","Willowbrook Park","R065-ZN08","R","1","R-02","A,","Active","POINT (-74.16107580777779 40.603722357959064)"
"R066-DF0101","A","Out in Open","No","R066","North Shore Esplanade","R066","R","1","R-01","A, Out in Open","Active","POINT (-74.08383941848027 40.64821127100722)"
"X013-DF0386","C","Out in Open","No","X013","Devoe Park","X013","X","1","X-05","C, Out in Open","Active","POINT (-73.9055094815747 40.863494178779106)"
"R031-DF0146","A","Out in Open","Yes","R031","Wolfe's Pond Park","R031-ZN02","R","1","R-03","A, Out in Open","Active","POINT (-74.18984105827948 40.51667706198994)"
"X204-DF0472","C",,,"X204","Story Playground","X204","X","1","X-09","C,","Active","POINT (-73.8629957734205 40.822277567029)"
"X260-DF0312","C","Near Ballfield","No","X260","Julio Carballo Fields","X260","X","1","X-02","C, Near Ballfield","Active","POINT (-73.88923359212791 40.81623160952126)"
"Q057-DF0371","A","Out in Open","No","Q057","Sohncke Square","Q057","Q","1","Q-02","A, Out in Open","Active","POINT (-73.90618930166747 40.745505372462794)"
"B252-DF0369","E","Out in Open, Near Ballfield","No","B252","West Playground","B252","B","1","B-13","E, Out in Open, Near Ballfield","Active","POINT (-73.97006482039669 40.587477497033106)"
"B387-DF0148","Bottle Filler High Low","Out in Open","Yes","B387","Hilltop Playground","B387","B","3","B-16","Bottle Filler High Low, Out in Open","Active","POINT (-73.9143941909124 40.67528808897897)"
"B058-DF0798","A","Near Ballfield","Yes","B058","McCarren Park","B058-ZN04","B","1","B-01","A, Near Ballfield","Active","POINT (-73.95497355338944 40.72177137196251)"
"Q099-DF0268","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN08","Q","1","Q-15","A, Under Tree","Active","POINT (-73.83635227073438 40.747218069787166)"
"R090-DF0016","C","In Playground","No","R090","Lieutenant John H. Martinson Playground","R090","R","1","R-03","C, In Playground","Active","POINT (-74.16250293245068 40.53674267345768)"
"M010-DF0680","E and Dog","Out in Open, Under Tree","Yes","M010","Central Park","M010-ZN46","M","2","M-13","E and Dog, Out in Open, Under Tree","Active","POINT (-73.95893688489377 40.79728187330268)"
"M132-DF0289","D","In Playground, Near Ballfield","No","M132","Little Flower Playground","M132","M","1","M-03","D, In Playground, Near Ballfield","Active","POINT (-73.98849687105196 40.712428931065695)"
"B311-DF0998","Other",,,"B311","Ten Eyck Playground","B311","B","1","B-01","Other,","Active","POINT (-73.93858592992899 40.70885680328043)"
"R005-DF0168","B","Near Ballfield","No","R005","Clove Lakes Park","R005-ZN01","R","1","R-01","B, Near Ballfield","Active","POINT (-74.10728640995167 40.61819022796676)"
"Q134-DF0682","C","Near Ballfield",,"Q134","Breininger Park","Q134","Q","1","Q-13","C, Near Ballfield","Active","POINT (-73.72903465088312 40.72562713220435)"
"M086-DF0978","Indoor Drinking Fountain","Indoor",,"M086","Stuyvesant Square","M086","M","1","M-06","Indoor Drinking Fountain, Indoor","Active","POINT (-73.98454774307677 40.73321432625797)"
"M010-DF0904","Other",,,"M010","Central Park","M010-ZN27","M","1","M-13","Other,","Active","POINT (-73.96604478201715 40.78418939285894)"
"Q162J01-DF0347","D","Out in Open","No","Q162J01","Beach 9 Playground","Q162-ZN01A","Q","1","Q-14","D, Out in Open","Active","POINT (-73.7445977380367 40.59547823990937)"
"B251-DF0918","E","Out in Open","Yes","B251","Manhattan Beach Park","B251-ZN01","B","1","B-15","E, Out in Open","Active","POINT (-73.94294054576132 40.57676235071972)"
"M273-DF0412","A","Under Tree, In Playground, Near Ballfield","No","M273","Wagner Houses Pool","M273","M","1","M-11","A, Under Tree, In Playground, Near Ballfield","Active","POINT (-73.93276430600275 40.801662336280955)"
"M014-DF0947","Indoor Drinking Fountain","Indoor",,"M014","Jackie Robinson Park","M014","M","1","M-10","Indoor Drinking Fountain, Indoor","Active","POINT (-73.94244846811708 40.824269236153)"
"M229-DF0469","A","Under Tree, Near Ballfield, In Playground","No","M229","Happy Warrior Playground","M229","M","1","M-07","A, Under Tree, Near Ballfield, In Playground","Active","POINT (-73.96885230844794 40.79529278822972)"
"Q006-DF0726","E High Low","In Playground","Yes","Q006","Bowne Park","Q006-01","Q","2","Q-07","E High Low, In Playground","Active","POINT (-73.80592195381918 40.77044694516576)"
"M088-DF0305","E High Low","Under Tree, In Playground","Yes","M088","Tompkins Square Park","M088-01","M","2","M-03","E High Low, Under Tree, In Playground","Active","POINT (-73.98254325129749 40.72664187919428)"
"B245-DF1087","Bottle Filler Fountain","Indoor",,"B245","St. John's Park","B245","B","2","B-08","Bottle Filler Fountain, Indoor","Active","POINT (-73.93489094490425 40.673861865576676)"
"Q108-DF0691","C","Just Outside Playground","No","Q108","Laurelton Playground","Q108","Q","1","Q-13","C, Just Outside Playground","Active","POINT (-73.7363053898662 40.67043999110493)"
"B287-DF0384","D","Out in Open, In Playground","No","B287","Andries Playground","B287","B","1","B-14","D, Out in Open, In Playground","Active","POINT (-73.94639522948529 40.6230415279329)"
"M164-DF0452","E High Low","Just Outside Playground, Near Ballfield",,"M164","Asser Levy Playground","M164","M","2","M-06","E High Low, Just Outside Playground, Near Ballfield","Active","POINT (-73.97619653840809 40.73610927227726)"
"B166D-DF0822","A","Out in Open, Near Ballfield","No","B166D","McGuire Fields","B166D","B","1","B-18","A, Out in Open, Near Ballfield","Active","POINT (-73.8987132515359 40.61807228500699)"
"Q444-DF0060","C","In Playground","No","Q444","Sean's Place","Q444","Q","1","Q-01","C, In Playground","Active","POINT (-73.91844405646177 40.76074659077644)"
"B111-DF0252","E","In Playground","Yes","B111","J.J. Byrne Playground","B111","B","1","B-06","E, In Playground","Active","POINT (-73.98441728356667 40.67262218893641)"
