"vendorid","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","ratecodeid","pulocationid","dolocationid","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type"
"2","2017-01-01T00:01:15.000","2017-01-01T00:11:05.000","N","1","42","166","1","1.71","9","0","0.5","0","0",,"0.3","9.8","2","1"
"2","2017-01-01T00:03:34.000","2017-01-01T00:09:00.000","N","1","75","74","1","1.44","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1"
"2","2017-01-01T00:04:02.000","2017-01-01T00:12:55.000","N","1","82","70","5","3.45","12","0.5","0.5","2.66","0",,"0.3","15.96","1","1"
"2","2017-01-01T00:01:40.000","2017-01-01T00:14:23.000","N","1","255","232","1","2.11","10.5","0.5","0.5","0","0",,"0.3","11.8","2","1"
"2","2017-01-01T00:00:51.000","2017-01-01T00:18:55.000","N","1","166","239","1","2.76","11.5","0.5","0.5","0","0",,"0.3","12.8","2","1"
"2","2017-01-01T00:00:28.000","2017-01-01T00:13:31.000","N","1","179","226","1","4.14","15","0.5","0.5","0","0",,"0.3","16.3","1","1"
"2","2017-01-01T00:02:39.000","2017-01-01T00:26:28.000","N","1","74","167","1","4.22","19","0.5","0.5","0","0",,"0.3","20.3","2","1"
"2","2017-01-01T00:15:21.000","2017-01-01T00:28:06.000","N","1","112","37","1","2.83","11","0.5","0.5","0","0",,"0.3","12.3","2","1"
"2","2017-01-01T00:06:49.000","2017-01-01T00:11:57.000","N","1","36","37","1","0.78","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2017-01-01T00:14:34.000","2017-01-01T00:28:57.000","N","1","127","174","5","3.49","13.5","0.5","0.5","0","0",,"0.3","14.8","2","1"
"2","2017-01-01T00:01:17.000","2017-01-01T00:09:38.000","N","1","41","238","1","1.61","8.5","0.5","0.5","1.96","0",,"0.3","11.76","1","1"
"2","2017-01-01T00:31:46.000","2017-01-01T00:52:13.000","N","1","97","228","1","5.63","21","0.5","0.5","1","0",,"0.3","23.3","1","1"
"2","2017-01-01T00:01:03.000","2017-01-01T00:22:33.000","N","1","255","26","5","10.24","30","0.5","0.5","0","0",,"0.3","31.3","2","1"
"2","2017-01-01T00:00:39.000","2017-01-01T00:09:08.000","N","1","70","173","1","0.97","7","0.5","0.5","0","0",,"0.3","8.3","1","1"
"2","2017-01-01T00:03:20.000","2017-01-01T00:18:16.000","N","1","255","40","1","5.56","18.5","0.5","0.5","5.94","0",,"0.3","25.74","1","1"
"2","2017-01-01T00:03:28.000","2017-01-01T00:03:28.000","N","1","82","260","1","1.75","10","0.5","0.5","0","0",,"0.3","11.3","2","1"
"2","2017-01-01T00:00:01.000","2017-01-01T00:00:05.000","N","5","36","36","1","0.00","3","0","0","0","0",,"0","3","1","2"
"2","2017-01-01T00:01:51.000","2017-01-01T00:11:48.000","N","1","7","223","1","2.00","9","0.5","0.5","2.06","0",,"0.3","12.36","1","1"
"2","2017-01-01T00:26:09.000","2017-01-01T00:38:03.000","N","1","256","106","1","5.48","17","0.5","0.5","3.29","0",,"0.3","21.59","1","1"
"2","2017-01-01T00:49:08.000","2017-01-01T01:00:54.000","N","1","181","228","1","2.00","10.5","0.5","0.5","0","0",,"0.3","11.8","2","1"
"2","2017-01-01T00:10:57.000","2017-01-01T00:34:42.000","N","1","112","107","2","6.03","21.5","0.5","0.5","4.56","0",,"0.3","27.36","1","1"
"2","2017-01-01T00:02:56.000","2017-01-01T00:14:42.000","N","1","129","56","2","2.41","10.5","0.5","0.5","0","0",,"0.3","11.8","2","1"
"2","2017-01-01T00:01:40.000","2017-01-01T00:34:15.000","N","1","112","152","1","9.49","30","0.5","0.5","7.82","0",,"0.3","39.12","1","1"
"2","2017-01-01T00:00:36.000","2017-01-01T00:12:20.000","N","1","91","188","1","3.02","11.5","0.5","0.5","0","0",,"0.3","12.8","2","1"
"2","2017-01-01T00:00:50.000","2017-01-01T00:30:28.000","N","1","228","140","1","11.91","34","0.5","0.5","0","0",,"0.3","35.3","1","1"
"2","2017-01-01T00:04:59.000","2017-01-01T00:12:18.000","N","1","126","159","1","1.98","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"2","2017-01-01T00:02:54.000","2017-01-01T00:16:53.000","N","1","97","181","1","2.20","11","0.5","0.5","2.46","0",,"0.3","14.76","1","1"
"2","2017-01-01T00:02:52.000","2017-01-01T00:12:02.000","N","1","129","173","1","1.45","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1"
"2","2017-01-01T00:01:22.000","2017-01-01T00:07:57.000","N","1","41","43","1","1.18","7","0.5","0.5","0","0",,"0.3","8.3","2","1"
"2","2017-01-01T00:02:17.000","2017-01-01T00:19:44.000","N","1","37","63","1","4.47","16","0.5","0.5","0","0",,"0.3","17.3","2","1"
"2","2017-01-01T00:26:50.000","2017-01-01T00:41:03.000","N","1","145","7","2","3.63","13.5","0.5","0.5","2.96","0",,"0.3","17.76","1","1"
"2","2017-01-01T00:00:19.000","2017-01-01T00:07:04.000","N","1","166","238","1","1.30","7","0.5","0.5","2.49","0",,"0.3","10.79","1","1"
"2","2017-01-01T00:01:35.000","2017-01-01T00:06:00.000","N","1","41","75","1","0.59","5","0.5","0.5","0","0",,"0.3","6.3","1","1"
"2","2017-01-01T00:03:58.000","2017-01-01T00:08:20.000","N","1","181","25","1","0.80","5","0.5","0.5","1.26","0",,"0.3","7.56","1","1"
"2","2017-01-01T00:43:45.000","2017-01-01T00:55:45.000","N","1","130","205","3","3.80","13","0.5","0.5","0","0",,"0.3","14.3","2","1"
"2","2017-01-01T00:02:31.000","2017-01-01T00:22:33.000","N","1","256","129","1","6.27","21.5","0.5","0.5","0","0",,"0.3","22.8","2","1"
"2","2017-01-01T00:01:28.000","2017-01-01T00:12:37.000","N","1","215","10","1","2.79","10.5","0.5","0.5","0","0",,"0.3","13.75","1","1"
"2","2017-01-01T00:01:35.000","2017-01-01T00:16:09.000","N","1","189","106","1","2.46","12","0.5","0.5","2.66","0",,"0.3","15.96","1","1"
"2","2017-01-01T00:01:57.000","2017-01-01T00:02:01.000","N","5","75","75","1","0.00","5","0","0","2","0",,"0","7","1","2"
"2","2017-01-01T00:00:16.000","2017-01-01T00:06:17.000","N","1","117","117","1","1.82","7.5","0.5","0.5","0","0",,"0.3","8.8","1","1"
"2","2017-01-01T00:05:27.000","2017-01-01T00:13:04.000","N","1","7","7","1","1.67","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"2","2017-01-01T00:00:22.000","2017-01-01T00:06:58.000","N","1","61","225","3","1.84","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"2","2017-01-01T00:02:14.000","2017-01-01T00:05:17.000","N","1","181","181","1","0.73","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"2","2017-01-01T00:28:15.000","2017-01-01T00:42:32.000","N","1","256","97","1","2.65","12","0.5","0.5","3.99","0",,"0.3","17.29","1","1"
"2","2017-01-01T00:44:31.000","2017-01-01T00:52:12.000","N","1","97","17","1","1.65","8","0.5","0.5","1.86","0",,"0.3","11.16","1","1"
"2","2017-01-01T00:59:37.000","2017-01-01T01:04:03.000","N","1","17","225","1","1.07","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1"
"2","2017-01-01T00:01:19.000","2017-01-01T00:20:00.000","N","1","256","181","1","8.27","24.5","0.5","0.5","5.16","0",,"0.3","30.96","1","1"
"2","2017-01-01T00:01:18.000","2017-01-01T00:11:21.000","N","1","41","74","1","1.55","8.5","0.5","0.5","0","0",,"0.3","9.8","2","1"
"2","2017-01-01T00:01:57.000","2017-01-01T00:12:00.000","N","1","65","97","1","0.94","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1"
"2","2017-01-01T00:30:30.000","2017-01-01T00:40:23.000","N","1","95","121","1","2.96","11","0.5","0.5","0","0",,"0.3","12.3","1","1"
"2","2017-01-01T00:57:20.000","2017-01-01T01:17:42.000","N","1","95","226","1","4.56","19","0.5","0.5","6.09","0",,"0.3","26.39","1","1"
"2","2017-01-01T00:01:56.000","2017-01-01T00:05:01.000","N","1","134","28","1","1.05","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2017-01-01T00:17:57.000","2017-01-01T00:40:07.000","N","1","95","229","1","10.70","31.5","0.5","0.5","0","5.54",,"0.3","38.34","1","1"
