"project_id","description","client_agency","division","phase","projected_construction_completion","scope","dollar_amount","status"
"288CLOVE","REHABILITATION OF 288 CLOVE RD FACILITY","ENVIRONMENTAL PROTECTION","Public Buildings","Design","2024-04-28T00:00:00.000","The New York City Department of Environmental Protection (DEP) is planning to develop a campus at 288 Clove Road that will service the Sewer Maintenance Unit currently located on-site, as well as the Repairs and Water Maintenance Units which will be relocated to the site upon completion of the construction project.  The project will include demolition of the existing building and fueling station, construction of a new building serving all three units including conditioned garage space and unconditioned materials storage space, construction of a new fueling station, new site grading and development, new outdoor parking with canopy structures, and new outdoor materials storage space.","$30M to 100M","Active"
"ACEDCA437","DCLA MMA - Air Handler Replacements:  WHVAC-2, 3, 4, & 5","DCAS","Public Buildings","NA","2017-11-16T00:00:00.000","The Air Handler Replacement project will replace seven air handler systems throughout the building, all of which are past their useful life.  Some of these systems were installed back in 1950's and are extremely inefficient.  The existing units will be completely demolished and replaced with new state of the art air handlers of equivalent capacities.  In order to replace this equipment new auxiliary work will need to be performed including ducting, piping, demolishing, controls, insulation and related electrical components.  The scope will include the replacement of air duct distribution and fire dampers.","$1M to 3M","Active"
"ACEDCA702","DCLA - REPLACEMENT OF 7 AIR HANDLING UNITS","CULTURAL AFFAIRS","Public Buildings","Construction","2022-10-31T00:00:00.000","The new Air Handlers will be modern state-of-the-art equipment which will improve energy efficiency, improve indoor air quality, and provide a more stable environment for the staff and visitors. With the new equipment and controls, the desired temperature and humidity conditions will be more consistent, reliable and have unoccupied mode ability.","$3M to 10M","Active"
"ACEDCA703","DCLA - CHILLER PLANT UPGRADE","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-12-30T00:00:00.000","The Museum’s Central Plant provides heating and cooling for a majority of the campus 365 days a year. Two of the existing four chillers and two cooling towers, installed in 1997 City-funded Pass-Through PVC034-S, are degraded and have exceeded their useful lives. The Museum proposes to demolish and replace two chillers that serve 68% of the Museum’s complex and to demolish and replace two cooling towers (CTs) that serve the existing complex. Currently, approximately 68% of the Museum utilizes chilled water for cooling needs.","$3M to 10M","Active"
"C114NEWRI","NEW RIKERS ISLAND FACILITY","CORRECTIONS","Public Buildings","Design","2021-04-11T00:00:00.000","The Rikers Island New Facility is part of an overall DOC Capacity Replacement Program plan which proposes the demolition of the temporary deteriorating constructions and building new state-of –the –art facilities. 
The program includes: housing of 1300-bed male detention center with 200-bed infirmary, central intake with a central storage, outside parking areas and a study of the new building traffic impact.  The gross area is 607,000sqf.
The building seeks silver LEED certification.","$10M to 30M","Active"
"CMEHVAC","OCME - Evidence Unit HVAC Upgrades at 421 E. 26th St, Manh","HEALTH","Public Buildings","Construction","2020-03-16T00:00:00.000","HVAC upgrades for the Evidence Area of OCME-Hirsh Center at 421 E. 26th St, Manh. sub-level 1.
Install secured doors between Lab and Evidence Holding Office on 5th Fl.","$1M or less","Active"
"CO272ELC2","45 MONROE PL - ELECTRICAL / FA UPGRADE","DCAS","Public Buildings","Construction","2022-02-23T00:00:00.000","Replace and upgrade the switchgear and the electrical distribution panels. 
Replace feeder/ riser wiring. 
Provide a new Emergency Generator for all Life Safety Systems.
Provide a new Fire Alarm System to replace existing.
Comply with new 2014 NYC Electrical Code.","$3M to 10M","Active"
"CO278EXT2","360 ADAMS ST. - EXTERIOR","DCAS","Public Buildings","Design","2023-09-15T00:00:00.000","Undertake a comprehensible restoration of the façade and its elements as well as removing and replacing sections of the roof parapet and associated flashing.  Secure loose parapets stone coping and repointing parapet.  Reinforced and/or replace damaged and/or displaced stone panels.  Reinforcement and/or replacement of deteriorated/rusty structural steel behind the façade as well as sagging steel above wall openings, seal windows and adjuncts openings. Rehabilitation of large section of deteriorate masonry as well as cleaning of the stone façade and aluminum fenestration to protect pedestrians and restore the building appearance to an esthetically acceptable state.","$1M to 3M","Active"
"CO278FA3","360 ADAMS STREET - FIRE ALARM SYSTEM & SPRINKLER UPGRADE","DCAS","Public Buildings","Design","2027-10-04T00:00:00.000","New addressable non-proprietary Fire Detection & Alarm system in full compliance with current Building, Electrical & Fire Protection Codes of the City of New York as mandated by Local Law #5 of 1973 and its latest amendments.
New sprinkler system prior to 2019 as mandated by Local Law 26.","$30M to 100M","Active"
"CO281TOIL","120 SCHERMERHORN ST.- CODE COMPLIANT TOILET UPGRADE","DCAS","Public Buildings","Procurement","2022-03-18T00:00:00.000","ADA & Code Compliant Public Restroom/ Holding Cell Toilet Upgrade.","$10M to 30M","Active"
