"building_id","borough","phn","street_name","total_units","order_issue_date","current_status","postcode","latitude","longitude","community_board","council_district","bin","bbl","census_tract","nta"
"2709","Manhattan","2254","5 AVENUE","17.0","2014-10-06T00:00:00.000","Discharged","10037","40.814191","-73.936587","110","9","1053919","1017350036","212","MN1002"
"3376","Manhattan","1845","ADAM C POWELL BOULEVARD","24.0","2015-10-21T00:00:00.000","Discharged","10026","40.800860","-73.954233","110","9","1054974","1018227502","216","MN1001"
"3436","Manhattan","2030","ADAM C POWELL BOULEVARD","57.0","2019-10-30T00:00:00.000","Discharged","10027","40.806707","-73.949992","110","9","1058515","1019270033","220","MN1001"
"4182","Manhattan","2843","FREDERICK DOUGLASS BOULEVARD","9.0","2018-10-02T00:00:00.000","Discharged","10039","40.826974","-73.938906","110","9","1060864","1020460032","235.02","MN1002"
"5573","Manhattan","1473","AMSTERDAM AVENUE","4.0","2022-12-12T00:00:00.000","Discharged","10027","40.817399","-73.953319","109","7","1059634","1019700063","213.03","MN0902"
"5618","Manhattan","476","WEST 143 STREET","12.0","2018-10-03T00:00:00.000","Discharged","10031","40.823817","-73.948281","109","7","1061258","1020580058","227","MN0903"
"5706","Manhattan","1887","AMSTERDAM AVENUE","18.0","2016-10-24T00:00:00.000","Discharged","10032","40.830504","-73.943741","109","7","1061653","1020680004","235.01","MN0903"
"5828","Manhattan","2244","AMSTERDAM AVENUE","18.0","2018-10-03T00:00:00.000","Discharged","10032","40.842046","-73.935343","112","10","1063079","1021280044","253","MN1201"
"6206","Manhattan","247","AUDUBON AVENUE","43.0","2019-10-31T00:00:00.000","Discharged","10033","40.846377","-73.934048","112","10","1063183","1021320021","261","MN1201"
"6279","Manhattan","59","AUDUBON AVENUE","10.0","2019-10-31T00:00:00.000","Discharged","10032","40.840626","-73.938254","112","10","1062996","1021250027","251","MN1201"
"6479","Manhattan","38","AVENUE B","10.0","2018-10-03T00:00:00.000","Discharged","10009","40.722769","-73.982907","103","2","1004999","1003990038","32","MN0303"
"7474","Manhattan","22","BRADHURST AVENUE","10.0","2018-10-03T00:00:00.000","Discharged","10030","40.822171","-73.943925","110","9","1060764","1020440002","259","MN1002"
"7474","Manhattan","22","BRADHURST AVENUE","10.0","2016-10-24T00:00:00.000","Discharged","10030","40.822171","-73.943925","110","9","1060764","1020440002","259","MN1002"
"7474","Manhattan","22","BRADHURST AVENUE","10.0","2015-10-21T00:00:00.000","Discharged","10030","40.822171","-73.943925","110","9","1060764","1020440002","259","MN1002"
"8092","Manhattan","3624","BROADWAY","39.0","2016-10-24T00:00:00.000","Discharged","10031","40.829161","-73.948443","109","7","1062077","1020810001","233","MN0903"
