"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"261249590","2023-01-02T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","M","6","0","25-44","M","BLACK","982745","206647","40.733876","-74.005428","POINT (-74.005428 40.733876)"
"261271301","2023-01-03T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","S","120","0","25-44","M","WHITE","962808","174275","40.644996","-74.077263","POINT (-74.077263 40.644996)"
"262235280","2023-01-20T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200501","F","K","62","0","45-64","M","WHITE","983289","158770","40.602464","-74.00346","POINT (-74.00346 40.602464)"
"264404265","2023-03-01T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","S","120","0","<18","F","BLACK","958743","173302","40.642316","-74.091908","POINT (-74.091908 40.642316)"
"264443630","2023-03-02T00:00:00.000","808","TAX LAW","125","OTHER STATE LAWS (NON PENAL LA","TAX181400A","F","K","83","0","25-44","F","WHITE","1006097","195371","40.702901","-73.921203","POINT (-73.921203 40.702901)"
"264943177","2023-03-10T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M","6","0","45-64","M","WHITE","983944","208569","40.739153","-74.001104","POINT (-74.001104 40.739153)"
"265798132","2023-03-28T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","S","120","0","25-44","M","BLACK","962873","174172","40.6447209438691","-74.0770327198983","POINT (-74.0770327198983 40.6447209438691)"
"266141086","2023-04-04T00:00:00.000",,"(null)",,"(null)","PL 215401B","F","S","120","0","25-44","M","BLACK","962808","174275","40.644996","-74.077263","POINT (-74.077263 40.644996)"
"266358046","2023-04-07T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","S","120","0","45-64","M","BLACK","962873","174172","40.6447209438691","-74.0770327198983","POINT (-74.0770327198983 40.6447209438691)"
"269233687","2023-06-02T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","Q","110","0","25-44","M","WHITE HISPANIC","1019164","210169","40.7434812638841","-73.8740035373971","POINT (-73.8740035373971 40.7434812638841)"
"270519574","2023-06-28T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","84","0","25-44","M","BLACK HISPANIC","988902","192641","40.6954388081238","-73.9832253756043","POINT (-73.9832253756043 40.6954388081238)"
"261548646","2023-01-07T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","M","30","0","25-44","M","BLACK","1000749","241092","40.828405","-73.940382","POINT (-73.940382 40.828405)"
"261804377","2023-01-12T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","90","0","25-44","F","BLACK","1002011","195396","40.702979","-73.93594","POINT (-73.93594 40.702979)"
"262023529","2023-01-17T00:00:00.000","748","CONTEMPT,CRIMINAL","359","OFFENSES AGAINST PUBLIC ADMINI","PL 2155003","M","B","44","0","25-44","M","BLACK","1006537","244511","40.837774","-73.919455","POINT (-73.919455 40.837774)"
"262182102","2023-01-19T00:00:00.000","729","FORGERY,ETC.,UNCLASSIFIED-FELO","113","FORGERY","PL 1702500","F","B","44","0","25-44","M","BLACK","1009388","242814","40.83311","-73.909156","POINT (-73.909156 40.83311)"
"261285672","2023-01-03T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B","47","0","25-44","M","BLACK","1029801","256194","40.869752","-73.835303","POINT (-73.835303 40.869752)"
"261328036","2023-01-04T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1601001","F","B","50","0","25-44","F","BLACK","1010983","261033","40.883111","-73.90332","POINT (-73.90332 40.883111)"
"263314647","2023-02-09T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501500","F","K","90","71","45-64","M","WHITE","998016","196598","40.706283","-73.950348","POINT (-73.950348 40.706283)"
"262494405","2023-01-25T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","75","0","25-44","M","BLACK","1017119","183909","40.671404","-73.881509","POINT (-73.881509 40.671404)"
"262715728","2023-01-30T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211300","F","S","122","0","18-24","M","WHITE","955736","149728","40.577599","-74.102644","POINT (-74.102644 40.577599)"
"264241054","2023-02-26T00:00:00.000",,"(null)",,"(null)","PL 2410200","M","M","30","0","25-44","M","BLACK HISPANIC","1000365","240994","40.828135","-73.941769","POINT (-73.941769 40.828135)"
"262755971","2023-01-31T00:00:00.000","164","SODOMY 3","116","SEX CRIMES","PL 1304003","F","K","77","0","<18","M","WHITE","1003509","185018","40.6744956865259","-73.9305713255961","POINT (-73.9305713255961 40.6744956865259)"
"263082005","2023-02-05T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200501","F","K","77","0","25-44","M","BLACK","1005418","184431","40.672873","-73.923688","POINT (-73.923688 40.672873)"
"264912066","2023-03-10T00:00:00.000","177","SEXUAL ABUSE","116","SEX CRIMES","PL 1306502","F","B","44","0","18-24","M","BLACK","1006490","244533","40.8378421209284","-73.9196277517392","POINT (-73.9196277517392 40.8378421209284)"
"265378621","2023-03-20T00:00:00.000","168","SODOMY 1","116","SEX CRIMES","PL 1305001","F","M","30","0","25-44","M","BLACK","999790","241169","40.8286232400477","-73.9438488369889","POINT (-73.9438488369889 40.8286232400477)"
"265639259","2023-03-25T00:00:00.000",,"(null)",,"(null)","CPL5700600","9","Q","102","0","45-64","M","BLACK","1032501","198800","40.712206","-73.825952","POINT (-73.825952 40.712206)"
"261467958","2023-01-06T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","Q","108","0","25-44","M","BLACK HISPANIC","996424","210017","40.7431245994984","-73.9560680726795","POINT (-73.9560680726795 40.7431245994984)"
"261945210","2023-01-15T00:00:00.000","168","SODOMY 1","116","SEX CRIMES","PL 1305001","F","B","45","0","65+","M","BLACK","1032091","241976","40.8307223277672","-73.8271260588639","POINT (-73.8271260588639 40.8307223277672)"
"265190878","2023-03-16T00:00:00.000","244","BURGLARY,UNCLASSIFIED,UNKNOWN","107","BURGLARY","PL 1402501","F","K","75","0","45-64","M","BLACK","1014781","185829","40.676683","-73.889929","POINT (-73.889929 40.676683)"
"265403075","2023-03-21T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1500500","F","M","26","1","25-44","M","BLACK","995794","236458","40.81569072","-73.95829474","POINT (-73.95829474 40.81569072)"
"267009678","2023-04-20T00:00:00.000",,"(null)",,"(null)","CPL5700600","9","Q","102","0","25-44","M","BLACK","1032501","198800","40.712206","-73.825952","POINT (-73.825952 40.712206)"
"262294001","2023-01-21T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","Q","106","0","25-44","F","BLACK","1039119","184568","40.673103","-73.802197","POINT (-73.802197 40.673103)"
"265891014","2023-03-30T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200600","F","B","52","0","18-24","M","BLACK","1013949","254991","40.866518","-73.892622","POINT (-73.892622 40.866518)"
"265981155","2023-03-31T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","B","47","0","25-44","M","BLACK","1021781","256461","40.870523","-73.864296","POINT (-73.864296 40.870523)"
"266165435","2023-04-04T00:00:00.000","548","GAMBLING, DEVICE, POSSESSION","350","GAMBLING","PL 2253002","M","K","77","0","18-24","M","BLACK","1002615","183343","40.66989183","-73.9337974","POINT (-73.9337974 40.66989183)"
"266216737","2023-04-05T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M","1","0","18-24","M","BLACK","982148","201784","40.720528","-74.007582","POINT (-74.007582 40.720528)"
"261271270","2023-01-03T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","79","0","18-24","F","BLACK","999507","190206","40.688736","-73.944984","POINT (-73.944984 40.688736)"
"266980344","2023-04-20T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","75","0","25-44","M","BLACK","1017119","183909","40.671404","-73.881509","POINT (-73.881509 40.671404)"
"261754494","2023-01-12T00:00:00.000",,"(null)",,"(null)","CPL5700600","9","Q","109","0","25-44","M","BLACK","1032084","216954","40.762037","-73.827328","POINT (-73.827328 40.762037)"
"268195735","2023-05-13T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","Q","103","0","45-64","M","BLACK","1041717","197008","40.7072398161698","-73.7927267255908","POINT (-73.7927267255908 40.7072398161698)"
"267386199","2023-04-28T00:00:00.000","464","JOSTLING","230","JOSTLING","PL 1652501","M","B","52","1","25-44","M","WHITE HISPANIC","1012627","255339","40.86747548","-73.89740194","POINT (-73.89740194 40.86747548)"
"267525570","2023-05-01T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q","100","0","25-44","F","BLACK","1035353","152906","40.586222","-73.816011","POINT (-73.816011 40.586222)"
"268777949","2023-05-24T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","Q","102","0","45-64","M","BLACK","1031076","193778","40.69843","-73.831128","POINT (-73.831128 40.69843)"
"263970678","2023-02-21T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211300","F","K","67","0","25-44","M","BLACK","997897","175676","40.648859","-73.95082","POINT (-73.95082 40.648859)"
"267872761","2023-05-07T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","B","47","0","25-44","M","BLACK","1022600","257301","40.872824","-73.861333","POINT (-73.861333 40.872824)"
