"sitename","gispropnum","initplntsn","acreage","dtacolmthd","shape"
"Blood Root Valley","R129","2007 Fall","0.172","GPS","0xD708000001044800000000D16F7516DC2C4100603CDD8DE102410085691C0EDC2C410078E25ECAE1024100499A0906DC2C410070E433B6E1024180961948F4DB2C41005A64F5CDE1024180A897B0E1DB2C41003AFDEDE4E1024100D5B428D0DB2C41000C091FECE1024180FF6555BDDB2C41007698BBE4E1024100D16554AFDB2C41000C6A24E5E102418077683FA0DB2C4100FAC07D16E2024100EE71AE9ADB2C4100B6027745E20241806786639DDB2C410034B25063E20241802E4DDB8EDB2C41003AA72393E20241802312D27EDB2C410054B100BCE2024100042AB26CDB2C4100D45D2EDCE2024100D1D9085ADB2C4100FA655FFFE202410093737F4BDB2C4100F8756700E3024100F20C8D59DB2C410084C660BEE2024180BD94265EDB2C41004255A9D0E20241805CB4F662DB2C4100046B86A0E2024100C0CF6F6EDB2C4100A692133AE20241001AA0026EDB2C410042DF6220E20241802A00C75EDB2C4100142458FAE102410053985257DB2C4100BE7EADD1E102410090C1E540DB2C410054EE62ADE10241807C589B38DB2C4100F607449DE10241004D0BB42DDB2C410098B9C581E1024100B7186419DB2C410028DAFC46E1024180B69F910FDB2C4100B280FB51E10241802CDF0503DB2C41005283D038E1024100E3EECCF6DA2C4100B6A6E020E1024180C4497AF5DA2C41007CFA5CF4E00241006B9F0FF3DA2C4100467EC4A6E0024180DA8EC805DB2C41009489F5B1E0024180981DE612DB2C410088B43284E0024180C412A118DB2C410042AE869FE00241808DE51F1ADB2C410078A3D69FE0024180DA00C53ADB2C4100B282F923E1024100D7222C47DB2C4100BC09154DE10241009D39F851DB2C4100BC7CCA0EE1024180DDB4E054DB2C41005A1613CEE002410005CEC257DB2C4100664D2B9BE00241002A88B55CDB2C41003A74644FE0024100105D755DDB2C41004059A812E002418009CD425FDB2C4100965D52E7DF024180059CFF5EDB2C4100DA06FDF1DF024100C44E8578DB2C4100F657C987DF0241001C023583DB2C4100C883B486DF02418081B0E294DB2C41007661F881DF0241806119D8A3DB2C410058F0EA88DF0241009A85E4B2DB2C41007A3B3C99DF02418016AD38B9DB2C4100F0FC9C99DF024180D9B065C0DB2C41002CFF7183DF02410087C630C4DB2C4100761FFF54DF024180677ECCC0DB2C410042D15314DF0241002238A9BEDB2C410064935E05DF0241002B06A6C5DB2C41003A7C2917DF0241002141EEC6DB2C41006C98E32BDF0241001EB3BCC8DB2C4100263E8E51DF024100AF31FCCBDB2C410068EEE878DF0241803879B5CEDB2C410076A09BBBDF0241007C500CD7DB2C4100B24CC9DDDF0241807C1F0AE6DB2C4100304044F0DF024100D501FCF0DB2C4100C6180703E002410004A7CEF1DB2C4100CA46F40FE00241003445DEF9DB2C4100266612EEE00241807D949AEFDB2C4100366814FDE0024180E008C0F8DB2C410058B7692CE102410026A1CCFFDB2C410048A60D48E102418053B1AA09DC2C4100FA3DDB62E1024180226EC90EDC2C4100FC2A7D6EE1024100DA6BF315DC2C4100867DD283E1024100D16F7516DC2C4100603CDD8DE1024101000000020000000001000000FFFFFFFF0000000003"
"Blood Root Valley","R129","2007 Fall","0.209","GPS","0xD708000001049A00000080E60F18A4DA2C4100B49E99CAE4024180ACFE39A2DA2C410056D6B5D0E4024180EA6D1B95DA2C410060C4D8E3E4024180486BAF94DA2C410022DF67FEE4024180F3C0C382DA2C4100C206531DE50241802369EC76DA2C41006004D43EE5024180E557CD65DA2C41002E03805CE50241002A57E156DA2C410078080581E50241807ABA7C48DA2C41006C793F9FE5024180A914FE37DA2C410064BAB7C4E502410071756D28DA2C4100A66D68DFE5024100D6627817DA2C410034E14EFEE5024100D597BC08DA2C4100C8146B23E6024180379EE9FBD92C4100C4CD733BE6024100942A2FF2D92C410068FF8D50E6024100A8694DDED92C4100A6B00F38E602418079E9E1D2D92C41008C00E670E60241003BB6DCC4D92C4100CE114691E60241801B478FBCD92C41002AB4C3ACE6024100F4FF2BC1D92C4100180B1DDEE60241007C82EDC4D92C4100F4FB1814E7024180B636DDC8D92C410032828A4DE70241808FDF9CD1D92C410096EB9781E7024100CD77E9D8D92C4100D28111BCE7024180EC3BA1DED92C4100CEEA74FDE702410038CAE8E4D92C41001C18E53DE802418027ED0FEAD92C410090693C7AE8024180BA53EEF0D92C410018D09DAFE802418063C064F2D92C4100FADDD0C5E80241807D8A9FF8D92C4100243B0300E902418009E7B7EFD92C410074E7B34FE9024100B49E92DED92C41004EAEC697E90241800922D3CCD92C4100E46AD3D1E90241000404EEC0D92C41003208A3E0E902418058698AB2D92C41004255F600EA024180C33CF3A4D92C41004C4D1F24EA024180A691DC93D92C4100F6DD6946EA024100269A4A86D92C41001836175AEA024100DA6C0879D92C41004C1FB982EA024180B937026AD92C410018D3138FEA0241809E70485CD92C41006A3DCBB1EA024180EF26CC3BD92C4100687A7019EB024180C9AE792BD92C4100F4AC0B37EB024180A63C6A1BD92C4100A65B3B65EB024100B1CE9D19D92C4100B0E9B0A0EB024180BC04A421D92C4100B2699FDBEB024180C1D09F28D92C410024DFB42EEC0241805EFDF635D92C4100F07C5B53EC0241006CF8F43CD92C410066D86295EC024100262FE644D92C41000255FBDFEC0241000ECA5E4CD92C41004026BE2AED0241005B448756D92C41006693F865ED02410080CF375BD92C410012C0E79BED02418087D4FA62D92C410044528ADBED0241008708406BD92C4100502B5128EE02418011EBB174D92C410094BFF576EE02410000459F7AD92C4100A2C8A7A2EE0241803A21398BD92C4100FE2F86A3EE0241009A619A9BD92C4100BA3B8A87EE024180D5072FB3D92C4100B62CA946EE0241005FC97BC7D92C4100224D3617EE0241805CB5DDDAD92C41007471F0EDED024180D69890ECD92C410096D8A1CCED024180DE6B90FBD92C4100241091AFED0241803FC65308DA2C4100541697DCED0241000F50EE0CDA2C41007EA86640EE024100BCBBE415DA2C4100C432057FEE0241006AF39516DA2C41006AA8C088EE0241808E5ADE0EDA2C4100E4EFBBAAEE0241004CF69500DA2C4100E665A4D5EE024180774B95F7D92C41005C7256E7EE0241806A7D57E1D92C4100540ED214EF02410053E48AE0D92C4100060DA719EF024180CF37DECFD92C410092A99F14EF0241007EBFF6C5D92C41007EB7A506EF02418069BBF3B6D92C4100B4FA9C0BEF024180EB8417A8D92C4100D2C60317EF0241003CE7F191D92C41005A28B301EF024100C8158990D92C41005EFCF427EF02418021203884D92C41005CFFA025EF02418049679B7FD92C410014906819EF0241004422CD6ED92C41008C8BBA08EF0241008E943069D92C41002C509AE1EE024100EFC9CA61D92C4100AE9966B1EE0241003C4E0C58D92C410046CB267FEE024100D3163050D92C41000221CE48EE02410018E48048D92C4100F28B7F0AEE024100B5EBAE41D92C410016E6D4E5ED0241802BF95F3CD92C4100F86969BBED0241004E52E133D92C41000ACF188BED0241802C22DE2CD92C41001226415AED02418053CE8821D92C41006EAE29F9EC024180B802A321D92C410056B200F5EC02410028FC7420D92C41000ED764BEEC0241005F020D1AD92C4100E6E1918FEC024100439D4412D92C4100486CA961EC024100A951C90FD92C4100D49F9425EC02410097574B01D92C41004075D0E4EB0241006527C8FAD82C4100981FCFD2EB024180FE2974FBD82C41007ED7FC9BEB024180D476C5FED82C410048A0B36EEB024100B52F2203D92C410032FB8953EB0241808909650CD92C41009A387B28EB02410068A9201CD92C4100FE58351DEB02418023259F25D92C4100F0462B0DEB024180BEBF8234D92C4100E2301DDEEA024180F608E83ED92C4100FC8345CBEA02418026A7F746D92C4100E23571A3EA024180E813AE47D92C4100C09FCE81EA024180AC42DB4ED92C4100B0A3CE63EA0241002DE44157D92C41006A58D35EEA0241001E26CE60D92C410098F0F023EA02410061851367D92C410010509EFFE90241005C046971D92C4100482130E9E9024100B9B5D77BD92C410006D2DABAE9024180219C8B86D92C41007E2B86A5E9024100DCF52393D92C41000835887BE9024180000A849DD92C410048AFED57E9024180031188A5D92C4100F8D92A2CE9024100DA05EEB2D92C410086A60E06E902410015B69BB6D92C41008A4E0BE7E8024100BD7BBEB5D92C41008A43ADB5E8024180103430B9D92C41005E71407CE80241007A4362B4D92C4100C004B032E80241005BA251B3D92C4100DE7E1510E8024100CB743AADD92C4100B85C2CE6E702418024740FADD92C41005C7AB36FE7024180898582A8D92C4100A093BD48E70241006BB1EDA6D92C4100A85B9D07E7024100B6ED4BA8D92C4100D8E3B2CBE6024100A8A2E6ABD92C410076139EADE6024100983D1FB3D92C4100BA295293E60241000E2AABB8D92C41001680D071E60241805F418DC9D92C410022864F34E602418005EFCFDBD92C4100CCFA5C12E60241004F8D1FE3D92C4100261A96FFE5024100470632EDD92C41004E821EF0E5024180CE89B4F8D92C4100F03D50DAE5024100089C5302DA2C410002E14AC2E502410097DE4A0CDA2C41005EF07BAEE502418077EDD215DA2C410040E073AEE502410005B05F22DA2C41008EDD9A8AE5024100B762E42CDA2C410062911E7DE5024180F99F4336DA2C4100FECD6562E50241800D525D40DA2C4100B0FCA655E5024180E6295F49DA2C4100649C1E29E50241000386CF6CDA2C4100860FD4E9E402418007AB7771DA2C4100EE496FCBE40241004997AE7DDA2C4100660420AFE4024100A3BAEB89DA2C41002A6B5081E4024100F2755F95DA2C410026EDBD9DE4024100409399A1DA2C4100BCB1CA9AE4024180513A6DA3DA2C41009C40BDA1E4024180E60F18A4DA2C4100B49E99CAE4024101000000020000000001000000FFFFFFFF0000000003"
"Blood Root Valley","R129","2007 Fall","0.277","GPS","0xD7080000010464000000806BE6000FDD2C410040D6D000E902410056416E0DDD2C4100E0D2A3F6E802418068346704DD2C410034465DF3E8024100A7C6EFFBDC2C410054146CC6E8024180C5C805F6DC2C4100BE0D669CE802418094B626ECDC2C4100B8EB7C71E8024100595BE3E5DC2C410082249312E8024100571EDAE4DC2C410028170AEEE7024100C26F18E9DC2C4100842839ACE7024180C33410E8DC2C410014FBC86CE7024180E6FAC8EDDC2C410080255C4DE70241009A7D1FEBDC2C4100C4A2C112E7024180DC89BAE4DC2C410054144CDAE6024180FEE5BCD4DC2C4100767CA369E6024100095389DDDC2C4100227AA15CE60241804C35BAD9DC2C41000089FB32E60241003921DACEDC2C4100F6A686F7E5024100B94A2FD5DC2C41003C0A34B6E5024100F9A270D3DC2C4100E008AF73E5024180C0D61FD3DC2C41008CA3A120E502410017C5D7DEDC2C41000226B5F1E4024100B0CC86E7DC2C4100D8C48613E50241006D6328F5DC2C4100166252E5E40241806D0A7CF7DC2C4100D62C3C29E5024180CA0DD406DD2C410030222EA3E4024180EC607E12DD2C4100B2C3A787E40241804EB7FF1EDD2C410056021EA0E402410008F3F32EDD2C410054597393E4024100C2A53839DD2C41002C574461E40241006359FE4BDD2C4100FC958D54E4024100FCFFA75BDD2C41009E9C1050E40241003233ED69DD2C4100767BD551E402418086E49B74DD2C41009C526D6AE40241807EBC3168DD2C4100B02B5D9DE4024100DC385C81DD2C4100B01C03C8E40241808F370681DD2C4100468D66CFE4024180EA47E598DD2C41003AE2EA14E5024180B1AE1899DD2C41006078372CE502410068134A8ADD2C4100FCA2CE48E5024180AEA65389DD2C41009018E49AE50241808C84AB6EDD2C41002E09673EE6024180AE598068DD2C41001208407FE6024180E15ED869DD2C4100F0948ABEE6024100A8EDB576DD2C4100EC13A2E7E60241005A72B988DD2C4100A2EB0CD8E60241801F385D96DD2C4100FC0E4AE4E60241007B2153A9DD2C4100CEE3DFEFE6024180287D6CB6DD2C4100F83C0E0BE70241805A075DC2DD2C4100069A692CE7024180388471CDDD2C41003C2B5E40E70241000C11CED9DD2C4100DE667E65E70241001C3AB9EDDD2C4100E864536FE70241004451DBFFDD2C4100EE14D77EE7024100C7863716DE2C4100264EC873E7024100F500CC35DE2C4100D4BE589EE702418000142B39DE2C41004E4045AFE7024180204D7348DE2C410014386ED4E70241803FE3A955DE2C41006A18B817E8024100F4CFB668DE2C4100DCE6CA25E8024180243C0378DE2C4100624F2A2DE80241805FED7183DE2C4100CAFE801DE80241002D0C828EDE2C41006ED64556E8024180DC2C939ADE2C41008E354D7CE802418009939CA9DE2C4100EC93D398E8024100398B19B7DE2C4100A0BB41E5E8024180DDC64CB8DE2C41007020CE2CE9024100DD1E38AEDE2C4100F680837BE902418075027FAADE2C4100FE1E01B8E9024180806DC9A3DE2C41000E69FEE4E9024180DE14329EDE2C4100FC23B302EA0241804E8E6E9ADE2C41001EC7B127EA024180F86DF395DE2C41003C2D696AEA02418001E6C497DE2C4100500057ACEA0241001DA7BA95DE2C4100205E89E1EA02418081EAF089DE2C41004E3CA4F2EA02410077AC6681DE2C410010CD3EC2EA024180AED5A57FDE2C41009EE06F8EEA02410004A5F886DE2C41004C3EC54EEA0241007D425D8FDE2C4100D27CDDE2E9024180EE248F99DE2C4100FC506B78E90241802D2D69A2DE2C410050CB760CE9024100C8A5A495DE2C4100D8701DF6E80241001D8AEA7CDE2C41000AF686BCE802410089578F5FDE2C4100402BCA9CE8024100A0CEB344DE2C4100A0849E6EE802418064057828DE2C41006443264BE802418076D7890BDE2C41005CF0F91FE802418078A197EEDD2C41007EAB54F4E70241809D8A0AD5DD2C4100AECF0ECCE702410027630ABADD2C4100BEAFD1A5E7024100985115A1DD2C410008C0AC80E7024100EEACAB82DD2C410044198153E7024180F541F464DD2C41004201482EE7024100C397DD4CDD2C41008275AB19E70241003C882A43DD2C410012D03153E70241009D417139DD2C4100A44CF7C1E702410069FA0C2FDD2C4100B29EFC2CE802410072797624DD2C4100C044AB8DE80241002B6D9A1BDD2C4100382E4DB4E80241806BE6000FDD2C410040D6D000E9024101000000020000000001000000FFFFFFFF0000000003"
"Blood Root Valley","R129","2007 Fall","0.282","GPS","0xD708000001044C000000003804D9E4DE2C410048861EF2EA02410049AAEBDEDE2C4100F42E1BCEEA02418060BF0BE2DE2C41002A23BDA2EA024100684BFCDFDE2C4100460A2C5BEA0241803F13B5D8DE2C4100CE3C400DEA0241008C6975D6DE2C41007C3F92C5E902418052D5ABDEDE2C4100C8991086E9024100D89778EBDE2C4100CE60A09EE9024180D52DAFF9DE2C41005C97E155E902418081C4D007DF2C4100C62C803FE9024100CEEE911CDF2C4100F0785257E9024100D0CB562CDF2C410074F40F53E9024100956F143DDF2C410098E80B70E902410075D8094CDF2C410000300355E902410005B2775CDF2C4100B4308021E90241809A2E765FDF2C4100FADA7AD2E8024180EE5C3974DF2C410062D522D4E80241805C39287EDF2C4100325FBDD8E80241808DF91D83DF2C4100325665F4E80241806745EF8DDF2C410098810486E90241806CEA0190DF2C4100061D2CCCE9024100D9AA0C8EDF2C4100C4386912EA02418092941799DF2C410096BF5719EA024180D38551ADDF2C41007696453EEA024100468627B4DF2C4100CE1B366FEA024100FC9770B7DF2C41005A96CCAAEA02418067333FC5DF2C4100BA698DC6EA024100015B14DADF2C4100A0D115B9EA0241808D87EBE7DF2C4100E801AB8BEA024100546CF4F9DF2C4100A4CC0D64EA0241001959810CE02C4100548C9539EA02410016492520E02C4100F8CA0B52EA0241009AF0CE28E02C410084B5AB51EA0241804848A635E02C4100C0B37C1CEA0241002ECA7D48E02C410060765E23EA024100D89FE957E02C410078AD49CCE90241002C23176AE02C41002EA2C2B6E9024180D17F317FE02C4100BE019DB5E902418036884C96E02C41004451F2E1E90241001FEDBFA4E02C41007E4E7306EA02410017955290E02C4100D8CD6146EA0241801ACB9898E02C4100C854A656EA0241806BA6458CE02C41009C94CED6EA0241007330B47AE02C4100D035CBEBEA02410039A6036FE02C410042B38AF7EA024100AEC55156E02C41009AF32B08EB024100418BB346E02C4100BCEF27E8EA0241803C68CB32E02C4100086FBCE0EA02410026D1931DE02C41004455DBF1EA0241005678FB09E02C4100F4090D11EB024100668797FDDF2C41003488760CEB024100742AE8EFDF2C4100BADE254BEB024180C1263BE8DF2C4100405CE993EB0241801D0A6DEBDF2C41000A97E2F7EB0241809504C0F1DF2C4100E87E303FEC024100F51D38FDDF2C4100FCA27183EC02410035F2CCFDDF2C4100EE870F8FEC0241008F42CAFADF2C4100E6A379F7EC02418039F9E3E1DF2C41000698EEA8EC024100080EEEDCDF2C4100E0F849ADEC024100077335D6DF2C4100D40FD9E4EC0241000DE341C8DF2C410060AECFB1EC0241802C35BFB7DF2C41003A2BE18EEC0241809BB4FDA4DF2C4100B6B5CF79EC02418020E4A887DF2C4100A28DE020EC0241803E0F6877DF2C4100DC6B7803EC0241808AC9AE66DF2C4100528380CBEB0241804C18D446DF2C41006C3C0277EB024100B909E135DF2C4100FEA1885CEB024180128F2224DF2C4100CC312552EB024100C234DF16DF2C410032FB8953EB02418099A5AB02DF2C4100782CCD51EB024100EC22A9F0DE2C4100448B2647EB0241802C7526DFDE2C410058CA192EEB024180A0C121DBDE2C4100ECBB3C26EB0241003804D9E4DE2C410048861EF2EA024101000000020000000001000000FFFFFFFF0000000003"
"Blood Root Valley","R129","2007 Fall","0.033","GPS","0xD708000001041E00000000CDE01BD9DE2C410000CAC982EB024100EA3888DDDE2C41003EAD3C96EB024100F28F34EADE2C4100B22AFCA1EB0241000D57EEF7DE2C410020E885A7EB024180AAD52E0ADF2C410076C721BFEB0241809E96D01DDF2C41001AFCE7D1EB024180E2C0D132DF2C4100BC6774E5EB024180302B1D41DF2C4100EC0C7519EC02410057255C5EDF2C4100D06C5353EC024100FB8D3C74DF2C41007688B980EC024180459E9B8CDF2C41004E55CEB9EC02418089ED0397DF2C41005A39EBBCEC02410089C2C5B5DF2C4100AA08ACF7EC024100C7F68BCBDF2C4100D0C98F28ED024180382E28D3DF2C41008C5CDC59ED024180740AD5BFDF2C4100BED8ED3BED0241003C9D07A9DF2C41008CCF911BED024100F8C83199DF2C4100E6FB260CED02418046661484DF2C410004D43BEFEC0241809BEE577ADF2C4100BC105AEDEC024180A567FD5FDF2C4100240D00C1EC0241802F0E3A4CDF2C4100EE2D64A8EC024180BDB23538DF2C410038044E94EC024180D68E0D2BDF2C410098F56C50EC02418024E6A10CDF2C41002EC3D131EC0241007BDDB1FCDE2C410018EE3B28EC02410075797EE7DE2C41002818A2E7EB024100B2BD5FDADE2C4100628EDABEEB024180BA41CCD7DE2C4100382F00BDEB024100CDE01BD9DE2C410000CAC982EB024101000000020000000001000000FFFFFFFF0000000003"
"Conduit Boulevard","DOTQ","2007 Fall","0.004","Drawing","0xD708000001040B00000080D74F3C0B192F410090FA4286DB064100095ED914192F410038DE5F8CDB064100ACD41417192F4100EA2184B1DB0641003F3A3216192F4100C486E3D4DB06410064D0BC0E192F4100426027F0DB0641000C19CB03192F410006F948EEDB06418081B2ACFC182F4100520322D8DB0641000CA0F8F9182F4100521C2CB3DB0641001D47CCFB182F41002006748FDB06418073DF5802192F410096CDD680DB064180D74F3C0B192F410090FA4286DB064101000000020000000001000000FFFFFFFF0000000003"
"Blood Root Valley","R129","2007 Fall","0.056","GPS","0xD708000001041D00000080F03B52A8E02C4100B839A7C4ED024180BED90BA9E02C4100F007E3BAED02410099241CACE02C41002A8ECD88ED024100056ED6AFE02C41005EE62054ED024100A69C2EBDE02C410092256A44ED024100A78ED3D0E02C410056E24959ED02410023333CE1E02C41000AB56084ED024180EE8D15F5E02C4100C8B05C67ED024180DD82BB01E12C4100ACBE8F7DED02418060906D0BE12C4100207442A6ED024180A9DA131DE12C4100E22BCEF5ED02410062A2382BE12C4100F8E75924EE0241001C57FF44E12C41000088D532EE0241004F55BF52E12C4100EEFD3A30EE0241809FD2A964E12C410040C64B4EEE0241002A6C4C6CE12C4100E44365A0EE0241007805DA7AE12C410072A4EDCAEE0241009AAC2D7CE12C410040712F28EF024180DCC3A269E12C410026BD0142EF0241803E51FD52E12C41001EC5D81EEF024100C7A9923AE12C410060A79D06EF0241806F464A25E12C4100269064DBEE024180CC54BA09E12C4100D8F5EABFEE024100D6AC3AFAE02C410082C7F977EE024180F44F0BECE02C4100F0922F27EE02418034B265D6E02C4100162ACCE4ED0241004C4C31C0E02C4100862A49B3ED0241008CA472BEE02C4100767CF099ED024180F03B52A8E02C4100B839A7C4ED024101000000020000000001000000FFFFFFFF0000000003"
"Blood Root Valley","R129","2007 Fall","0.012","GPS","0xD708000001040E00000000F81CADA3E02C410078ED84FFED02410062F79AADE02C41004887D1FAED0241807621C6B9E02C41001662BF01EE024180E38AA6C9E02C4100BAB7972DEE02418071F8C8D8E02C41007219A15EEE0241006C5538E6E02C4100E0732799EE02418073D70FF8E02C41005429DAC1EE0241001D0E8100E12C410046FEC5D6EE024180B6EA42E5E02C4100EAF7ECCEEE024100764A31CEE02C410064E68CB0EE02410035DDA3B7E02C410022E28893EE024100491CC2A3E02C4100B806ED5DEE024100E77197A1E02C4100D4A7BC4FEE024100F81CADA3E02C410078ED84FFED024101000000020000000001000000FFFFFFFF0000000003"
"Bronx Park","X004","2007 Fall","0.226","Drawing","0xD7080000010408000000004B050032232F410034732552960F4100BE16970E242F4100D0573D94980F41809EB5AC6D242F4100EA17393E9A0F4180323CB180242F41008234D8409B0F41805515DB56242F4100627B0A259C0F4100516BBDD1232F410000B981C4990F4100001FCD35232F4100402B1DFC970F41004B050032232F410034732552960F4101000000020000000001000000FFFFFFFF0000000003"
"Clove Lakes Park","R005","2009 Spring","0.083","GPS","0xD708000001040C00000080FBD3C68A092D41005C9616D127044100FF72E749092D4100E810721127044180BAA15451092D4100E0C32CC827044100A90D3001092D41007EA372D327044100A87277FA082D4100AA993F9E2704418003121BE5082D4100665CB54726044180E5DD0311092D41007C43FB1926044100AACF932B092D4100B007AA942504418060A43F42092D4100ECC38132250441001B315C4F092D4100A267E215260441001D8A3680092D41005E58C33D27044180FBD3C68A092D41005C9616D127044101000000020000000001000000FFFFFFFF0000000003"
