"dbn","location_name","location_category","administrative_district","_0k_removals","_0k_principal","_0k_superintendent","_0k_expulsions","_01_removals","_01_principal","_01_superintendent","_01_expulsions","_02_removals","_02_principal","_02_superintendent","_02_expulsions","_03_removals","_03_principal","_03_superintendent","_03_expulsions","_04_removals","_04_principal","_04_superintendent","_04_expulsions","_05_removals","_05_principal","_05_superintendent","_05_expulsions","_06_removals","_06_principal","_06_superintendent","_06_expulsions","_07_removals","_07_principal","_07_superintendent","_07_expulsions","_08_removals","_08_principal","_08_superintendent","_08_expulsions","_09_removals","_09_principal","_09_superintendent","_09_expulsions","_10_removals","_10_principal","_10_superintendent","_10_expulsions","_11_removals","_11_principal","_11_superintendent","_11_expulsions","_12_removals","_12_principal","_12_superintendent","_12_expulsions"
"01M015","P.S. 015 Roberto Clemente","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M019","P.S. 019 Asher Levy","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M020","P.S. 020 Anna Silver","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M034","P.S. 034 Franklin D. Roosevelt","K-8","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","8","6","*","*","7","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M063","The STAR Academy - P.S.63","Elementary","1","12","*","*","*","14","*","*","*","9","*","*","*","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M064","P.S. 064 Robert Simon","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M110","P.S. 110 Florence Nightingale","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M134","P.S. 134 Henrietta Szold","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M137","P.S. 137 John L. Bernstein","Elementary","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"01M140","P.S. 140 Nathan Straus","K-8","1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","6","*","*","*","*","*","*","6","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
