"building_id","registration_id","borough","house_number","street_name","postcode","of_dwelling_units","infested_dwelling_unit_count","eradicated_unit_count","re_infested_dwelling_unit","filing_date","filing_period_start_date","filling_period_end_date","latitude","longitude","community_board","city_council_district","census_tract_2010","bin","bbl","nta"
"344156","306009","BROOKLYN","161","NEWEL STREET","11222","6","0","0","0","2021-02-16T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.727680","-73.949030","1","33","573","3065755","3026230011","Greenpoint"
"256026","373686","BROOKLYN","250","EAST 29 STREET","11226","81","5","4","1","2021-04-15T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.643844","-73.949812","17","45","826","3119189","3051720023","East Flatbush-Erasmus"
"172490","353675","BROOKLYN","2043","76 STREET","11214","3","0","0","0","2021-06-07T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.609649","-73.991396","11","43","268","3160411","3062290060","Bensonhurst"
"98405","221658","BRONX","4425","MUNDY LANE","10466","4","0","0","0","2021-09-07T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.901231","-73.840539","12","11","444","2071603","2051000012","Wakefield-Woodlawn"
"358122","357464","BROOKLYN","389","PUTNAM AVENUE","11216","3","0","0","0","2023-07-10T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.684545","-73.945667","3","36","267","3051701","3018240063","Bedford-Stuyvesant (West)"
"705843","403865","QUEENS","861","WOODWARD AVENUE","11385","4","0","0","0","2021-05-05T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.702903","-73.902286","5","30","585","4083378","4034830034","Ridgewood"
"877716","379778","BROOKLYN","912","MOTHER GASTON BOULEVARD","11212","3","0","0","0","2023-07-06T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.656147","-73.903403","16","42","922","3388522","3036390049","Brownsville"
"233155","302281","BROOKLYN","45","DIAMOND STREET","11222","6","0","0","0","2019-02-07T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.724204","-73.946068","1","33","571","3066934","3026840018","Greenpoint"
"29583","611270","MANHATTAN","269","WEST 4 STREET","10014","2","0","0","0","2019-12-20T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.735736","-74.003388","2","3","73","1010901","1006130002","West Village"
"354106","362414","BROOKLYN","2129","PITKIN AVENUE","11207","3","0","0","0","2023-04-27T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.672214","-73.893766","5","37","1144","3083862","3037230037","East New York (North)"
"994203","228170","BRONX","1228","INTERVALE AVENUE","10459","3","0","0","0","2023-06-23T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.828795","-73.894658","3","17","125","2114247","2029740006","Crotona Park East"
"136785","310744","BROOKLYN","7514","11 AVENUE","11228","3","0","0","0","2021-04-22T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.622634","-74.012190","10","43","204","3149035","3059460043","Dyker Heights"
"80117","205439","BRONX","928","GERARD AVENUE","10452","8","0","0","0","2022-03-18T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.828922","-73.924092","4","8","195","2002924","2024760074","Concourse-Concourse Village"
"238628","349245","BROOKLYN","1890","EAST 5 STREET","11223","95","1","1","0","2019-12-31T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.604147","-73.968082","15","44","41402","3178626","3066810307","Gravesend (East)-Homecrest"
"27242","100512","MANHATTAN","310","RIVERSIDE DRIVE","10025","326","0","0","0","2020-12-30T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.800423","-73.971383","7","6","191","1057188","1018900040","Upper West Side-Manhattan Valley"
"304728","318491","BROOKLYN","125","GREENPOINT AVENUE","11222","32","0","0","0","2021-04-12T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.730114","-73.955235","1","33","565","3064722","3025580055","Greenpoint"
"138494","358829","BROOKLYN","7024","13 AVENUE","11228","7","0","7","0","2021-04-21T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.622970","-74.004672","10","43","196","3157033","3061660050","Dyker Heights"
"202477","360843","BROOKLYN","130","BAY 35 STREET","11214","3","0","0","0","2023-04-11T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.597105","-73.992856","11","43","302","3185948","3068740067","Gravesend (West)"
"16162","110619","MANHATTAN","188","EAST 75 STREET","10021","23","0","0","0","2021-01-05T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.771891","-73.959662","8","4","128","1043092","1014090043","Upper East Side-Carnegie Hill"
"57052","215820","BRONX","1818","CLINTON AVENUE","10457","3","0","0","0","2022-05-03T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.842420","-73.892359","6","15","36902","2009952","2029490044","Tremont"
"37500","131061","MANHATTAN","322","WEST 104 STREET","10025","4","0","0","0","2022-02-11T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.800519","-73.969971","7","6","191","1057206","1018900072","Upper West Side-Manhattan Valley"
"332795","358365","BROOKLYN","150","MARINE AVENUE","11209","51","0","0","0","2021-02-10T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.616555","-74.035623","10","43","5601","3155798","3061240028","Bay Ridge"
"930536","226307","BRONX","3473","CORSA AVENUE","10469","10","0","0","0","2021-12-08T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.877653","-73.847802","12","12","386","2093622","2047210017","Eastchester-Edenwald-Baychester"
"180956","332421","BROOKLYN","357","87 STREET","11209","16","0","0","0","2021-12-01T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.622384","-74.029863","10","43","60","3153498","3060440054","Bay Ridge"
"80109","200658","BRONX","845","GERARD AVENUE","10451","65","0","0","0","2021-12-07T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.826939","-73.925287","4","8","6301","2002984","2024830053","Concourse-Concourse Village"
"7057","112222","MANHATTAN","170","BLEECKER STREET","10012","25","0","0","0","2020-12-21T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.728844","-74.000556","2","3","65","1077803","1005260064","Greenwich Village"
"393886","350505","BROOKLYN","1643","WEST 13 STREET","11223","3","0","0","0","2022-12-30T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.606248","-73.986034","11","44","428","3175289","3066190060","Gravesend (West)"
"181860","329034","BROOKLYN","354","93 STREET","11209","41","0","0","0","2022-12-12T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.618148","-74.031640","10","47","58","3155252","3061070025","Bay Ridge"
"387006","339136","BROOKLYN","163","VERNON AVENUE","11206","22","0","0","0","2023-06-22T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.695079","-73.945291","3","36","25901","3048692","3017560070","Bedford-Stuyvesant (West)"
"243893","347844","BROOKLYN","646","ARGYLE ROAD","11230","132","1","1","0","2020-12-22T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.633557","-73.964876","14","40","526","3121092","3052330025","Flatbush (West)-Ditmas Park-Parkville"
"27721","120782","MANHATTAN","192","SPRING STREET","10012","15","0","0","0","2022-12-31T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.725073","-74.003034","2","1","47","1007355","1004890020","SoHo-Little Italy-Hudson Square"
"6016","119593","MANHATTAN","714","AMSTERDAM AVENUE","10025","18","2","2","0","2021-01-04T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.793205","-73.971000","7","6","183","1033680","1012420034","Upper West Side (Central)"
"35642","109267","MANHATTAN","159","WEST 78 STREET","10024","4","0","0","0","2023-06-15T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.781955","-73.977587","7","6","165","1030239","1011500008","Upper West Side (Central)"
"388017","373051","BROOKLYN","286","WARREN STREET","11201","8","0","0","0","2021-12-28T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.686100","-73.993037","6","33","6902","3323308","3003960016","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
"415684","400868","QUEENS","34","29 STREET","11106","76","0","0","0","2023-05-25T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.759646","-73.929492","1","26","53","4007289","4005840001","Astoria (Central)"
"878678","427260","QUEENS","209","BEACH 28 STREET","11691","3","0","0","0","2020-12-10T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.595290","-73.761170","14","31","99802","4533125","4158040022","Far Rockaway-Bayswater"
"711942","500488","STATEN ISLAND","45","AVON PLACE","10301","18","0","0","0","2023-06-22T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.634907","-74.082788","1","49","17","5014724","5005740058","Tompkinsville-Stapleton-Clifton-Fox Hills"
"681877","917965","QUEENS","58","MYRTLE AVENUE","11385","6","0","0","0","2023-02-28T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.700503","-73.900966","5","34","551","4437728","4034760013","Ridgewood"
"92621","202513","BRONX","2365","LORILLARD PLACE","10458","13","0","0","0","2021-12-08T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.855601","-73.889956","6","15","387","2011693","2030550027","Belmont"
"10822","114728","MANHATTAN","333","EAST 5 STREET","10003","24","0","0","0","2019-01-29T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.726406","-73.988080","3","2","38","1006249","1004470042","East Village"
"37757","133269","MANHATTAN","330","WEST 108 STREET","10025","9","0","0","0","2021-05-22T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.803239","-73.968362","7","6","195","1057290","1018920063","Upper West Side-Manhattan Valley"
"1003792","228477","BRONX","602","OAK TERRACE","10454","8","0","0","0","2023-07-11T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.808843","-73.914261","1","8","33","2129134","2025550018","Mott Haven-Port Morris"
"841977","378726","BROOKLYN","1360","65 STREET","11219","3","0","0","0","2019-07-02T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.625210","-74.000256","10","38","194","3399111","3057540031","Dyker Heights"
"138400","353920","BROOKLYN","6211","13 AVENUE","11219","3","0","0","0","2021-06-10T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.627463","-73.999971","10","38","192","3141621","3057330006","Borough Park"
"28573","107251","MANHATTAN","61","SULLIVAN STREET","10012","5","0","0","0","2023-02-17T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.724406","-74.004073","2","3","47","1007343","1004890004","SoHo-Little Italy-Hudson Square"
"143933","357143","BROOKLYN","7110","19 AVENUE","11204","3","0","0","0","2022-05-20T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.614335","-73.991734","11","43","266","3157949","3061830039","Bensonhurst"
"14475","137900","MANHATTAN","351","EAST 57 STREET","10022","114","0","0","0","2019-12-30T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.758677","-73.963774","6","5","10802","1040014","1013507501","East Midtown-Turtle Bay"
"389055","374369","BROOKLYN","420","WATKINS STREET","11212","261","4","4","2","2021-02-10T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.662253","-73.905964","16","42","918","3326585","3035900050","Brownsville"
"158603","307306","BROOKLYN","1574","56 STREET","11219","38","0","0","0","2021-02-23T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.627537","-73.990306","12","44","240","3130783","3054910037","Borough Park"
"17206","139411","MANHATTAN","123","EAST 83 STREET","10028","20","0","0","0","2019-01-16T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.777786","-73.957560","8","4","140","1047646","1015120012","Upper East Side-Carnegie Hill"
"345258","384323","BROOKLYN","233","NORTH 5 STREET","11211","4","0","0","0","2021-01-06T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.714837","-73.955862","1","34","519","3324896","3023380036","Williamsburg"
"661202","407317","QUEENS","1714","GROVE STREET","11385","3","0","0","0","2021-08-03T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.703275","-73.910772","5","34","547","4082197","4034410002","Ridgewood"
"30032","114215","MANHATTAN","239","WEST 12 STREET","10014","7","0","0","0","2019-01-29T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.737649","-74.002317","2","3","77","1011050","1006150083","West Village"
"90956","208297","BRONX","1315","LAFAYETTE AVENUE","10474","38","0","0","0","2019-12-30T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.816916","-73.886302","2","17","11502","2006470","2027620123","Hunts Point"
"807420","357018","BROOKLYN","2074","20 LANE","11214","42","4","4","0","2021-12-27T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.597896","-74.002820","11","43","286","3329128","3064890001","Bath Beach"
"993227","388943","BROOKLYN","340","NEPTUNE AVENUE","11235","20","0","0","0","2022-02-03T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.580805","-73.965350","13","48","364","3244336","3086630246","Brighton Beach"
"296784","304375","BROOKLYN","5718","FT HAMILTON PARKWAY","11219","24","0","0","0","2022-03-02T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.634413","-74.003599","12","43","116","3140252","3056940032","Sunset Park (East)-Borough Park (West)"
"120820","203984","BRONX","1768","WEEKS AVENUE","10457","21","0","0","0","2019-01-10T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.846174","-73.907432","5","14","22901","2007443","2027970019","Mount Hope"
"411700","410545","QUEENS","35","CRESCENT STREET","11106","6","0","0","0","2022-03-18T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.759264","-73.932387","1","26","47","4004007","4003390008","Queensbridge-Ravenswood-Dutch Kills"
"443448","920816","QUEENS","84","55 ROAD","11373","3","0","0","0","2022-03-11T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.731598","-73.880180","4","25","499","4065744","4028920036","Elmhurst"
"381015","329673","BROOKLYN","141","THAMES STREET","11237","8","0","0","0","2023-07-11T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.705680","-73.927104","1","34","453","3070712","3030100027","East Williamsburg"
"235384","343504","BROOKLYN","2240","EAST 1 STREET","11223","3","0","0","0","2023-02-24T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.594104","-73.969963","15","44","388","3193694","3071520024","Gravesend (East)-Homecrest"
"391411","301587","BROOKLYN","1937","WEST 6 STREET","11223","4","0","0","0","2023-06-26T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.600181","-73.978192","11","47","408","3190264","3070830075","Gravesend (West)"
"421494","404335","QUEENS","9","34 AVENUE","11106","6","0","0","0","2023-07-01T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.765147","-73.939255","1","22","39","4003859","4003240026","Queensbridge-Ravenswood-Dutch Kills"
"202477","360843","BROOKLYN","130","BAY 35 STREET","11214","3","0","0","0","2021-04-19T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.597105","-73.992856","11","43","302","3185948","3068740067","Gravesend (West)"
"378922","302996","BROOKLYN","304","STUYVESANT AVENUE","11233","16","0","0","0","2023-07-11T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.684389","-73.932352","3","36","295","3046080","3016600039","Bedford-Stuyvesant (East)"
"947169","384406","BROOKLYN","42","MESEROLE STREET","11206","14","0","0","0","2021-12-20T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.707533","-73.948894","1","34","511","3425485","3030490125","East Williamsburg"
"37492","134355","MANHATTAN","314","WEST 104 STREET","10025","10","0","0","0","2019-01-29T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.800481","-73.969888","7","6","191","1057202","1018900068","Upper West Side-Manhattan Valley"
"30006","132996","MANHATTAN","120","WEST 12 STREET","10011","1","0","0","0","2021-02-23T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.736378","-73.998643","2","3","71","1010575","1006070032","West Village"
"661298","405791","QUEENS","2030","GROVE STREET","11385","4","0","0","0","2019-12-30T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.707666","-73.906286","5","30","589","4080684","4033850034","Ridgewood"
"525945","400243","QUEENS","87","113 STREET","11418","59","0","0","0","2019-12-04T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.697461","-73.835469","9","28","124","4194900","4093020028","Richmond Hill"
"772658","501172","STATEN ISLAND","48","RACAL COURT","10314","3","0","0","0","2023-06-30T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.586372","-74.163912","2","51","27702","5117021","5024017501","New Springville-Willowbrook-Bulls Head-Travis"
"44880","213002","BRONX","261","ALEXANDER AVENUE","10454","10","0","0","0","2018-12-23T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.810410","-73.924894","1","8","39","2000699","2023140029","Mott Haven-Port Morris"
"391400","339585","BROOKLYN","1921","WEST 6 STREET","11223","3","0","0","0","2023-06-13T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.600452","-73.978242","11","47","408","3190270","3070830083","Gravesend (West)"
"34344","117949","MANHATTAN","363","WEST 57 STREET","10019","20","2","2","0","2019-12-09T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.767434","-73.984556","4","6","139","1026047","1010480001","Hell's Kitchen"
