"status","date","start_time","end_time","type","event","borough","event_location","event_address","actual_participants","postcode","latitude","longitude","community_board","council_district","bin","bbl","census_tract","nta"
"Completed (59)","2016-01-05T00:00:00.000","09:30 AM","10:30 AM","RNY General Presentation (GEN)","Winter Storm Prep","Manhattan","Whitaker Senior Center","197 East Broadway","28","10002","40.714211","-73.988302","103","1","1003704","1002850029","6","MN0301"
"Completed (59)","2016-01-05T00:00:00.000","09:00 AM","10:30 AM","RNY for Kids (KIDS)","Youth Preparedness","Brooklyn","Brooklyn Prospect Charter School","80 Willoughby Street 8th Floor","195","11201","40.692162","-73.985616","302","33","3000412","3001527502","11","BK0202"
"Completed (59)","2016-01-05T00:00:00.000","10:00 AM","12:00 PM","RNY Fair (FAIR)","Interfaith Breakfast","Manhattan","NYPL","42 St & 5 Ave","100",,,,,,,,,
"Completed (59)","2016-01-07T00:00:00.000","05:00 PM","07:30 PM","RNY for Kids (KIDS)","Ready NY for Teens","Brooklyn","Shorefront Y","3300 Coney Island Ave","30","11235","40.575566","-73.95946","313","48","3326880","3086930001","36002","BK1303"
"Completed (59)","2016-01-07T00:00:00.000","12:15 PM","02:00 PM","RNY for Kids (KIDS)","Ready NY for Pre-K","Bronx","Concourse Village Elementary School","750 Concourse Village West","40","10451","40.823174","-73.923326","204","16","2002454","2024430079","61","BX0401"
"Completed (59)","2016-01-08T00:00:00.000","10:00 AM","11:30 AM","RNY General Presentation (GEN)","Staff Training","Brooklyn","Whitaker Senior Center","25 12 Street","15","11215","40.671835","-73.997069","306","38","3022202","3010070172","11902","BK0601"
"Completed (59)","2016-01-08T00:00:00.000","10:00 AM","11:30 AM","RNY General Presentation (GEN)","Staff Training","Brooklyn","Mount Sinai Hospital","25 12 Street","15","11215","40.671835","-73.997069","306","38","3022202","3010070172","11902","BK0601"
"Completed (59)","2016-01-08T00:00:00.000","09:00 AM","09:45 AM","RNY for Kids (KIDS)","Ready Girl","Staten Island","PS 30 R","200 Wardwell Ave","425","10314","40.618439","-74.132645","501","50","5113069","5004230009","201","SI0105"
"Completed (59)","2016-01-09T00:00:00.000","11:00 AM","12:00 PM","RNY for Kids (KIDS)","Ready Girl","Manhattan","Canaan Baptist Church","132 West 116th Street","20","10026","40.802519","-73.950884","110","9","1055055","1018250051","218","MN1001"
"Completed (59)","2016-01-09T00:00:00.000","10:00 AM","02:00 PM","RNY Fair (FAIR)","Emergency Preparedness Fair","Queens","Grace Church","14-15 Clintonville St","100","11357","40.788953","-73.811336","407","19","4107197","4047150009","987","QN0702"
"Completed (59)","2016-01-11T00:00:00.000","07:30 PM","08:30 PM","RNY General Presentation (GEN)","Emergency Preparedness","Queens","Saint Anastasia Annex","244-02 Northern Boulevard","25","11362","40.765552","-73.741996","411","19","4170260","4081940001","150701","QN1103"
"Completed (59)","2016-01-11T00:00:00.000","02:30 PM","03:45 PM","RNY General Presentation (GEN)","Emergency Preparedness","Queens","PS 183","2-45 Beach 79th St","55","11693","40.589508","-73.805361","414","31","4303354","4161120001","94202","QN1402"
"Completed (59)","2016-01-11T00:00:00.000","06:30 PM","08:30 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Queens","Jerusalem Worship Center","122-05 Smith St","130","11434","40.679854","-73.778576","412","28","4533226","4123810010","284","QN1203"
"Completed (59)","2016-01-12T00:00:00.000","09:00 AM","01:30 PM","RNY for Kids (KIDS)","Ready Girl","Queens","PS 16","41-15 104th St","1750","11368","40.748987","-73.86123","404","21","4048820","4019850001","40301","QN0402"
"Completed (59)","2016-01-12T00:00:00.000","12:00 PM","02:00 PM","RNY Fair/Presentation (FP)","Citizen Preparedness Training","Bronx","Lafayette Estate NORC Program for Seniors","825 Morrison Ave","150","10473","40.82084","-73.872649","209","18","2092725","2036270030","28","BX0901"
"Completed (59)","2016-01-13T00:00:00.000","11:00 AM","12:59 PM","RNY General Presentation (GEN)","Winter Storm Prep","Brooklyn","Tompkins Park Senior Center","550 Greene Avenue","53","11216","40.688666","-73.948775","303","36","3050417","3017980040","251","BK0301"
"Completed (59)","2016-01-13T00:00:00.000","12:15 PM","01:30 PM","RNY General Presentation (GEN)","College Emergency Preparedness","Queens","Queens College","65-30 Kissena Blvd","50","11367","40.736707","-73.814703","408","24","4141870","4065170001","809","QN0801"
