"workscheduleprojectlocationid","boroughname","day","date","onstreetname","fromstreetname","tostreetname","communityboard","area","worktype","crewtype","shifttype","oftcode"
"8439","MANHATTAN","Thursday","2020-05-14T00:00:00.000","7 AVENUE","WEST 31 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110610134390000000"
"125311","MANHATTAN","Friday","2022-04-08T00:00:00.000","BROOME STREET","GREENE STREET",,"102",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","113810121730000000"
"103972","MANHATTAN","Monday","2021-09-27T00:00:00.000","10 AVENUE","WEST 29 STREET",,"104",,"CONTRACT WORK","MILLING","NIGHT SHIFT","111010134350000000"
"166417","MANHATTAN","Monday","2022-11-21T00:00:00.000","CEDAR STREET","PEARL STREET",,"101",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","114410128490000000"
"99745","MANHATTAN","Thursday","2021-09-16T00:00:00.000","EAST 65 STREET","PARK AVENUE",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","118290127790000000"
"24117","BRONX","Monday","2020-06-29T00:00:00.000","BALCOM AVENUE","LAWTON AVENUE",,"210",,"IN-HOUSE CREW","PAVING","DAY SHIFT","210320245420000000"
"149452","MANHATTAN","Monday","2022-08-15T00:00:00.000","BROADWAY","WEST 97 STREET",,"107",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","113610135710000000"
"134797","BRONX","Friday","2022-05-27T00:00:00.000","ARCHER STREET","BEACH AVENUE",,"209",,"IN-HOUSE CREW","PAVING","DAY SHIFT","209130211820000000"
"124299","BRONX","Monday","2022-03-28T00:00:00.000","CLARENCE AVENUE","PHILIP AVENUE",,"210",,"IN-HOUSE CREW","PAVING","DAY SHIFT","219820258220000000"
"149109","BRONX","Thursday","2022-08-11T00:00:00.000","EAST 170 STREET","FULTON AVENUE",,"203",,"IN-HOUSE CREW","PAVING","DAY SHIFT","226760234220000000"
"6597","BRONX","Tuesday","2020-05-12T00:00:00.000","EMERSON AVENUE","SCHURZ AVENUE",,"210",,"IN-HOUSE CREW","MILLING","DAY SHIFT","231320263410000000"
"137420","BROOKLYN","Monday","2022-06-13T00:00:00.000","64 STREET","DAHILL ROAD",,"311",,"IN-HOUSE CREW","PAVING","DAY SHIFT","309780331330000000"
"186771","BROOKLYN","Tuesday","2023-06-20T00:00:00.000","82 STREET","SHORE ROAD",,"310",,"IN-HOUSE CREW","PAVING","DAY SHIFT","310680377130000000"
"45437","BROOKLYN","Thursday","2020-09-24T00:00:00.000","3 AVENUE","94 STREET",,"310",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","305280311280000000"
"185474","BROOKLYN","Wednesday","2023-06-07T00:00:00.000","77 STREET","SHORE ROAD",,"310",,"IN-HOUSE CREW","MILLING","DAY SHIFT","310430377130000000"
"77666","BRONX","Friday","2021-06-25T00:00:00.000","LELAND AVENUE","STORY AVENUE",,"209",,"IN-HOUSE CREW","MILLING","DAY SHIFT","245820266920000000"
"102548","BROOKLYN","Thursday","2021-09-23T00:00:00.000","4 AVENUE","15 STREET",,"307",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","305430306630000000"
"100352","BROOKLYN","Tuesday","2021-09-14T00:00:00.000","4 AVENUE","11 STREET",,"306",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","305430306230000000"
"187878","BROOKLYN","Friday","2023-06-30T00:00:00.000","AVENUE Y","WEST STREET",,"315",,"IN-HOUSE CREW","MILLING","DAY SHIFT","314830392430000000"
"27228","BROOKLYN","Thursday","2020-07-16T00:00:00.000","21 AVENUE","57 STREET",,"312",,"CONTRACT WORK","MILLING","DAY SHIFT","307230309430000000"
"6612","BRONX","Tuesday","2020-05-12T00:00:00.000","SCHURZ AVENUE","SWINTON AVENUE",,"210",,"IN-HOUSE CREW","MILLING","DAY SHIFT","263410267520000000"
"35700","BROOKLYN","Thursday","2020-08-13T00:00:00.000","BEND","DRIGGS AVENUE",,"301",,"IN-HOUSE CREW","MILLING","DAY SHIFT","318950334130000000"
"192748","BRONX","Monday","2023-07-24T00:00:00.000","UNION AVENUE","BEND","BOSTON ROAD","203",,"IN-HOUSE CREW","PAVING","DAY SHIFT","270420212550213820"
"189490","BROOKLYN","Friday","2023-07-14T00:00:00.000","AVENUE S","LAKE STREET",,"311",,"CONTRACT WORK","MILLING","DAY SHIFT","314530354230000000"
