"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.93804471926853 40.74974375104603)","4","Queens","402","26","36","59","7","Queens Plaza North","29 Street",,,,"X",,,"Long Island City-Hunters Point","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.94601271282602 40.812130739129586)","1","Manhattan","110","9","70","30","13","7 Avenue","West 130 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91074773050421 40.71318175726506)","4","Queens","405","34","37","12","7","Metropolitan Avenue","54 Street",,,,"X",,,"Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99044570519723 40.69372676389846)","3","Brooklyn","302","33","52","26","10","Cadman Plaza West","Montague Street",,,,,"X",,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98056070480284 40.7698977483675)","1","Manhattan","164","6","75","28","12","Central Park W","W 62 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97708870754029 40.72645675635675)","1","Manhattan","103","2","74","27","10","Avenue C","E 11 Street",,,,,"X",,"East Village","AE",,"1"
"POINT (-73.89077472781469 40.855804728029014)","2","Bronx","206","15","78","33","15","3 Avenue","185 Street & Bathgate Avenue",,,,"X",,,"Belmont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98875470583452 40.695008762930534)","3","Brooklyn","302","33","52","26","10","Adams Street","Johnson Street",,,,"X",,,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97874070969647 40.68375076477444)","3","Brooklyn","306","39","52","25","10","4 Avenue","Pacific Street",,,,"X",,,"Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.79487676702155 40.70718875439264)","4","Queens","412","27","29","14","5","Merrick Blvd","90 Avenue",,,,"X",,,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01282369797646 40.70239976284531)","1","Manhattan","101","1","61","27","10","Water Street & State St","Whitehall Street","X",,,,,"1985-08-12T00:00:00.000","Financial District-Battery Park City","AE",,"1"
"POINT (-73.90826072287872 40.84722273062047)","2","Bronx","205","15","86","33","15","Grand Concourse","East 175 Street",,,,,"X",,"Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85170674007753 40.8585407262244)","2","Bronx","211","13","80","36","15","Pelham Parkway WB","Between Pearsall Ave & Throop Ave",,,"X",,,"2015-09-30T00:00:00.000","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98197870668014 40.71343275975594)","1","Manhattan","103","2","65","27","10","Madison Street","Jackson Street, 300' W of",,,"X",,,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9866207051862 40.725787757511426)","1","Manhattan","103","2","66","27","10","1 Avenue","East 5 Street",,,,"X",,,"East Village","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.88104373138677 40.85559372795643)","2","Bronx","206","15","78","33","15","Southern Boulevard","East 189 Street",,,"X",,,,"Belmont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.81376676030807 40.718597753183914)","4","Queens","408","24","25","14","6","Union Turnpike","149 Street",,,,"X",,,"Kew Gardens Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96154670866191 40.80612674082739)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue","West 115 Street",,,,"X",,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90067472360927 40.88048372391955)","2","Bronx","208","14","81","31","13","Bailey Avenue","West 234 Street & Bailey Place",,,,"X",,,"Kingsbridge Heights-Van Cortlandt Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.90910473626572 40.62131577495404)","3","Brooklyn","318","46","59","21","8","Avenue T","E 71 Street",,,,"X",,,"Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.90231073544128 40.65578276778565)","3","Brooklyn","316","42","60","19","8","Linden Blvd","Christopher Ave",,,"X",,,,"Brownsville","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96658970722459 40.79413174330775)","1","Manhattan","107","7","69","47","12","Columbus Ave","W 98 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86036973925154 40.832920732197)","2","Bronx","209","18","87","34","14","Hugh Grant Circle","Metropolitan","X",,,,,,"Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.86650874533957 40.69141275947627)","4","Queens","409","30","38","15","7","Jamaica Ave","75 Street",,,,,"X","2019-03-29T00:00:00.000","Woodhaven","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92999871487805 40.86340172829022)","1","Manhattan","112","10","72","31","13","Broadway","Dongan Place",,,,,"X",,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9835189887727 40.5878419754737)","3","Brooklyn","313","47","45","23","8","Stillwell Avenue","bet Bay 59 St and Harway Ave",,,"X",,,"2021-06-09T00:00:00.000","Gravesend (South)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.93718071476586 40.81913373660932)","1","Manhattan","110","9","70","30","13","Lenox Avenue","W 143 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-74.00621070005685 40.70427776217375)","1","Manhattan","101","1","61","27","10","South Street","Wall Street",,"X",,,,,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.99442470113763 40.75263575194624)","1","Manhattan","104","3","75","47","12","W 34 Street","betw. 8 Ave and 9 Ave",,,"X",,,,"Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97625070732344 40.74001775356207)","1","Manhattan","106","4","74","59","12","1 Avenue","East 28 Street",,,,"X",,,"Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.96745471448831 40.66661576846176)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 17A",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91855771809823 40.86847472700214)","1","Manhattan","112","10","72","31","13","Broadway","W 212 Street",,,,,"X",,"Inwood","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97252670481403 40.79913874244913)","1","Manhattan","107","6","69","47","12","Riverside Drive","West 101 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87730573742778 40.763337745616624)","4","Queens","403","22","35","13","14","Astoria Blvd","92 Street","X",,,,,"2002-09-06T00:00:00.000","East Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97627471242696 40.66016276996621)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 7",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.81385376886153 40.58421577958998)","4","Queens","414","32","23","10","5","Shore Front Pkwy","Beach 92 Street",,,,"X",,,"Rockaway Beach-Arverne-Edgemere","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.85333574090915 40.84246172960854)","2","Bronx","209","18","87","34","14","East Tremont Avenue","Castle Hill Avenue","X",,,,,,"Parkchester","X","AREA OF MINIMAL FLOOD HAZARD",
