"vendorid","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","ratecodeid","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","total_amount","payment_type","trip_type"
"2","2014-10-13T16:47:42.000","2014-10-13T16:48:43.000","N","1","0","0","0","0","1","0.2","3","0","0.5","0","0",,"3.5","2","1"
"1","2014-11-22T01:09:08.000","2014-11-22T01:18:02.000","N","1","0","0","0","0","1","4","13","0.5","0.5","0","0",,"14","2","1"
"2","2014-08-04T22:46:53.000","2014-08-04T23:05:24.000","N","1","0","0","0","0","6","4.13","16","0.5","0.5","3.2","0",,"20.2","1","1"
"1","2014-11-25T09:41:35.000","2014-11-25T09:54:44.000","N","1","-73.957542419433594","40.728981018066406","-73.953971862792969","40.742591857910156","1","1.4","10","0","0.5","2.1","0",,"12.6","1","1"
"2","2014-09-30T09:14:56.000","2014-09-30T09:22:07.000","N","1","-73.934089660644531","40.853523254394531","-73.939620971679687","40.841522216796875","1","0.89","6.5","0","0.5","0","0",,"7","2","1"
"2","2014-06-27T19:27:14.000","2014-06-27T19:34:06.000","N","1","-73.930633544921875","40.853633880615234","-73.939033508300781","40.842319488525391","1","0.89","6.5","1","0.5","1","0",,"9","1","1"
"2","2014-10-22T23:11:46.000","2014-10-22T23:17:37.000","N","1","-73.969047546386719","40.693134307861328","-73.971199035644531","40.680858612060547","1","1.51","6.5","0.5","0.5","0","0",,"7.5","2","1"
"2","2014-09-18T15:50:30.000","2014-09-18T15:59:47.000","N","1","-73.901405334472656","40.862232208251953","-73.898750305175781","40.873912811279297","1","1.04","7.5","0","0.5","0","0",,"8","2","1"
"2","2014-08-30T20:26:57.000","2014-08-30T20:40:24.000","N","1","-73.939323425292969","40.805095672607422","-73.922996520996094","40.793376922607422","1","3.27","13","0.5","0.5","5.65","5.33",,"24.98","1","1"
"2","2014-10-30T11:41:48.000","2014-10-30T11:46:32.000","N","1","-73.952835083007813","40.810821533203125","-73.949638366699219","40.80224609375","2","0.77","5","0","0.5","1.5","0",,"7","1","1"
"2","2014-09-26T20:40:47.000","2014-09-26T20:43:09.000","N","1","-73.808021545410156","40.700660705566406","-73.808570861816406","40.703891754150391","6","0.3","3.5","0.5","0.5","0","0",,"4.5","2","1"
"1","2014-03-26T14:40:21.000","2014-03-26T14:57:08.000","N","1","-73.86676025390625","40.75750732421875","-73.913009643554687","40.765048980712891","1","3.3","14.5","0","0.5","0","0",,"15","2",
"2","2014-05-08T14:42:38.000","2014-05-08T15:00:49.000","N","1","-73.937538146972656","40.804191589355469","-73.865432739257813","40.770843505859375","1","6.7","22.5","0","0.5","3","5.33",,"31.33","1","1"
"2","2014-09-10T19:39:54.000","2014-09-10T19:50:21.000","N","1","-73.946273803710938","40.811599731445313","-73.90765380859375","40.816623687744141","1","2.48","10.5","1","0.5","0","0",,"12","2","1"
"2","2014-06-27T22:17:15.000","2014-06-27T22:30:36.000","N","1","-73.988861083984375","40.691722869873047","-73.973716735839844","40.743927001953125","1","5.88","18.5","0.5","0.5","2","0",,"21.5","1","1"
"2","2014-01-16T06:58:59.000","2014-01-16T07:01:34.000","N","1","-73.847892761230469","40.72943115234375","-73.844467163085938","40.723003387451172","1","0.5","4","0","0.5","0","0",,"4.5","2",
"2","2014-04-29T13:49:47.000","2014-04-29T13:54:16.000","N","1","-73.895698547363281","40.822834014892578","-73.902969360351563","40.8125","1","0.92","5.5","0","0.5","0","0",,"6","2","1"
"2","2014-06-14T23:42:37.000","2014-06-14T23:49:27.000","N","1","-73.95098876953125","40.785964965820313","-73.971649169921875","40.790496826171875","1","1.42","7","0.5","0.5","1.5","0",,"9.5","1","1"
"2","2014-10-12T21:11:08.000","2014-10-12T21:34:07.000","N","1","-73.9261474609375","40.766353607177734","-73.893348693847656","40.746631622314453","1","3.81","17.5","0.5","0.5","0","0",,"18.5","2","1"
"2","2014-10-05T03:07:01.000","2014-10-05T03:17:35.000","N","1","-73.963569641113281","40.710887908935547","-73.949913024902344","40.673473358154297","1","2.92","10.5","0.5","0.5","0","0",,"11.5","2","1"
"2","2014-11-25T18:51:40.000","2014-11-25T19:21:17.000","N","1","-73.830276489257813","40.759513854980469","-73.80810546875","40.698604583740234","1","6.36","24","1","0.5","0","0",,"25.5","2","1"
"1","2014-03-16T13:57:15.000","2014-03-16T14:16:07.000","N","1","-73.981147766113281","40.659473419189453","-73.990753173828125","40.643112182617188","1","2.3","14.5","0","0.5","0","0",,"15","2",
