"name","meeting_date","meeting_time","meeting_location","meeting_topic"
"City Council Stated Meeting","2014-12-17T00:00:00.000","1:30 PM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Rules, Privileges and Elections","2014-12-17T00:00:00.000","10:30 AM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Finance","2014-12-17T00:00:00.000","10:00 AM","Committee Room - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Health","2014-12-16T00:00:00.000","1:00 PM","Committee Room - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Cultural Affairs, Libraries and International Intergroup Relations","2014-12-16T00:00:00.000","12:45 PM","Committee Room - City Hall","Recognizing and commemorating January 13th as Korean American Day in NYC."
"Committee on Land Use","2014-12-16T00:00:00.000","11:00 AM","Committee Room - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses","2014-12-16T00:00:00.000","Deferred","Committee Room - City Hall","Landmarks, South Brooklyn Marine Terminal, 81 39th St, Brooklyn (20155247 PNK)"
"Committee on Public Housing","2014-12-16T00:00:00.000","10:00 AM","Council Chambers - City Hall","Oversight: The Relationship between Lighting and Safety in the Wake of the Akai Gurley Shooting."
"Committee on Parks and Recreation","2014-12-16T00:00:00.000","10:00 AM","250 Broadway - Committee Rm, 14th Fl.","Oversight - The State of Natural Areas Under the Care of the Parks Department."
"Committee on Recovery and Resiliency","2014-12-16T00:00:00.000","10:00 AM","250 Broadway - Committee Rm, 16th Fl.","Creation of a Hurricane Sandy community groups and houses of worship recovery task force."
"Committee on Small Business","2014-12-15T00:00:00.000","Deferred","250 Broadway - Committee Rm, 14th Fl.",
,,,"Jointly with the Committee on Finance",
"Committee on Finance","2014-12-15T00:00:00.000","Deferred","250 Broadway - Committee Rm, 14th Fl.",
,,,"Jointly with the Committee on Small Business",
"Subcommittee on Planning, Dispositions and Concessions","2014-12-15T00:00:00.000","1:00 PM","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"Committee on Veterans","2014-12-15T00:00:00.000","1:00 PM","Committee Room - City Hall","Veterans' eligibility for public housing. (S.1702)"
"Committee on Contracts","2014-12-15T00:00:00.000","1:00 PM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
,,,"Jointly with the Committee on Oversight and Investigations and the Committee on Technology",
"Committee on Oversight and Investigations","2014-12-15T00:00:00.000","1:00 PM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
,,,"Jointly with the Committee on Contracts and the Committee on Technology",
"Committee on Technology","2014-12-15T00:00:00.000","1:00 PM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
,,,"Jointly with the Committee on Contracts and the Committee on Oversight and Investigations",
"Committee on Finance","2014-12-15T00:00:00.000","1:00 PM","250 Broadway - Committee Rm, 14th Fl.","Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses","2014-12-15T00:00:00.000","11:00 AM","250 Broadway - Committee Rm, 16th Fl.","Landmarks, South Brooklyn Marine Terminal, 81 39th St, Brooklyn (20155247 PNK)"
"Committee on General Welfare","2014-12-15T00:00:00.000","Deferred","Committee Room - City Hall",
"Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services","2014-12-15T00:00:00.000","10:00 AM","250 Broadway - Committee Rm, 14th Fl.","Early intervention program."
"Committee on Public Safety","2014-12-15T00:00:00.000","10:00 AM","Council Chambers - City Hall","Oversight - Examining the Operations of New York City’s Summons Courts."
,,,"Jointly with the Committee on Courts and Legal Services",
"Committee on Courts and Legal Services","2014-12-15T00:00:00.000","10:00 AM","Council Chambers - City Hall","Oversight - Examining the Operations of New York City’s Summons Courts."
,,,"Jointly with the Committee on Public Safety",
"Subcommittee on Zoning and Franchises","2014-12-15T00:00:00.000","9:30 AM","250 Broadway - Committee Rm, 16th Fl.","Zoning, Eliminating a C1-1 District from within an existing R3-2 District and establishing a C1-2 within an existing R3-2 District, in between Mariner’s Harbor and Elm Park areas, Staten Island (C 110122 ZMR)"
"Committee on Housing and Buildings","2014-12-12T00:00:00.000","Deferred","Council Chambers - City Hall",
