"provider_id","provider_name","hq_address_1","hq_address_2","hq_borough","hq_city","hq_state","hq_zip","provider_ein","provider_website","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"438","JBI INTERNATIONAL INC",,,,,,,,,,,,,,,,
"31","CAMBA INC","1720 Church Avenue",,,"Brooklyn","NY","11226",,,,,,,,,,
"1","MAKE THE ROAD NEW YORK","301 Grove Street",,"Brooklyn","Brooklyn","NY","11237",,,"40.698448","-73.915629","304","37","433","3075926","3033170041","Bushwick North"
"2","NEW YORK URBAN LEAGUE INC",,,,,,,,,,,,,,,,
"3","SCO FAMILY OF SERVICES",,,,,,,,,,,,,,,,
"4","JEWISH HOME LIFECARE, MANHATTAN",,,,,,,,,,,,,,,,
"5","HARTLEY HOUSE, INC.",,,,,,,,,,,,,,,,
"6","THE CHILD CENTER OF NY INC",,,,,,,,,,,,,,,,
"7","ONE STOP RICHMOND HILL COMMUNITY CENTER, INC",,,,,,,,,,,,,,,,
"8","HAMILTON MADISON HOUSE INC",,,,,,,,,,,,,,,,
"9","CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES IN","151 Lawrence Street","3rd Floor","Brooklyn","Brooklyn","NY","11201","132668080","www.cases.org","40.691506","-73.986297","302","33","11","3000404","3001520006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"10","SANCTUARY FOR FAMILIES INC","PO Box 1406, Wall Street Station",,"Manhattan","New York","NY","10268","13-3193119",,,,,,,,,
"11","PROJECT RENEWAL INC",,,,,,,,,,,,,,,,
"12","DORCHESTER SENIOR CITIZEN CENTER INC",,,,,,,,,,,,,,,,
"13","ASTOR SERVICES FOR CHILDREN & FAMILIES",,,,,,,,,,,,,,,,
"14","SOUTH BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION",,,,,,,,,,,,,,,,
"15","THE BRIDGE INC",,,,,,,,,,,,,,,,
"16","YMCA OF GREATER NEW YORK",,,,,,,,,,,,,,,,
"17","NEW YORK ASIAN WOMENS CENTER INC","32 BROADWAY","10th Floor","Manhattan","New York","NY","10004","13-3286250","https://www.iamwomankind.org/","40.706045","-74.013096","101","1","9","1078979","1000220017","Battery Park City-Lower Manhattan"
"18","EDITH & CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST INC",,,,,,,,,,,,,,,,
"19","CYPRESS HILLS FULTON ST SENIOR CITIZENS CTR INC",,,,,,,,,,,,,,,,
"20","BEREAN COMMUNITY & FAMILY LIFE CENTER INC",,,,,,,,,,,,,,,,
"21","NEW YORK LEGAL ASSISTANCE GROUP  INC","7 Hanover Square",,"Manhattan","New York","NY","10004",,,"40.70447","-74.009406","101","1","9","1000855","1000300019","Battery Park City-Lower Manhattan"
"22","THE 84TH PRECINCT COMMUNITY COUNCIL CORP",,,,,,,,,,,,,,,,
"23","Health Essential Association",,,,,,,,,,,,,,,,
"24","USA MALI CHARITABLE ASSOCIATION OF NEW YORK",,,,,,,,,,,,,,,,
"25","BELLA ABZUG LEADERSHIP INSTITUTE INC",,,,,,,,,,,,,,,,
"26","ASIAN AMERICAN COALITION FOR CHILDREN AND FAMILIES INC",,,,,,,,,,,,,,,,
"27","RIDGEWOOD PROPERTY OWNERS AND CIVIC ASSOCIATION INC",,,,,,,,,,,,,,,,
"28","SELFHELP COMMUNITY SERVICES, INC.","520 8th Avenue","5th Fl","Manhattan","New York","NY","10018","13-1624178","www.selfhelp.net","40.753612","-73.992417","105","3","109","1083624","1007860001","Midtown-Midtown South"
"29","WILDCAT SERVICE CORPORATION","633 3RD AVENUE","6th Floor",,"New York","NY","10017","132725423",,,,,,,,,
"30","THE LEGAL AID SOCIETY","199 Water Street",,"Manhattan","New York","NY","10038","13-5562265","n/a","40.70727","-74.004314","101","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan"
"158","ILLUMINA, INC",,,,,,,,,,,,,,,,
"32","FEDERATION OF PROTESTANT WELFARE AGENCIES INC",,,,,,,,,,,,,,,,
"33","Chinese American Social Services Center Inc",,,,,,,,,,,,,,,,
"34","WEST SIDE CENTER FOR COMMUNITY LIFE INC",,,,,,,,,,,,,,,,
"35","HARLEM DOWLING-WEST SIDE CTR FOR CHILDREN & FAMILY SERVICES",,,,,,,,,,,,,,,,
"36","TEACHERS COLLEGE",,,,,,,,,,,,,,,,
"37","SAMUEL FIELD YM & YWHA INC",,,,,,,,,,,,,,,,
"38","HENRY STREET SETTLEMENT",,,,,,,,,,,,,,,,
"39","AGAPE COMMUNITY SERVICES CORPO RATION",,,,,,,,,,,,,,,,
"40","BRONXWORKS INC","60 East Tremont Avenue",,"Bronx","Bronx","NY","10453",,,"40.851063","-73.908004","205","14","23301","2007915","2028280020","Mount Hope"
"41","THE INSTITUTE FOR FAMILY HEALTH INC",,,,,,,,,,,,,,,,
"42","NON TRADITIONAL EMPLOYMENT FOR WOMEN",,,,,,,,,,,,,,,,
"43","ASTORIA QUEENS SHAREING & CAREING INC",,,,,,,,,,,,,,,,
"44","FOOD BANK FOR NEW YORK CITY","39 Broadway","10th Floor","Manhattan","New York","NY","10006","13-3179546","www.foodbanknyc.org","40.706251","-74.012952","101","1","13","1000803","1000200004","Battery Park City-Lower Manhattan"
"45","RIVERDALE SENIOR SERVICES INC",,,,,,,,,,,,,,,,
"46","SEPHARDIC COMMUNITY  YOUTH CENTER INC",,,,,,,,,,,,,,,,
"47","FRIENDS OF THE HIGH LINE INC",,,,,,,,,,,,,,,,
"48","GIVING ALTERNATIVE LEARNERS UPLIFTING OPPORTUNITIES INC",,,,,,,,,,,,,,,,
"49","LOWER EASTSIDE GIRLS CLUB OF NY",,,,,,,,,,,,,,,,
"50","SEEDS IN THE MIDDLE INC",,,,,,,,,,,,,,,,
"51","HARLEM JUNIOR TENNIS AND EDUCATION PROGRAM INC",,,,,,,,,,,,,,,,
"52","A BETTER JAMAICA INC",,,,,,,,,,,,,,,,
"53","GIRLS WHO CODE INC",,,,,,,,,,,,,,,,
"54","RIVERSTONE SENIOR LIFE SERVICES INC",,,,,,,,,,,,,,,,
"55","PROJECT LEAD, INC.",,,,,,,,,,,,,,,,
"56","Queens Jewish Community Council inc",,,,,,,,,,,,,,,,
"57","BETANCES HEALTH CENTER",,,,,,,,,,,,,,,,
"58","THE HORTICULTURAL SOCIETY OF NEW YORK",,,,,,,,,,,,,,,,
"59","JUNIOR ACHIEVEMENT OF NEW YORK INC",,,,,,,,,,,,,,,,
"60","THE CENTER FOR ANTI-VIOLENCE EDUCATION INC",,,,,,,,,,,,,,,,
"61","CARMEL RICHMOND NURSING HOME, INC.",,,,,,,,,,,,,,,,
"62","BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION",,,,,,,,,,,,,,,,
"63","ON YOUR MARK, INC",,,,,,,,,,,,,,,,
"64","NEW YORK CITY GAY AND LESBIAN ANTI-VIOLENCE PROJECT INC","116 Nassau Street","3rd Floor","Manhattan","New York","NY","10038","13-3149200","www.avp.org","40.710844","-74.006998","101","1","1501","1079094","1000920024","Battery Park City-Lower Manhattan"
"65","HANAC INC",,,,,,,,,,,,,,,,
"66","FIRST FAITH BAPTIST CHURCH",,,,,,,,,,,,,,,,
"67","KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC",,,,,,,,,,,,,,,,
"68","COALITION FOR HISPANIC FAMILY SERVICES",,,,,,,,,,,,,,,,
"69","JAPANESE AMERICAN SOCIAL SERVICES",,,,,,,,,,,,,,,,
"70","BROOKLYN COMMUNITY PRIDE CENTER INC",,,,,,,,,,,,,,,,
"71","CHARLES B. WANG COMMUNITY HEALTH CENTER, INC",,,,,,,,,,,,,,,,
"72","Brooklyn Legal Services Corporation A","260 Broadway",,"Brooklyn","Brooklyn","NY","11211",,,"40.708935","-73.959386","301","33","525","3059650","3021400021","North Side-South Side"
"73","COMMUNITY CENTER OF THE ROCKAWAY PENINSULA  INC",,,,,,,,,,,,,,,,
"74","SADIE NASH LEADERSHIP PROJECT INC",,,,,,,,,,,,,,,,
"75","TRANSITIONAL SERVICES FOR NEW YORK, INC","10-16 162 Street",,"Queens","Whitestone","NY","11357","23-7376074","www.tsi.org","40.792241","-73.799889","407","19","991","4104035","4045790001","Whitestone"
"76","THE FORTUNE SOCIETY INC","29-76 Northern Blvd",,"Queens","Long Island City","NY","11101","132645436","fortunesociety.org","40.750433","-73.935323","401","26","171","4003410","4002390049","Hunters Point-Sunnyside-West Maspeth"
"77","BE PROUD INC",,,,,,,,,,,,,,,,
"78","CITY GROWERS INC",,,,,,,,,,,,,,,,
"79","CENTER FOR COMPREHENSIVE HEALTH PRACTICE INC",,,,,,,,,,,,,,,,
"80","CHINESE AMERICAN PLANNING COUNCIL INC",,,,,,,,,,,,,,,,
"81","ARAB AMERICAN ASSOCIATION OF NY INC",,,,,,,,,,,,,,,,
"82","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","247 W 37 Street","9th Floor","Manhattan","New York","NY","10018","13-1624178","www.jasa.org","40.753475","-73.990594","105","3","109","1014454","1007870011","Midtown-Midtown South"
"83","New York United Jewish Association,Inc.",,,,,,,,,,,,,,,,
"84","JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY INC",,,,,,,,,,,,,,,,
"85","NEW YORK CITY PARENTS OF LESBIANS AND GAY MEN INC",,,,,,,,,,,,,,,,
"86","THE POINT COMMUNITY DEVELOP- MENT CORP",,,,,,,,,,,,,,,,
"87","Lenny's Lighthouse, Inc.",,,,,,,,,,,,,,,,
"88","MT. MORIAH A.M.E. CHURCH",,,,,,,,,,,,,,,,
"89","NATIONAL COMMITTEE FOR FURTHERANCE OF JEWISH ED",,,,,,,,,,,,,,,,
"90","The Rhapsody Players INC",,,,,,,,,,,,,,,,
"91","LENOX HILL NEIGHBORHOOD HOUSE INC.",,,,,,,,,,,,,,,,
"92","NEIGHBORHOOD COALITION FOR SHELTER INC",,,,,,,,,,,,,,,,
"93","GETTING OUT AND STAYING OUT INC","75 E 116th St",,"Manhattan","New York","NY","10029","061711370",,"40.799656","-73.944034","111","8","184","1074189","1016220020","East Harlem North"
"94","BORO PARK JEWISH COMMUNITY COUNCIL INC",,,,,,,,,,,,,,,,
"95","SERVICES NOW FOR ADULT PERSONS INC",,,,,,,,,,,,,,,,
"96","LEGAL INFORMATION FOR FAMILIES TODAY","32 Court Street",,"Brooklyn",,"NY","11201",,,"40.693014","-73.990758","302","33","9","3002248","3002550044","Brooklyn Heights-Cobble Hill"
"98","METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY","77 Water Street 7th Floor",,"Manhattan","New York","NY","10005","13-2738818",,"40.704275","-74.008681","101","1","7","1000863","1000330001","Battery Park City-Lower Manhattan"
"99","GOOD SHEPHERD SERVICES","305 SEVENTH AVE 9TH FL",,"Manhattan","New York","NY","10001","135598710","goodshepherds.org","40.746817","-73.993655","105","3","95","1015060","1008037502","Midtown-Midtown South"
"100","HUDSON RIVER PARK TRUST",,,,,,,,,,,,,,,,
"101","THE YWCA OF BROOKLYN INC",,,,,,,,,,,,,,,,
"102","THE INTERFAITH CENTER OF NEW YORK, INC.",,,,,,,,,,,,,,,,
"103","WORKFORCE PROFESSIONALS TRAINING INSTITUTE",,,,,,,,,,,,,,,,
"104","STRYCKER'S BAY NEIGHBORHOOD COUNCIL INC",,,,,,,,,,,,,,,,
"105","NEW ALTERNATIVES FOR CHILDREN INC",,,,,,,,,,,,,,,,
"106","SUNSET PARK HEALTH COUNCIL INC",,,,,,,,,,,,,,,,
"107","THE OSBORNE ASSOCIATION, INC","809 Westchester Ave",,"Bronx","Bronx","NY","10455","135563028",,"40.819143","-73.902661","201","17","77","2004795","2026660041","Melrose South-Mott Haven North"
"108","CHRISTOPHER ROSE COMMUNITY EMPOWERMENT CAMPAIGN CRCEC",,,,,,,,,,,,,,,,
"109","THE LESLIE-LOHMAN MUSEUM OF GAY AND LESBIAN ART",,,,,,,,,,,,,,,,
"110","ST VINCENT'S SERVICES INC",,,,,,,,,,,,,,,,
"111","VIETNAM VETERANS OF AMERICA CHAPTER 32 QUEENS NEW YORK INC",,,,,,,,,,,,,,,,
"112","GENERATION CITIZEN INC",,,,,,,,,,,,,,,,
"113","FOREST HILLS CHAMBER OF COMMERCE OF QUEENS INC",,,,,,,,,,,,,,,,
"114","BLOOMINGDALE SCHOOL OF MUSIC",,,,,,,,,,,,,,,,
"115","SESAME FLYERS INTERNATIONAL INC",,,,,,,,,,,,,,,,
"116","CONTINENTAL CASUALTY COMPANY",,,,,,,,,,,,,,,,
"117","Kings County Tennis League",,,,,,,,,,,,,,,,
"118","GREATER NEW YORK COUNCILS BOY SCOUTS OF AMERICA",,,,,,,,,,,,,,,,
"119","GRANDMAS LOVE INC",,,,,,,,,,,,,,,,
"120","DOCTOR THEODORE A ATLAS FOUNDATION",,,,,,,,,,,,,,,,
"121","NEWTOWN HISTORICAL SOCIETY",,,,,,,,,,,,,,,,
"122","FLUSHING JEWISH COMMUNITY COUNCIL INC",,,,,,,,,,,,,,,,
"123","THE ROMAN CATHOLIC CHURCH OF ST. MEL",,,,,,,,,,,,,,,,
"124","INWOOD COMMUNITY SERVICES INC.",,,,,,,,,,,,,,,,
"125","INSTITUTE FOR COMMUNITY LIVING, INC.",,,,,,,,,,,,,,,,
"126","ROOSEVELT ISLAND DISABLED ASSO CIATION",,,,,,,,,,,,,,,,
"127","HIGHLAND PARK COMMUNITY DEVELOPMENT CORP.",,,,,,,,,,,,,,,,
"128","GILDA'S CLUB OF NYC, INC.,",,,,,,,,,,,,,,,,
"129","EAC INC EDUCATION AND ASSISTANCE CORP",,,,,,,,,,,,,,,,
"130","URBAN HEALTH PLAN INC",,,,,,,,,,,,,,,,
"131","BIOBUS INC",,,,,,,,,,,,,,,,
"132","LATINAS ON THE VERGE OF EXCELLENCE LOVE INC",,,,,,,,,,,,,,,,
"133","BOYS & GIRLS CLUB OF METRO QUEENS, INC","110-04 Atlantic Avenue",,"Queens","Richmond Hill","NY","11419",,,"40.691903","-73.835613","409","28","118","4197430","4093960001","Richmond Hill"
"134","CHILDREN'S ARTS & SCIENCE WORKSHOPS INC",,,,,,,,,,,,,,,,
"135","UNITED TASK FORCE INC",,,,,,,,,,,,,,,,
"136","RECREATIONAL INNERCITY SPORTS & EDUCATION INC.",,,,,,,,,,,,,,,,
"137","109th Precinct Community Council",,,,,,,,,,,,,,,,
"138","KIDS CREATIVE 404 INC",,,,,,,,,,,,,,,,
"139","AMUDIM COMMUNITY RESOURCES INC",,,,,,,,,,,,,,,,
"140","SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES",,,,,,,,,,,,,,,,
"141","BENSONHURST COUNCIL OF JEW- ISH ORGANIZATION INC",,,,,,,,,,,,,,,,
"142","FIRST CHINESE PRESBYTERIAN COMM. AFFAIRS HOME ATTENDANT CORP","30 Broad St","6 Floor","Manhattan","New York","NY","10004","133011752",,"40.70618","-74.01125","101","1","9","1000819","1000240029","Battery Park City-Lower Manhattan"
"143","BINA STROKE & BRAIN INJURY ASSISTANCE INC",,,,,,,,,,,,,,,,
"144","Wesley Parrott Youth Programs Inc",,,,,,,,,,,,,,,,
"145","SUNNYSIDE COMMUNITY SERVICES INC",,,,,,,,,,,,,,,,
"146","NEW YORK CARES, INC.",,,,,,,,,,,,,,,,
"147","NYC VERRAZANO 10-13 ASSOCIATION INC",,,,,,,,,,,,,,,,
"148","HOME HEALTH MANAGEMENT SERVICES INC","424 East 147 Street","4 Floor","Bronx","Bronx","NY","10455","133020559",,"40.814344","-73.917762","201","8","43","2000506","2022910012","Mott Haven-Port Morris"
"149","LESBIAN AND GAY COMMUNITY SERVICE CENTER INC",,,,,,,,,,,,,,,,
