"dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only"
"01M015","01M015 - P.S. 015 ROBERTO CLEMENTE","ELEMENTARY","2","2","2",,,,,"183","92","92"
"01M019","01M019 - P.S. 019 ASHER LEVY","ELEMENTARY","2","1","1",,,,,"270","135","270"
"01M020","01M020 - P.S. 020 ANNA SILVER","ELEMENTARY","2","1","1",,,,,"633","317","633"
"01M034","01M034 - P.S. 034 FRANKLIN D. ROOSEVELT","K-8","1","1","1",,,,"1","395","198","198"
"01M063","01M063 - THE STAR ACADEMY - P.S.63","ELEMENTARY","2","1","1",,,,,"199","100","199"
"01M064","01M064 - P.S. 064 ROBERT SIMON","ELEMENTARY","2","1","1",,,,,"282","141","282"
"01M110","01M110 - P.S. 110 FLORENCE NIGHTINGALE","ELEMENTARY","1","1","1",,,,,"419","419","419"
"01M134","01M134 - P.S. 134 HENRIETTA SZOLD","ELEMENTARY","2","1","1",,,,,"255","128","255"
"01M137","01M137 - P.S. 137 JOHN L. BERNSTEIN","ELEMENTARY","1","1","1",,,,,"186","186","186"
"01M140","01M140 - P.S. 140 NATHAN STRAUS","K-8","2","1","1",,,,,"380","190","380"
"01M142","01M142 - P.S. 142 AMALIA CASTRO","ELEMENTARY","2","1","1",,,,,"386","193","386"
"01M184","01M184 - P.S. 184M SHUANG WEN","K-8","2","2","2",,,,,"665","333","333"
"01M188","01M188 - P.S. 188 THE ISLAND SCHOOL","K-8","3","2","2",,,,,"482","161","241"
"01M292","01M292 - HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","SECONDARY SCHOOL","2","1","1",,,,"1","255","85","128"
"01M301","01M301 - TECHNOLOGY, ARTS, AND SCIENCES STUDIO","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"149","149","149"
"01M315","01M315 - THE EAST VILLAGE COMMUNITY SCHOOL","ELEMENTARY","1.4","0",,,,,,"289","145",
"01M332","01M332 - UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"86","86","86"
