"propnum","prop_id","boro","ampsdistrict","prop_name","site_name","prop_location","site_location","acres","category","sub_category","rated","reason_not_rated","council_district","zipcode","communityboard","jurisdiction","nysassembly","nyssenate","uscongress","precinct","comfortstation","sourcefc"
"B080B","B080B","B","13","WILLIAM J HENNESSY TRIANGLE","WILLIAM J HENNESSY TRIANGLE","S/S OCEAN PKWY & SEA BREEZE AVE & SURF AVE","S/S OCEAN PKWY & SEA BREEZE AVE & SURF AVE","0.00000000","Greenstreet","Type 1","false","No such ID. Not a separate property, will be rated with B065-ZN10 5/22/14 AB",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN01","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 1","Corbin Pl. to W. 37 St., Boardwalk","CORBIN PL TO CONEY ISLAND AVE","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN02","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 2","Corbin Pl. to W. 37 St., Boardwalk","CONEY ISLAND AVE TO B. 2ND ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN03","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 3","Corbin Pl. to W. 37 St., Boardwalk","B. 2ND ST TO W 2ND ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN04","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 4","Corbin Pl. to W. 37 St., Boardwalk","W 2ND ST TO W 10TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN05","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 5","Corbin Pl. to W. 37 St., Boardwalk","W 10TH ST TO PIER","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN06","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 6","Corbin Pl. to W. 37 St., Boardwalk","PIER TO W 25TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN07","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 7","Corbin Pl. to W. 37 St., Boardwalk","W 25TH ST TO W 32ND","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"B169","B169-ZN08","B","13","Coney Island Beach & Boardwalk","CONEY ISLAND BEACH ZONE 8","Corbin Pl. to W. 37 St., Boardwalk","W 32ND TO W 37TH ST","0.00000000","Large Park","Beach Zone","false","Zone 7C now",,,,"DPR",,,,,"false","Unmapped"
"B233D11","B233D11","B","02","GRASS STRIP","GRASS STRIP","FURMAN & CRANBERRY WEST SIDE OF BQE","FURMAN & CRANBERRY WEST SIDE OF BQE","1.00199997","Small Park","Sitting Area/Triangle/Mall","false","Per Parklands, transferred to DOT 1.12.12 SD.",,,,"DPR",,,,,"false","Unmapped"
"B245A","B245A","B","08","INSPIRATIONAL GARDEN","INSPIRATIONAL GARDEN","1251 Prospect Place (in B-245)","1251 Prospect Place (in B-245)","0.00000000","Small Park","Greenthumb","false",,,,,"DPR",,,,,"false","Unmapped"
"B255","B255","B","07","PROSPECT EXPRESSWAY PARKS","PROSPECT EXPRESSWAY PARKS","PARKSIDE TO 3 AVES","PARKSIDE TO 3 AVES","8.20899963","Large Park","Large Park","false","Rated as Small Parks. 03/29/00",,,,"DPR",,,,,"false","Unmapped"
"B255P","B255P","B","07","PARK","PARK","19TH ST. BETWEEN 10 AVE & 11 AVE.","19TH ST. BETWEEN 10 AVE & 11 AVE.","0.68199998","Small Park","Sitting Area/Triangle/Mall","false","not parks property? now rated under BT11",,,,"DPR",,,,,"false","Unmapped"
"B437","B437","B","02","PIER 4","PIER 4","Bqe, Montague St, East River","Bqe, Montague St, East River","2.74000001","Other","Pier","false",,,,,"DPR",,,,,"false","Unmapped"
"B457","B457","B","05","DOSCHER ST. BLOCK ASSOCIATION","DOSCHER ST. BLOCK ASSOCIATION","Doscher St.","Doscher St.","0.08500000","Small Park","Greenthumb","false",,,,,"DPR",,,,,"false","Unmapped"
"BD07","BD07","B","-01","NORTH 5th STREET PIER","NORTH 5th STREET PIER","KENT AVE, BET N 4 ST & N 5 ST","KENT AVE, BET N 4 ST & N 5 ST","0.00000000","Restrictive Declaration Site",,"false","Under Parks' ownership, rated as B536.",,,,"DPR",,,,,"false","Unmapped"
"BS05","BS05","B","08","P.S. 335 - BROOKLYN","P.S. 335 - BROOKLYN","130 ROCHESTER AVE","130 ROCHESTER AVE","0.00000000","Small Park","DOE Plgd","false",,,,,"DPR",,,,,"false","Unmapped"
"BS11","BS11","B","14","P.S. 6 - BROOKLYN","P.S. 6 - BROOKLYN","43 SNYDER AVE","43 SNYDER AVE","0.00000000","Small Park","DOE Plgd","false",,,,,"DPR",,,,,"false","Unmapped"
"BS74","BX74","B","11","P.S. 204","P.S. 204","81 St., 82 St., 15 Ave., 16 Ave.","81 St., 82 St., 15 Ave., 16 Ave.","1.08200002",,,"false",,,,,"DPR",,,,,"false","Unmapped"
"BZ06","BZ06","B","15","SHORE BLVD MALL","SHORE BLVD MALL","WEST END AVE TO KINGSBOROUGH COLLEGE","WEST END AVE TO KINGSBOROUGH COLLEGE","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","Rated as BT14",,,,"DPR",,,,,"false","Unmapped"
"BZ09","BZ09","B","14","FLATBUSH MALLS","FLATBUSH MALLS","ALBEMARLE RD, BUCKINGHAM RD BET CONEY ISLAND AVE","ALBEMARLE RD, BUCKINGHAM RD BET CONEY ISLAND AVE","0.76599997","Small Park","Sitting Area/Triangle/Mall","false","Rated as separate GSs, BZ208-211 and 213",,,,"DPR",,,,,"false","Unmapped"
"BZ111","BZ111","B","02","GREENSTREET","GREENSTREET","FLATBUSH AVE. & FULTON ST. & HUDSON AVE.","FLATBUSH AVE. & FULTON ST. & HUDSON AVE.","0.00000000","Greenstreet","Type 1","false","Not Parks Property",,,,"DPR",,,,,"false","Unmapped"
"BZ115","BZ115","B","04","GREENSTREET","GREENSTREET","CENTRAL AVE. & CEDAR ST. & MYRTLE AVE.","CENTRAL AVE. & CEDAR ST. & MYRTLE AVE.","0.00000000","Greenstreet","Type 1","false","Not Parks property",,,,"DPR",,,,,"false","Unmapped"
"BZ164","BZ164","B","05","GREENSTREET","GREENSTREET","SHERIDAN AVE & SUTTER AVE","SHERIDAN AVE & SUTTER AVE","0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"BZ304","BZ304","B","13","GREENSTREET","GREENSTREET","SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (1)","SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (1)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"BZ308","BZ308","B","13","GREENSTREET","GREENSTREET","SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (2)","SURF AVE BETWEEN SEABREEZE AVE & WEST 5TH ST (2)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"BZ347","BZ347","B","01","GREENSTREET","GREENSTREET",,,"0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"BZ364","BZ364","B","13","GREENSTREET","GREENSTREET","SURF AVE BET. SEABREEZE AVE & WEST 5 ST (3)","SURF AVE BET. SEABREEZE AVE & WEST 5 ST (3)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"BZ365","BZ365","B","13","GREENSTREET","GREENSTREET","SURF AVE BET. SEABREEZE AVE & WEST 5 ST (4)","SURF AVE BET. SEABREEZE AVE & WEST 5 ST (4)","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"M030A","M030A","M","01","Foley Square Court House","Foley Square Court House","Court House, Worth, Pearl, Centre, Duane","Court House, Worth, Pearl, Centre, Duane","0.68000001","Small Park","Sitting Area/Triangle/Mall","false","inefficiently rated as one of 3 separate small parks, now all rated with M030. 5/22/14 AB.",,,,"DPR",,,,,"false","Unmapped"
"M030B","M030B","M","01","Foley Square","Foley Square","Foley Sq, Duane St, Centre St","Foley Sq, Duane St, Centre St","0.04300000","Small Park","Sitting Area/Triangle/Mall","false","inefficiently rated as one of 3 separate small parks, now all rated with M030. 5/22/14 AB.",,,,"DPR",,,,,"false","Unmapped"
"M071A","M071A","M","14","OVER THE TRACKS TENNIS COURTS","OVER THE TRACKS TENNIS COURTS","RIVERSIDE PARK, 119TH ST","RIVERSIDE PARK, 119TH ST","0.00000000","Small Park","Plgd Within Park","false","Included in large park zone",,,,"DPR",,,,,"false","Unmapped"
"M100","M100","M","12A","McNally Plaza","McNally Plaza","Laurel Hill Terr, W 182 St (just Off Of Amsterdam)","Laurel Hill Terr, W 182 St (just Off Of Amsterdam)","0.06700000","Small Park","Sitting Area/Triangle/Mall","false","overlaps/now inspected with M037-ZN06 5/21/14 AB",,,,"DPR",,,,,"false","Unmapped"
"M104","M104-ZN01o","M","11","Randall's Island Park","SUNKEN MEADOW","East River and Harlem River","TENNIS CONCESSION/NRTH-BX KILL/SO-NYFD ACADEMY/EAST RVR/CONRAD TRESTLE","59.51300049","Large Park","Flagship Park Zone","false","Retired. Randall's Island Rezoned Spring 2010",,,,"DPR",,,,,"false","Unmapped"
"M104","M104-ZN02o","M","11","Randall's Island Park","BRIDGE COMPLEX","East River and Harlem River","NRTH-BX KILL/SO-TRIBORO COMPLEX/E-CONRAD TRESTLE/W-HARLEM RVR","41.96400070","Large Park","Flagship Park Zone","false","Retired. Randall's Island Rezoned Spring 2010",,,,"DPR",,,,,"false","Unmapped"
"M104","M104-ZN03o","M","11","Randall's Island Park","WEST SHORE","East River and Harlem River","NRTH-MN BRIDGE RAMP/S-LIL' HELL GATE/E-STDM PERIM/W-HARLEM RVR","28.82600021","Large Park","Flagship Park Zone","false","Retired. Randall's Island Rezoned Spring 2010",,,,"DPR",,,,,"false","Unmapped"
