"order_number","record_type","order_type","borough","on_street","on_street_suffix","from_street","from_street_suffix","to_street","to_street_suffix","side_of_street","order_completed_on_date","sign_code","sign_description","sign_size","sign_design_voided_on_date","sign_location","distance_from_intersection","arrow_direction","facing_direction","sheeting_type","support","sign_notes","sign_x_coord","sign_y_coord"
"ST01505679","Historical","ST","Queens","88 AVENUE",,"168 PLACE",,,,"@","2021-02-16T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"N/E C","0",,,"TIII","TIII","168 PL","1041497","197904"
"S-01505617","Historical","S-","Brooklyn","AVENUE U",,"EAST    9 STREET",,"CONEY ISLAND AVENUE",,"S","2021-04-29T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-786719","Historical","R-","Manhattan","WEST   11 STREET",,"WASHINGTON STREET",,"WEST STREET",,"S","2009-04-10T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"C-01355566","Historical","C-","Brooklyn","FOUNTAIN AVENUE",,"SEAVIEW AVENUE",,,,"@","2019-02-25T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"N CML","0",,"South","TIII","TIII",,"1022300","178178"
"C-01355566","Historical","C-","Brooklyn","FOUNTAIN AVENUE",,"SEAVIEW AVENUE",,,,"@","2019-02-25T00:00:00.000","W14-2C","DIAMOND DELINEATOR (BLANK) MAY BE USED AS SUBSTITUTE OR REPLACMENT FOR W14-2A & W14-2B (REVISED 4/24/2013)","009 X 009",,"N CML","0",,"South","TIII","TIII",,"1022300","178178"
"S-922068","Historical","S-","Queens","83 DRIVE",,"KEW GARDENS ROAD",,"TALBOT STREET",,"N","1995-02-14T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"P-01421642","Historical","P-","Bronx","EAST KINGSBRIDGE ROAD",,"BRIGGS AVENUE",,"EAST  194 STREET",,"E","2020-12-10T00:00:00.000","PS-54C","2 HOUR METERED PARKING 9AM-7PM EXCEPT SUNDAY <-> (SUPERSEDES R7-182RB)","018 X 018",,,"358",,,"PNTD","PNTD",,"1013625","254081"
"S-065863","Historical","S-","Manhattan","GOUVERNEUR STREET",,"WATER STREET",,"MADISON STREET",,"E","2000-12-27T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-01535189","Historical","R-","Brooklyn","PITKIN AVENUE",,"CHESTER STREET",,"BRISTOL STREET",,"N","2021-06-28T00:00:00.000","PS-121B","NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY <-> (SUPERSEDES SP-139C & PS-23B)","018 X 012",,,"124",,,"PNTD","PNTD",,"1008617","183217"
"ST01500425","Historical","ST","Queens","77 AVENUE",,"147 STREET",,,,"@","2021-01-25T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"S/W C","0",,,"TIII","TIII","77 AV","1034963","202350"
"S-01520788","Current","S-","Queens","140 STREET",,"31 ROAD",,"31 DRIVE",,"W","2021-06-24T00:00:00.000","PL","PROPERTY LINE","N/A",,,"344",,,,,,,
"S-953270","Historical","S-","Brooklyn","21 AVENUE",,"66 STREET",,"67 STREET",,"W","1997-10-23T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"C-01527368","Current","C-","Bronx","VIELE AVENUE",,"HALLECK STREET",,,,"@","2021-06-02T00:00:00.000","SI-149G","LOCAL W/ 12 O'CLOCK & 3 O'CLOCK ARROW (COMBO)","036 X 018",,"N CML","0",,"North","TIII","TIII",,"1017527","233507"
"C-01362788","Historical","C-","Bronx","CROSS BRONX EXPRESSWAY","N RDWY","THIRD AVENUE",,,,"@","2020-03-20T00:00:00.000","SI-184G","TRUCK ROUTE W/ TRUCK SYMBOL","036 X 024",,"N WSD","25",,"North","TIII","TIII",,,
"R-01535886","Historical","R-","Manhattan","RIVERSIDE DRIVE",,"WEST  155 STREET",,"WEST  135 STREET",,"W","2021-06-30T00:00:00.000","PS-18BA","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11AM-12:30PM --> (SUPERSEDES SP-853CA)","018 X 012",,,"3321","North",,"PNTD","PNTD","W. 143 ST.",,
"S-362288","Current","S-","Staten Island","VAN BUREN STREET",,"LAFAYETTE AVENUE",,"CLINTON AVENUE",,"N","2015-03-06T00:00:00.000","PS-15GA","NO PARKING MONDAY-FRIDAY 8AM-6PM --> (SUPERSEDES R7-45RA)","018 X 012",,,"346","East",,"PNTD","PNTD",,"957313","173927"
"B-084407","Historical","B-","Manhattan","CHURCH STREET",,"CEDAR STREET",,"BARCLAY STREET",,"E","2002-02-23T00:00:00.000","SR-437","NO PEDESTRIAN CROSSING (SYMBOL) WITH PICTORIAL","030 X 030",,,"0",,"East","ENGG","ENGG","CEDAR ST N/E/C SIGN FACES EAST                          AS PER A SALKIN.",,
"S-137958","Historical","S-","Manhattan","CENTRAL PARK WEST",,"WEST  100 STREET",,"WEST   97 STREET",,"W","2005-01-12T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-01534536","Historical","R-","Queens","72 DRIVE",,"112 STREET",,,,"@","2021-06-23T00:00:00.000","R1-1","STOP","030 X 030",,"S/W C","0",,"South","TIII","TIII",,"1029168","201747"
"R-01530262","Historical","R-","Queens","CLEARVIEW EXPRESSWAY","E S/R","NORTHERN BOULEVARD",,,,"@","2021-06-02T00:00:00.000","SI-81G","HOSPITAL ""PROPER NAME"" RIDER","036 X 009",,"S/E C","0",,"South","TIII","TIII","FLUSHING HOSPITAL & MEDICAL CENTER","1045945","215602"
"C-01514207","Current","C-","Manhattan","5 AVENUE",,"EAST  119 STREET",,,,"@","2021-06-29T00:00:00.000","SI-2290G","BIKE (SYMBOL) ST NICHOLAS AVENUE W/ 12 O'CLOCK ARROW CENTRAL PARK W/ 9 O'CLOCK ARROW MARCUS GARVEY PARK W/ 3 O'CLOCK ARROW","018 X 030",,"E SSD","24",,"East","TIII","TIII",,"999463","231689"
"C-01637598","Historical","C-","Queens","NORTH CONDUIT AVENUE",,"159 STREET",,,,"@","2023-04-03T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"N/W C","0","West",,"TIII","TIII",,"1046334","182694"
"C-01533262","Current","C-","Brooklyn","FLUSHING AVENUE",,"FORREST STREET",,,,"@","2021-06-15T00:00:00.000","R5-1","DO NOT ENTER (SYMBOL)","030 X 030",,"S/E C","0",,"North","TIII","TIII",,"1003179","195604"
"R-01644249","Historical","R-","Manhattan","EAST    1 STREET",,"EAST HOUSTON STREET",,"1 AVENUE",,"N","2023-05-10T00:00:00.000","BL","BUILDING LINE","N/A",,,"469",,,,,,,
"R-01531799","Historical","R-","Staten Island","CROMWELL AVENUE",,"HANCOCK STREET",,,,"@","2021-06-09T00:00:00.000","R1-1","STOP","030 X 030",,"N/E C","0",,"East","TIII","TIII",,"958011","154034"
"R-01535125","Historical","R-","Brooklyn","SURF AVENUE",,"OCEAN PARKWAY",,"WEST   37 STREET",,"N","2021-06-25T00:00:00.000","SR-2191","CITY SPEED LIMIT 25 PHOTO ENFORCED (SUPERSEDES SR-2166)","030 X 048",,,"0",,"East","TIII","TIII","INTERSECTION OF SURF AVE AND OCEAN PARKWAY. 120' W NSD","992892","148860"
"R-01643103","Historical","R-","Queens","50 AVENUE",,"202 STREET",,,,"@","2023-05-02T00:00:00.000","W3-1","STOP AHEAD (SYMBOL)","030 X 030",,"N WSD","97",,"North","TIII","TIII",,"1045972","212904"
"S-01530832","Current","S-","Queens","14 STREET",,"31 AVENUE",,"31 DRIVE",,"W","2021-06-10T00:00:00.000","PS-444EA","TRUCK (SYMBOL) FARMERS MARKET ONLY JULY 1 - DEC 31 WEDNESDAY 8AM-6PM --> (SUPERSEDES SP-768BA)","018 X 018",,,"226","North",,"PNTD","PNTD",,"1002960","218988"
"ST01505738","Historical","ST","Queens","DOUGLASTON PARKWAY",,"66 AVENUE",,,,"@","2021-02-16T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"N/E C","0",,,"TIII","TIII","DUGLASTON PARKWAY","1056045","213344"
"C-366671","Historical","C-","Manhattan","BROOME STREET",,"VARICK STREET",,,,"@","2015-05-09T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"N/E C","0","West",,"TIII","TIII",,"982620","203213"
"R-01309783","Historical","R-","Queens","30 AVENUE",,"30 STREET",,"29 STREET",,"N","2018-05-25T00:00:00.000","CL","CURB LINE","N/A",,,"369",,,,,,,
"P-01422053","Historical","P-","Bronx","EAST TREMONT AVENUE",,"CLINTON AVENUE",,"CROTONA AVENUE",,"N","2020-12-09T00:00:00.000","PS-65C","2 HOUR METERED PARKING 8AM-7PM EXCEPT SUNDAY <-> (SUPERSEDES R7-128RB)","018 X 018",,,"280",,,"PNTD","PNTD",,"1014422","247300"
"P-01457346","Historical","P-","Manhattan","WEST   14 STREET",,"8 AVENUE",,"7 AVENUE",,"S","2020-07-25T00:00:00.000","SI-584G","14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION)","016 X 008",,,"154",,,"PNTD","PNTD","W 14 ST & 8 AV","983700","208676"
"C-01406878","Historical","C-","Brooklyn","BAY PARKWAY",,"SHORE PARKWAY","S S/R",,,"@","2020-01-24T00:00:00.000","SR-437","NO PEDESTRIAN CROSSING (SYMBOL) WITH PICTORIAL","030 X 030",,"N/W C","0",,"East","TIII","TIII",,"984173","156307"
"R-767203","Historical","R-","Bronx","RIVER AVENUE",,"EAST  153 STREET",,"EAST  157 STREET",,"E","2008-07-09T00:00:00.000","PL","PROPERTY LINE","N/A",,,"638",,,,,,,
"S-01524278","Current","S-","Brooklyn","EAST   57 STREET",,"CHURCH AVENUE",,"KINGS HIGHWAY",,"W","2021-06-15T00:00:00.000","PS-49B","NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 8:30AM-10AM <-> (SUPERSEDES SP-369C)","018 X 012",,,"93",,,"PNTD","PNTD",,"1005431","177022"
"R-01530322","Historical","R-","Manhattan","WEST STREET",,"BATTERY PLACE",,"WEST   20 STREET",,"E","2021-06-09T00:00:00.000","SR-2148","SPEED LIMIT 30","030 X 036",,,"0",,"South","TIII","TIII","N/E C RECTOR STREET.",,
"S-075091","Historical","S-","Brooklyn","RODNEY STREET",,"DIVISION AVENUE",,"SOUTH    9 STREET",,"N","2001-05-26T00:00:00.000","PL","PROPERTY LINE","N/A",,,"12",,,,,,,
"C-01525929","Current","C-","Brooklyn","BLAKE AVENUE",,"FOUNTAIN AVENUE",,,,"@","2021-06-10T00:00:00.000","W1-7","LARGE DOUBLE ARROW","036 X 018",,"E   C","0",,"West","TIII","TIII","PROLONGATION CENTER LINE OF BLAKE AV","1019138","183714"
"R-01526600","Historical","R-","Queens","BEACH  102 STREET","E RDWY","SHORE FRONT PARKWAY",,"ROCKAWAY BEACH BOULEVARD",,"W","2021-06-04T00:00:00.000","PS-4A","PARALLEL PARKING ONLY <-> (SUPERSEDES SP-174D)","018 X 012",,,"201",,"East","PNTD","PNTD",,"1033574","151604"
"ST01499379","Historical","ST","Queens","69 AVENUE",,"174 STREET",,,,"@","2021-01-25T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"N/W C","0",,,"TIII","TIII","174 ST","1040826","206303"
"R-01533641","Historical","R-","Queens","FRESH POND ROAD",,"PUTNAM AVENUE",,"67 AVENUE",,"W","2021-06-21T00:00:00.000","PS-221E","TRUCK (SYMBOL) TRUCK LOADING ONLY MONDAY-FRIDAY 8AM-7PM <-> (SUPERSEDES SP-68B)","018 X 018",,,"46",,,"PNTD","PNTD",,,
"S-912840","Historical","S-","Brooklyn","BERGEN STREET",,"HOPKINSON AVENUE",,"SARATOGA AVENUE",,"S","1994-05-31T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-01572186","Historical","R-","Manhattan","MADISON AVENUE",,"EAST   58 STREET",,"EAST   59 STREET",,"E","2022-03-02T00:00:00.000","CL","CURB LINE","N/A",,,"229",,,,,,,
"C-224400","Historical","C-","Bronx","WATERLOO PLACE",,"EAST  176 STREET",,,,"@","2010-07-23T00:00:00.000","W1-6R","LARGE ARROW SIGN (RIGHT ARROW)","036 X 018",,"*NOTE","0",,"South","TIII","TIII","N/CURB OF E 176 ST CENTER OF WATERLOO PL.               BRACKET TO GUARD RAIL","1015449","245601"
"S-115489","Historical","S-","Brooklyn","EAST   92 STREET",,"SEAVIEW AVENUE",,"AVENUE N",,"E","2003-07-24T00:00:00.000","SP-402C","NO PARKING (SANITATION BROOM SYMBOL) 11AM TO 12:30PM FRI <----> (SUPERSEDED BY PS-171B)","018 X 012","2019-05-22T00:00:00.000",,"228",,,"PNTD","PNTD",,"1013648","169520"
