"date","borough","pool","attendance"
"2017-06-29T00:00:00.000","Brooklyn","Betsy Head","1107"
"2017-06-29T00:00:00.000","Brooklyn","PS 20 Playground","195"
"2017-06-29T00:00:00.000","Brooklyn","Lindower Park","140"
"2017-06-29T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-06-29T00:00:00.000","Brooklyn","Glenwood Houses","50"
"2017-06-29T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","194"
"2017-06-29T00:00:00.000","Brooklyn","McCarren Park","2526"
"2017-06-29T00:00:00.000","Brooklyn","Sunset Park","2124"
"2017-06-29T00:00:00.000","Brooklyn","Red Hook","807"
"2017-06-29T00:00:00.000","Brooklyn","Kosciuszko","988"
"2017-06-29T00:00:00.000","Brooklyn","Howard","486"
"2017-06-29T00:00:00.000","Brooklyn","Douglas and DeGraw","515"
"2017-06-29T00:00:00.000","Brooklyn","Commodore Barry","527"
"2017-06-29T00:00:00.000","Brooklyn","Bushwick","0"
"2017-06-29T00:00:00.000","Bronx","Claremont","692"
"2017-06-29T00:00:00.000","Bronx","Edenwald Houses","224"
"2017-06-29T00:00:00.000","Bronx","Crotona","1652"
"2017-06-29T00:00:00.000","Bronx","Floating Pool","489"
"2017-06-29T00:00:00.000","Bronx","Haffen","588"
"2017-06-29T00:00:00.000","Bronx","Mapes","732"
"2017-06-29T00:00:00.000","Bronx","Mullaly","645"
"2017-06-29T00:00:00.000","Bronx","Van Cortlandt","1068"
"2017-06-29T00:00:00.000","Bronx","Bronx River Playground","170"
"2017-06-29T00:00:00.000","Manhattan","Asser Levy","448"
"2017-06-29T00:00:00.000","Manhattan","Tony Dapolito","450"
"2017-06-29T00:00:00.000","Manhattan","Dry Dock","618"
"2017-06-29T00:00:00.000","Manhattan","Hamilton Fish","2028"
"2017-06-29T00:00:00.000","Manhattan","Highbridge","3360"
"2017-06-29T00:00:00.000","Manhattan","Jackie Robinson","889"
"2017-06-29T00:00:00.000","Manhattan","John Jay","511"
"2017-06-29T00:00:00.000","Manhattan","Lasker","1910"
"2017-06-29T00:00:00.000","Manhattan","Marcus Garvey","619"
"2017-06-29T00:00:00.000","Manhattan","Sheltering Arms","325"
"2017-06-29T00:00:00.000","Manhattan","Thomas Jefferson","1007"
"2017-06-29T00:00:00.000","Manhattan","Wagner","319"
"2017-06-29T00:00:00.000","Manhattan","Abe Lincoln","74"
"2017-06-29T00:00:00.000","Manhattan","Frederick Douglass","42"
"2017-06-29T00:00:00.000","Manhattan","Vesuvio","188"
"2017-06-29T00:00:00.000","Manhattan","Tompkins Square","152"
"2017-06-29T00:00:00.000","Queens","Astoria","163"
"2017-06-29T00:00:00.000","Queens","Fisher","755"
"2017-06-29T00:00:00.000","Queens","Liberty","501"
"2017-06-29T00:00:00.000","Queens","Totten","470"
"2017-06-29T00:00:00.000","Queens","Marie Curie Park","106"
"2017-06-29T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-06-29T00:00:00.000","Queens","PS 186 Playground","45"
"2017-06-29T00:00:00.000","Queens","Windmuller","414"
"2017-06-29T00:00:00.000","Staten Island","Faber","461"
"2017-06-29T00:00:00.000","Staten Island","Lyons","781"
"2017-06-30T00:00:00.000","Queens","Marie Curie Park","320"
"2017-06-29T00:00:00.000","Staten Island","Tottenville","255"
"2017-06-29T00:00:00.000","Staten Island","West Brighton","329"
"2017-06-29T00:00:00.000","Staten Island","General Douglas","0"
"2017-06-29T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-06-29T00:00:00.000","Staten Island","PS 14 Playground","75"
"2017-06-29T00:00:00.000","Staten Island","PS 46 Playground","120"
"2017-06-30T00:00:00.000","Brooklyn","Betsy Head","1374"
"2017-06-30T00:00:00.000","Brooklyn","PS 20 Playground","0"
"2017-06-30T00:00:00.000","Brooklyn","Lindower Park","270"
"2017-06-30T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-06-30T00:00:00.000","Brooklyn","Glenwood Houses","118"
"2017-06-30T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","142"
"2017-06-30T00:00:00.000","Brooklyn","McCarren Park","3512"
"2017-06-30T00:00:00.000","Brooklyn","Sunset Park","2684"
"2017-06-30T00:00:00.000","Brooklyn","Red Hook","1143"
"2017-06-30T00:00:00.000","Brooklyn","Kosciuszko","1326"
"2017-06-30T00:00:00.000","Brooklyn","Howard","241"
"2017-06-30T00:00:00.000","Brooklyn","Douglas and DeGraw","787"
"2017-06-30T00:00:00.000","Brooklyn","Commodore Barry","143"
"2017-06-30T00:00:00.000","Brooklyn","Bushwick","361"
"2017-06-30T00:00:00.000","Bronx","Claremont","697"
"2017-06-30T00:00:00.000","Bronx","Edenwald Houses","225"
"2017-06-30T00:00:00.000","Bronx","Crotona","3146"
"2017-06-30T00:00:00.000","Bronx","Floating Pool","691"
"2017-06-30T00:00:00.000","Bronx","Haffen","585"
"2017-06-30T00:00:00.000","Bronx","Mapes","923"
"2017-06-30T00:00:00.000","Bronx","Mullaly","695"
"2017-06-30T00:00:00.000","Bronx","Van Cortlandt","1356"
"2017-06-30T00:00:00.000","Bronx","Bronx River Playground","146"
"2017-06-30T00:00:00.000","Manhattan","Asser Levy","707"
"2017-06-30T00:00:00.000","Manhattan","Tony Dapolito","400"
"2017-06-30T00:00:00.000","Manhattan","Dry Dock","639"
"2017-06-30T00:00:00.000","Manhattan","Hamilton Fish","2282"
"2017-06-30T00:00:00.000","Manhattan","Highbridge","3032"
"2017-06-30T00:00:00.000","Manhattan","Jackie Robinson","1207"
"2017-06-30T00:00:00.000","Manhattan","John Jay","792"
"2017-06-30T00:00:00.000","Manhattan","Lasker","2416"
"2017-06-30T00:00:00.000","Manhattan","Marcus Garvey","793"
"2017-06-30T00:00:00.000","Manhattan","Sheltering Arms","387"
"2017-06-30T00:00:00.000","Manhattan","Thomas Jefferson","959"
"2017-06-30T00:00:00.000","Manhattan","Wagner","364"
"2017-06-30T00:00:00.000","Manhattan","Abe Lincoln","122"
"2017-06-30T00:00:00.000","Manhattan","Frederick Douglass","110"
"2017-06-30T00:00:00.000","Manhattan","Vesuvio","145"
"2017-06-30T00:00:00.000","Manhattan","Tompkins Square","168"
"2017-06-30T00:00:00.000","Queens","Astoria","2197"
"2017-06-30T00:00:00.000","Queens","Fisher","870"
"2017-06-30T00:00:00.000","Queens","Liberty","765"
"2017-06-30T00:00:00.000","Queens","Totten","599"
"2017-06-30T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-06-30T00:00:00.000","Queens","PS 186 Playground","56"
"2017-06-30T00:00:00.000","Queens","Windmuller","448"
"2017-06-30T00:00:00.000","Staten Island","Faber","534"
"2017-06-30T00:00:00.000","Staten Island","Lyons","993"
"2017-06-30T00:00:00.000","Staten Island","Tottenville","352"
"2017-06-30T00:00:00.000","Staten Island","West Brighton","457"
"2017-06-30T00:00:00.000","Staten Island","General Douglas","32"
"2017-06-30T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-06-30T00:00:00.000","Staten Island","PS 14 Playground","150"
"2017-06-30T00:00:00.000","Staten Island","PS 46 Playground","149"
"2017-07-01T00:00:00.000","Brooklyn","Betsy Head","634"
"2017-07-01T00:00:00.000","Brooklyn","PS 20 Playground","178"
"2017-07-01T00:00:00.000","Brooklyn","Lindower Park","254"
"2017-07-01T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-01T00:00:00.000","Brooklyn","Glenwood Houses","30"
"2017-07-01T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","79"
"2017-07-01T00:00:00.000","Brooklyn","McCarren Park","1610"
"2017-07-01T00:00:00.000","Brooklyn","Sunset Park","1377"
"2017-07-01T00:00:00.000","Brooklyn","Red Hook","747"
"2017-07-01T00:00:00.000","Brooklyn","Kosciuszko","747"
"2017-07-01T00:00:00.000","Brooklyn","Howard","518"
"2017-07-01T00:00:00.000","Brooklyn","Douglas and DeGraw","482"
"2017-07-01T00:00:00.000","Brooklyn","Commodore Barry","569"
"2017-07-01T00:00:00.000","Brooklyn","Bushwick","182"
"2017-07-01T00:00:00.000","Bronx","Claremont","667"
"2017-07-01T00:00:00.000","Bronx","Edenwald Houses","140"
"2017-07-01T00:00:00.000","Bronx","Crotona","1594"
"2017-07-01T00:00:00.000","Bronx","Floating Pool","480"
"2017-07-01T00:00:00.000","Bronx","Haffen","370"
"2017-07-01T00:00:00.000","Bronx","Mapes","776"
"2017-07-01T00:00:00.000","Bronx","Mullaly","532"
"2017-07-01T00:00:00.000","Bronx","Van Cortlandt","948"
"2017-07-01T00:00:00.000","Bronx","Bronx River Playground","129"
"2017-07-01T00:00:00.000","Manhattan","Asser Levy","342"
"2017-07-01T00:00:00.000","Manhattan","Tony Dapolito","270"
"2017-07-01T00:00:00.000","Manhattan","Dry Dock","400"
"2017-07-01T00:00:00.000","Manhattan","Hamilton Fish","1060"
"2017-07-01T00:00:00.000","Manhattan","Highbridge","1760"
"2017-07-01T00:00:00.000","Manhattan","Jackie Robinson","774"
"2017-07-01T00:00:00.000","Manhattan","John Jay","469"
"2017-07-01T00:00:00.000","Manhattan","Lasker","1187"
"2017-07-01T00:00:00.000","Manhattan","Marcus Garvey","423"
"2017-07-01T00:00:00.000","Manhattan","Sheltering Arms","331"
"2017-07-01T00:00:00.000","Manhattan","Thomas Jefferson","784"
"2017-07-01T00:00:00.000","Manhattan","Wagner","301"
"2017-07-01T00:00:00.000","Manhattan","Abe Lincoln","66"
"2017-07-01T00:00:00.000","Manhattan","Frederick Douglass","99"
"2017-07-01T00:00:00.000","Manhattan","Vesuvio","158"
"2017-07-01T00:00:00.000","Manhattan","Tompkins Square","110"
"2017-07-01T00:00:00.000","Queens","Astoria","3106"
"2017-07-01T00:00:00.000","Queens","Fisher","0"
"2017-07-01T00:00:00.000","Queens","Liberty","338"
"2017-07-01T00:00:00.000","Queens","Totten","338"
"2017-07-01T00:00:00.000","Queens","Marie Curie Park","83"
"2017-07-01T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-01T00:00:00.000","Queens","PS 186 Playground","60"
"2017-07-01T00:00:00.000","Queens","Windmuller","412"
"2017-07-01T00:00:00.000","Staten Island","Faber","215"
"2017-07-01T00:00:00.000","Staten Island","Lyons","407"
"2017-07-01T00:00:00.000","Staten Island","Tottenville","149"
"2017-07-01T00:00:00.000","Staten Island","West Brighton","177"
"2017-07-01T00:00:00.000","Staten Island","General Douglas","21"
"2017-07-01T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-01T00:00:00.000","Staten Island","PS 14 Playground","105"
"2017-07-01T00:00:00.000","Staten Island","PS 46 Playground","65"
"2017-07-02T00:00:00.000","Brooklyn","Betsy Head","288"
"2017-07-02T00:00:00.000","Brooklyn","PS 20 Playground","255"
"2017-07-02T00:00:00.000","Brooklyn","Lindower Park","655"
"2017-07-02T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-02T00:00:00.000","Brooklyn","Glenwood Houses","66"
"2017-07-02T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","160"
"2017-07-02T00:00:00.000","Brooklyn","McCarren Park","3691"
"2017-07-02T00:00:00.000","Brooklyn","Sunset Park","3138"
"2017-07-02T00:00:00.000","Brooklyn","Red Hook","2248"
"2017-07-02T00:00:00.000","Brooklyn","Kosciuszko","1640"
"2017-07-02T00:00:00.000","Brooklyn","Howard","468"
"2017-07-02T00:00:00.000","Brooklyn","Douglas and DeGraw","834"
"2017-07-02T00:00:00.000","Brooklyn","Commodore Barry","493"
"2017-07-02T00:00:00.000","Brooklyn","Bushwick","288"
"2017-07-02T00:00:00.000","Bronx","Claremont","783"
"2017-07-02T00:00:00.000","Bronx","Edenwald Houses","108"
"2017-07-02T00:00:00.000","Bronx","Crotona","5451"
"2017-07-02T00:00:00.000","Bronx","Floating Pool","973"
"2017-07-02T00:00:00.000","Bronx","Haffen","866"
"2017-07-02T00:00:00.000","Bronx","Mapes","950"
"2017-07-02T00:00:00.000","Bronx","Mullaly","762"
"2017-07-02T00:00:00.000","Bronx","Van Cortlandt","2427"
"2017-07-02T00:00:00.000","Bronx","Bronx River Playground","151"
"2017-07-02T00:00:00.000","Manhattan","Asser Levy","928"
"2017-07-02T00:00:00.000","Manhattan","Tony Dapolito","687"
"2017-07-02T00:00:00.000","Manhattan","Dry Dock","567"
"2017-07-02T00:00:00.000","Manhattan","Hamilton Fish","4120"
"2017-07-02T00:00:00.000","Manhattan","Highbridge","3645"
"2017-07-02T00:00:00.000","Manhattan","Jackie Robinson","1445"
"2017-07-02T00:00:00.000","Manhattan","John Jay","1116"
"2017-07-02T00:00:00.000","Manhattan","Lasker","4235"
"2017-07-02T00:00:00.000","Manhattan","Marcus Garvey","900"
"2017-07-02T00:00:00.000","Manhattan","Sheltering Arms","477"
"2017-07-02T00:00:00.000","Manhattan","Thomas Jefferson","1957"
"2017-07-02T00:00:00.000","Manhattan","Wagner","648"
"2017-07-02T00:00:00.000","Manhattan","Abe Lincoln","87"
"2017-07-02T00:00:00.000","Manhattan","Frederick Douglass","99"
"2017-07-02T00:00:00.000","Manhattan","Vesuvio","188"
"2017-07-02T00:00:00.000","Manhattan","Tompkins Square","164"
"2017-07-02T00:00:00.000","Queens","Astoria","2161"
"2017-07-02T00:00:00.000","Queens","Fisher","859"
"2017-07-02T00:00:00.000","Queens","Liberty","522"
"2017-07-02T00:00:00.000","Queens","Totten","957"
"2017-07-02T00:00:00.000","Queens","Marie Curie Park","136"
"2017-07-02T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-02T00:00:00.000","Queens","PS 186 Playground","120"
"2017-07-02T00:00:00.000","Queens","Windmuller","374"
"2017-07-02T00:00:00.000","Staten Island","Faber","529"
"2017-07-02T00:00:00.000","Staten Island","Lyons","607"
"2017-07-02T00:00:00.000","Staten Island","Tottenville","365"
"2017-07-02T00:00:00.000","Staten Island","West Brighton","361"
"2017-07-02T00:00:00.000","Staten Island","General Douglas","42"
"2017-07-02T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-02T00:00:00.000","Staten Island","PS 14 Playground","135"
"2017-07-02T00:00:00.000","Staten Island","PS 46 Playground","54"
"2017-07-03T00:00:00.000","Brooklyn","Betsy Head","1520"
"2017-07-03T00:00:00.000","Brooklyn","PS 20 Playground","310"
"2017-07-03T00:00:00.000","Brooklyn","Lindower Park","356"
"2017-07-03T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-03T00:00:00.000","Brooklyn","Glenwood Houses","45"
"2017-07-03T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","290"
