"unique_id","generated_on","site_id","status","ppt_id","address","city","state","zip","boro","latitude","longitude","cross_street_1","cross_street_2","corner","community_board","council_district","census_tract","nta","bbl","bin","install_date","active_date","wifi_status","wifi_status_date","tablet_status","tablet_status_date","phone_status","phone_status_date","geocoded_column"
"..bk-07-125840","2021-02-04 18:00:00.371","bk-07-125840","Live","125840","4201 4 AVENUE","New York","NY","11232","Brooklyn","40.65039017","-74.00828534","42 STREET","43 STREET","NE","307","38","3008200","Sunset Park West","3007240001","3010833","2021-02-04 18:00:00.371","2018-06-24 20:00:00.000","up","2021-02-04 18:00:00.371","up","2021-02-04 18:00:00.371","up","2021-02-04 18:00:00.371","
,  
(40.65039017, -74.00828534)"
"2023-04-17.06:00:00.629.si-03-125464","2023-04-17 06:00:00.629","si-03-125464","Live","125464","285 MILL ROAD","New York","NY","10306","Staten Island","40.56175506","-74.11216061","TYSENS LANE","ISERNIA AVENUE","NW","503","50","5012806","Oakwood-Oakwood Beach","5039830001","5105550","2016-12-19 19:00:00.000","2017-01-24 19:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.56175506, -74.11216061)"
"2023-04-17.06:00:00.629.si-02-146100","2023-04-17 06:00:00.629","si-02-146100","Live","146100","1617 RICHMOND ROAD","New York","NY","10304","Staten Island","40.59045311","-74.10092195","LIBERTY AVENUE","SEAVIEW AVENUE","MIDBLOCK","502","50","5018100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","5008830008","5022895","2018-07-11 20:00:00.000","2018-07-18 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.59045311, -74.10092195)"
"2023-04-17.06:00:00.629.si-02-146099","2023-04-17 06:00:00.629","si-02-146099","Live","146099","2154 HYLAN BOULEVARD","New York","NY","10306","Staten Island","40.57739083","-74.10267054","ZWICKY AVENUE","MIDLAND AVENUE","SE","502","50","5011202","New Dorp-Midland Beach","5036910011","5053558","2018-06-28 20:00:00.000","2018-07-18 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.57739083, -74.10267054)"
"2023-04-17.06:00:00.629.si-02-146098","2023-04-17 06:00:00.629","si-02-146098","Live","146098","1660 RICHMOND ROAD","New York","NY","10304","Staten Island","40.58948831","-74.10127071","BUEL AVENUE","LIBERTY AVENUE","NE","502","50","5011401","Old Town-Dongan Hills-South Beach","5035300001","5050551","2018-06-28 20:00:00.000","2018-07-18 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.58948831, -74.10127071)"
"2023-04-17.06:00:00.629.si-02-145835","2023-04-17 06:00:00.629","si-02-145835","Live","145835","1630 RICHMOND ROAD","New York","NY","10304","Staten Island","40.58990771","-74.10090436","LIBERTY AVENUE","BUEL AVENUE","SE","502","50","5011401","Old Town-Dongan Hills-South Beach","5035300017","5050552","2017-04-09 20:00:00.000","2017-05-24 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.58990771, -74.10090436)"
"2023-04-17.06:00:00.629.si-02-145829","2023-04-17 06:00:00.629","si-02-145829","Live","145829","1570 RICHMOND ROAD","New York","NY","10304","Staten Island","40.59143558","-74.10086158","GARRETSON AVENUE","SEAVIEW AVENUE","MIDBLOCK","502","50","5009602","Old Town-Dongan Hills-South Beach","5033050008","5048650","2017-04-09 20:00:00.000","2017-05-24 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.59143558, -74.10086158)"
"2023-04-17.06:00:00.629.si-02-145826","2023-04-17 06:00:00.629","si-02-145826","Live","145826","1678 RICHMOND ROAD","New York","NY","10304","Staten Island","40.589032","-74.101684","DONGAN HILLS AVENUE","BUEL AVENUE","SE","502","50","5011401","Old Town-Dongan Hills-South Beach","5035310009","5050604","2017-04-09 20:00:00.000","2017-05-24 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.589032, -74.101684)"
"2023-04-17.06:00:00.629.si-02-145825","2023-04-17 06:00:00.629","si-02-145825","Live","145825","1755 RICHMOND ROAD","New York","NY","10304","Staten Island","40.58738523","-74.10370822","SEAVER AVENUE","DONGAN HILLS AVENUE","NW","502","50","5018100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","5008870028","5022931","2017-04-09 20:00:00.000","2017-05-24 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.58738523, -74.10370822)"
"2023-04-17.06:00:00.629.si-02-145824","2023-04-17 06:00:00.629","si-02-145824","Live","145824","2100 RICHMOND ROAD","New York","NY","10306","Staten Island","40.58167685","-74.11135039","COLFAX AVENUE","LINCOLN AVENUE","SW","502","50","5011402","New Dorp-Midland Beach","5035780014","5051531","2017-04-09 20:00:00.000","2017-05-24 20:00:00.000","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","up","2023-04-17 06:00:00.629","
,  
(40.58167685, -74.11135039)"
