"zip_codes","outreach_events","general_outreach","outreach_meetings","educational_trainings","fjc","undesignated","civic_service_agencies","education_agencies","health_agencies","nycha","public_safety_agencies","social_service_agencies","cbos","house_of_worship","consulates","outreach_partner_not_noted","total_population","population_poverty_status","of_residents_living_below","number_residents_foreign","residents_foreign_born","residents_speak_english_less","of_residents_black_or_african","residents_hispanic_or_latino","precinct","dirs_2018","dir_2019","fjc_clients"
"10001","6","1","1","1","0","3","0","0","0","2","0","2","2","0","0","0","22924","21955","0.1326","7414","0.3234","13.5","0.0616","0.1416","14","1190","1237","17"
"10002","10","3","0","0","0","7","0","0","0","3","0","0","0","0","0","1","74993","74356","0.2766","31376","0.4184","38.5","0.0838","0.2719","9","1886","1967","71"
"10003","6","3","0","2","0","1","1","0","0","5","0","0","0","0","0","0","54682","45093","0.0845","10866","0.1987","5.1","0.0581","0.0824","9","1886","1967","8"
"10004","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3028","3028","0.0218","831","0.2744","2.8","0.0168","0.037","1","1010","917","1"
"10006","4","3","0","0","0","1","0","0","0","0","0","0","4","0","0","0","3454","3454","0.0475","1110","0.3214","4.2","0.0104","0.1199","1","1010","917","3"
"10007","16","4","7","1","0","4","0","0","0","15","0","0","1","0","0","3","7023","6183","0.0235","1648","0.2347","5.4","0.0473","0.0826","1","1010","917","3"
"10008","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","0.00","1","0","0","0"
"10009","2","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","57925","57882","0.2343","13067","0.2256","12.9","0.0938","0.2477","9","1886","1967","28"
"10010","5","1","4","0","0","0","0","0","0","5","0","0","0","0","0","0","33730","31076","0.1272","6890","0.2043","6.8","0.0529","0.1098","13","1273","1261","11"
"10011","4","2","0","0","0","2","0","0","0","2","0","0","0","0","0","2","50472","49475","0.1108","11989","0.2375","5.3","0.0559","0.113","10","1310","1328","11"
"10012","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","23411","22247","0.1165","6241","0.2666","6.8","0.0278","0.0638","1","1010","917","11"
"10013","18","4","0","9","1","4","3","1","2","10","3","0","0","1","0","0","28709","26855","0.1152","9752","0.3397","22.7","0.0439","0.0602","1","1010","917","31"
"10014","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","30738","30361","0.0635","5026","0.1635","1","0.0109","0.0666","6","566","620","4"
"10016","8","1","1","0","0","6","0","0","0","2","0","0","1","0","0","5","51057","49821","0.0967","13791","0.2701","8.2","0.0378","0.0694","17","752","733","26"
"10017","6","3","2","0","0","1","0","0","0","3","0","0","0","0","0","3","15801","15801","0.0617","5101","0.3228","8.2","0.0234","0.059","17","752","733","9"
"10018","2","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0","9687","9636","0.1546","4359","0.45","16.5","0.0481","0.1519","14","1190","1237","7"
"10019","20","13","1","1","0","5","4","0","0","3","2","0","6","0","0","0","43703","43543","0.1227","13904","0.3181","10.3","0.0584","0.1677","18","1448","1517","32"
"10021","2","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","46215","45697","0.0478","9651","0.2088","4.2","0.0091","0.0793","19","1692","1724","11"
"10023","4","1","2","0","0","1","1","1","0","0","1","0","1","0","0","0","62435","60998","0.0822","13869","0.2221","6.5","0.0418","0.1051","20","1021","990","5"
"10024","3","0","1","0","0","2","1","0","1","2","1","0","0","0","0","0","59001","58328","0.072","11239","0.1905","6.3","0.0388","0.1088","20","1021","990","9"
"10025","3","1","1","0","0","1","0","0","0","3","0","0","0","0","0","0","92805","88585","0.1455","23909","0.2576","12.4","0.1265","0.2342","24","2307","2175","47"
"10026","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","39363","38920","0.2519","9424","0.2394","9.9","0.5341","0.2131","28","2456","2446","22"
"10027","54","12","16","4","0","22","5","1","0","54","1","0","0","0","0","0","64548","57826","0.2863","16801","0.2603","11.2","0.3948","0.2545","26","1545","1628","33"
"10029","34","8","5","0","0","21","0","0","0","34","0","0","0","0","0","0","79597","76863","0.3321","18648","0.2343","20.2","0.3103","0.4789","23","4549","4722","107"
"10030","9","3","1","0","0","5","1","0","0","5","0","0","0","0","0","4","29882","29852","0.294","7092","0.2373","14.3","0.6305","0.2562","32","5178","5214","32"
"10031","9","2","4","0","0","3","0","0","1","5","3","0","1","0","0","0","60254","60006","0.2242","23771","0.3945","24.7","0.2984","0.5137","30","2177","2030","70"
"10032","9","4","1","1","0","3","0","0","0","5","2","1","1","0","0","0","64264","63082","0.2312","30059","0.4677","36.8","0.1925","0.6628","33","2149","2046","61"
"10033","7","4","1","0","0","2","0","0","0","5","2","1","1","0","0","0","59607","58669","0.1959","27928","0.4685","38.1","0.1039","0.6852","34","3109","2935","52"
"10034","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","42910","42726","0.1955","19044","0.4438","35.9","0.1157","0.6974","34","3109","2935","32"
"10035","48","19","11","0","0","18","0","0","0","40","3","2","3","0","0","0","35743","34790","0.3755","9195","0.2573","18.5","0.4079","0.4458","25","3286","3287","38"
"10036","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","27428","27428","0.1525","9452","0.3446","12.8","0.0721","0.2154","14","1190","1237","16"
"10037","10","2","1","0","0","7","0","0","0","7","2","0","0","0","0","0","21139","20876","0.2514","4008","0.1896","9.2","0.7193","0.2137","32","5178","5214","21"
"10038","11","0","4","0","0","7","0","0","0","11","0","0","0","0","0","0","22800","21719","0.1899","7689","0.3372","21.3","0.0933","0.1411","1","1010","917","23"
"10039","25","7","5","0","0","13","0","0","0","25","0","0","0","0","0","0","27726","27683","0.2582","7086","0.2556","15.8","0.6188","0.3382","32","5178","5214","33"
"10040","5","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","44571","42849","0.223","21239","0.4765","36.3","0.0978","0.6948","34","3109","2935","35"
"10065","3","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","28109","27963","0.0687","6351","0.2259","5.3","0.022","0.0658","19","1692","1724","15"
"10075","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","21556","21155","0.0508","5687","0.2638","6.6","0.0314","0.1424","19","1692","1724","5"
"10128","4","2","1","0","0","1","1","0","0","3","0","0","0","0","0","0","59256","58980","0.0625","13589","0.2293","5.6","0.0368","0.1233","19","1692","1724","14"
"10301","43","14","13","6","1","9","7","4","3","7","6","4","5","3","0","5","38733","36779","0.2305","8215","0.2121","10.5","0.2496","0.2476","120","6279","5727","93"
"10302","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","18204","18122","0.1641","4517","0.2481","12.4","0.2062","0.4108","121","3776","3548","62"
"10304","28","6","14","1","1","6","14","2","1","13","2","4","6","3","0","2","41064","39794","0.2152","12768","0.3109","14.9","0.2746","0.2524","122","2872","2803","68"
"10305","6","2","1","1","0","2","1","1","0","0","1","0","2","0","0","1","42298","41726","0.1286","14252","0.3369","17.9","0.0655","0.1636","122","2872","2803","55"
"10306","2","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","53142","52646","0.0986","12283","0.2311","11.7","0.0334","0.1471","122","2872","2803","42"
"10310","11","3","3","1","0","4","3","1","0","0","1","0","5","2","0","2","23262","23201","0.1909","5246","0.2255","11.7","0.2082","0.316","120","6279","5727","61"
"10314","4","4","0","0","0","0","0","1","0","0","1","0","2","1","0","0","90761","89642","0.0955","23103","0.2545","11","0.0424","0.1512","121","3776","3548","85"
"10451","56","17","21","4","1","13","21","3","2","7","4","7","8","1","0","3","47798","47730","0.3555","15395","0.3221","28.3","0.4054","0.5907","44","9247","9024","109"
"10452","15","6","4","0","4","1","4","1","0","2","1","0","0","1","0","0","76078","75478","0.3716","33409","0.4391","36.4","0.3319","0.6812","44","9247","9024","120"
"10453","3","3","0","0","0","0","0","0","0","1","2","1","1","1","0","0","79606","79076","0.405","32805","0.4121","35.6","0.3244","0.6915","46","9187","9143","127"
"10454","9","2","4","1","0","2","4","0","0","2","0","2","2","1","0","0","38203","37726","0.4594","10428","0.273","29.2","0.317","0.6794","40","8536","8609","66"
"10455","8","2","6","0","0","0","8","1","1","2","1","1","1","1","0","0","42283","41755","0.3955","13953","0.33","33.6","0.3029","0.7183","40","8536","8609","72"
"10456","55","12","16","11","0","16","16","3","2","3","6","18","6","0","0","9","94218","92563","0.3874","33254","0.3529","31.6","0.4253","0.6153","42","7940","8093","132"
"10457","3","3","0","0","0","0","0","1","1","0","1","1","1","0","0","0","74554","72814","0.3811","29790","0.3996","33.1","0.4019","0.6657","48","7324","7323","113"
"10458","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","83960","80867","0.3527","34124","0.4064","33.9","0.1988","0.6975","48","7324","7323","131"
"10459","9","7","1","0","0","1","1","2","1","1","1","2","2","1","0","0","48351","48042","0.3427","16003","0.331","28.1","0.3444","0.679","41","4273","4335","52"
"10460","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","59505","58759","0.367","19920","0.3348","25.7","0.3031","0.6951","48","7324","7323","74"
"10461","3","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","50348","49411","0.1484","13674","0.2716","20.1","0.0936","0.4661","49","4990","4858","26"
"10462","4","1","1","1","0","1","1","0","0","0","1","1","2","0","0","0","76756","76385","0.1947","23958","0.3121","23.5","0.2828","0.4753","49","4990","4858","97"
"10463","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","71360","68799","0.1724","23575","0.3304","21","0.1508","0.5111","50","2783","2780","48"
"10465","3","1","2","0","0","0","2","0","0","0","0","0","1","0","0","0","44205","42307","0.1215","6796","0.1537","11.7","0.1275","0.4427","45","3873","3852","16"
"10466","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","72479","71534","0.1969","30646","0.4228","8.9","0.7309","0.2204","47","9109","9113","63"
"10467","4","2","1","1","0","0","1","0","0","0","0","1","1","0","0","0","103732","102221","0.2789","38838","0.3744","27.7","0.3528","0.5233","47","9109","9113","122"
"10468","2","1","1","0","0","0","1","0","0","0","0","1","1","0","0","0","78647","77747","0.3208","36604","0.4654","38.7","0.2102","0.7577","52","7444","7244","108"
"10469","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","73870","71307","0.1508","29750","0.4027","13.4","0.5429","0.2899","49","4990","4858","58"
"10471","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","21896","18823","0.1001","5380","0.2457","10.9","0.118","0.2285","50","2783","2780","9"
"10472","3","2","1","0","0","0","1","0","0","0","0","1","0","1","0","0","68796","68043","0.3442","28193","0.4098","33.4","0.2736","0.6454","43","10573","9843","94"
"10473","30","11","13","4","0","2","13","5","0","0","1","3","3","2","0","0","59609","59170","0.2566","14054","0.2358","17.7","0.4116","0.6084","43","10573","9843","36"
"11101","24","4","12","3","0","5","16","2","1","2","2","3","7","2","0","0","30043","29633","0.1855","10748","0.3578","21.8","0.1569","0.2632","108","2123","2145","34"
"11102","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","30800","30513","0.1752","12338","0.4006","24","0.0962","0.3075","114","4970","4769","17"
"11106","7","4","1","0","1","1","1","1","1","1","1","2","2","1","0","1","38363","38294","0.1344","15553","0.4054","24.9","0.0711","0.2827","114","4970","4769","25"
