"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_therms","es_commodity","underlying_utility"
"BUSHWICK II (GROUPS B & D)","BROOKLYN","BUSHWICK II (GROUPS B & D)","BLD 35","AMR",,"303","566","K030300","FEDERAL","NY005012470P","National Grid NYC","12202966","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6397250","N","631.08","T3 TRAN MULT FAM","Exception","931","UTILITY GAS","NatGrid NYC"
"REHAB PROGRAM (TAFT REHABS)","MANHATTAN","REHAB PROGRAM (TAFT REHABS)","BLD 02","NONE","BLD 2-3","516","293","M051600","FEDERAL","NY005013170P","CONSOLIDATED EDISON COMPANY OF NY","12140399","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3564829","N","12749.89","TRMDH","Yes","10587","UTILITY GAS","ConEd"
"FHA REPOSSESSED HOUSES (GROUP IX)","FHA","FHA REPOSSESSED HOUSES (GROUP IX)","367 DOUGLASS STREET","AMR",,"283","376","Q028300","FEDERAL","NY005012090P","National Grid NYC","12206522","2023-01","2023-01-06T00:00:00.000","2023-02-06T00:00:00.000","31","1116159","N","327.22","T1B TRAN RES HEAT","Yes","368","UTILITY GAS","NatGrid NYC"
"ASTORIA","QUEENS","ASTORIA","BLD 12","NONE",,"26","517","Q002600","FEDERAL","NY005000260P","CONSOLIDATED EDISON COMPANY OF NY","12158078","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3979094","N","61.47","GS2","Yes","10","UTILITY GAS","ConEd"
"BORINQUEN PLAZA I","BROOKLYN","BORINQUEN PLAZA I","BLD 05","AMR",,"243","353","K024300","FEDERAL","NY005012430P","National Grid NYC","12202943","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9643853","N","831.08","T3 TRAN MULT FAM","Yes","1296","UTILITY GAS","NatGrid NYC"
"VLADECK II","MANHATTAN","VLADECK/VLADECK II","VLADECK BLD 02","NONE",,"7","371","M000700","FEDERAL","NY005010060P","CONSOLIDATED EDISON COMPANY OF NY","12147530","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3383842-30.2%","N","40822.63","TRMDHDF","Yes","36001.72","UTILITY GAS","ConEd"
"WEST BRIGHTON II","STATEN ISLAND","WEST BRIGHTON I/WEST BRIGHTON II","WEST BRIGHTON I BLD 06","AMR",,"175","242","S017500","FEDERAL","NY005010130P","National Grid NYC","12202906","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","17291557-12.2%","N","5599.01","T3 TRAN MULT FAM","Yes","11425.42","UTILITY GAS","NatGrid NYC"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 18","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12141317","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3591834","N","3119.36","TRMDH","Yes","2256","UTILITY GAS","ConEd"
"OCEAN HILL APARTMENTS","BROOKLYN","OCEAN HILL APARTMENTS","BLD 01","AMR","BLD 1-3","162","269","K016200","FEDERAL","NY005011620P","National Grid NYC","12203543","2023-01","2023-01-11T00:00:00.000","2023-02-08T00:00:00.000","28","2644920","Y","23428.53","T3 TRAN MULT FAM","Yes","48502","UTILITY GAS","NatGrid NYC"
"104-14 TAPSCOTT STREET","BROOKLYN","TAPSCOTT STREET","BLD 01","AMR",,"242","361","K024200","FEDERAL","NY005011670P","National Grid NYC","12203226","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4656491","N","480.11","T3 TRAN MULT FAM","Yes","693","UTILITY GAS","NatGrid NYC"
"HARRISON AVENUE REHAB (GROUP B)","BRONX","HARRISON AVENUE REHAB (GROUP B)","BLD 04","NONE",,"547","773","B054700","FEDERAL","NY005013410P","CONSOLIDATED EDISON COMPANY OF NY","12141738","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3792212","N","5507.48","TRMDH","Yes","4161","UTILITY GAS","ConEd"
"WEST FARMS ROAD REHAB","BRONX","WEST FARMS ROAD REHAB","BLD 02","NONE","BLD 1-2","360","780","B053000","FEDERAL","NY005015300P","CONSOLIDATED EDISON COMPANY OF NY","12186633","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3048878","N","8339.75","TRMDH","Yes","6674","UTILITY GAS","ConEd"
"FENIMORE-LEFFERTS","BROOKLYN","FENIMORE-LEFFERTS","BLD 14","AMR",,"205","322","K020500","FEDERAL","NY005011670P","National Grid NYC","12203195","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6404696","N","202.61","T1B TRAN RES HEAT","Yes","176","UTILITY GAS","NatGrid NYC"
"COLLEGE AVENUE-EAST 165TH STREET","BRONX","COLLEGE AVENUE-EAST 165TH STREET","BLD 01","NONE","BLD 01","236","351","B023600","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12204153","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3319127","N","13395.69","TRMDH","Yes","11160","UTILITY GAS","ConEd"
"RUTGERS","MANHATTAN","RUTGERS","BLD 04","NONE",,"99","439","M009900","MIXED FINANCE/LLC1","NY005020990P","CONSOLIDATED EDISON COMPANY OF NY","12142377","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3691685","Y","21165.55","TRMDH","Yes","18054","UTILITY GAS","ConEd"
