"id","name","parent_id","parent_name"
"1","Adults","72","Human Situations"
"2","Aging","72","Human Situations"
"3","Caregivers","72","Human Situations"
"4","Children","72","Human Situations"
"5","Court Appointed Advocate Required/Assigned","72","Human Situations"
"6","Court Involved","72","Human Situations"
"7","Criminal Justice Involved","72","Human Situations"
"8","Criminal Justice Involved - Paroled","72","Human Situations"
"9","Custodial Parents","72","Human Situations"
"10","Disconnected Individuals","72","Human Situations"
"11","Documented Immigrants","72","Human Situations"
"12","Energy Assistance Recipients","72","Human Situations"
"13","English Learners","72","Human Situations"
"14","Expectant Parents","72","Human Situations"
"15","Family Court Involved","72","Human Situations"
"16","Family of Court Involved","72","Human Situations"
"17","Fathers","72","Human Situations"
"18","Females","72","Human Situations"
"19","Food Stamps Recipients","72","Human Situations"
"20","Formerly Incarcerated","72","Human Situations"
"21","Grandparents","72","Human Situations"
"22","Guardians","72","Human Situations"
"23","Homeless","72","Human Situations"
"24","Housing Court Involved","72","Human Situations"
"25","Immigrants","72","Human Situations"
"26","Individuals Recovering from Substance Abuse Issues","72","Human Situations"
"27","Individuals with Active Substance Abuse Issues","72","Human Situations"
"28","Individuals with Deafness or Hearing Impairments","72","Human Situations"
"29","Individuals with Developmental Disabilities","72","Human Situations"
"30","Individuals with Disabilities","72","Human Situations"
"31","Individuals with HIV/AIDS","72","Human Situations"
"32","Individuals with Low-Level Literacy","72","Human Situations"
"33","Individuals with Mental Disabilities","72","Human Situations"
"34","Individuals with Mental Illness","72","Human Situations"
"35","Individuals with Physical Disabilities","72","Human Situations"
"36","Individuals with Substance Abuse Issues","72","Human Situations"
"37","Juvenile Justice Involved","72","Human Situations"
"38","Juvenile Justice Involved - Adjudicated","72","Human Situations"
"39","Juvenile Justice Involved - Arrested","72","Human Situations"
"40","Juvenile Justice Involved - Community Supervision","72","Human Situations"
"41","Juvenile Justice Involved - Detained","72","Human Situations"
"42","Juvenile Justice Involved - Placement/Removal from Community","72","Human Situations"
"43","LGBTQ Individuals","72","Human Situations"
"44","Low Income Individuals","72","Human Situations"
"45","Males","72","Human Situations"
"46","Mothers","72","Human Situations"
"47","Non-Custodial Parents","72","Human Situations"
"48","NYCHA Residents","72","Human Situations"
"49","Other/Unspecified","72","Human Situations"
"50","Out-of-School Individuals","72","Human Situations"
"51","Parents","72","Human Situations"
"52","Populations by Housing Status","72","Human Situations"
"53","Pregnant Females","72","Human Situations"
"54","Probationers","72","Human Situations"
"55","Public Assistance Recipients","72","Human Situations"
"56","Runaways","72","Human Situations"
"57","Section 8 Voucher Recipients","72","Human Situations"
"58","Temporary Cash Assistance Recipients","72","Human Situations"
"59","Transgender Individuals","72","Human Situations"
"60","Under-documented Immigrants","72","Human Situations"
"61","Underemployed Individuals","72","Human Situations"
"62","Undocumented Immigrants","72","Human Situations"
"63","Unemployed Individuals","72","Human Situations"
"64","Veterans","72","Human Situations"
"65","Victims/Survivors","72","Human Situations"
"66","Victims/Survivors of Child Abuse","72","Human Situations"
"67","Victims/Survivors of Domestic Violence","72","Human Situations"
"68","Victims/Survivors of Elder Abuse","72","Human Situations"
"69","Victims/Survivors of Human Trafficking","72","Human Situations"
"70","Victims/Survivors of Sexual Abuse/Exploitation","72","Human Situations"
"71","Young Adults","72","Human Situations"
"72","Human Situations",,"(null)"
"73","Human Services",,"(null)"
"74","Amendment Renewal","73","Human Services"
"75","Communications","73","Human Services"
"76","Discretionary","73","Human Services"
"77","Education Supports","73","Human Services"
"78","Facility Management Services","73","Human Services"
"79","Family Supports","73","Human Services"
"80","Financials Duplicate","73","Human Services"
"81","Food Services","73","Human Services"
"82","Health Services","73","Human Services"
"83","Household Management and Care","73","Human Services"
"84","Housing and Shelter Services","73","Human Services"
"85","Justice Services","73","Human Services"
"86","Legal Supports","73","Human Services"
"87","Outreach Services","73","Human Services"
"88","Professional Services","73","Human Services"
"89","Program Management Services","73","Human Services"
"90","Supportive Services","73","Human Services"
"91","Transportation Services","73","Human Services"
"92","Workforce Development","73","Human Services"
"106","Amendment Renewal","74","Amendment Renewal"
"107","Interpretation","75","Communications"
"108","Telecommunications","75","Communications"
"109","Translation","75","Communications"
"110","Discretionary","76","Discretionary"
"111","Academic Supports","77","Education Supports"
"112","Community Engagement","77","Education Supports"
"113","Diploma/HSE Training","77","Education Supports"
"114","Language Skills","77","Education Supports"
"115","Life Skills","77","Education Supports"
"116","Literacy","77","Education Supports"
"117","Recreational Services","77","Education Supports"
"118","Facility Management","78","Facility Management Services"
"119","Adoption Services","79","Family Supports"
"120","Child Care","79","Family Supports"
"121","Foster Care Services","79","Family Supports"
"122","Parenting Services","79","Family Supports"
"123","Financials Duplicate","80","Financials Duplicate"
"124","Food and Nutrition","81","Food Services"
"125","Medical Services","82","Health Services"
"126","Mental Health Services","82","Health Services"
"127","Public Health","82","Health Services"
"128","Rehabilitation/Therapy","82","Health Services"
"129","Substance Abuse Services","82","Health Services"
"130","Housekeeping","83","Household Management and Care"
"131","Drop-In Center","84","Housing and Shelter Services"
"132","Homelessness Prevention","84","Housing and Shelter Services"
"133","Housing","84","Housing and Shelter Services"
"134","Shelter","84","Housing and Shelter Services"
"135","Alternative Justice Management","85","Justice Services"
"136","Non-secure Placement","85","Justice Services"
"137","Restitution Collections","85","Justice Services"
"138","Legal Services","86","Legal Supports"
"139","Outreach","87","Outreach Services"
"140","Capacity Building","88","Professional Services"
