"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation"
"7560453867","AN921T","NJ","PAS","2015-02-07T00:00:00.000","84","DELV","PETER","T","10810","34110","34130",,"0010","10","10","356521","T102","A","0847A",,"NY","F","158","8th Ave",,"0001-01-03T12:00:00.000","408","k7",,,,,"WHITE",,"0",,"0","A 17","84-Platform lifts in low posit",,,
"8030010837","94866JA","NY","COM","2015-04-29T00:00:00.000","42","DELV","INTER","T","17570","10410","25390",,"0014","14","14","359330","T102","J","0412P",,"NY","F","10","E 29th St",,"0001-01-03T12:00:00.000","408","h1",,"YYYYY","0800A","0700P","BROWN",,"2001","445-6678","0","09 6","42-Exp. Muni-Mtr (Com. Mtr. Z)",,,
"8002993251","77936JY","NY","COM","2014-10-06T00:00:00.000","13","VAN","WORKH","T","45440","32910","28870",,"0001","1","1","351929","T105","C","0908A",,"NY","F","46","William St",,"0001-01-03T12:00:00.000","408","c2",,"YYYYYYY",,,"BROWN",,"2008",,"0","001","13-No Stand (taxi stand)",,,
"8014184210","T651285C","NY","OMT","2015-03-24T00:00:00.000","38","4DSD","TOYOT","T","73220","0","0",,"0084","84","84","361328","T301","H","0307P",,"K","I","S","Remsen St","15ft W/of Court St","0001-01-03T12:00:00.000","408","h1",,"Y","0900A","0700P","BK",,"2014",,"0","01 3","38-Failure to Display Muni Rec",,,
"7463033090","GRD6305","NY","OMS","2014-08-16T00:00:00.000","40","4DSD","NISSA","T","24090","0","0",,"113","113","113","356248","T402","L","0752A",,"Q","I","W","161st St","65ft S/of 134th Ave","0001-01-03T12:00:00.000","408","e2",,"YYYYYYY",,,"BK",,"2014",,"0","M 42","40-Fire Hydrant",,,
"7025381809","FSW5604","NY","PAS","2015-05-21T00:00:00.000","71","SUBN","NISSA","T","74380","64520","53620",,"0046","46","46","346132","T201","S","0636A",,"BX","F","115","W 172nd St",,"0001-01-03T12:00:00.000","408","j6",,"YYYYYYY",,,"BK",,"2007",,"0","O 21","71A-Insp Sticker Expired (NYS)",,,
"7982768570","75127JX","NY","COM","2015-04-15T00:00:00.000","69","VAN","CHEVR","T","34930","10810","10910",,"0020","20","20","358590","T103","R","0259P",,"NY","F","350","W 58th St",,"0001-01-03T12:00:00.000","408","h1",,"Y","0700A","0700P","WHITE",,"2007",,"0","41 7","69-Failure to Disp Muni Recpt",,,
"7069430346","GMZ8407","NY","PAS","2014-11-11T00:00:00.000","37","VAN","MERCU","T","13610","35090","35110",,"0020","20","20","358927","T103","N","1227P","1213P","NY","F","1965","Broadway",,"0001-01-03T12:00:00.000","408","h1",,"Y","0830A","1000P","WH",,"2002","108-7110","0","28 7","37-Expired Muni Meter",,,
"8045350957","GRP7934","NY","PAS","2015-05-07T00:00:00.000","21","SUBN","HONDA","T","51090","16590","45590",,"102","102","102","358656","T402","M","0808A",,"Q","F","8027","Jamaica Ave",,"0001-01-03T12:00:00.000","408","d1",,"Y","0800A","0830A","BK",,"2012",,"0","H 42","21-No Parking (street clean)",,,
"7445114452","GLB5111","NY","PAS","2015-01-21T00:00:00.000","21","4DSD","HONDA","T","22240","50190","16810",,"107","107","107","352969","T402","G","1047A",,"Q","O","82-46","135th St",,"0001-01-03T12:00:00.000","408","d1",,"Y","1030A","1200A","RD",,"2013",,"0","01 4","21-No Parking (street clean)",,,
"7445114452","GLB5111","NY","PAS","2015-01-21T00:00:00.000","21","4DSD","HONDA","T","22240","50190","16810",,"107","107","107","352969","T402","G","1047A",,"Q","O","82-46","135th St",,"0001-01-03T12:00:00.000","408","d1",,"Y","1030A","1200A","RD",,"2013",,"0","01 4","21-No Parking (street clean)",,,
"7983966945","FBA7436","NY","PAS","2014-07-15T00:00:00.000","38","SUBN","CHEVR","T","10210","18730","18750",,"0019","19","19","358246","T103","N","0109P",,"NY","F","1562","3rd Ave",,"0001-01-03T12:00:00.000","408","h1",,"Y","0800A","0700P","BL",,"2010",,"0","09 7","38-Failure to Display Muni Rec",,,
"8003077400","XA365T","NJ","PAS","2014-10-17T00:00:00.000","39","VAN","FORD","T","34990","14510","13610",,"0020","20","20","356261","T103","E","1058A","0916A","NY","F","1","W 61st St",,"0001-01-03T12:00:00.000","408","d",,"Y","0900A","0700P","RED",,"0",,"0","36 7","39-Overtime PKG-Time Limt Post",,,
"7005001540","1373675","IL","PAS","2014-10-22T00:00:00.000","21","PICK","FORD","T","10840","9840","61090",,"108","108","108","351251","T401","L","0815A",,"Q","F","43-12","50th St",,"0001-01-03T12:00:00.000","408","d1",,"Y","0800A","0830A","GREY",,"0",,"0","M 41","21-No Parking (street clean)",,,
"7099977398","23459MD","NY","COM","2014-07-12T00:00:00.000","71","DELV","GMC","T","66390","35780","8440",,"114","114","114","357369","T401","X","1148A",,"Q","O","33-43","Vernon Blvd",,"0001-01-03T12:00:00.000","408","j6",,"YYYYYYY",,,"WH",,"2004",,"0","29 4","71A-Insp Sticker Expired (NYS)",,,
